"bioguide","name","last","state","cd","black","hisp","count","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic","matched"
"G000585","Jimmy Gomez","Gomez","CA",34,FALSE,TRUE,368213,5.26353,0.838373,1.18002,0.301999,0.400312,92.0158,TRUE
"T000474","Norma J. Torres","Torres","CA",35,FALSE,TRUE,435998,5.6186,0.67615,1.62891,0.238533,0.40436,91.4334,TRUE
"L000582","Ted Lieu","Lieu","CA",36,FALSE,FALSE,3829,1.67145,0.235048,93.6015,0.0261165,2.58553,1.88039,TRUE
"K000400","Sydney Kamlager-Dove","Kamlager-Dove","CA",37,TRUE,FALSE,13918,74.1414,17.2367,0.546055,0.445466,4.72051,2.9099,TRUE
"S001156","Linda T. Sánchez","Sánchez","CA",38,FALSE,TRUE,607848,5.15803,0.525625,1.14585,0.404377,0.394671,92.3714,TRUE
"T000472","Mark Takano","Takano","CA",39,FALSE,FALSE,436,4.81651,0.229358,82.1101,0.229358,9.86239,2.75229,TRUE
"K000397","Young Kim","Kim","CA",40,FALSE,FALSE,274068,2.45596,0.332764,93.8369,0.0153247,2.45487,0.904155,TRUE
"C000059","Ken Calvert","Calvert","CA",41,FALSE,FALSE,16821,85.417,5.94495,0.778788,0.885798,3.7691,3.20433,TRUE
"G000598","Robert Garcia","Garcia","CA",42,FALSE,TRUE,1149510,5.70147,0.545015,1.64061,0.490209,0.42566,91.197,TRUE
"W000187","Maxine Waters","Waters","CA",43,TRUE,FALSE,65036,71.2405,19.4907,0.676548,0.816471,4.34067,3.43502,TRUE
"B001300","Nanette Diaz Barragán","Barragán","CA",44,FALSE,TRUE,22090,3.9656,0.153916,0.312359,0.149389,0.248981,95.1698,TRUE
"S001135","Michelle Steel","Steel","CA",45,FALSE,FALSE,6955,75.4134,13.8893,1.10712,1.00647,4.28469,4.29907,TRUE
"C001110","J. Luis Correa","Correa","CA",46,FALSE,TRUE,38056,10.7631,1.1851,2.1153,0.302186,1.31648,84.3178,TRUE
"P000618","Katie Porter","Porter","CA",47,FALSE,FALSE,156720,66.2296,24.2662,0.710184,0.647014,4.64012,3.50689,TRUE
"I000056","Darrell Issa","Issa","CA",48,FALSE,FALSE,5575,69.4709,18.5112,2.33184,0.0358744,4.89686,4.75336,TRUE
"L000593","Mike Levin","Levin","CA",49,FALSE,TRUE,18142,92.5532,0.909492,0.887444,0.0937052,2.12215,3.43402,TRUE
"P000608","Scott H. Peters","Peters","CA",50,FALSE,FALSE,132098,79.5364,10.5217,1.24453,1.22863,3.81611,3.65259,TRUE
"J000305","Sara Jacobs","Jacobs","CA",51,FALSE,FALSE,114905,71.5426,16.4536,0.751055,3.33406,4.42452,3.49419,TRUE
"V000130","Juan Vargas","Vargas","CA",52,FALSE,TRUE,174429,5.6298,0.571579,1.00843,0.192055,0.38927,92.2089,TRUE
"D000197","Diana DeGette","DeGette","CO",1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"N000191","Joe Neguse","Neguse","CO",2,TRUE,FALSE,148,2.7027,91.2162,0.675676,0.675676,2.7027,2.02703,TRUE
"B000825","Lauren Boebert","Boebert","CO",3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"B001297","Ken Buck","Buck","CO",4,FALSE,FALSE,41103,84.8576,5.72464,0.946403,1.38676,4.0508,3.03384,TRUE
"L000564","Doug Lamborn","Lamborn","CO",5,FALSE,FALSE,1121,89.0277,0.44603,1.69492,0.178412,5.26316,3.38983,TRUE
"C001121","Jason Crow","Crow","CO",6,FALSE,FALSE,23432,85.0845,2.79959,0.606009,2.41123,5.03158,4.06709,TRUE
"P000620","Brittany Pettersen","Pettersen","CO",7,FALSE,FALSE,1341,90.6786,0.59657,0.894855,0.298285,2.90828,4.62342,TRUE
"C001134","Yadira Caraveo","Caraveo","CO",8,FALSE,TRUE,2002,6.89311,0.44955,0.599401,0.599401,0.44955,91.009,TRUE
"L000557","John B. Larson","Larson","CT",1,FALSE,FALSE,117441,92.2293,0.464063,0.90769,0.607113,2.89507,2.89677,TRUE
"C001069","Joe Courtney","Courtney","CT",2,FALSE,FALSE,25782,81.5414,9.23125,0.795128,0.795128,4.12303,3.51408,TRUE
"D000216","Rosa L. DeLauro","DeLauro","CT",3,FALSE,FALSE,361,89.1967,0.554017,1.93906,0,1.93906,6.37119,TRUE
"H001047","James A. Himes","Himes","CT",4,FALSE,FALSE,8475,86.5251,5.36873,0.80236,0.814159,3.42183,3.06785,TRUE
"H001081","Jahana Hayes","Hayes","CT",5,TRUE,FALSE,186445,66.9415,23.9658,0.615731,0.739092,4.52251,3.21543,TRUE
"B001303","Lisa Blunt Rochester","Blunt Rochester","DE",0,TRUE,FALSE,3896,60.9856,27.9004,0.590349,0.539014,5.26181,4.72279,TRUE
"G000578","Matt Gaetz","Gaetz","FL",1,FALSE,FALSE,501,89.8204,0,2.59481,1.59681,4.19162,1.79641,TRUE
"D000628","Neal P. Dunn","Dunn","FL",2,FALSE,FALSE,137243,77.1478,13.9854,0.894035,0.594566,4.01988,3.35828,TRUE
"C001039","Kat Cammack","Cammack","FL",3,FALSE,FALSE,2254,76.9299,13.8421,0.39929,0.709849,4.21473,3.90417,TRUE
"B001314","Aaron Bean","Bean","FL",4,FALSE,FALSE,35379,78.2611,13.1914,0.737726,0.839481,3.97976,2.99047,TRUE
"R000609","John H. Rutherford","Rutherford","FL",5,FALSE,FALSE,26667,79.1653,11.5536,0.622492,1.00874,4.55994,3.08996,TRUE
"W000823","Michael Waltz","Waltz","FL",6,FALSE,FALSE,6319,92.4513,0.949517,0.712138,0.443108,2.80108,2.64282,TRUE
"M001216","Cory Mills","Mills","FL",7,FALSE,FALSE,145448,74.5675,16.4657,0.640091,0.800974,4.22763,3.29809,TRUE
"P000599","Bill Posey","Posey","FL",8,FALSE,FALSE,19551,69.352,21.3646,0.537057,1.11503,4.7619,2.86942,TRUE
"S001200","Darren Soto","Soto","FL",9,FALSE,TRUE,145165,5.42279,0.633762,0.51872,0.263838,0.35408,92.8068,TRUE
"F000476","Maxwell Frost","Frost","FL",10,TRUE,TRUE,40771,83.4245,7.66967,0.917319,0.831473,3.92436,3.23269,TRUE
"W000806","Daniel Webster","Webster","FL",11,FALSE,FALSE,70161,70.8271,19.0961,0.748279,1.25853,4.42411,3.6459,TRUE
"B001257","Gus M. Bilirakis","Bilirakis","FL",12,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"L000596","Anna Paulina Luna","Luna","FL",13,FALSE,TRUE,106387,8.19743,0.399485,2.03126,0.470922,0.651395,88.2495,TRUE
"C001066","Kathy Castor","Castor","FL",14,FALSE,FALSE,5822,56.5613,11.7829,4.99828,0.309172,2.85125,23.4971,TRUE
"L000597","Laurel M. Lee","Lee","FL",15,FALSE,FALSE,695657,33.2401,15.2613,43.8986,0.902169,4.16398,2.53386,TRUE
"B001260","Vern Buchanan","Buchanan","FL",16,FALSE,FALSE,64348,74.0287,17.065,0.68689,0.540809,4.18972,3.48884,TRUE
"S001214","W. Gregory Steube","Steube","FL",17,FALSE,FALSE,175,90.8571,0.571429,1.71429,0,2.28571,4.57143,TRUE
"F000472","Scott Franklin","Franklin","FL",18,FALSE,FALSE,115358,52.1819,37.5639,0.74984,0.787115,5.0781,3.63911,TRUE
"D000032","Byron Donalds","Donalds","FL",19,TRUE,FALSE,331,53.1722,33.2326,0.906344,1.51057,1.81269,9.36556,TRUE
"C001127","Sheila Cherfilus-McCormick","Cherfilus-McCormick","FL",20,TRUE,FALSE,61083,84.4392,7.30645,0.736703,0.492772,3.58365,3.44122,TRUE
"M001199","Brian J. Mast","Mast","FL",21,FALSE,TRUE,18168,95.8664,0.308234,0.423822,0.137605,1.49714,1.76684,TRUE
"F000462","Lois Frankel","Frankel","FL",22,FALSE,FALSE,6667,93.7903,0.614969,0.869957,0.0449978,1.88991,2.78986,TRUE
"M001217","Jared Moskowitz","Moskowitz","FL",23,FALSE,FALSE,5127,94.5582,0.68266,0.760679,0.136532,1.63839,2.22352,TRUE
"W000808","Frederica S. Wilson","Wilson","FL",24,TRUE,FALSE,777275,64.4584,25.5484,0.762021,0.979962,4.6582,3.59307,TRUE
"W000797","Debbie Wasserman Schultz","Wasserman Schultz","FL",25,FALSE,FALSE,99932,91.9886,0.830565,0.729496,0.295201,2.942,3.21419,TRUE
"D000600","Mario Diaz-Balart","Diaz-Balart","FL",26,FALSE,TRUE,356910,5.38371,0.76686,1.34684,0.185481,0.394217,91.9229,TRUE
"S000168","Maria Elvira Salazar","Salazar","FL",27,FALSE,TRUE,150906,6.07265,0.352537,1.88859,0.51489,0.467841,90.7035,TRUE
"G000593","Carlos A. Gimenez","Gimenez","FL",28,FALSE,TRUE,2975,13.1765,0.403361,5.98319,0.0672269,0.941176,79.4286,TRUE
"C001103","Earl L. ""Buddy"" Carter","Carter","GA",1,FALSE,FALSE,364355,55.7264,34.4938,0.587888,0.732802,5.0599,3.39916,TRUE
"B000490","Sanford D. Bishop, Jr.","Bishop","GA",2,TRUE,FALSE,112014,81.3059,9.96572,0.746335,0.488332,4.06913,3.42457,TRUE
"F000465","A. Drew Ferguson IV","Ferguson","GA",3,FALSE,FALSE,139234,71.7289,18.7569,0.789319,0.586064,4.49316,3.64566,TRUE
"J000288","Henry C. ""Hank"" Johnson, Jr.","Johnson","GA",4,TRUE,FALSE,1858234,56.7854,33.5641,0.707984,0.880675,4.72432,3.33752,TRUE
"W000788","Nikema Williams","Williams","GA",5,TRUE,FALSE,1561395,43.8243,46.2204,0.589793,0.781673,5.08475,3.49905,TRUE
"M001218","Richard McCormick","McCormick","GA",6,FALSE,FALSE,61083,84.4392,7.30645,0.736703,0.492772,3.58365,3.44122,TRUE
"M001208","Lucy McBath","McBath","GA",7,TRUE,FALSE,380,57.6316,29.2105,0.263158,0.526316,9.21053,3.15789,TRUE
"S001189","Austin Scott","Scott","GA",8,FALSE,FALSE,421499,57.6583,32.0542,0.634402,1.09087,4.89491,3.66739,TRUE
"C001116","Andrew S. Clyde","Clyde","GA",9,FALSE,FALSE,3685,72.8901,14.9525,1.16689,3.20217,3.63636,4.15197,TRUE
"C001129","Mike Collins","Collins","GA",10,FALSE,FALSE,317373,68.7563,22.0472,0.648448,0.69193,4.42287,3.43318,TRUE
"L000583","Barry Loudermilk","Loudermilk","GA",11,FALSE,FALSE,4131,84.9431,5.42242,0.823045,0.847252,5.7129,2.25127,TRUE
"A000372","Rick W. Allen","Allen","GA",12,FALSE,FALSE,465583,64.7805,25.5834,0.675497,0.774942,4.64686,3.53879,TRUE
"S001157","David Scott","Scott","GA",13,TRUE,FALSE,421499,57.6583,32.0542,0.634402,1.09087,4.89491,3.66739,TRUE
"G000596","Marjorie Taylor Greene","Greene","GA",14,FALSE,FALSE,122836,65.02,25.8792,0.648018,0.685467,4.47019,3.29708,TRUE
"C001055","Ed Case","Case","HI",1,FALSE,FALSE,38337,88.7837,2.31369,0.785142,0.902522,4.04048,3.17448,TRUE
"T000487","Jill N. Tokuda","Tokuda","HI",2,FALSE,FALSE,373,7.5067,0.268097,82.8418,0,5.89812,3.48525,TRUE
"M001215","Mariannette Miller-Meeks","Miller-Meeks","IA",1,FALSE,FALSE,28638,70.7417,20.1934,0.464418,0.953279,4.61624,3.03094,TRUE
"H001091","Ashley Hinson","Hinson","IA",2,FALSE,FALSE,18581,79.5436,12.5558,0.516657,0.495129,4.09558,2.79318,TRUE
"N000193","Zachary Nunn","Nunn","IA",3,FALSE,FALSE,15738,64.1505,25.6704,0.845088,0.73707,5.0197,3.57733,TRUE
"F000446","Randy Feenstra","Feenstra","IA",4,FALSE,FALSE,1212,93.0693,0.412541,0.49505,0.330033,2.14521,3.54785,TRUE
"F000469","Russ Fulcher","Fulcher","ID",1,FALSE,FALSE,6249,78.8126,13.4902,0.512082,0.240038,4.01664,2.92847,TRUE
"S001148","Michael K. Simpson","Simpson","ID",2,FALSE,FALSE,156097,67.9603,22.5802,0.67394,0.712378,4.60675,3.46643,TRUE
"J000309","Jonathan L. Jackson","Jackson","IL",1,TRUE,FALSE,686937,38.2994,51.2494,0.532072,0.968648,5.4564,3.49406,TRUE
"K000385","Robin L. Kelly","Kelly","IL",2,TRUE,FALSE,255516,75.636,15.7646,0.763944,0.511514,3.60838,3.71562,TRUE
"R000617","Delia C. Ramirez","Ramirez","IL",3,FALSE,TRUE,544204,4.32963,0.384047,1.09849,0.251376,0.337557,93.5989,TRUE
"G000586","Jesús G. ""Chuy"" García","García","IL",4,FALSE,TRUE,1149510,5.70147,0.545015,1.64061,0.490209,0.42566,91.197,TRUE
"Q000023","Mike Quigley","Quigley","IL",5,FALSE,FALSE,16435,89.6136,2.13569,0.924855,0.42592,3.39519,3.50472,TRUE
"C001117","Sean Casten","Casten","IL",6,FALSE,FALSE,481,83.1601,0.4158,6.65281,0.623701,1.6632,7.48441,TRUE
"D000096","Danny K. Davis","Davis","IL",7,TRUE,FALSE,1074448,59.6162,30.8005,0.628043,0.776492,4.73564,3.44316,TRUE
"K000391","Raja Krishnamoorthi","Krishnamoorthi","IL",8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"S001145","Janice D. Schakowsky","Schakowsky","IL",9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"S001190","Bradley Scott Schneider","Schneider","IL",10,FALSE,FALSE,97428,92.69,0.517305,0.74106,0.251468,2.60911,3.19107,TRUE
"F000454","Bill Foster","Foster","IL",11,FALSE,FALSE,218824,67.0013,23.1789,0.7193,0.807498,4.61375,3.67921,TRUE
"B001295","Mike Bost","Bost","IL",12,FALSE,FALSE,5254,75.5044,16.5778,0.685192,0.456795,3.34983,3.42596,TRUE
"B001315","Nikki Budzinski","Budzinski","IL",13,FALSE,FALSE,1223,92.314,1.06296,0.572363,0,2.61652,3.43418,TRUE
"U000040","Lauren Underwood","Underwood","IL",14,TRUE,FALSE,54083,76.0831,14.6978,0.613871,1.03545,4.40249,3.16735,TRUE
"M001211","Mary E. Miller","Miller","IL",15,FALSE,FALSE,1129186,81.4662,10.4606,0.681553,0.620358,3.67707,3.09418,TRUE
"L000585","Darin LaHood","LaHood","IL",16,FALSE,FALSE,504,86.9048,1.98413,2.57937,0.198413,2.57937,5.75397,TRUE
"S001225","Eric Sorensen","Sorensen","IL",17,FALSE,FALSE,27819,91.5561,0.355872,0.995722,0.280384,3.12736,3.68453,TRUE
"M001214","Frank J. Mrvan","Mrvan","IN",1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"Y000067","Rudy Yakym III","Yakym","IN",2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"B001299","Jim Banks","Banks","IN",3,FALSE,FALSE,103658,37.4597,52.5652,0.504544,0.378167,5.66189,3.43051,TRUE
"B001307","James R. Baird","Baird","IN",4,FALSE,FALSE,33405,88.3281,3.38273,0.772339,0.532854,3.5833,3.40069,TRUE
"S000929","Victoria Spartz","Spartz","IN",5,FALSE,FALSE,589,94.2275,0.848896,0.509338,0,1.35823,3.05603,TRUE
"P000615","Greg Pence","Pence","IN",6,FALSE,FALSE,11408,91.7251,0.587307,0.72756,0.56101,3.32223,3.07679,TRUE
"C001072","André Carson","Carson","IN",7,TRUE,FALSE,54032,69.0424,21.3633,0.797675,0.657018,4.58617,3.55345,TRUE
"B001275","Larry Bucshon","Bucshon","IN",8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"H001093","Erin Houchin","Houchin","IN",9,FALSE,FALSE,2627,92.3106,0.418729,0.30453,0.647126,3.69242,2.62657,TRUE
"M000871","Tracey Mann","Mann","KS",1,FALSE,FALSE,82479,76.7141,9.64124,4.8182,1.16272,4.05073,3.61304,TRUE
"L000266","Jake LaTurner","LaTurner","KS",2,FALSE,FALSE,213,87.7934,0,0.469484,0,10.3286,1.40845,TRUE
"D000629","Sharice Davids","Davids","KS",3,FALSE,FALSE,2456,71.7834,15.2687,1.38436,2.72801,5.37459,3.46091,TRUE
"E000298","Ron Estes","Estes","KS",4,FALSE,FALSE,34729,83.0747,6.91929,0.647874,1.25256,4.30476,3.80086,TRUE
"C001108","James Comer","Comer","KY",1,FALSE,FALSE,15829,79.8724,11.9527,0.644387,0.619117,3.80315,3.10822,TRUE
"G000558","Brett Guthrie","Guthrie","KY",2,FALSE,FALSE,30592,84.3717,6.11925,0.702798,1.27157,4.26909,3.26556,TRUE
"M001220","Morgan McGarvey","McGarvey","KY",3,FALSE,FALSE,3899,93.7676,0.179533,0.820723,0.128238,2.33393,2.76994,TRUE
"M001184","Thomas Massie","Massie","KY",4,FALSE,FALSE,10201,79.9235,11.6067,0.627389,0.352907,4.55838,2.93109,TRUE
"R000395","Harold Rogers","Rogers","KY",5,FALSE,FALSE,289242,72.347,18.0465,0.6925,0.755077,4.45613,3.70278,TRUE
"B001282","Andy Barr","Barr","KY",6,FALSE,FALSE,42818,79.5553,11.5372,0.719324,1.02761,3.5359,3.62464,TRUE
"S001176","Steve Scalise","Scalise","LA",1,FALSE,FALSE,3175,90.5197,0.661417,0.850394,0.188976,2.3622,5.41732,TRUE
"C001125","Troy A. Carter","Carter","LA",2,TRUE,FALSE,364355,55.7264,34.4938,0.587888,0.732802,5.0599,3.39916,TRUE
"H001077","Clay Higgins","Higgins","LA",3,FALSE,FALSE,75781,81.2724,10.4116,0.683549,0.467136,3.78459,3.38079,TRUE
"J000299","Mike Johnson","Johnson","LA",4,FALSE,FALSE,1858234,56.7854,33.5641,0.707984,0.880675,4.72432,3.33752,TRUE
"L000595","Julia Letlow","Letlow","LA",5,FALSE,FALSE,237,55.6962,30.3797,0.843882,2.53165,6.75105,3.79747,TRUE
"G000577","Garret Graves","Graves","LA",6,FALSE,FALSE,80533,67.2445,23.0763,0.560019,0.72641,4.71608,3.67675,TRUE
"N000015","Richard E. Neal","Neal","MA",1,FALSE,FALSE,87995,59.2181,31.2688,0.60458,0.664811,4.96278,3.28087,TRUE
"M000312","James P. McGovern","McGovern","MA",2,FALSE,FALSE,16354,92.7908,0.544209,0.819371,0.189556,2.36028,3.29583,TRUE
"T000482","Lori Trahan","Trahan","MA",3,FALSE,TRUE,13462,83.4646,9.54539,0.371416,0.757688,2.89704,2.9639,TRUE
"A000148","Jake Auchincloss","Auchincloss","MA",4,FALSE,FALSE,125,94.4,0.8,0.8,0,0,4,TRUE
"C001101","Katherine M. Clark","Clark","MA",5,FALSE,FALSE,539661,71.9776,18.4516,0.690248,0.930399,4.43427,3.51591,TRUE
"M001196","Seth Moulton","Moulton","MA",6,FALSE,FALSE,11687,85.548,6.0409,0.770086,0.530504,3.82476,3.2857,TRUE
"P000617","Ayanna Pressley","Pressley","MA",7,TRUE,FALSE,12622,51.846,40.0491,0.411979,0.32483,4.56346,2.80463,TRUE
"L000562","Stephen F. Lynch","Lynch","MA",8,FALSE,FALSE,114010,79.5009,11.5946,0.763968,0.958688,3.62951,3.55232,TRUE
"K000375","William R. Keating","Keating","MA",9,FALSE,FALSE,16220,91.7941,1.20838,0.930949,0.351418,2.63872,3.07645,TRUE
"H001052","Andy Harris","Harris","MD",1,FALSE,FALSE,603371,49.2274,41.0366,0.618028,0.623166,5.18785,3.30692,TRUE
"R000576","C. A. Dutch Ruppersberger","Ruppersberger","MD",2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"S001168","John P. Sarbanes","Sarbanes","MD",3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"I000058","Glenn Ivey","Ivey","MD",4,TRUE,FALSE,22405,68.7659,21.9683,0.620397,0.807855,4.45883,3.37871,TRUE
"H000874","Steny H. Hoyer","Hoyer","MD",5,FALSE,FALSE,3300,87.9091,1.90909,1.0303,0.0606061,3.66667,5.42424,TRUE
"T000483","David J. Trone","Trone","MD",6,FALSE,FALSE,1191,80.1847,10.9992,0.671704,1.51134,3.61041,3.02267,TRUE
"M000687","Kweisi Mfume","Mfume","MD",7,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
