"bioguide","black","hisp","matched","pop_total","pop_black_low_pct","r_white","r_black","r_api","r_aian","r_2prace","r_hisp","truth","bisg","surname","geo"
"C000537",TRUE,FALSE,TRUE,736925,47.9832,305965,353600,11425,1270,17550,47110,"black","black","black","black"
"C001039",FALSE,FALSE,TRUE,779880,15.9819,515615,124640,23185,1000,23015,92420,"other","other","other","other"
"C001051",FALSE,FALSE,TRUE,810685,7.47948,483835,60635,43090,1060,31740,190330,"other","other","other","other"
"C001053",FALSE,FALSE,TRUE,798640,7.1916,535455,57435,20810,37625,64160,83155,"other","other","other","other"
"C001054",FALSE,FALSE,TRUE,724285,26.355,470640,190885,11360,4245,18875,28290,"other","other","other","other"
"C001055",FALSE,FALSE,TRUE,722335,1.97208,109390,14245,412985,735,125705,59285,"other","other","other","other"
"C001059",FALSE,TRUE,TRUE,757750,4.52788,146080,34310,72430,2880,14620,487435,"hisp","hisp","other","hisp"
"C001061",TRUE,FALSE,TRUE,769210,22.2872,462090,171435,17750,1295,29370,87270,"black","other","other","other"
"C001063",FALSE,TRUE,TRUE,774350,4.33202,143010,33545,7710,595,8955,580540,"hisp","hisp","hisp","hisp"
"C001066",FALSE,FALSE,TRUE,776345,17.2881,375365,134215,27435,560,24725,214045,"other","other","other","other"
"C001067",TRUE,FALSE,TRUE,749195,43.6595,253020,327095,64130,650,19270,85030,"black","black","other","black"
"C001068",FALSE,FALSE,TRUE,763445,62.0883,187720,474010,14610,380,14715,72015,"other","other","other","black"
"C001069",FALSE,FALSE,TRUE,716835,3.45826,572505,24790,25600,1515,21830,70595,"other","other","other","other"
"C001072",TRUE,FALSE,TRUE,750005,32.9051,348265,246790,14750,380,28730,111085,"black","black","other","other"
"C001078",FALSE,FALSE,TRUE,781650,8.61063,391730,67305,175215,805,32735,113855,"other","other","other","other"
"C001080",FALSE,FALSE,TRUE,745250,3.87991,205490,28915,284960,1570,25135,199175,"other","other","other","other"
"C001087",FALSE,FALSE,TRUE,753520,16.8901,565895,127270,5710,1675,22145,30830,"other","other","other","other"
"C001090",FALSE,FALSE,TRUE,765140,6.1577,576595,47115,15645,420,16840,108525,"other","other","other","other"
"C001091",FALSE,TRUE,TRUE,784135,5.67249,141130,44480,27820,995,15955,553755,"hisp","hisp","hisp","hisp"
"C001097",FALSE,TRUE,TRUE,737545,3.92722,154740,28965,59495,1160,13935,479260,"hisp","hisp","hisp","hisp"
"C001101",FALSE,FALSE,TRUE,773885,5.12156,518215,39635,105280,1130,23345,86280,"other","other","other","other"
"C001103",FALSE,FALSE,TRUE,778015,28.7237,449955,223475,15245,870,26300,62170,"other","black","other","other"
"C001108",FALSE,FALSE,TRUE,752660,6.84638,642700,51530,5720,910,22455,29345,"other","other","other","other"
"C001110",FALSE,TRUE,TRUE,756570,1.67532,113080,12675,121255,1005,12890,495660,"hisp","hisp","hisp","hisp"
"C001112",FALSE,TRUE,TRUE,758510,1.45219,389115,11015,36700,1525,24280,295875,"hisp","hisp","hisp","other"
"C001114",FALSE,FALSE,TRUE,818345,0.814449,647660,6665,23960,11910,26725,101420,"other","other","other","other"
"C001115",FALSE,FALSE,TRUE,771645,3.97916,295750,30705,12940,985,12185,419090,"other","other","other","hisp"
"C001116",FALSE,FALSE,TRUE,779430,10.126,505510,78925,47275,745,20670,126310,"other","other","other","other"
"C001117",FALSE,FALSE,TRUE,746605,4.99796,533740,37315,44515,225,15810,115005,"other","other","other","other"
"C001118",FALSE,FALSE,TRUE,786775,8.14083,622525,64050,13415,740,21540,64500,"other","other","other","other"
"C001119",FALSE,FALSE,TRUE,721630,6.20332,552855,44765,38460,1775,27615,56160,"other","other","other","other"
"C001120",FALSE,FALSE,TRUE,784435,11.4057,391565,89470,32625,680,21300,248795,"other","other","other","other"
"C001121",FALSE,FALSE,TRUE,723970,10.0101,417225,72470,42115,1925,28255,161985,"other","other","other","other"
"C001125",TRUE,FALSE,TRUE,761875,58.3665,204735,444680,19335,1350,20085,71685,"black","black","other","black"
"C001126",FALSE,FALSE,TRUE,785695,11.36,583000,89255,33140,475,31425,48400,"other","other","other","other"
"C001127",TRUE,FALSE,TRUE,777340,50.3448,157580,391350,21895,700,20245,185575,"black","black","other","black"
"C001129",FALSE,FALSE,TRUE,789055,23.7493,495450,187395,18380,745,21825,65255,"other","other","other","other"
"C001130",TRUE,FALSE,TRUE,771660,40.1725,138835,309995,24680,955,16565,280630,"black","black","other","black"
"C001131",FALSE,TRUE,TRUE,789040,11.7225,225940,92495,24165,965,20925,424545,"hisp","hisp","other","hisp"
"C001132",FALSE,FALSE,TRUE,811585,2.39408,455000,19430,11190,156100,25535,144320,"other","other","other","other"
"C001134",FALSE,TRUE,TRUE,729515,1.91908,386785,14000,22585,1920,18815,285410,"hisp","hisp","hisp","other"
"C001135",FALSE,TRUE,TRUE,711305,1.0312,577870,7335,22195,2685,28725,72495,"hisp","other","other","other"
"D000032",TRUE,FALSE,TRUE,787875,6.36967,555685,50185,14815,435,14270,152485,"black","other","other","other"
"D000096",TRUE,FALSE,TRUE,737075,41.5412,228805,306190,63445,515,17570,120550,"black","black","other","black"
"D000216",FALSE,FALSE,TRUE,718780,13.1946,447555,94840,30800,385,19260,125940,"other","other","other","other"
"D000230",TRUE,FALSE,TRUE,750075,40.4013,360230,303040,7315,4070,20885,54535,"black","black","other","other"
"D000399",FALSE,FALSE,TRUE,770625,6.50576,408895,50135,70600,1000,25305,214695,"other","other","other","other"
"D000530",FALSE,FALSE,TRUE,757490,7.20736,639170,54595,24265,235,20755,18475,"other","other","other","other"
"D000594",FALSE,TRUE,TRUE,776235,1.22192,119205,9485,9960,550,5020,632015,"hisp","hisp","hisp","hisp"
"D000600",FALSE,TRUE,TRUE,783325,5.21303,152880,40835,7705,315,5400,576190,"hisp","hisp","hisp","hisp"
"D000615",FALSE,FALSE,TRUE,740360,17.0093,539045,125930,7550,1405,22035,44390,"other","other","other","other"
"D000616",FALSE,FALSE,TRUE,784470,8.9825,605905,70465,15640,630,26195,65630,"other","other","other","other"
"D000617",FALSE,FALSE,TRUE,773260,2.49011,471635,19255,160710,2910,39055,79690,"other","other","other","other"
"D000623",FALSE,FALSE,TRUE,756740,5.1821,368845,39215,171180,1285,40425,135790,"other","other","other","other"
"D000626",FALSE,FALSE,TRUE,784950,13.1327,594080,103085,22225,360,27280,37920,"other","other","other","other"
"D000628",FALSE,FALSE,TRUE,781280,22.8676,503330,178660,15590,1715,25110,56875,"other","other","other","other"
"D000629",FALSE,FALSE,TRUE,738535,4.69037,571340,34640,34340,1210,22270,74740,"other","other","other","other"
"D000631",FALSE,FALSE,TRUE,768425,8.09643,593070,62215,44810,345,20335,47655,"other","other","other","other"
"D000632",FALSE,TRUE,TRUE,772035,17.8975,390995,138175,59220,385,14930,168330,"hisp","other","other","other"
"D000633",FALSE,TRUE,TRUE,779050,2.8631,172010,22305,53065,1995,17805,511860,"hisp","hisp","hisp","hisp"
"E000071",FALSE,FALSE,TRUE,774750,13.7509,353090,106535,28085,1210,20325,265500,"other","other","other","other"
"E000215",FALSE,FALSE,TRUE,745880,2.06803,323960,15425,228335,925,32040,145200,"other","other","other","other"
"E000235",FALSE,FALSE,TRUE,743355,22.3359,502865,166035,10765,975,22480,40235,"other","other","other","other"
"E000246",FALSE,FALSE,TRUE,752085,3.5129,633320,26420,7330,9530,17500,57990,"other","other","other","other"
"E000294",FALSE,FALSE,TRUE,724855,4.70163,618275,34080,21960,1775,21685,27090,"other","other","other","other"
"E000296",TRUE,FALSE,TRUE,759250,52.4313,244235,398085,45945,1385,25755,43840,"black","black","other","black"
"E000297",TRUE,TRUE,TRUE,786215,24.3127,128075,191150,42935,995,17855,405210,"black","hisp","hisp","hisp"
"E000298",FALSE,FALSE,TRUE,734890,6.06894,527630,44600,24890,3775,32215,101780,"other","other","other","other"
"E000299",FALSE,TRUE,TRUE,772425,3.0223,92025,23345,10615,2050,9625,634765,"hisp","hisp","hisp","hisp"
"F000246",FALSE,FALSE,TRUE,795940,8.83484,485325,70320,95490,2450,24080,118270,"other","other","other","other"
"F000446",FALSE,FALSE,TRUE,795590,1.88476,663230,14995,18400,2310,17650,79010,"other","other","other","other"
"F000450",FALSE,FALSE,TRUE,749230,11.7454,555815,88000,10500,1220,16740,76955,"other","other","black","other"
"F000454",FALSE,FALSE,TRUE,750920,6.02461,481095,45240,63375,345,15665,145200,"other","other","other","other"
"F000459",FALSE,FALSE,TRUE,778340,10.0162,620750,77960,11045,765,21000,46820,"other","other","other","other"
"F000462",FALSE,FALSE,TRUE,773300,17.6781,384695,136705,21675,490,14605,215135,"other","other","other","other"
"F000465",FALSE,FALSE,TRUE,775230,23.6904,504540,183655,16100,640,20750,49545,"other","other","other","other"
"F000466",FALSE,FALSE,TRUE,764830,3.73089,620730,28535,46315,240,19850,49155,"other","other","other","other"
"F000468",FALSE,FALSE,TRUE,791070,20.0987,218255,158995,150195,925,18980,243715,"other","black","other","hisp"
"F000469",FALSE,FALSE,TRUE,957700,0.675055,788060,6465,11015,7290,28650,116225,"other","other","other","other"
"F000470",FALSE,FALSE,TRUE,714085,1.47461,637445,10530,7970,4515,15045,38575,"other","other","other","other"
"F000471",FALSE,FALSE,TRUE,740020,1.67293,644305,12380,21690,820,15420,45400,"other","other","other","other"
"F000472",FALSE,FALSE,TRUE,800215,13.0784,437835,104655,13055,1850,15930,226895,"other","other","other","other"
"F000474",FALSE,FALSE,TRUE,656585,3.12298,519510,20505,18375,2175,21690,74335,"other","other","other","other"
"F000475",FALSE,FALSE,TRUE,713895,3.78627,596615,27030,20835,1550,15325,52540,"other","other","other","other"
"F000476",TRUE,TRUE,TRUE,787490,26.0086,289345,204815,38715,790,20020,233800,"black","other","other","other"
"F000477",TRUE,FALSE,TRUE,752245,24.8922,405175,187250,32630,1570,25080,100545,"black","other","other","other"
"F000478",FALSE,FALSE,TRUE,749305,26.1816,485240,196180,8200,2445,18750,38490,"other","other","other","other"
"G000061",FALSE,TRUE,TRUE,744880,10.4567,249130,77890,68630,1930,22600,324695,"hisp","hisp","hisp","hisp"
"G000377",FALSE,FALSE,TRUE,789130,12.0208,443065,94860,33435,1385,21860,194520,"other","other","other","other"
"G000546",FALSE,FALSE,TRUE,771230,3.57481,680835,27570,10330,1435,20090,30970,"other","other","other","other"
"G000551",FALSE,TRUE,TRUE,804460,3.48308,238885,28020,15300,22020,17090,483145,"hisp","hisp","hisp","hisp"
"G000553",TRUE,FALSE,TRUE,760230,35.8885,103880,272835,73945,880,14330,294360,"black","black","other","hisp"
"G000558",FALSE,FALSE,TRUE,759615,5.14932,647980,39115,15685,840,22115,33880,"other","other","other","other"
"G000565",FALSE,FALSE,TRUE,836315,4.17068,486415,34880,18200,9485,27640,259700,"other","other","other","other"
"G000568",FALSE,FALSE,TRUE,783050,5.71611,686990,44760,12605,740,13890,24065,"other","other","other","other"
"G000574",FALSE,TRUE,TRUE,803590,10.1613,161420,81655,18995,13790,19740,507990,"hisp","hisp","hisp","hisp"
"G000576",FALSE,FALSE,TRUE,736605,1.93048,644270,14220,19715,1790,15635,40980,"other","other","other","other"
"G000577",FALSE,FALSE,TRUE,786370,23.7337,500800,186635,18205,3195,20910,56630,"other","other","other","other"
"G000578",FALSE,FALSE,TRUE,781770,12.8305,557695,100305,22010,1430,38370,61955,"other","other","other","other"
"G000579",FALSE,FALSE,TRUE,738825,1.51863,629405,11220,17640,12845,20970,46750,"other","other","other","other"
"G000581",FALSE,TRUE,TRUE,773650,0.524785,61655,4060,4375,830,2155,700570,"hisp","hisp","hisp","hisp"
"G000585",FALSE,TRUE,TRUE,753345,4.17339,86050,31440,130320,1615,14275,489645,"hisp","hisp","hisp","hisp"
"G000586",FALSE,TRUE,TRUE,733800,4.65863,178130,34185,31495,195,6340,483450,"hisp","hisp","hisp","hisp"
"G000587",FALSE,TRUE,TRUE,757250,13.3516,63245,101105,19115,580,5445,567765,"hisp","hisp","hisp","hisp"
"G000589",FALSE,FALSE,TRUE,787200,14.7205,375250,115880,34605,1485,22285,237695,"other","black","black","other"
"G000590",FALSE,FALSE,TRUE,777490,15.9147,547280,123735,16250,1085,27835,61295,"other","other","other","other"
"G000591",FALSE,FALSE,TRUE,738315,34.0593,437665,251465,8605,7145,13000,20430,"other","other","other","other"
"G000592",FALSE,FALSE,TRUE,687720,1.41627,639545,9740,5595,4280,16035,12530,"other","other","other","other"
"G000593",FALSE,TRUE,TRUE,764595,9.33174,126100,71350,11460,585,7815,547280,"hisp","hisp","hisp","hisp"
"G000594",FALSE,TRUE,TRUE,757760,3.5473,218505,26880,18385,2135,14010,477850,"hisp","hisp","hisp","hisp"
"G000595",FALSE,FALSE,TRUE,792935,20.4809,555220,162400,16305,890,22910,35205,"other","other","other","other"
"G000596",FALSE,FALSE,TRUE,775150,13.8031,533455,106995,9735,420,21840,102705,"other","other","other","other"
"G000597",FALSE,FALSE,TRUE,774680,9.83438,434035,76185,25460,1295,13435,224270,"other","other","other","other"
"G000598",FALSE,TRUE,TRUE,744570,5.87923,139550,43775,57720,1360,14655,487515,"hisp","hisp","hisp","hisp"
"G000599",FALSE,FALSE,TRUE,732690,6.17724,377180,45260,144740,1060,23260,141195,"other","other","other","other"
"G000600",FALSE,TRUE,TRUE,779565,1.59961,603495,12470,32330,4040,38050,89180,"hisp","hisp","hisp","other"
"H000874",FALSE,FALSE,TRUE,782750,40.3973,348190,316210,23160,1160,35390,58640,"other","other","other","other"
"H001038",FALSE,FALSE,TRUE,771795,15.6674,523640,120920,43210,2185,25130,56710,"other","other","other","other"
"H001047",FALSE,FALSE,TRUE,722755,11.1407,420620,80520,43985,650,15130,161850,"other","other","other","other"
"H001052",FALSE,FALSE,TRUE,776905,14.9954,571910,116500,17940,380,25330,44840,"other","other","other","other"
"H001058",FALSE,FALSE,TRUE,775910,7.99384,596950,62025,19300,1450,27385,68795,"other","other","other","other"
"H001066",TRUE,FALSE,TRUE,798540,15.5897,304345,124490,49105,4130,36335,280145,"black","black","black","other"
"H001067",FALSE,FALSE,TRUE,754470,22.7935,425825,171970,14640,10225,33060,98750,"other","other","other","other"
"H001068",FALSE,FALSE,TRUE,758160,1.62367,513240,12310,32100,10095,34125,156290,"other","other","other","other"
"H001072",FALSE,FALSE,TRUE,755025,20.5112,517490,154865,12290,1700,22550,46135,"other","other","other","other"
"H001077",FALSE,FALSE,TRUE,768210,23.9876,507085,184275,11975,1820,22670,40395,"other","other","other","other"
"H001081",TRUE,FALSE,TRUE,722495,8.16961,458605,59025,30485,440,22020,151920,"black","other","other","other"
"H001082",FALSE,FALSE,TRUE,799565,8.50838,485910,68030,28510,41675,62720,112720,"other","other","other","other"
"H001085",FALSE,FALSE,TRUE,771480,4.98522,545750,38460,38355,195,20545,128175,"other","other","other","other"
"H001086",FALSE,FALSE,TRUE,775140,2.11188,694470,16370,7135,925,17280,38955,"other","other","other","other"
"H001090",FALSE,FALSE,TRUE,767050,6.83593,227950,52435,133180,2005,28360,323125,"other","other","other","hisp"
"H001091",FALSE,FALSE,TRUE,795075,3.95623,695975,31455,13970,1960,20620,31090,"other","other","other","other"
"H001093",FALSE,FALSE,TRUE,756630,2.62612,670130,19870,14440,310,19835,32045,"other","other","other","other"
"H001094",FALSE,FALSE,TRUE,707400,0.884931,577095,6260,19720,6000,33590,64730,"other","other","other","other"
"H001095",TRUE,FALSE,TRUE,775445,10.3902,389505,80570,77130,745,21640,205850,"black","other","other","other"
"H001096",FALSE,FALSE,TRUE,579760,0.821892,484085,4765,5175,9845,15305,60580,"other","other","other","other"
"I000056",FALSE,FALSE,TRUE,759865,2.93934,418560,22335,52315,4385,33470,228800,"other","other","other","other"
"I000058",TRUE,FALSE,TRUE,758555,55.4001,80660,420240,37635,1365,20380,198275,"black","black","other","black"
"J000032",TRUE,FALSE,TRUE,772610,31.9145,129415,246575,38450,1240,16090,340835,"black","black","other","hisp"
"J000288",TRUE,FALSE,TRUE,770385,54.0788,201185,416615,43660,680,22620,85620,"black","black","other","black"
"J000289",FALSE,FALSE,TRUE,792205,4.43825,687270,35160,23295,600,25000,20880,"other","other","other","other"
"J000292",FALSE,FALSE,TRUE,781400,6.08139,684190,47520,4610,425,19230,25425,"other","other","other","other"
"J000294",TRUE,FALSE,TRUE,769905,44.1749,218460,340105,61535,1440,20560,127805,"black","black","other","black"
"J000295",FALSE,FALSE,TRUE,785285,4.92942,691685,38710,8415,480,19755,26240,"other","other","other","other"
"J000299",FALSE,FALSE,TRUE,768800,34.1201,436955,262315,8375,3790,21125,36240,"other","black","other","other"
"J000301",FALSE,FALSE,TRUE,899195,2.16861,729255,19500,12960,66415,29785,41280,"other","other","other","other"
"J000302",FALSE,FALSE,TRUE,764625,2.26124,697150,17290,5160,405,15835,28785,"other","other","other","other"
"J000304",FALSE,FALSE,TRUE,773845,6.61825,458745,51215,19655,2485,20810,220925,"other","other","black","other"
"J000305",FALSE,FALSE,TRUE,761280,5.88483,358015,44800,125455,1155,38850,193015,"other","other","other","other"
"J000307",TRUE,FALSE,TRUE,770400,13.3327,566575,102715,50450,995,25630,24040,"black","other","other","other"
"J000308",FALSE,FALSE,TRUE,760425,20.6411,427820,156960,42515,1285,27465,104375,"other","black","black","other"
"J000309",TRUE,FALSE,TRUE,748580,48.8097,278315,365380,15630,625,17540,71095,"black","black","black","black"
"K000009",FALSE,FALSE,TRUE,783015,11.9385,595730,93480,10935,630,23995,58230,"other","other","other","other"
"K000375",FALSE,FALSE,TRUE,782835,3.40557,675705,26660,12735,1445,18620,47670,"other","other","other","other"
"K000376",FALSE,FALSE,TRUE,763500,4.08579,682650,31195,9600,410,18405,21245,"other","other","other","other"
"K000381",FALSE,FALSE,TRUE,776085,3.28766,581750,25515,35850,10455,51900,70615,"other","other","other","other"
"K000382",FALSE,FALSE,TRUE,693640,1.3631,617910,9455,18080,685,16960,30550,"other","other","other","other"
"K000385",TRUE,FALSE,TRUE,743575,46.5205,257835,345915,7890,350,17800,113780,"black","black","other","black"
"K000388",FALSE,FALSE,TRUE,743080,28.0946,481340,208765,6930,775,16200,29065,"other","other","other","other"
"K000389",FALSE,FALSE,TRUE,745400,2.12101,159030,15810,424930,1565,24270,119790,"other","other","other","other"
"K000394",FALSE,FALSE,TRUE,779285,12.3831,501405,96500,63160,145,23420,94655,"other","other","other","other"
"K000397",FALSE,FALSE,TRUE,754185,1.72106,371405,12980,150715,845,31025,187215,"other","other","other","other"
"K000398",FALSE,FALSE,TRUE,777100,5.18916,553115,40325,63965,370,18160,101160,"other","other","other","other"
"K000399",FALSE,FALSE,TRUE,785995,22.2482,471860,174870,41950,895,35165,61260,"other","other","other","other"
"K000400",TRUE,FALSE,TRUE,747050,22.8211,98790,170485,49120,855,18225,409575,"black","black","other","hisp"
"K000401",FALSE,FALSE,TRUE,770955,1.64796,546205,12705,61075,4415,32165,114400,"other","other","other","other"
"L000266",FALSE,FALSE,TRUE,732030,8.08915,525660,59215,14460,3945,32005,96750,"other","other","other","other"
"L000273",FALSE,TRUE,TRUE,700645,1.17963,248140,8265,8195,120595,15450,300000,"hisp","hisp","hisp","hisp"
"L000397",FALSE,FALSE,TRUE,756540,2.07986,140400,15735,87290,1130,16645,495340,"other","other","other","hisp"
"L000491",FALSE,FALSE,TRUE,797955,4.81355,495300,38410,15255,35030,48170,165785,"other","other","other","other"
"L000551",TRUE,FALSE,TRUE,746725,15.4515,256365,115380,155595,2010,41100,176275,"black","other","other","other"
"L000557",FALSE,FALSE,TRUE,717480,14.7224,421260,105630,42400,410,17425,130360,"other","other","other","other"
"L000560",FALSE,FALSE,TRUE,775730,2.72195,551180,21115,60055,9125,38460,95785,"other","other","other","other"
"L000562",FALSE,FALSE,TRUE,777305,12.1484,532840,94430,75170,875,19285,54700,"other","other","other","other"
"L000564",FALSE,FALSE,TRUE,726910,5.66851,490615,41205,22640,1745,36655,134050,"other","other","other","other"
"L000566",FALSE,FALSE,TRUE,786315,3.71352,669310,29200,7745,625,20265,59170,"other","other","other","other"
"L000569",FALSE,FALSE,TRUE,775775,4.70111,672445,36470,17550,805,21715,26785,"other","other","other","other"
"L000578",FALSE,FALSE,TRUE,762485,1.84528,484255,14070,45705,8600,33655,176200,"other","other","other","other"
"L000582",FALSE,FALSE,TRUE,737415,3.88384,407025,28640,139155,1230,41525,119845,"other","other","other","other"
"L000583",FALSE,FALSE,TRUE,779390,17.1981,487250,134040,30565,490,24270,102780,"other","other","other","other"
"L000585",FALSE,FALSE,TRUE,750035,2.52655,645435,18950,17805,355,14965,52530,"other","other","other","other"
"L000589",FALSE,FALSE,TRUE,796520,3.96977,516680,31620,39105,7555,30570,170985,"other","other","other","other"
"L000590",FALSE,FALSE,TRUE,795280,10.1455,350205,80685,142385,2745,44805,174455,"other","other","other","other"
"L000593",FALSE,TRUE,TRUE,754910,2.43738,436490,18400,54190,1415,34590,209825,"hisp","other","other","other"
"L000595",FALSE,FALSE,TRUE,770235,34.2421,452375,263745,6275,2290,17445,28105,"other","black","other","other"
"L000596",FALSE,TRUE,TRUE,768305,6.94125,579290,53330,29275,790,19790,85830,"hisp","hisp","hisp","other"
"L000597",FALSE,FALSE,TRUE,799270,13.9803,411270,111740,42560,725,22390,210585,"other","other","other","other"
"L000599",FALSE,FALSE,TRUE,775105,7.51189,507725,58225,37930,525,13525,157180,"other","other","other","other"
"L000600",FALSE,FALSE,TRUE,772645,2.36266,698995,18255,7420,4080,14670,29225,"other","other","other","other"
"L000601",FALSE,FALSE,TRUE,788975,18.7477,545550,147915,34675,370,25095,35360,"other","other","other","other"
"L000602",TRUE,FALSE,TRUE,761240,14.8981,569635,113410,30205,565,24955,22465,"black","other","other","other"
"L000603",FALSE,FALSE,TRUE,800565,12.6117,370805,100965,48320,1450,22285,256735,"other","other","other","other"
"M000194",FALSE,FALSE,TRUE,748350,17.7303,517460,132685,13995,900,22130,61180,"other","other","other","other"
"M000312",FALSE,FALSE,TRUE,776260,4.89784,573285,38020,55500,555,19900,89000,"other","other","other","other"
"M000871",FALSE,FALSE,TRUE,732110,2.54333,556500,18620,14065,3705,22980,116245,"other","other","other","other"
"M001135",FALSE,FALSE,TRUE,750505,30.7926,385980,231100,31120,1405,25485,75415,"other","other","other","other"
"M001136",FALSE,FALSE,TRUE,775195,2.48776,696615,19285,10280,965,17855,30195,"other","other","other","other"
"M001137",TRUE,FALSE,TRUE,792000,43.7986,116240,346885,144570,4645,16955,162705,"black","black","other","black"
"M001143",FALSE,FALSE,TRUE,706100,10.4213,452730,73585,94395,2310,30545,52535,"other","other","other","other"
"M001156",FALSE,FALSE,TRUE,757805,9.60735,584140,72805,17365,880,21675,60940,"other","other","other","other"
"M001157",FALSE,FALSE,TRUE,780440,10.0085,446125,78110,40920,905,19900,194475,"other","other","other","other"
