"id","part","x","y","city"
10,1,29.741,12.766,"Cleveland"
10,1,29.759,12.76,"Cleveland"
10,1,29.777,12.752,"Cleveland"
10,1,29.789,12.745,"Cleveland"
10,1,29.802,12.735,"Cleveland"
10,1,29.817,12.722,"Cleveland"
10,1,29.847,12.688,"Cleveland"
10,1,29.863,12.655,"Cleveland"
10,1,29.864,12.652,"Cleveland"
10,1,29.875,12.62,"Cleveland"
10,1,29.883,12.586,"Cleveland"
10,1,29.888,12.556,"Cleveland"
10,1,29.889,12.522,"Cleveland"
10,1,29.707,12.574,"Cleveland"
10,1,29.621,12.598,"Cleveland"
10,1,29.536,12.621,"Cleveland"
10,1,29.505,12.63,"Cleveland"
10,1,29.505,12.841,"Cleveland"
10,1,29.515,12.841,"Cleveland"
11,1,29.525,11.877,"Cleveland"
11,1,29.558,11.876,"Cleveland"
11,1,29.556,11.732,"Cleveland"
11,1,29.555,11.645,"Cleveland"
11,1,29.555,11.569,"Cleveland"
11,1,29.554,11.485,"Cleveland"
11,1,29.552,11.387,"Cleveland"
11,1,29.551,11.286,"Cleveland"
11,1,29.551,11.175,"Cleveland"
11,1,29.505,11.175,"Cleveland"
11,1,29.505,11.877,"Cleveland"
11,1,29.525,11.877,"Cleveland"
12,1,29.536,12.621,"Cleveland"
12,1,29.621,12.598,"Cleveland"
12,1,29.707,12.574,"Cleveland"
12,1,29.889,12.522,"Cleveland"
12,1,30.068,12.471,"Cleveland"
12,1,30.18,12.44,"Cleveland"
12,1,30.25,12.419,"Cleveland"
12,1,30.25,12.281,"Cleveland"
12,1,30.212,12.28,"Cleveland"
12,1,30.179,12.28,"Cleveland"
12,1,30.103,12.28,"Cleveland"
12,1,30.045,12.279,"Cleveland"
12,1,30.025,12.292,"Cleveland"
12,1,30.002,12.302,"Cleveland"
12,1,29.96,12.302,"Cleveland"
12,1,29.964,12.295,"Cleveland"
12,1,29.964,12.241,"Cleveland"
12,1,29.961,11.877,"Cleveland"
12,1,29.96,11.817,"Cleveland"
12,1,29.958,11.798,"Cleveland"
12,1,29.952,11.77,"Cleveland"
12,1,29.948,11.738,"Cleveland"
12,1,29.947,11.642,"Cleveland"
12,1,29.945,11.383,"Cleveland"
12,1,29.951,11.348,"Cleveland"
12,1,29.96,11.31,"Cleveland"
12,1,29.973,11.278,"Cleveland"
12,1,29.987,11.257,"Cleveland"
12,1,30.002,11.234,"Cleveland"
12,1,30.019,11.21,"Cleveland"
12,1,29.995,11.19,"Cleveland"
12,1,29.979,11.179,"Cleveland"
12,1,29.965,11.177,"Cleveland"
12,1,29.904,11.177,"Cleveland"
12,1,29.854,11.177,"Cleveland"
12,1,29.767,11.176,"Cleveland"
12,1,29.689,11.176,"Cleveland"
12,1,29.633,11.175,"Cleveland"
12,1,29.621,11.175,"Cleveland"
12,1,29.551,11.175,"Cleveland"
12,1,29.551,11.286,"Cleveland"
12,1,29.552,11.387,"Cleveland"
12,1,29.554,11.485,"Cleveland"
12,1,29.555,11.569,"Cleveland"
12,1,29.555,11.645,"Cleveland"
12,1,29.556,11.732,"Cleveland"
12,1,29.558,11.876,"Cleveland"
12,1,29.525,11.877,"Cleveland"
12,1,29.505,11.877,"Cleveland"
12,1,29.505,12.63,"Cleveland"
12,1,29.536,12.621,"Cleveland"
13,1,29.948,11.738,"Cleveland"
13,1,29.952,11.77,"Cleveland"
13,1,29.958,11.798,"Cleveland"
13,1,29.96,11.817,"Cleveland"
13,1,29.961,11.877,"Cleveland"
13,1,29.964,12.241,"Cleveland"
13,1,29.964,12.295,"Cleveland"
13,1,29.96,12.302,"Cleveland"
13,1,30.002,12.302,"Cleveland"
13,1,30.025,12.292,"Cleveland"
13,1,30.045,12.279,"Cleveland"
13,1,30.103,12.28,"Cleveland"
13,1,30.179,12.28,"Cleveland"
13,1,30.212,12.28,"Cleveland"
13,1,30.25,12.281,"Cleveland"
13,1,30.25,12.419,"Cleveland"
13,1,30.307,12.403,"Cleveland"
13,1,30.429,12.368,"Cleveland"
13,1,30.52,12.343,"Cleveland"
13,1,30.532,12.339,"Cleveland"
13,1,30.612,12.316,"Cleveland"
13,1,30.632,12.311,"Cleveland"
13,1,30.711,12.288,"Cleveland"
13,1,30.716,11.881,"Cleveland"
13,1,30.724,11.881,"Cleveland"
13,1,30.723,11.754,"Cleveland"
13,1,30.722,11.649,"Cleveland"
13,1,30.722,11.544,"Cleveland"
13,1,30.721,11.439,"Cleveland"
13,1,30.72,11.326,"Cleveland"
13,1,30.72,11.221,"Cleveland"
13,1,30.719,11.118,"Cleveland"
13,1,30.603,11.119,"Cleveland"
13,1,30.438,11.118,"Cleveland"
13,1,30.419,11.118,"Cleveland"
13,1,30.386,11.118,"Cleveland"
13,1,30.343,11.106,"Cleveland"
13,1,30.313,11.104,"Cleveland"
13,1,30.234,11.106,"Cleveland"
13,1,30.207,11.109,"Cleveland"
13,1,30.17,11.115,"Cleveland"
13,1,30.145,11.124,"Cleveland"
13,1,30.112,11.137,"Cleveland"
13,1,30.075,11.16,"Cleveland"
13,1,30.055,11.175,"Cleveland"
13,1,30.038,11.191,"Cleveland"
13,1,30.019,11.21,"Cleveland"
13,1,30.002,11.234,"Cleveland"
13,1,29.987,11.257,"Cleveland"
13,1,29.973,11.278,"Cleveland"
13,1,29.96,11.31,"Cleveland"
13,1,29.951,11.348,"Cleveland"
13,1,29.945,11.383,"Cleveland"
13,1,29.947,11.642,"Cleveland"
13,1,29.948,11.738,"Cleveland"
14,1,30.729,12.283,"Cleveland"
14,1,30.818,12.257,"Cleveland"
14,1,30.828,12.254,"Cleveland"
14,1,30.922,12.226,"Cleveland"
14,1,30.927,12.225,"Cleveland"
14,1,31.028,12.195,"Cleveland"
14,1,31.124,12.168,"Cleveland"
14,1,31.13,12.166,"Cleveland"
14,1,31.223,12.137,"Cleveland"
14,1,31.237,12.134,"Cleveland"
14,1,31.342,12.103,"Cleveland"
14,1,31.346,12.102,"Cleveland"
14,1,31.442,12.075,"Cleveland"
14,1,31.524,12.054,"Cleveland"
14,1,31.614,12.032,"Cleveland"
14,1,31.707,12.009,"Cleveland"
14,1,31.731,12.002,"Cleveland"
14,1,31.841,11.973,"Cleveland"
14,1,31.946,11.946,"Cleveland"
14,1,31.945,11.558,"Cleveland"
14,1,31.834,11.559,"Cleveland"
14,1,31.725,11.56,"Cleveland"
14,1,31.602,11.561,"Cleveland"
