"city","id","label","grade","fill","area_km2","lx","ly"
"Cleveland",49,"B25","B","#7cb5bd",0.802,17.79,4.86
"Cleveland",50,"B26","B","#7cb5bd",0.695,9.33,1.81
"Cleveland",51,"B27","B","#7cb5bd",0.436,8.67,1.21
"Cleveland",52,"B28","B","#7cb5bd",0.184,36.53,4.17
"Cleveland",53,"B29","B","#7cb5bd",0.866,35.5,5.24
"Cleveland",54,"B3","B","#7cb5bd",0.399,10.82,12.7
"Cleveland",55,"B30","B","#7cb5bd",1.973,34.97,6.73
"Cleveland",56,"B31","B","#7cb5bd",1.419,29.94,7.66
"Cleveland",57,"B32","B","#7cb5bd",1.042,31.38,9.07
"Cleveland",58,"B33","B","#7cb5bd",1.23,34.91,10.83
"Cleveland",59,"B34","B","#7cb5bd",0.784,33.27,11.56
"Cleveland",60,"B35","B","#7cb5bd",0.659,31.71,13.7
"Cleveland",61,"B36","B","#7cb5bd",2.445,32.55,15.11
"Cleveland",62,"B37","B","#7cb5bd",2.639,32.54,16.07
"Cleveland",63,"B38","B","#7cb5bd",4.826,33.97,15.91
"Cleveland",64,"B39","B","#7cb5bd",4.937,35.08,19.19
"Cleveland",65,"B4","B","#7cb5bd",1.144,9.83,12.65
"Cleveland",66,"B40","B","#7cb5bd",0.956,34.96,15.42
"Cleveland",67,"B41","B","#7cb5bd",3.566,37.42,17.09
"Cleveland",68,"B42","B","#7cb5bd",0.938,36.55,18.75
"Cleveland",69,"B43","B","#7cb5bd",0.528,33.3,19.59
"Cleveland",70,"B44","B","#7cb5bd",1.848,30.42,21.97
"Cleveland",71,"B45","B","#7cb5bd",0.261,32.66,24.25
"Cleveland",72,"B46","B","#7cb5bd",0.495,34.13,25.76
"Cleveland",73,"B47","B","#7cb5bd",0.186,34.82,26.66
"Cleveland",74,"B48","B","#7cb5bd",0.277,35.56,22.29
"Cleveland",75,"B49","B","#7cb5bd",0.307,36.02,22.89
"Cleveland",76,"B5","B","#7cb5bd",1.289,10.62,11.7
"Cleveland",77,"B50","B","#7cb5bd",0.756,37.02,23.27
"Cleveland",78,"B51","B","#7cb5bd",0.359,38.37,24.41
"Cleveland",79,"B52","B","#7cb5bd",0.934,36.33,27.41
"Cleveland",80,"B53","B","#7cb5bd",0.793,37.91,28.95
"Cleveland",81,"B54","B","#7cb5bd",1.395,39.49,29.06
"Cleveland",82,"B55","B","#7cb5bd",0.339,29.38,12.83
"Cleveland",83,"B6","B","#7cb5bd",1.338,9.29,9.92
"Cleveland",84,"B7","B","#7cb5bd",1.492,12.48,9.32
"Cleveland",85,"B8","B","#7cb5bd",1.249,13.42,10.88
"Cleveland",86,"B9","B","#7cb5bd",0.971,14.03,11.87
"Cleveland",87,"C1","C","#ffff00",1.772,5.18,2.22
"Cleveland",88,"C10","C","#ffff00",0.599,15.03,13.11
"Cleveland",89,"C11","C","#ffff00",0.923,14.37,11.78
"Cleveland",90,"C12","C","#ffff00",3.162,11.42,8.89
"Cleveland",91,"C13","C","#ffff00",0.657,10.88,5.97
"Cleveland",92,"C14","C","#ffff00",1.239,12.65,1.11
"Cleveland",93,"C15","C","#ffff00",1.904,14.01,8.96
"Cleveland",94,"C16","C","#ffff00",2.865,15,9.56
"Cleveland",95,"C17","C","#ffff00",1.506,17.51,11.25
"Cleveland",96,"C18","C","#ffff00",1.589,16.43,11.82
"Cleveland",97,"C19","C","#ffff00",1.004,16.93,14.06
"Cleveland",98,"C2","C","#ffff00",1.667,8.2,0.91
"Cleveland",99,"C20","C","#ffff00",4.084,18.56,13.27
"Cleveland",100,"C21","C","#ffff00",1.733,20.64,13.75
"Cleveland",101,"C22","C","#ffff00",2.18,21.05,12.64
"Cleveland",102,"C23","C","#ffff00",1.534,20.42,11.32
"Cleveland",103,"C24","C","#ffff00",1.472,21.63,10.93
"Cleveland",104,"C25","C","#ffff00",0.69,22.56,10.45
"Cleveland",105,"C26","C","#ffff00",3.555,21.16,8.65
"Cleveland",106,"C27","C","#ffff00",2.621,20.79,7.9
"Cleveland",107,"C28","C","#ffff00",3.832,20.86,6.01
"Cleveland",108,"C29","C","#ffff00",4.429,22.44,4.67
"Cleveland",109,"C3","C","#ffff00",0.992,9.94,0.95
"Cleveland",110,"C30","C","#ffff00",3.194,20.94,3.59
"Cleveland",111,"C31","C","#ffff00",0.742,17.81,4.22
"Cleveland",112,"C32","C","#ffff00",1.939,16.41,2.35
"Cleveland",113,"C33","C","#ffff00",0.482,19.67,7.75
"Cleveland",114,"C34","C","#ffff00",1.051,37.08,2.35
"Cleveland",115,"C35","C","#ffff00",3.742,36.71,4.66
"Cleveland",116,"C36","C","#ffff00",1.278,34.59,3.96
"Cleveland",117,"C37","C","#ffff00",3.256,32.67,4.82
"Cleveland",118,"C38","C","#ffff00",0.373,32.2,6.67
"Cleveland",119,"C39","C","#ffff00",3.59,35.53,6.47
"Cleveland",120,"C4","C","#ffff00",0.578,8.81,1.9
"Cleveland",121,"C40","C","#ffff00",6.188,30.84,6.15
"Cleveland",122,"C41","C","#ffff00",1.491,28.45,8.31
"Cleveland",123,"C42","C","#ffff00",1.508,31.64,8.15
"Cleveland",124,"C43","C","#ffff00",1.845,33.69,8.39
"Cleveland",125,"C44","C","#ffff00",1.53,30.66,9.45
"Cleveland",126,"C45","C","#ffff00",0.578,28.52,9.01
"Cleveland",127,"C46","C","#ffff00",0.893,25.23,10.43
"Cleveland",128,"C47","C","#ffff00",0.722,26.95,10.83
"Cleveland",129,"C48","C","#ffff00",1.765,33.67,9.59
"Cleveland",130,"C49","C","#ffff00",5.11,30.8,10.98
"Cleveland",131,"C5","C","#ffff00",0.727,8.96,3.22
"Cleveland",132,"C50","C","#ffff00",1.163,32.46,12.25
"Cleveland",133,"C51","C","#ffff00",2.525,30.22,13.43
"Cleveland",134,"C52","C","#ffff00",1.653,30.8,14.74
"Cleveland",135,"C53","C","#ffff00",1.289,29.42,18.05
"Cleveland",136,"C54","C","#ffff00",1.811,28.12,18.28
"Cleveland",137,"C55","C","#ffff00",0.442,30.46,18.81
"Cleveland",138,"C56","C","#ffff00",2.091,30.78,20.6
"Cleveland",139,"C57","C","#ffff00",0.338,32.07,21.19
"Cleveland",140,"C58","C","#ffff00",1.27,32.01,20.1
"Cleveland",141,"C59","C","#ffff00",3.062,32.43,19.27
"Cleveland",142,"C6","C","#ffff00",2.113,8.71,10.37
"Cleveland",143,"C60","C","#ffff00",1.681,31.93,16.79
"Cleveland",144,"C61","C","#ffff00",2.723,37.69,18.75
"Cleveland",145,"C62","C","#ffff00",5.741,39.86,18.86
"Cleveland",146,"C63","C","#ffff00",3.084,42.16,18.7
"Cleveland",147,"C64","C","#ffff00",1.211,34.53,21.66
"Cleveland",148,"C65","C","#ffff00",1.115,35.93,23.38
"Cleveland",149,"C66","C","#ffff00",1.013,37.71,24.18
"Cleveland",150,"C67","C","#ffff00",2.752,33.8,24.59
"Cleveland",151,"C68","C","#ffff00",0.61,35.34,25.42
"Cleveland",152,"C69","C","#ffff00",0.237,34.71,26.06
"Cleveland",153,"C7","C","#ffff00",0.381,10.92,13.95
"Cleveland",154,"C70","C","#ffff00",3.313,37.12,26.86
"Cleveland",155,"C71","C","#ffff00",0.075,35.81,27.55
"Cleveland",156,"C72","C","#ffff00",0.234,36.79,28.3
"Cleveland",157,"C73","C","#ffff00",2.39,38.61,27.94
"Cleveland",158,"C74","C","#ffff00",2.057,47.96,7.93
"Cleveland",159,"C75","C","#ffff00",2.824,43.52,3.11
"Cleveland",160,"C76","C","#ffff00",1.033,38.03,1.19
"Cleveland",161,"C8","C","#ffff00",3.05,14.31,14.23
"Cleveland",162,"C9","C","#ffff00",1.139,16.12,14.17
"Cleveland",163,"D1","D","#d9838d",0.359,9.48,2.64
"Cleveland",164,"D10","D","#d9838d",0.252,32.55,8.47
"Cleveland",165,"D11","D","#d9838d",0.176,32.95,9.24
"Cleveland",166,"D12","D","#d9838d",2.574,30.92,11.71
"Cleveland",167,"D13","D","#d9838d",2.042,29.11,11.58
"Cleveland",168,"D14","D","#d9838d",1.504,28.27,9.58
"Cleveland",169,"D15","D","#d9838d",3.673,26.22,10.71
"Cleveland",170,"D16","D","#d9838d",2.674,25.96,12.89
"Cleveland",171,"D17","D","#d9838d",1.294,27.89,13.35
"Cleveland",172,"D18","D","#d9838d",4.803,25.66,15.05
"Cleveland",173,"D19","D","#d9838d",2.412,24.67,16.84
"Cleveland",174,"D2","D","#d9838d",1.049,15.7,8.02
"Cleveland",175,"D20","D","#d9838d",7.208,26.62,18.2
"Cleveland",176,"D21","D","#d9838d",4.615,28.37,14.86
"Cleveland",177,"D22","D","#d9838d",0.891,30.69,16.96
"Cleveland",178,"D23","D","#d9838d",4.961,29.62,19.4
"Cleveland",179,"D24","D","#d9838d",0.233,31.06,17.85
"Cleveland",180,"D25","D","#d9838d",3.456,33.25,22.56
"Cleveland",181,"D26","D","#d9838d",1.264,33.51,23.79
"Cleveland",182,"D27","D","#d9838d",0.503,36.43,25.4
"Cleveland",183,"D28","D","#d9838d",0.406,36.15,26.67
"Cleveland",184,"D3","D","#d9838d",1.946,17.96,11.2
"Cleveland",185,"D4","D","#d9838d",0.224,15.89,13.15
"Cleveland",186,"D5","D","#d9838d",2.654,21.46,14.65
"Cleveland",187,"D6","D","#d9838d",3.416,22.52,12.59
"Cleveland",188,"D7","D","#d9838d",0.322,38.52,1.4
"Cleveland",189,"D8","D","#d9838d",0.248,33.68,5.68
"Cleveland",190,"D9","D","#d9838d",0.261,32.39,7.95
