GEOID,state,city,grade,total,white,black,pct_black
06019002502,CA,Fresno,C,4657,631,200,4.29
06019002601,CA,Fresno,C,5736,874,188,3.28
06019002602,CA,Fresno,B,3359,959,108,3.22
06019002702,CA,Fresno,C,5594,827,179,3.2
06019003500,CA,Fresno,D,5734,2276,406,7.08
06019003600,CA,Fresno,A,4062,2176,141,3.47
06037101110,CA,Los Angeles,C,4926,3065,74,1.5
06037101220,CA,Los Angeles,C,3344,1901,42,1.26
06037101221,CA,Los Angeles,C,3444,2009,87,2.53
06037101222,CA,Los Angeles,C,2808,1551,94,3.35
06037101400,CA,Los Angeles,C,3898,2712,44,1.13
06037103401,CA,Los Angeles,C,2516,1704,38,1.51
06037103402,CA,Los Angeles,C,4075,2574,65,1.6
06037104321,CA,Los Angeles,D,3009,396,95,3.16
06037104701,CA,Los Angeles,D,4601,934,141,3.06
06037106114,CA,Los Angeles,C,6643,1158,255,3.84
06037124000,CA,Los Angeles,A,4786,3526,192,4.01
06037124102,CA,Los Angeles,C,3627,1497,206,5.68
06037124203,CA,Los Angeles,C,2450,818,66,2.69
06037124204,CA,Los Angeles,C,2753,961,144,5.23
06037124300,CA,Los Angeles,B,3830,1316,124,3.24
06037124500,CA,Los Angeles,B,2880,1851,148,5.14
06037124600,CA,Los Angeles,B,3223,2189,177,5.49
06037124700,CA,Los Angeles,B,5343,3788,338,6.33
06037124903,CA,Los Angeles,A,3630,2205,277,7.63
06037125102,CA,Los Angeles,B,2280,1569,121,5.31
06037125200,CA,Los Angeles,B,4014,2250,285,7.1
06037125310,CA,Los Angeles,C,4941,2159,577,11.68
06037125321,CA,Los Angeles,C,3049,1322,315,10.33
06037125322,CA,Los Angeles,C,2222,1168,333,14.99
06037125402,CA,Los Angeles,B,4076,2414,345,8.46
06037125403,CA,Los Angeles,C,2181,1164,239,10.96
06037125404,CA,Los Angeles,C,3133,1656,493,15.74
06037125501,CA,Los Angeles,B,3249,1939,246,7.57
06037125502,CA,Los Angeles,B,3572,2307,264,7.39
06037127803,CA,Los Angeles,B,5076,1547,311,6.13
06037127806,CA,Los Angeles,B,3505,1140,204,5.82
06037128102,CA,Los Angeles,C,4874,1345,269,5.52
06037128210,CA,Los Angeles,C,4809,1082,303,6.3
06037128302,CA,Los Angeles,D,4654,1081,203,4.36
06037128303,CA,Los Angeles,D,3876,723,122,3.15
06037128601,CA,Los Angeles,C,4379,2002,243,5.55
06037131023,CA,Los Angeles,C,2628,661,91,3.46
06037131024,CA,Los Angeles,C,3422,964,128,3.74
06037131702,CA,Los Angeles,C,3602,1157,200,5.55
06037131801,CA,Los Angeles,C,3104,908,109,3.51
06037134001,CA,Los Angeles,C,3708,569,93,2.51
06037134521,CA,Los Angeles,C,2972,313,60,2.02
06037134522,CA,Los Angeles,C,4015,823,156,3.89
06037141102,CA,Los Angeles,B,3023,2161,171,5.66
06037141201,CA,Los Angeles,B,4289,2847,292,6.81
06037141202,CA,Los Angeles,A,2922,2188,102,3.49
06037141303,CA,Los Angeles,B,3191,2116,204,6.39
06037141304,CA,Los Angeles,A,3015,2245,141,4.68
06037141306,CA,Los Angeles,A,2974,2107,151,5.08
06037143101,CA,Los Angeles,A,2142,1568,90,4.2
06037143102,CA,Los Angeles,B,2294,1529,155,6.76
06037143302,CA,Los Angeles,B,3367,2404,125,3.71
06037143401,CA,Los Angeles,B,4632,3361,232,5.01
06037143500,CA,Los Angeles,B,5197,3881,176,3.39
06037143602,CA,Los Angeles,B,4740,3488,209,4.41
06037143605,CA,Los Angeles,C,1945,1089,180,9.25
06037143606,CA,Los Angeles,C,1581,954,123,7.78
06037143801,CA,Los Angeles,B,2926,2191,100,3.42
06037143802,CA,Los Angeles,B,2298,1719,90,3.92
06037181300,CA,Los Angeles,B,3613,1466,71,1.97
06037181400,CA,Los Angeles,C,4134,1564,94,2.27
06037181500,CA,Los Angeles,C,3653,1550,66,1.81
06037181600,CA,Los Angeles,C,4247,1955,131,3.08
06037183101,CA,Los Angeles,C,3659,1358,67,1.83
06037183103,CA,Los Angeles,D,3839,992,105,2.74
06037183104,CA,Los Angeles,C,2095,774,41,1.96
06037183220,CA,Los Angeles,C,3682,894,55,1.49
06037183221,CA,Los Angeles,C,2901,1046,69,2.38
06037183222,CA,Los Angeles,C,3303,1249,70,2.12
