"city","GEOID","in_csv","centre_grade","modal_grade","dom_share","own_share","graded","pA","pB","pC","pD","pU"
"Cleveland","39035185201",1,"B","B",99.43,99.43,31.75,0.18,31.57,0,0,68.25
"Cleveland","39035141400",1,"B","B",99.39,99.39,100,0,99.39,0.61,0,0
"Cleveland","39035140100",1,"B","B",99.2,99.2,99.16,0,98.37,0.79,0,0.84
"Cleveland","39035183603",1,"B","B",97.75,97.75,100,1.37,97.75,0.88,0,0
"Cleveland","39035140301",1,"B","B",96.3,96.3,100,0.52,96.3,3.18,0,0
"Cleveland","39035177403",1,"B","B",95.38,95.38,100,0,95.38,4.62,0,0
"Cleveland","39035192800",1,"B","B",93.58,93.58,61.21,0,57.27,0.8,3.13,38.79
"Cleveland","39035185203",1,"B","B",92.96,92.96,95.69,0,88.94,6.74,0,4.31
"Cleveland","39035152703",1,"B","B",90.01,90.01,31.12,0,28.01,3.11,0,68.88
"Cleveland","39035141300",1,"B","B",89.75,89.75,83.93,0,75.33,8.6,0,16.07
"Cleveland","39035181204",1,"B","B",85.34,85.34,96.55,13.53,82.4,0.62,0,3.45
"Cleveland","39035140400",1,"B","B",84.98,84.98,100,15.02,84.98,0,0,0
"Cleveland","39035140600",1,"B","B",84.91,84.91,100,0,84.91,15.09,0,0
"Cleveland","39035102101",1,"B","B",84.77,84.77,100,0,84.77,15.23,0,0
"Cleveland","39035141200",1,"B","B",81.82,81.82,100,0,81.82,18.18,0,0
"Cleveland","39035130103",1,"B","B",81.14,81.14,23.97,4.52,19.45,0,0,76.03
"Cleveland","39035121800",1,"B","B",79.61,79.61,100,20.39,79.61,0,0,0
"Cleveland","39035185102",1,"B","B",78.58,78.58,64.18,0,50.43,13.75,0,35.82
"Cleveland","39035119501",1,"B","B",78.48,78.48,100,9.72,78.49,11.8,0,0
"Cleveland","39035161000",1,"B","B",77.93,77.93,100,0,77.93,22.07,0,0
"Cleveland","39035123900",1,"B","B",77.01,77.01,100,0,77.01,22.99,0,0
"Cleveland","39035152302",1,"B","B",76.31,76.31,95.22,0,72.66,22.56,0,4.78
"Cleveland","39035177405",1,"B","B",73.87,73.87,73.48,13.95,54.28,5.25,0,26.52
"Cleveland","39035140302",1,"B","B",71.78,71.78,100,28.22,71.78,0,0,0
"Cleveland","39035123601",1,"B","B",71.17,71.17,83.99,0,59.78,24.22,0,16.01
"Cleveland","39035152201",1,"B","B",70.39,70.39,56.64,0,39.87,16.77,0,43.36
"Cleveland","39035123603",1,"B","B",65.59,65.59,77.47,16.29,50.81,10.37,0,22.53
"Cleveland","39035124100",1,"B","B",61,61,100,0,61,39,0,0
"Cleveland","39035187103",1,"B","B",58.55,58.55,99.87,41.4,58.47,0,0,0.13
"Cleveland","39035171104",1,"B","B",52.77,52.77,99.26,0,52.38,46.88,0,0.74
"Cleveland","39035160400",1,"B","B",51.69,51.69,62.02,13.45,32.06,16.51,0,37.98
"Cleveland","39035181203",1,"B","B",50.48,50.48,86.9,31.22,43.87,11.81,0,13.1
"Cleveland","39035106100",1,"B","B",50.01,50.01,71.05,34.9,35.53,0.62,0,28.95
"Cleveland","39035177201",1,"B","C",52.36,47.64,99.99,0,47.64,52.35,0,0.01
"Cleveland","39035160603",1,"B","B",47.37,47.37,100,33.51,47.37,19.12,0,0
"Cleveland","39035101102",1,"B","C",52.96,47.04,55.44,0,26.08,29.36,0,44.56
"Cleveland","39035119701",1,"B","C",47.38,45.99,100,3.04,45.99,47.38,3.59,0
"Cleveland","39035123100",1,"B","A",52.66,44.19,99.58,52.43,44,3.14,0,0.42
"Cleveland","39035117700",1,"B","C",55.29,43.94,58.06,0,25.51,32.1,0.45,41.94
"Cleveland","39035160300",1,"B","B",43.22,43.22,79.71,19.86,34.45,25.4,0,20.29
"Cleveland","39035177406",1,"B","C",57.53,42.47,100,0,42.47,57.53,0,0
"Cleveland","39035152102",1,"B","B",41.6,41.6,99.98,1.56,41.6,35.57,21.26,0.02
"Cleveland","39035198200",1,"B","C",55.42,36.69,70.48,0,25.86,39.06,5.56,29.52
"Cleveland","39035117101",1,"B","C",52.81,33.42,41.12,0,13.74,21.71,5.66,58.88
"Cleveland","39035171103",1,"B","C",68.55,31.45,99.04,0,31.15,67.89,0,0.96
"Cleveland","39035101300",1,"C","C",100,100,56.38,0,0,56.38,0,43.62
"Cleveland","39035101501",1,"C","C",100,100,94.66,0,0,94.66,0,5.34
"Cleveland","39035101603",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035101700",1,"C","C",100,100,66.77,0,0,66.77,0,33.23
"Cleveland","39035102800",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035105300",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035105400",1,"C","C",100,100,74.47,0,0,74.47,0,25.53
"Cleveland","39035106500",1,"C","C",100,100,66.53,0,0,66.53,0,33.47
"Cleveland","39035116700",1,"C","C",100,100,46.65,0,0,46.65,0,53.35
"Cleveland","39035116800",1,"C","C",100,100,91.99,0,0,91.99,0,8.01
"Cleveland","39035119402",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035120801",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035121100",1,"C","C",100,100,99.96,0,0,99.96,0,0.04
"Cleveland","39035121200",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035121401",1,"C","C",100,100,67.62,0,0,67.62,0,32.38
"Cleveland","39035122300",1,"C","C",100,100,80.06,0,0,80.06,0,19.94
"Cleveland","39035124202",1,"C","C",100,100,71.31,0,0,71.31,0,28.69
"Cleveland","39035124500",1,"C","C",100,100,40.44,0,0,40.44,0,59.56
"Cleveland","39035132302",1,"C","C",100,100,41.51,0,0,41.51,0,58.49
"Cleveland","39035134100",1,"C","C",100,100,40.2,0,0,40.2,0,59.8
"Cleveland","39035150100",1,"C","C",100,100,77.88,0,0,77.88,0,22.12
"Cleveland","39035150300",1,"C","C",100,100,67.28,0,0,67.28,0,32.72
"Cleveland","39035150400",1,"C","C",100,100,80.79,0,0,80.79,0,19.21
"Cleveland","39035151500",1,"C","C",100,100,83.12,0,0,83.12,0,16.88
"Cleveland","39035151600",1,"C","C",100,100,34.54,0,0,34.54,0,65.46
"Cleveland","39035154502",1,"C","C",100,100,34.19,0,0,34.19,0,65.81
"Cleveland","39035154603",1,"C","C",100,100,86.28,0,0,86.28,0,13.72
"Cleveland","39035154604",1,"C","C",100,100,78.25,0,0,78.25,0,21.75
"Cleveland","39035170101",1,"C","C",100,100,61.7,0,0,61.7,0,38.3
"Cleveland","39035170102",1,"C","C",100,100,97.67,0,0,97.67,0,2.33
"Cleveland","39035171205",1,"C","C",100,100,60.55,0,0,60.55,0,39.45
"Cleveland","39035172101",1,"C","C",100,100,100,0,0,100,0,0
"Cleveland","39035172102",1,"C","C",100,100,55.29,0,0,55.29,0,44.71
"Cleveland","39035172201",1,"C","C",100,100,42.63,0,0,42.63,0,57.37
"Cleveland","39035176100",1,"C","C",100,100,40.97,0,0,40.97,0,59.03
"Cleveland","39035177302",1,"C","C",100,100,51.45,0,0,51.45,0,48.55
"Cleveland","39035177501",1,"C","C",100,100,98.93,0,0,98.93,0,1.07
"Cleveland","39035178206",1,"C","C",100,100,62.44,0,0,62.44,0,37.56
"Cleveland","39035184106",1,"C","C",100,100,82.04,0,0,82.04,0,17.96
"Cleveland","39035195900",1,"C","C",100,100,29.26,0,0,29.26,0,70.74
"Cleveland","39035199000",1,"C","C",100,100,82.21,0,0,82.21,0,17.79
"Cleveland","39035199300",1,"C","C",100,100,69.65,0,0,69.65,0,30.35
"Cleveland","39035152202",1,"C","C",99.98,99.98,47.54,0,0.01,47.52,0,52.46
"Cleveland","39035185104",1,"C","C",99.98,99.98,48.91,0,0.01,48.9,0,51.09
"Cleveland","39035106600",1,"C","C",99.94,99.94,63.1,0,0.04,63.07,0,36.9
"Cleveland","39035177202",1,"C","C",99.88,99.88,99.78,0,0.12,99.66,0,0.22
"Cleveland","39035177608",1,"C","C",99.86,99.86,44.08,0,0.06,44.02,0,55.92
"Cleveland","39035112200",1,"C","C",99.33,99.33,100,0,0,99.33,0.67,0
"Cleveland","39035121900",1,"C","C",99.23,99.23,99.29,0,0.54,98.53,0.22,0.71
"Cleveland","39035102402",1,"C","C",98.86,98.86,100,0,0,98.86,1.14,0
"Cleveland","39035101901",1,"C","C",98.8,98.8,100,0,0,98.8,1.2,0
"Cleveland","39035197400",1,"C","C",97.82,97.82,67.07,0,1.46,65.61,0,32.93
"Cleveland","39035122100",1,"C","C",97.5,97.5,66.71,0,1.67,65.04,0,33.29
"Cleveland","39035121403",1,"C","C",97.29,97.29,83.31,0,2.26,81.05,0,16.69
"Cleveland","39035121500",1,"C","C",97.04,97.04,99.03,0,0,96.1,2.93,0.97
"Cleveland","39035119401",1,"C","C",96.98,96.98,94.33,2.85,0,91.48,0,5.67
"Cleveland","39035152400",1,"C","C",96.08,96.08,100,0,0.16,96.08,3.76,0
"Cleveland","39035101800",1,"C","C",94.78,94.78,85.12,0,0,80.68,4.44,14.88
"Cleveland","39035116300",1,"C","C",94.67,94.67,77.1,0,0,72.99,4.11,22.9
"Cleveland","39035101101",1,"C","C",94.4,94.4,77.31,0,0,72.98,4.33,22.69
"Cleveland","39035119600",1,"C","C",94.16,94.16,64.21,0,3.01,60.46,0.74,35.79
"Cleveland","39035119502",1,"C","C",93.77,93.77,100,1.37,4.86,93.77,0,0
"Cleveland","39035105500",1,"C","C",92.2,92.2,99.97,0,0,92.17,7.8,0.03
"Cleveland","39035151800",1,"C","C",91.89,91.89,89.38,0,0,82.13,7.25,10.62
"Cleveland","39035132200",1,"C","C",91.13,91.13,55.59,0,4.93,50.66,0,44.41
"Cleveland","39035161900",1,"C","C",90.92,90.92,61.98,0,5.63,56.36,0,38.02
"Cleveland","39035102300",1,"C","C",90.5,90.5,99.52,0,0,90.07,9.45,0.48
"Cleveland","39035120702",1,"C","C",90.25,90.25,100,0,0,90.25,9.75,0
"Cleveland","39035123800",1,"C","C",90,90,83.8,0,8.38,75.41,0,16.2
"Cleveland","39035141100",1,"C","C",89.91,89.91,98.97,0,8.7,88.99,1.29,1.03
"Cleveland","39035161600",1,"C","C",88.38,88.38,99.46,0,10.79,87.9,0.77,0.54
"Cleveland","39035105700",1,"C","C",88.32,88.32,83.42,0,9.74,73.68,0,16.58
"Cleveland","39035153104",1,"C","C",87.05,87.05,95.92,0,12.42,83.5,0,4.08
"Cleveland","39035106800",1,"C","C",86.42,86.42,100,0,13.58,86.42,0,0
"Cleveland","39035117600",1,"C","C",85.61,85.61,81.91,0,0.08,70.13,11.71,18.09
"Cleveland","39035177104",1,"C","C",82.94,82.94,98.52,0.44,16.37,81.7,0,1.48
"Cleveland","39035119702",1,"C","C",82.76,82.76,99.52,0,0,82.36,17.16,0.48
"Cleveland","39035154601",1,"C","C",82.33,82.33,76.07,0,13.44,62.62,0,23.93
"Cleveland","39035124300",1,"C","C",82.29,82.29,100,0,13,82.29,4.71,0
"Cleveland","39035111700",1,"C","C",81.3,81.3,100,0,0,81.3,18.7,0
"Cleveland","39035123501",1,"C","C",80.68,80.68,50.27,0,9.71,40.56,0,49.73
"Cleveland","39035154100",1,"C","C",78.39,78.39,100,0,21.61,78.39,0,0
"Cleveland","39035120500",1,"C","C",78.14,78.14,79.83,0,7.53,62.38,9.92,20.17
"Cleveland","39035102700",1,"C","C",75.81,75.81,70.66,0,0,53.57,17.09,29.34
"Cleveland","39035117203",1,"C","C",74.71,74.71,99.31,0,2.5,74.19,22.62,0.69
"Cleveland","39035103500",1,"C","C",73.75,73.75,100,0,0,73.75,26.25,0
"Cleveland","39035115400",1,"C","C",72.29,72.29,78.72,0,0,56.91,21.81,21.28
"Cleveland","39035102102",1,"C","C",72.12,72.12,99.84,0,0.06,72,27.78,0.16
"Cleveland","39035178201",1,"C","C",70.64,70.64,48.33,2.28,11.91,34.14,0,51.67
"Cleveland","39035151700",1,"C","C",70.02,70.02,97.9,0,0,68.55,29.35,2.1
"Cleveland","39035197500",1,"C","C",70.02,70.02,72.82,0,0,50.99,21.83,27.18
"Cleveland","39035171102",1,"C","C",69.95,69.95,67.32,0,20.23,47.09,0,32.68
"Cleveland","39035160200",1,"C","C",67.82,67.82,100,1.62,30.56,67.82,0,0
"Cleveland","39035196800",1,"C","C",66.48,66.48,68.31,0,0,45.41,22.9,31.69
"Cleveland","39035153105",1,"C","C",65.91,65.91,68.82,0,23.46,45.36,0,31.18
"Cleveland","39035177303",1,"C","C",65.86,65.86,90.33,0,30.84,59.49,0,9.67
"Cleveland","39035102900",1,"C","C",65.69,65.69,100,0,0,65.69,34.31,0
"Cleveland","39035121300",1,"C","C",64.7,64.7,73.31,0,0,47.43,25.88,26.69
"Cleveland","39035154501",1,"C","C",64.4,64.4,87.87,0,31.28,56.59,0,12.13
"Cleveland","39035161400",1,"C","C",64.25,64.25,100,0,35.75,64.25,0,0
"Cleveland","39035161500",1,"C","C",63.99,63.99,80.58,0,27.34,51.56,1.68,19.42
"Cleveland","39035120600",1,"C","C",63.03,63.03,100,0,0,63.03,36.97,0
"Cleveland","39035152501",1,"C","C",62.92,62.92,88.37,0,0,55.6,32.77,11.63
"Cleveland","39035115900",1,"C","C",60.3,60.3,76.18,0,0,45.94,30.24,23.82
"Cleveland","39035106200",1,"C","C",59.91,59.91,98.76,0,39.59,59.17,0,1.24
"Cleveland","39035122200",1,"C","C",59.61,59.61,61.55,0,0,36.69,24.86,38.45
"Cleveland","39035105900",1,"C","C",58.11,58.11,61.35,0,25.7,35.65,0,38.65
"Cleveland","39035123200",1,"C","C",57.74,57.74,82.4,7.89,26.93,47.58,0,17.6
"Cleveland","39035116900",1,"C","C",57.54,57.54,80.47,0,0,46.3,34.17,19.53
"Cleveland","39035185103",1,"C","C",55.74,55.74,100,0,44.26,55.74,0,0
"Cleveland","39035120200",1,"C","C",52.52,52.52,92.34,0,34.33,48.5,9.51,7.66
"Cleveland","39035198100",1,"C","C",51.97,51.97,93.45,0,0,48.57,44.88,6.55
"Cleveland","39035102200",1,"C","C",50.02,50.02,84.75,0,22.22,42.39,20.14,15.25
"Cleveland","39035123502",1,"C","B",52.74,47.26,52.28,0,27.57,24.71,0,47.72
"Cleveland","39035199100",1,"C","D",55.57,44.43,100,0,0,44.43,55.57,0
"Cleveland","39035177103",1,"C","A",45.38,43.39,71.79,32.58,8.06,31.15,0,28.21
"Cleveland","39035161100",1,"C","C",37.19,37.19,100,25.67,37.14,37.19,0,0
"Cleveland","39035161300",1,"C","B",73.58,26.42,100,0,73.58,26.42,0,0
"Cleveland","39035161200",1,"C","B",68.27,20.82,100,10.91,68.27,20.82,0,0
"Cleveland","39035152101",1,"C","A",51.86,18.03,56.58,29.34,17.04,10.2,0,43.42
"Cleveland","39035103300",1,"D","D",100,100,54.31,0,0,0,54.31,45.69
"Cleveland","39035107802",1,"D","D",100,100,55.09,0,0,0,55.09,44.91
"Cleveland","39035108301",1,"D","D",100,100,88.46,0,0,0,88.46,11.54
"Cleveland","39035108400",1,"D","D",100,100,70.04,0,0,0,70.04,29.96
"Cleveland","39035108701",1,"D","D",100,100,98.48,0,0,0,98.48,1.52
"Cleveland","39035109301",1,"D","D",100,100,96.38,0,0,0,96.38,3.62
"Cleveland","39035109701",1,"D","D",100,100,64.03,0,0,0,64.03,35.97
"Cleveland","39035109801",1,"D","D",100,100,88.31,0,0,0,88.31,11.69
"Cleveland","39035112301",1,"D","D",100,100,99.48,0,0,0,99.48,0.52
"Cleveland","39035114600",1,"D","D",100,100,46.2,0,0,0,46.2,53.8
"Cleveland","39035114800",1,"D","D",100,100,62.79,0,0,0,62.79,37.21
"Cleveland","39035117400",1,"D","D",100,100,87.69,0,0,0,87.69,12.31
