"domain","shares","score","sharers","top_sharer_pct","kept"
"businessinsider.com",1467,-0.1503,329,5.7,TRUE
"theonion.com",72,-0.1487,35,11.1,FALSE
"abcnews.go.com",5374,-0.1405,445,10.8,TRUE
"csmonitor.com",102,-0.1383,67,9.8,TRUE
"foreignpolicy.com",358,-0.1292,142,4.7,TRUE
"mcclatchydc.com",557,-0.1213,196,3.8,TRUE
"taskandpurpose.com",174,-0.1193,77,9.8,TRUE
"voanews.com",136,-0.1129,83,4.4,TRUE
"axios.com",2128,-0.1073,344,2.8,TRUE
"usatoday.com",6833,-0.1009,485,3.7,TRUE
"thehill.com",21872,-0.0761,519,5.4,TRUE
"rollcall.com",3703,-0.071,462,6.9,TRUE
"bloomberg.com",4596,-0.0633,457,6.3,TRUE
"usnews.com",1081,-0.0624,321,6.7,TRUE
"foreignaffairs.com",125,-0.0616,33,23.2,TRUE
"c-span.org",6142,-0.0584,493,2.2,TRUE
"apnews.com",4856,-0.0509,453,15.2,TRUE
"yahoo.com/news",747,-0.044,264,9.4,TRUE
"forbes.com",2069,-0.0351,391,2.5,TRUE
"dailydot.com",66,-0.0095,24,31.8,FALSE
"lawfareblog.com",101,0.004,40,31.7,TRUE
"nationaljournal.com",430,0.0067,163,6,TRUE
"upi.com",84,0.0337,61,8.3,FALSE
"morningconsult.com",326,0.0397,152,6.7,TRUE
"cnbc.com",6601,0.0665,487,9.1,TRUE
"hbr.org",69,0.0719,27,23.2,FALSE
"mediaite.com",214,0.0752,80,20.6,TRUE
"gallup.com",404,0.1882,173,8.2,TRUE
"reuters.com",7426,0.2254,439,49.3,TRUE
"wsj.com",10972,0.2714,484,12.1,TRUE
"fullmeasure.news",14,0.2734,8,35.7,FALSE
"nypost.com",1541,0.2989,221,14.1,TRUE
"circa.com",11,0.3218,7,36.4,FALSE
"stripes.com",1579,0.3481,201,60.9,TRUE
"reuters.tv",46,0.4007,9,78.3,FALSE
"realclearpolitics.com",505,0.4109,160,6.7,TRUE
"nationalinterest.org",84,0.424,40,15.5,FALSE
"rasmussenreports.com",22,0.4245,11,45.5,FALSE
"thedispatch.com",25,0.4665,12,28,FALSE
"ijr.com",270,0.483,90,14.8,TRUE
"weeklystandard.com",177,0.4942,60,9.6,TRUE
"foxbusiness.com",2010,0.4995,265,4,TRUE
"nationalaffairs.com",8,0.5126,6,25,FALSE
"washingtontimes.com",2416,0.5126,286,14.6,TRUE
"commentarymagazine.com",43,0.5224,14,25.6,FALSE
"city-journal.org",28,0.5246,15,35.7,FALSE
"washingtonexaminer.com",7939,0.5246,367,15.4,TRUE
"foxnews.com",13675,0.5294,415,12.7,TRUE
"newsmax.com",376,0.5307,109,13,TRUE
"hotair.com",138,0.5346,42,34.8,TRUE
"bizpacreview.com",28,0.5457,10,39.3,FALSE
"reason.com",342,0.5502,55,42.7,TRUE
"freebeacon.com",1706,0.5694,169,17.3,TRUE
"spectator.org",39,0.5741,22,12.8,FALSE
"cbn.com/cbnnews",111,0.575,47,10.8,TRUE
"pjmedia.com",156,0.581,44,28.2,TRUE
"theepochtimes.com",246,0.5841,74,11,TRUE
"dailycaller.com",2883,0.5869,207,28.4,TRUE
"stream.org",8,0.5874,8,12.5,FALSE
"nationalreview.com",1998,0.5878,206,10.6,TRUE
"lifezette.com",101,0.5891,30,20.8,TRUE
"townhall.com",1141,0.5984,142,24.5,TRUE
"cnsnews.com",358,0.6012,83,19.6,TRUE
"thepoliticalinsider.com",13,0.6065,5,46.2,FALSE
"thenationalpulse.com",83,0.6104,9,61.4,FALSE
"theamericanconservative.com",115,0.6198,30,31.3,TRUE
"dailywire.com",448,0.6244,75,31.5,TRUE
"breitbart.com",2834,0.6246,152,16.4,TRUE
"oann.com",59,0.6252,34,11.9,FALSE
"wnd.com",30,0.6287,11,26.7,FALSE
"dailysignal.com",1494,0.6292,152,12.2,TRUE
"conservativetribune.com",9,0.6314,7,33.3,FALSE
"westernjournal.com",80,0.6345,22,20,FALSE
"firstthings.com",10,0.6391,6,30,FALSE
"newsbusters.org",136,0.6412,21,47.1,TRUE
"thefederalist.com",929,0.6441,115,18.5,TRUE
"theblaze.com",459,0.6597,77,29.8,TRUE
"mrctv.org",35,0.6614,14,20,FALSE
"americanthinker.com",37,0.6784,15,32.4,FALSE
"twitchy.com",166,0.68,19,47,TRUE
"redstate.com",421,0.7094,47,49.4,TRUE
"rare.us",256,0.7207,16,58.2,TRUE
"theresurgent.com",190,0.7387,27,41.6,TRUE
"crtv.com",32,0.7408,12,28.1,FALSE
"conservativereview.com",694,0.7515,44,36.6,TRUE
"campusreform.org",52,0.7839,7,82.7,FALSE
"therightscoop.com",401,0.7854,10,84.5,TRUE
