"name","role","party","nominate","shares","media_score"
"Kirsten Gillibrand","Senate","Democrat",-0.47,1108,-0.2511
"Catherine Cortez Masto","Senate","Democrat",-0.36,665,-0.2348
"Jacky Rosen","Senate","Democrat",-0.287,691,-0.22
"Tina Smith","Senate","Democrat",-0.397,570,-0.2454
"Maggie Hassan","Senate","Democrat",-0.232,621,-0.2015
"Elizabeth Warren","Senate","Democrat",-0.751,2484,-0.2516
"Ted Cruz","Senate","Republican",0.817,5671,0.3989
"John Cornyn","Senate","Republican",0.471,6759,0.0815
"Bob Casey Jr.","Senate","Democrat",-0.314,808,-0.2226
"James Lankford","Senate","Republican",0.607,432,0.1021
"Sheldon Whitehouse","Senate","Democrat",-0.355,3185,-0.2148
"Patrick Leahy","Senate","Democrat",-0.36,1062,-0.2299
"Ron Wyden","Senate","Democrat",-0.33,906,-0.2164
"Marsha Blackburn","Senate","Republican",0.627,1847,0.2685
"Jeff Merkley","Senate","Democrat",-0.444,2343,-0.2556
"Lindsey Graham","Senate","Republican",0.373,1120,0.1952
"Lamar Alexander","Senate","Republican",0.324,257,0.0315
"Tammy Baldwin","Senate","Democrat",-0.493,844,-0.2041
"Maria Cantwell","Senate","Democrat",-0.305,534,-0.2081
"Mark Kelly","Senate","Democrat",-0.178,210,-0.2302
"Ben Luján","House","Democrat",-0.368,287,-0.2225
"Shelley Moore Capito","Senate","Republican",0.276,140,0.0978
"Joe Manchin","Senate","Democrat",-0.06,76,-0.1337
"Patty Murray","Senate","Democrat",-0.352,2722,-0.2462
"Bernie Sanders","Senate","Independent",-0.538,2547,-0.2671
"Mark Warner","Senate","Democrat",-0.204,724,-0.1753
"Alan Lowenthal","House","Democrat",-0.449,1624,-0.2561
"Katie Hill","House","Democrat",-0.306,503,-0.2378
"Mike Levin","House","Democrat",-0.357,1485,-0.2368
"Harley Rouda","House","Democrat",-0.336,972,-0.2016
"Joseph Neguse","House","Democrat",-0.364,236,-0.2296
"Jason Crow","House","Democrat",-0.288,161,-0.1834
"Josh Harder","House","Democrat",-0.355,317,-0.1878
"T.J. Cox","House","Democrat",-0.343,258,-0.2227
"Gil Cisneros","House","Democrat",-0.376,643,-0.2338
"Katie Porter","House","Democrat",-0.203,586,-0.2292
"Ann Kirkpatrick","House","Democrat",-0.169,467,-0.2316
"Jahana Hayes","House","Democrat",-0.369,129,-0.2282
"Scott Peters","House","Democrat",-0.184,737,-0.2139
"Julia Brownley","House","Democrat",-0.289,141,-0.1948
"Nancy Pelosi","House","Democrat",-0.49,1757,-0.2155
"Ed Perlmutter","House","Democrat",-0.282,866,-0.1977
"Bradley Byrne","House","Republican",0.61,1046,0.2219
"Steve Womack","House","Republican",0.352,162,0.0679
"Norma Torres","House","Democrat",-0.366,1002,-0.2248
"Paul Gosar","House","Republican",0.698,1831,0.3291
"Barbara Lee","House","Democrat",-0.679,1971,-0.2816
"Raúl Grijalva","House","Democrat",-0.598,1662,-0.2563
"Mark DeSaulnier","House","Democrat",-0.527,1120,-0.2457
"Mike Thompson","House","Democrat",-0.393,441,-0.2007
"Linda Sánchez","House","Democrat",-0.508,328,-0.2315
"Jim Himes","House","Democrat",-0.239,262,-0.2183
"Jimmy Gomez","House","Democrat",-0.572,731,-0.2297
"Lucille Roybal-Allard","House","Democrat",-0.469,343,-0.2217
"Jimmy Panetta","House","Democrat",-0.293,184,-0.2144
"Tom O'Halleran","House","Democrat",-0.198,124,-0.1238
"Salud Carbajal","House","Democrat",-0.302,201,-0.2187
"Ro Khanna","House","Democrat",-0.522,4134,-0.2586
"Andy Biggs","House","Republican",0.838,1741,0.323
"Nanette Barragán","House","Democrat",-0.516,576,-0.2279
"Matt Gaetz","House","Republican",0.599,1696,0.3436
"John Garamendi","House","Democrat",-0.308,435,-0.0687
"Eric Swalwell","House","Democrat",-0.365,1265,-0.2234
"Debbie Lesko","House","Republican",0.615,706,0.2512
"Dean Phillips","House","Democrat",-0.275,165,-0.1779
"Peter Stauber","House","Republican",0.345,161,0.1363
"Haley Stevens","House","Democrat",-0.358,1038,-0.2309
"Lois Frankel","House","Democrat",-0.402,586,-0.2414
"Elissa Slotkin","House","Democrat",-0.295,95,-0.1826
"Russell Fulcher","House","Republican",0.641,23,0.228
"Rashida Tlaib","House","Democrat",-0.271,1088,-0.285
"Lori Trahan","House","Democrat",-0.44,385,-0.2437
"Angela Craig","House","Democrat",-0.277,256,-0.1969
"Andy Levin","House","Democrat",-0.474,358,-0.2403
"Sharice Davids","House","Democrat",-0.252,150,-0.2343
"Lauren Underwood","House","Democrat",-0.551,245,-0.2252
"David Trone","House","Democrat",-0.283,460,-0.232
"Ayanna Pressley","House","Democrat",-0.331,942,-0.2899
"Cynthia Axne","House","Democrat",-0.25,128,-0.1536
"Jared Golden","House","Democrat",-0.117,53,-0.1873
"Debbie Mucarsel-Powell","House","Democrat",-0.345,738,-0.2395
"Michael Guest","House","Republican",0.528,64,0.1906
"Abby Finkenauer","House","Democrat",-0.224,173,-0.2139
"Ilhan Omar","House","Democrat",-0.297,1475,-0.2863
"Greg Pence","House","Republican",0.543,53,0.2529
"Lucy McBath","House","Democrat",-0.276,329,-0.2755
"Jesus Chuy Garcia","House","Democrat",-0.448,500,-0.2506
"Sean Casten","House","Democrat",-0.681,1089,-0.2401
"Jim Hagedorn","House","Republican",0.477,253,0.2331
"Cheri Bustos","House","Democrat",-0.239,576,-0.1905
"Steve Scalise","House","Republican",0.556,1150,0.2149
"Ted Deutch","House","Democrat",-0.401,1048,-0.2318
"Billy Long","House","Republican",0.544,20039,0.1867
"Emanuel Cleaver","House","Democrat",-0.453,1235,-0.2219
"Kathy Castor","House","Democrat",-0.438,634,-0.2469
"Steny Hoyer","House","Democrat",-0.381,815,-0.2026
"Katherine Clark","House","Democrat",-0.482,898,-0.2492
"Justin Amash","House","Independent",0.5065,831,0.1955
"Frederica Wilson","House","Democrat",-0.479,606,-0.2287
"Jan Schakowsky","House","Democrat",-0.604,1231,-0.2486
"Jim McGovern","House","Democrat",-0.538,1015,-0.237
"Debbie Dingell","House","Democrat",-0.405,362,-0.2189
"Jody Hice","House","Republican",0.797,347,0.3798
"Steven Palazzo","House","Republican",0.535,122,0.1408
"Bobby Rush","House","Democrat",-0.479,423,-0.2282
"Mario Díaz-Balart","House","Republican",0.284,228,0.071
"Betty McCollum","House","Democrat",-0.417,1313,-0.2449
"Mike Quigley","House","Democrat",-0.322,1448,-0.2421
"William Clay","House","Democrat",-0.481,3465,-0.2152
"Stephanie Murphy","House","Democrat",-0.161,219,-0.1662
"Val Demings","House","Democrat",-0.322,675,-0.256
"Jamie Raskin","House","Democrat",-0.535,962,-0.2206
"Raja Krishnamoorthi","House","Democrat",-0.315,2026,-0.2409
"Jim Banks","House","Republican",0.645,2039,0.2052
"Darren Soto","House","Democrat",-0.372,660,-0.2262
"Thomas Massie","House","Republican",0.68,532,0.2587
"Chris Pappas","House","Democrat",-0.256,138,-0.2185
"Sean Patrick Maloney","House","Democrat",-0.239,682,-0.2147
"Max Rose","House","Democrat",-0.176,428,-0.12
"Susie Lee","House","Democrat",-0.26,406,-0.1925
"Alexandria Ocasio-Cortez","House","Democrat",-0.265,847,-0.2968
"Antonio Delgado","House","Democrat",-0.233,673,-0.2408
"Mikie Sherrill","House","Democrat",-0.209,257,-0.1944
"Debra Haaland","House","Democrat",-0.332,1596,-0.2535
"Xochitl Torres Small","House","Democrat",-0.163,58,-0.1473
"Tomaz Malinowski","House","Democrat",-0.272,529,-0.2089
"Dina Titus","House","Democrat",-0.302,925,-0.2017
"Nydia Velázquez","House","Democrat",-0.547,2857,-0.2539
"Albio Sires","House","Democrat",-0.404,42,-0.1791
"Gregory Meeks","House","Democrat",-0.414,424,-0.2105
"Carolyn Maloney","House","Democrat",-0.387,3026,-0.2134
"Bonnie Watson Coleman","House","Democrat",-0.613,695,-0.2475
"Frank Pallone","House","Democrat",-0.404,1998,-0.2538
"Steven Horsford","House","Democrat",-0.35,239,-0.2216
"Jerrold Nadler","House","Democrat",-0.508,756,-0.254
"Bill Pascrell","House","Democrat",-0.367,753,-0.1914
"Josh Gottheimer","House","Democrat",-0.153,578,-0.1142
"Adriano Espaillat","House","Democrat",-0.61,1591,-0.2236
"Don Bacon","House","Republican",0.343,666,0.0626
"Timothy Burchett","House","Republican",0.667,204,0.1744
"Lance Gooden","House","Republican",0.75,177,0.2293
"Michael Cloud","House","Republican",0.683,46,0.3127
"Christina Houlahan","House","Democrat",-0.28,218,-0.2311
"Anthony Gonzalez","House","Republican",0.24,102,0.0371
"Joseph D. Morelle","House","Democrat",-0.358,230,-0.2352
"Mary Gay Scanlon","House","Democrat",-0.437,985,-0.2483
"Kevin Hern","House","Republican",0.687,180,0.232
"Susan Wild","House","Democrat",-0.275,239,-0.2241
"Dusty Johnson","House","Republican",0.439,28,0.1772
"Veronica Escobar","House","Democrat",-0.425,2071,-0.2596
"Elizabeth Fletcher","House","Democrat",-0.425,132,-0.2559
"Roger Williams","House","Republican",0.586,266,0.1544
"Colin Allred","House","Democrat",-0.451,422,-0.2379
"Joe Cunningham","House","Democrat",-0.131,104,-0.1841
"Mark Green","House","Republican",0.674,495,0.2846
"Kelly Armstrong","House","Republican",0.47,141,0.154
"Dan Meuser","House","Republican",0.498,53,0.2141
"Sylvia Garcia","House","Democrat",-0.811,693,-0.2561
"Ron Wright","House","Republican",0.711,65,0.2157
"Daniel Crenshaw","House","Republican",0.429,334,0.1938
"Anthony Brindisi","House","Democrat",-0.154,203,-0.1719
"John Rose","House","Republican",0.674,152,0.3877
"John Joyce","House","Republican",0.57,34,0.3828
"Charles Roy","House","Republican",0.8,2334,0.3554
"Kendra Horn","House","Democrat",-0.169,78,-0.099
"Fred Keller","House","Republican",0.498,124,0.2954
"Greg Murphy","House","Republican",0.497,96,0.3811
"Dan Bishop","House","Republican",0.727,120,0.2468
"Tim Ryan","House","Democrat",-0.402,1611,-0.2259
"Joyce Beatty","House","Democrat",-0.437,1786,-0.2146
"Lloyd Doggett","House","Democrat",-0.402,1813,-0.2431
"Steve Cohen","House","Democrat",-0.398,1119,-0.241
"Jim Langevin","House","Democrat",-0.375,604,-0.19
"Kevin Brady","House","Republican",0.52,1438,0.247
"Pete Olson","House","Republican",0.548,625,0.2122
"Brendan Boyle","House","Democrat",-0.402,834,-0.195
"Joaquin Castro","House","Democrat",-0.4,3664,-0.2483
"Jeff Duncan","House","Republican",0.7,566,0.2857
"Alma Adams","House","Democrat",-0.468,461,-0.2342
"Mark Walker","House","Republican",0.641,662,0.2282
"Brian Higgins","House","Democrat",-0.349,206,-0.1978
"Suzanne Bonamici","House","Democrat",-0.395,415,-0.2393
"Warren Davidson","House","Republican",0.666,581,0.1884
"Sheila Jackson Lee","House","Democrat",-0.46,671,-0.2101
"Dwight Evans","House","Democrat",-0.464,3072,-0.2274
"John Curtis","House","Republican",0.477,124,0.0803
"Jennifer Wexton","House","Democrat",-0.331,709,-0.2315
"Derek Kilmer","House","Democrat",-0.309,405,-0.1845
"Benjamin Cline","House","Republican",0.718,108,0.1135
"Bryan Steil","House","Republican",0.413,76,0.1615
"Abigail Spanberger","House","Democrat",-0.174,646,-0.186
"William Timmons","House","Republican",0.592,37,0.1532
"Elaine Luria","House","Democrat",-0.206,98,-0.1511
"Kim Schrier","House","Democrat",-0.324,132,-0.2286
"Carol Miller","House","Republican",0.485,50,0.164
"Jim Baird","House","Republican",0.479,21,0.1391
"Mark Pocan","House","Democrat",-0.535,1495,-0.2751
"Chris Jacobs","House","Republican",0.306,67,0.2778
"Cathy McMorris Rodgers","House","Republican",0.422,708,0.1579
"Don Beyer","House","Democrat",-0.385,4402,-0.234
"Rick Larsen","House","Democrat",-0.364,387,-0.1739
"Gerry Connolly","House","Democrat",-0.306,401,-0.211
"Pramila Jayapal","House","Democrat",-0.67,5573,-0.2862
"Donald McEachin","House","Democrat",-0.381,491,-0.2168
"Suzan DelBene","House","Democrat",-0.287,562,-0.2165
"Deb Fischer","Senate","Republican",0.46,138,0.0832
"Ben Cardin","Senate","Democrat",-0.32,580,-0.1967
"Steve Daines","Senate","Republican",0.582,253,0.1388
"Chris Van Hollen","Senate","Democrat",-0.391,574,-0.2346
"Tim Scott","Senate","Republican",0.629,293,0.0506
"Gary Peters","Senate","Democrat",-0.246,371,-0.2159
"Thom Tillis","Senate","Republican",0.4,439,0.1887
"Martha McSally","Senate","Republican",0.345,373,0.1239
"Jon Tester","Senate","Democrat",-0.215,183,-0.1511
"Mike Crapo","Senate","Republican",0.5,127,0.0428
"Pat Roberts","Senate","Republican",0.413,173,0.0252
"Debbie Stabenow","Senate","Democrat",-0.343,324,-0.2301
"Johnny Isakson","Senate","Republican",0.402,87,0.0896
"John Neely Kennedy","Senate","Republican",0.554,229,0.082
"Tom Cotton","Senate","Republican",0.605,1305,0.1415
"Tim Kaine","Senate","Democrat",-0.244,354,-0.2283
"Mark Takano","House","Democrat",-0.464,491,-0.2488
"Brad Schneider","House","Democrat",-0.182,376,-0.2109
"Bill Foster","House","Democrat",-0.231,407,-0.2457
"Debbie Wasserman Schultz","House","Democrat",-0.42,1450,-0.2412
"Robin Kelly","House","Democrat",-0.464,1505,-0.2055
"Rosa DeLauro","House","Democrat",-0.415,511,-0.2201
"Judy Chu","House","Democrat",-0.489,560,-0.2349
"Ken Calvert","House","Republican",0.348,447,0.1315
"Rick Crawford","House","Republican",0.444,330,0.155
"Hank Johnson","House","Democrat",-0.47,273,-0.2487
"Jackie Speier","House","Democrat",-0.381,1146,-0.2495
"Bruce Westerman","House","Republican",0.545,200,0.1359
"Diana DeGette","House","Democrat",-0.431,458,-0.2365
"French Hill","House","Republican",0.436,194,0.1216
"Ruben Gallego","House","Democrat",-0.446,1092,-0.207
"Ted Lieu","House","Democrat",-0.378,1801,-0.2092
"Terri Sewell","House","Democrat",-0.394,385,-0.2288
"John B. Larson","House","Democrat",-0.397,449,-0.2253
"Danny K. Davis","House","Democrat",-0.487,336,-0.1863
"Drew Ferguson","House","Republican",0.602,71,0.0983
"Brian Mast","House","Republican",0.465,255,0.1928
"Neal Dunn","House","Republican",0.507,61,0.1795
"Lou Correa","House","Democrat",-0.283,33,-0.2281
"Charlie Crist","House","Democrat",-0.227,141,-0.1988
"Francis Rooney","House","Republican",0.501,117,0.2161
"Al Lawson","House","Democrat",-0.26,64,-0.2234
"John Rutherford","House","Republican",0.436,52,0.0265
"Michael Waltz","House","Republican",0.414,853,0.1651
"Joe Courtney","House","Democrat",-0.343,434,-0.1934
"Rodney Davis","House","Republican",0.279,191,0.046
"Dan Kildee","House","Democrat",-0.384,339,-0.1762
"Joe Kennedy","House","Democrat",-0.421,333,-0.2538
"Ann McLane Kuster","House","Democrat",-0.258,479,-0.2142
"Susan Brooks","House","Republican",0.352,138,-0.0897
"Fred Upton","House","Republican",0.32,228,0.0428
"Chellie Pingree","House","Democrat",-0.42,264,-0.2421
"Eliot Engel","House","Democrat",-0.408,447,-0.2274
"Adam Kinzinger","House","Republican",0.234,492,0.0463
"Yvette Clarke","House","Democrat",-0.612,1855,-0.3253
"Andy Kim","House","Democrat",-0.304,213,-0.2562
"Lee Zeldin","House","Republican",0.397,436,0.2135
"Brenda Lawrence","House","Democrat",-0.448,492,-0.2178
"Tom Emmer","House","Republican",0.456,251,0.1475
"Elise Stefanik","House","Republican",0.263,547,0.1214
"Seth Moulton","House","Democrat",-0.279,1287,-0.2177
"Donald Norcross","House","Democrat",-0.426,360,-0.1833
"Paul Mitchell","House","Republican",0.422,201,0.091
"Trey Hollingsworth","House","Republican",0.417,61,0.1507
"Jack Bergman","House","Republican",0.429,65,0.2145
"Thomas Suozzi","House","Democrat",-0.219,175,-0.1473
"Anthony G. Brown","House","Democrat",-0.344,417,-0.2416
"Mike Johnson","House","Republican",0.562,258,0.2333
"Paul Tonko","House","Democrat",-0.419,2056,-0.2049
"Clay Higgins","House","Republican",0.624,59,0.1844
"Ron Estes","House","Republican",0.642,190,0.2001
"David Price","House","Democrat",-0.343,282,-0.2233
"Michael Burgess","House","Republican",0.574,218,0.058
"Robert Scott","House","Democrat",-0.45,223,-0.2447
"Louie Gohmert","House","Republican",0.644,1001,0.4573
"Jim Cooper","House","Democrat",-0.164,412,-0.2231
"Gwen Moore","House","Democrat",-0.525,1435,-0.2604
"Sean Duffy","House","Republican",0.511,713,0.2659
"David McKinley","House","Republican",0.3,393,0.0692
"Michael McCaul","House","Republican",0.422,1024,0.198
"Lloyd Smucker","House","Republican",0.435,206,0.0615
"David Cicilline","House","Democrat",-0.388,1614,-0.2311
"Adam Smith","House","Democrat",-0.287,242,-0.2172
"Mike Gallagher","House","Republican",0.428,470,0.0918
"David Kustoff","House","Republican",0.536,90,0.1718
"Jodey Arrington","House","Republican",0.648,213,0.2634
"Brian K. Fitzpatrick","House","Republican",0.157,130,0.0912
"Liz Cheney","House","Republican",0.405,206,0.2705
"Ted Budd","House","Republican",0.636,490,0.2652
"Vicente Gonzalez","House","Democrat",-0.381,151,-0.202
"Ralph Norman","House","Republican",0.852,141,0.2324
"Richard Hudson","House","Republican",0.534,317,0.1667
"Mark Meadows","House","Republican",0.605,423,0.3155
"Angus King","Senate","Independent",-0.161,156,-0.1855
"Jerry Moran","Senate","Republican",0.418,226,-0.0114
"Cory Gardner","Senate","Republican",0.444,237,0.0393
"David Perdue","Senate","Republican",0.562,632,0.2612
"Dan Sullivan","Senate","Republican",0.484,98,-0.004
"Bill Cassidy","Senate","Republican",0.47,430,0.1339
"Mike Rounds","Senate","Republican",0.367,180,0.1325
"Ben Sasse","Senate","Republican",0.669,504,0.0958
"John Thune","Senate","Republican",0.428,197,0.0304
"John Hoeven","Senate","Republican",0.387,29,0.026
"Jack Reed","Senate","Democrat",-0.367,302,-0.1932
"Ron Johnson","Senate","Republican",0.626,374,0.1875
"Mike Enzi","Senate","Republican",0.545,143,0.0799
"Jared Huffman","House","Democrat",-0.433,2095,-0.2364
"Tony Cárdenas","House","Democrat",-0.388,584,-0.2249
"Greg Stanton","House","Democrat",-0.287,109,-0.2115
"Martha Roby","House","Republican",0.362,186,0.1082
"Mo Brooks","House","Republican",0.652,278,0.3434
"Karen Bass","House","Democrat",-0.584,583,-0.2394
"Gary Palmer","House","Republican",0.677,97,0.2595
"Adam Schiff","House","Democrat",-0.35,252,-0.2433
"Pete Aguilar","House","Democrat",-0.3,109,-0.2527
"Mike Rogers","House","Republican",0.362,88,0.1812
"Ami Bera","House","Democrat",-0.236,259,-0.201
"Dan Lipinski","House","Democrat",-0.227,130,-0.1347
"Doug Collins","House","Republican",0.61,580,0.2622
"Tulsi Gabbard","House","Democrat",-0.274,523,-0.1993
"Jackie Walorski","House","Republican",0.436,295,0.2256
"John Shimkus","House","Republican",0.375,144,0.0903
"Tim Walberg","House","Republican",0.509,166,0.1665
"Gus Bilirakis","House","Republican",0.408,120,0.0937
"John Moolenaar","House","Republican",0.445,30,0.0664
"Ken Buck","House","Republican",0.712,497,0.3214
"Barry Loudermilk","House","Republican",0.684,190,0.3418
"Garret Graves","House","Republican",0.436,64,0.1315
"Ralph Abraham","House","Republican",0.541,125,0.2929
"Rick W. Allen","House","Republican",0.695,138,0.1543
"Mike Bost","House","Republican",0.303,93,0.0504
"Buddy Carter","House","Republican",0.557,166,0.175
"Dutch Ruppersberger","House","Democrat",-0.296,94,-0.1154
"Stephen F. Lynch","House","Democrat",-0.349,79,-0.0495
"Maxine Waters","House","Democrat",-0.656,644,-0.2265
"John Sarbanes","House","Democrat",-0.467,531,-0.26
"Darin LaHood","House","Republican",0.461,113,0.2442
"John Yarmuth","House","Democrat",-0.378,148,-0.1765
"Lisa Blunt Rochester","House","Democrat",-0.335,158,-0.253
"Doug Lamborn","House","Republican",0.667,284,0.2458
"Donna Shalala","House","Democrat",-0.352,89,-0.2585
"Elijah Cummings","House","Democrat",-0.438,584,-0.1795
"Grace Meng","House","Democrat",-0.377,2371,-0.2755
"Donald Payne, Jr.","House","Democrat",-0.52,354,-0.1754
"Bob Latta","House","Republican",0.512,194,0.069
"Jim Jordan","House","Republican",0.717,696,0.3404
"Bill Johnson","House","Republican",0.424,120,0.213
"Nita Lowey","House","Democrat",-0.389,311,-0.2311
"Vicky Hartzler","House","Republican",0.478,270,0.1151
"John Katko","House","Republican",0.185,24,-0.0067
"Kathleen Rice","House","Democrat",-0.28,296,-0.2422
"Hakeem Jeffries","House","Democrat",-0.489,901,-0.2584
"Brad Wenstrup","House","Republican",0.529,479,0.1754
"David Rouzer","House","Republican",0.56,109,0.2748
"Dennis Heck","House","Democrat",-0.312,318,-0.1806
"Marc Veasey","House","Democrat",-0.402,318,-0.2084
"Marcia Fudge","House","Democrat",-0.581,295,-0.2266
"Earl Blumenauer","House","Democrat",-0.427,350,-0.26
"Eddie Johnson","House","Democrat",-0.485,176,-0.2052
"Jim Clyburn","House","Democrat",-0.465,235,-0.2101
"Glenn Thompson","House","Republican",0.321,65,0.0382
"Henry Cuellar","House","Democrat",-0.228,231,-0.1595
"Scott DesJarlais","House","Republican",0.579,423,0.1812
"Joe Wilson","House","Republican",0.53,171,0.2542
"Brian Babin","House","Republican",0.711,657,0.3728
"Dan Newhouse","House","Republican",0.329,89,0.0593
"Will Hurd","House","Republican",0.287,365,-0.0402
"Alex Mooney","House","Republican",0.555,121,0.2726
"Glenn Grothman","House","Republican",0.599,318,0.2302
"Madeleine Dean","House","Democrat",-0.449,150,-0.2312
"Marcy Kaptur","House","Democrat",-0.349,696,-0.2103
"David Joyce","House","Republican",0.261,190,0.0494
"Mike Garcia","House","Republican",0.373,33,0.2259
"Thomas P. Tiffany","House","Republican",0.643,77,0.324
"Ann Wagner","House","Republican",0.419,135,0.1415
"Randy Weber","House","Republican",0.731,143,0.2088
"Tom Rice","House","Republican",0.558,137,0.2279
"George Holding","House","Republican",0.604,99,0.0648
"Markwayne Mullin","House","Republican",0.544,393,0.2209
"Doug LaMalfa","House","Republican",0.53,90,0.1513
"Ted Yoho","House","Republican",0.704,206,0.131
"Chris Stewart","House","Republican",0.502,184,0.1854
"Filemon Vela Jr.","House","Democrat",-0.311,86,-0.1987
"Andy Barr","House","Republican",0.476,142,0.136
"Raul Ruiz","House","Democrat",-0.248,187,-0.1773
"Jim Risch","Senate","Republican",0.551,88,0.0061
"Ron Kind","House","Democrat",-0.26,64,-0.0747
"Juan Vargas","House","Democrat",-0.404,145,-0.2591
"Brian Schatz","Senate","Democrat",-0.444,1335,-0.2268
"Steve Watkins","House","Republican",0.549,20,0.0781
"Peter Welch","House","Democrat",-0.407,201,-0.2371
"Rob Wittman","House","Republican",0.446,164,0.0144
"Kevin McCarthy","House","Republican",0.457,943,0.2197
"Al Green","House","Democrat",-0.438,145,-0.2117
"Grace Napolitano","House","Democrat",-0.448,129,-0.2325
"Kay Granger","House","Republican",0.403,56,0.0963
"Jason T. Smith","House","Republican",0.58,149,0.1665
"Virginia Foxx","House","Republican",0.626,144,0.1736
"David Scott","House","Democrat",-0.304,38,-0.0518
"John Carter","House","Republican",0.486,135,0.1206
"Peter King","House","Republican",0.259,58,0.2511
"Blaine Luetkemeyer","House","Republican",0.444,314,0.2583
"Scott Perry","House","Republican",0.672,233,0.1425
"Jeff Fortenberry","House","Republican",0.304,48,-0.0598
"Tom Graves","House","Republican",0.716,174,0.0909
"Brett Guthrie","House","Republican",0.42,37,-0.0768
"Pete Visclosky","House","Democrat",-0.402,33,-0.1533
"Ben McAdams","House","Democrat",-0.069,52,-0.0854
"Susan Collins","Senate","Republican",0.116,80,-0.1588
"André Carson","House","Democrat",-0.427,60,-0.2022
"John Barrasso","Senate","Republican",0.537,150,0.2146
"Vern Buchanan","House","Republican",0.363,131,0.1619
"Kurt Schrader","House","Democrat",-0.182,61,-0.1405
"Jim Inhofe","Senate","Republican",0.552,335,0.1934
"Richard Shelby","Senate","Republican",0.446,53,0.139
"Steve Stivers","House","Republican",0.3,35,-0.0084
"Richard Burr","Senate","Republican",0.435,369,0.0606
"Greg Steube","House","Republican",0.686,146,0.4064
"Pat Toomey","Senate","Republican",0.624,133,0.0879
"Tom Cole","House","Republican",0.329,73,-0.0464
"Bill Keating","House","Democrat",-0.331,22,-0.1366
"Bill Huizenga","House","Republican",0.553,419,0.1487
"Morgan Griffith","House","Republican",0.532,29,0.1311
"Austin Scott","House","Republican",0.56,72,0.061
"Larry Bucshon","House","Republican",0.408,145,0.1365
"Bob Gibbs","House","Republican",0.484,114,0.2014
"Chuck Fleischmann","House","Republican",0.465,149,0.2922
"Steve Chabot","House","Republican",0.542,164,0.1203
"Rob Woodall","House","Republican",0.593,96,0.075
"Doug Jones","Senate","Democrat",-0.088,177,-0.2217
"Kenny Marchant","House","Republican",0.6,57,0.1542
"Frank Lucas","House","Republican",0.366,70,0.1203
"Scott Tipton","House","Republican",0.451,99,0.0694
"Jaime Herrera Beutler","House","Republican",0.336,57,0.0222
"Alcee Hastings","House","Democrat",-0.564,131,-0.2276
"Jim Costa","House","Democrat",-0.193,44,-0.1993
"Anna Eshoo","House","Democrat",-0.38,112,-0.1535
"Peter DeFazio","House","Democrat",-0.427,239,-0.2228
"Tom Reed","House","Republican",0.269,425,0.0963
"Cindy Hyde-Smith","Senate","Republican",0.443,192,0.3829
"Walter Jones","House","Republican",0.244,89,0.1315
"Cedric Richmond","House","Democrat",-0.486,190,-0.2027
"Zoe Lofgren","House","Democrat",-0.4,128,-0.2342
"Patrick McHenry","House","Republican",0.532,223,0.1056
"Daniel Webster","House","Republican",0.527,50,0.3172
"John Lewis","House","Democrat",-0.589,27,-0.2155
"Mike Conaway","House","Republican",0.593,32,0.123
"Adrian Smith","House","Republican",0.515,84,0.1487
"Sam Graves","House","Republican",0.441,144,0.2211
"Brad Sherman","House","Democrat",-0.343,230,-0.1164
