client,registrant,client_state,amount,n_issues,n_lobbyists
PACIFIC GAS & ELECTRIC,"CASSIDY & ASSOCIATES, INC.",DC,40000,2,2
GBS/CIDP FOUNDATION INTERNATIONAL,HEALTH AND MEDICINE COUNSEL,PA,10000,2,2
AMERICAN ASSOCIATION OF NEUROMUSCULAR & ELECTRODIAGNOSTIC MEDICINE,HEALTH AND MEDICINE COUNSEL,MN,10000,2,3
"NUTRITION & MED. FOODS COALITION (FORMERLY ENTERA HEALTH, INC.)",HEALTH AND MEDICINE COUNSEL,NC,10000,2,3
"METAVIVOR RESEARCH AND SUPPORT, INC.",HEALTH AND MEDICINE COUNSEL,MD,0,2,2
THE NATIONAL PANCREAS FOUNDATION,HEALTH AND MEDICINE COUNSEL,MD,0,2,2
"RESTLESS LEGS SYNDROME FOUNDATION, INC",HEALTH AND MEDICINE COUNSEL,TX,8500,2,2
LYMPHATIC EDUCATION & RESEARCH NETWORK,HEALTH AND MEDICINE COUNSEL,NY,6000,2,2
PROJECT SLEEP,HEALTH AND MEDICINE COUNSEL,CA,0,2,2
EPILEPSY FOUNDATION,HEALTH AND MEDICINE COUNSEL,MD,0,2,2
NATIONAL ECZEMA ASSOCIATION,HEALTH AND MEDICINE COUNSEL,CA,0,2,2
THE PRIMARY CARE COLLABORATIVE,PLATFORM GOVERNMENT STRATEGIES,DC,30000,2,1
HOPE CHARITIES,HEALTH AND MEDICINE COUNSEL,DC,0,2,2
CHRONIC DISEASE DAY/CHRONIC DISEASE ALLIANCE,HEALTH AND MEDICINE COUNSEL,DC,0,2,2
WAIHA WARRIORS,HEALTH AND MEDICINE COUNSEL,DC,0,2,2
CHOOSE HEALTHY LIFE,HEALTH AND MEDICINE COUNSEL,DC,0,2,3
PLATELET DISORDER SUPPORT ASSOCIATION,HEALTH AND MEDICINE COUNSEL,OH,0,2,2
THE LIVINGSTON GROUP ON BEHALF OF INNOVATIVE VACCINE TECHNOLOGIES,"MAGILL ASSOCIATES, LLC",DC,20000,2,1
UNIVERSITY OF ST AUGUSTINE FOR HEALTH SCIENCES,HEALTH AND MEDICINE COUNSEL,FL,0,1,3
"PF CARRUS CAREERS, LLC",HEALTH AND MEDICINE COUNSEL,PA,0,2,2
TUFT'S FOOD IS MEDICINE INSTITUTE,HEALTH AND MEDICINE COUNSEL,MA,0,2,2
JAPAN AUTOMOBILE STANDARDS INTERNATIONALIZATION CENTER,JAPAN AUTOMOBILE STANDARDS INTERNATIONALIZATION CENTER,DC,0,1,1
GLOBAL TECHNICAL SYSTEMS,"MAGILL ASSOCIATES, LLC",VA,30000,1,1
JEWISH WOMEN INTERNATIONAL,JEWISH WOMEN INTERNATIONAL,DC,10000,4,1
"CADENCE DESIGN SYSTEMS, INC","MAGILL ASSOCIATES, LLC",CA,20000,1,1
H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE,H. LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE,FL,120000,2,2
ARTICHOKE JOE'S CASINO,"GALLANT GOVERNMENT & LAW GROUP, LLC",CA,10000,1,1
PRIDE INDUSTRIES,"CASSIDY & ASSOCIATES, INC.",CA,10000,3,1
"ESSENTIUM, INC.",LIVE OAK STRATEGIES,TX,50000,1,2
NEWSMAX,LIVE OAK STRATEGIES,FL,30000,1,1
JST STRATEGIC TECHNOLOGIES,LIVE OAK STRATEGIES,TX,90000,1,1
"PEGASYSTEMS, INC.","CASSIDY & ASSOCIATES, INC.",MA,40000,1,3
UNITED STATES PARK POLICE FRATERNAL ORDER OF POLICE LABOR COMMITTEE,"GALLANT GOVERNMENT & LAW GROUP, LLC",DC,20000,1,1
"R2C, INC.",LIVE OAK STRATEGIES,AL,30000,1,2
PRAESES,"CASSIDY & ASSOCIATES, INC.",LA,40000,1,2
CHICAGO COMMONS ASSOCIATION,"KAZMI ADVISORS, LLC",IL,0,1,1
SOCIETY OF ACTUARIES,"CASSIDY & ASSOCIATES, INC.",IL,20000,4,3
TELEKOM SRBIJA,INTERLINK CAPITAL STRATEGIES,,0,1,2
KLEIN LAW GROUP PLLC,"GALLANT GOVERNMENT & LAW GROUP, LLC",DC,0,2,1
"8X8, INC.","GALLANT GOVERNMENT & LAW GROUP, LLC",CA,20000,1,1
LEIDOS,"PARK GOVERNMENT RELATIONS, LLC",DC,30000,1,1
CITY OF ATLANTIS,GENESIS PARTNERS PALM BEACH LLC,FL,0,2,1
ALTRIA CLIENT SERVICES LLC,RICHARD F. HOHLT,NY,49500,1,1
DAVITA,"PARK GOVERNMENT RELATIONS, LLC",CO,50000,1,1
PINNACLE WEST CAPITAL CORPORATION,RICHARD F. HOHLT,DC,0,4,1
NATIONAL COUNCIL OF NONPROFITS (FORMERLY KNOWN AS THE NATIONAL COUNCIL OF NONPRO,NATIONAL COUNCIL OF NONPROFITS (FORMERLY KNOWN AS THE NATIONAL COUNCIL OF NONPRO,DC,30000,4,4
"MEDICOM TECHNOLOGIES, INC","PARK GOVERNMENT RELATIONS, LLC",NC,60000,1,1
BURFORD CAPITAL LLC,BURFORD CAPITAL LLC,NY,110000,1,1
AMERICAN HORSE COUNCIL,WAYPOINT STRATEGIES LLC,DC,8000,3,1
STM,"WEINREICH STRATEGIC GROUP, INC.",,20000,3,1
MOLSON COORS BEVERAGE COMPANY,BLOOM STRATEGIC COUNSEL,CO,20000,1,1
BRADLEY UNIVERSITY,"CASSIDY & ASSOCIATES, INC.",IL,50000,1,1
"COOK INLET SPILL PREVENTION AND RESPONSE, INC.","COOK INLET SPILL PREVENTION AND RESPONSE, INC.",AK,10000,2,1
COMMONWEALTH FUSION SYSTEMS,"THE DESNER GROUP, LLC",MA,10000,2,1
SWITCH,"CASSIDY & ASSOCIATES, INC.",NV,50000,3,2
"AMICUS THERAPEUTICS, INC.",HORIZON GOVERNMENT AFFAIRS,NJ,10000,1,1
NATIONAL ASSOCIATION OF UNIVERSITY FOREST RESOURCE PROGRAMS,DENTONS US LLP,VA,20000,1,1
"DAVITA, INC.",HORIZON GOVERNMENT AFFAIRS,CO,20000,1,3
INTERWELL HEALTH,HORIZON GOVERNMENT AFFAIRS,MA,20000,1,3
STRIVE HEALTH,HORIZON GOVERNMENT AFFAIRS,CO,20000,1,3
"SUPERNAL, LLC","CASSIDY & ASSOCIATES, INC.",DC,40000,2,2
US RENAL CARE,HORIZON GOVERNMENT AFFAIRS,TX,20000,1,3
TEXAS STATE DEVELOPMENT FOUNDATION,"CASSIDY & ASSOCIATES, INC.",TX,40000,2,3
UNIVERSITY OF NEBRASKA,"CASSIDY & ASSOCIATES, INC.",NE,60000,6,4
EAST BAY REGIONAL PARK DISTRICT,"E2 STRATEGIES, LLC",CA,20000,3,1
UNIVERSITY OF SOUTHERN MISSISSIPPI,"CASSIDY & ASSOCIATES, INC.",MS,50000,4,2
EAGLE CREST ENERGY COMPANY,"E2 STRATEGIES, LLC",CA,10000,1,1
NATIONAL AUDUBON SOCIETY,"E2 STRATEGIES, LLC",DC,20000,2,1
DEFENSE METALS,"E2 STRATEGIES, LLC",BC,10000,1,1
"UNIVERSITY OF PITTSBURGH, SCHOOL OF HEALTH AND REHABILITATION SCIENCES","CASSIDY & ASSOCIATES, INC.",PA,50000,2,2
"WILSON CITY, LLC","CASSIDY & ASSOCIATES, INC.",AR,30000,1,2
SEQIRUS USA INC,"CASSIDY & ASSOCIATES, INC.",NJ,60000,3,3
WORLD RESOURCES INSTITUTE,"CASSIDY & ASSOCIATES, INC.",DC,40000,4,2
RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT,"CASSIDY & ASSOCIATES, INC.",CA,40000,2,2
PACCAR INC,PACCAR INC,DC,180000,7,1
OCEANEERING INTERNATIONAL INC,VAN BUSKIRK AND ASSOCIATES LLC,TX,40000,4,1
HOPE FOR JUSTICE,ASCEND CONSULTING,TN,10500,2,1
STREET GRACE,ASCEND CONSULTING,GA,10500,1,2
THISTLE FARMS,ASCEND CONSULTING,TN,12000,2,2
CHRISTIAN CAMP AND CONFERENCE ASSOCIATION,ASCEND CONSULTING,CO,7500,2,2
3STRANDS GLOBAL FOUNDATION,ASCEND CONSULTING,CA,0,2,1
CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,OH,34865,4,1
FLORIDA SUGAR CANE LEAGUE,FLORIDA SUGAR CANE LEAGUE,DC,310000,1,2
MARK OSMOND ISAACS,COVINGTON & BURLING LLP,,0,2,2
"MUSEUM OF SCIENCE, BOSTON","MUSEUM OF SCIENCE, BOSTON",MA,0,3,2
RIO GRANDE VALLEY SUGAR GROWERS,FLORIDA SUGAR CANE LEAGUE,DC,30000,1,2
SUGAR CANE GROWERS COOPERATIVE OF FLORIDA,FLORIDA SUGAR CANE LEAGUE,FL,30000,1,2
BNSF RAILWAY CO,"CASSIDY & ASSOCIATES, INC.",DC,20000,2,1
TURO,"CASSIDY & ASSOCIATES, INC.",CA,80000,3,6
BJC HEALTHCARE,"CASSIDY & ASSOCIATES, INC.",MO,50000,2,2
LOCKHEED MARTIN CORPORATION,"ETHERTON AND ASSOCIATES, INC.",MD,30000,3,1
NATIONAL ASSOCIATION OF SMALL TRUCKING COMPANIES,JAMES EDWARDS,TN,19000,4,1
MANTECH INTERNATIONAL INC,"ETHERTON AND ASSOCIATES, INC.",VA,20000,3,1
RELIABLE ROBOTICS CORPORATION,"CASSIDY & ASSOCIATES, INC.",CA,40000,2,1
RTX CORPORATION AND AFFILIATES (FKARAYTHEON TECHNOLOGIES CORPORATION),"ETHERTON AND ASSOCIATES, INC.",MA,20000,3,1
MGIC,CAPSTONE NATIONAL PARTNERS,WI,65000,1,2
NATIONAL ASSOCIATION OF STATE AND LOCAL EQUITY FUNDS,ROBERT ROZEN,OH,20000,1,1
HOSPICE COMPASSUS,HOSPICE COMPASSUS,TN,65000,2,1
QUAD GRAPHICS,CAPSTONE NATIONAL PARTNERS,WI,30000,2,2
ENTERPRISE COMMUNITY PARTNERS,ROBERT ROZEN,MD,7500,1,1
"NATIONAL EQUITY FUND, INC.",ROBERT ROZEN,IL,20000,1,1
INTERNATIONAL ASSOCIATION OF MEDICAL EQUIPMENT REMARKETERS AND SERVICERS,CAPSTONE NATIONAL PARTNERS,NJ,0,1,1
CUNA MUTUAL GROUP,CAPSTONE NATIONAL PARTNERS,DC,0,2,1
CRESCENT PEAK RENEWABLES,"CASSIDY & ASSOCIATES, INC.",CA,60000,1,2
CONSERVATIVES FOR PROPERTY RIGHTS,JAMES EDWARDS,SC,19000,8,1
"ENDECE, LLC",CAPSTONE NATIONAL PARTNERS,WI,0,1,1
OVS MEDIA,CAPSTONE NATIONAL PARTNERS,DC,0,1,1
"MV TRANSPORTATION, INC.","MV TRANSPORTATION, INC.",TX,40000,2,1
THE COMMITTEE FOR JUSTICE,JAMES EDWARDS,DC,22500,1,1
MILWAUKEE PUBLIC MUSEUM,CAPSTONE NATIONAL PARTNERS,WI,15000,1,1
LINQ THINGZ,CAPSTONE NATIONAL PARTNERS,WI,0,1,1
AIR CONDITIONING CONTRACTORS OF AMERICA,CAPSTONE NATIONAL PARTNERS,VA,15000,2,2
ATTERX BIOTHERAPEUTICS,CAPSTONE NATIONAL PARTNERS,WI,15000,1,2
MILWAUKEE COUNTY,CAPSTONE NATIONAL PARTNERS,WI,15000,1,2
"MMS PRODUCTS, INC","MMS PRODUCTS, INC",FL,40000,2,1
SCIENCE APPLICATION INTERNATIONAL CORPORATION,"ETHERTON AND ASSOCIATES, INC.",VA,20000,3,1
PROTON THERAPY CONSORTIUM FKA NATIONAL ASSOCIATION FOR PROTON THERAPY,PROTON THERAPY CONSORTIUM FKA NATIONAL ASSOCIATION FOR PROTON THERAPY,FL,0,4,1
"UMASS MEMORIAL HEALTH CARE, INC","CASSIDY & ASSOCIATES, INC.",MA,30000,2,2
COMMITTEE ON PIPE AND TUBE IMPORTS,SCHAGRIN ASSOCIATES,DC,0,4,2
"BELLWETHER DISTRICT HOLDINGS, LLC","CASSIDY & ASSOCIATES, INC.",IL,60000,2,3
LABORATORY CORPORATION OF AMERICA,"PARKER, POE, ADAMS & BERNSTEIN LLP",NC,12000,1,1
RESEARCH TRIANGLE FOUNDATION,"PARKER, POE, ADAMS & BERNSTEIN LLP",NC,15000,1,1
GUSTO,GUSTO,CA,10000,3,1
B&H FOTO & ELECTRONICS CORP,STONINGTON GLOBAL,NY,75000,1,1
TL MANAGEMENT,STONINGTON GLOBAL,NY,90000,1,1
BOSTON COLLEGE,"CASSIDY & ASSOCIATES, INC.",MA,50000,1,2
PYLE USA SOUND AROUND INC,STONINGTON GLOBAL,NY,60000,1,1
MAXSIP TEL LLC,STONINGTON GLOBAL,NY,575000,2,1
CAMPION ADVOCACY FUND,"CASSIDY & ASSOCIATES, INC.",WA,20000,3,4
AMERICAN BIRD CONSERVANCY,AMERICAN BIRD CONSERVANCY,DC,25417,5,5
ART INTO ACRES,"CASSIDY & ASSOCIATES, INC.",CA,0,1,2
BON SECOURS MERCY HEALTH (FKA MERCY HEALTH),"HEALTH POLICY SOURCE, INC.",OH,20000,1,4
OUR CHILDREN'S TRUST,OUR CHILDREN'S TRUST,OR,0,7,1
BILLINGS CLINIC,"HEALTH POLICY SOURCE, INC.",MT,30000,1,4
MISSOURI HOSPITAL ASSOCIATION,"HEALTH POLICY SOURCE, INC.",MO,20000,1,4
EDISON INTERNATIONAL,STUNTZ STRATEGIES LLC,CA,10000,4,1
VULCAN MATERIALS COMPANY,STUNTZ STRATEGIES LLC,AL,20000,1,1
WISCONSIN HOSPITAL ASSOCIATION,"HEALTH POLICY SOURCE, INC.",WI,20000,1,4
"CLIFTON LARSON ALLEN, LLP","HEALTH POLICY SOURCE, INC.",MN,20000,1,4
UP CODES,"INSIGHT PUBLIC AFFAIRS, INC.",CA,10000,1,1
"CEDAR VALLEY MEDICAL SPECIALISTS, P.C.","HEALTH POLICY SOURCE, INC.",IA,20000,1,4
NATIONAL RAILROAD CONSTRUCTION AND MAINTENANCE ASSOCIATION,"TGA ASSOCIATION MANAGEMENT SOLUTIONS, LLC",DC,30000,3,3
RAILWAY ENGINEERING MAINTENANCE SUPPLIERS ASSOCIATION,"TGA ASSOCIATION MANAGEMENT SOLUTIONS, LLC",DC,0,3,2
MS. CAROLYN CHESTER AND FAMILY,"POBLETE TAMARGO, LLP",NE,0,2,2
"HON. JOHN L. LOEB, JR.","POBLETE TAMARGO, LLP",NY,0,1,2
CHUGACH ALASKA CORPORATION,CHUGACH ALASKA CORPORATION,AK,92500,5,1
BRANDON FAMILY,"POBLETE TAMARGO, LLP",FL,0,1,2
SCHECHTER ROSOFF HERTZBERG FAMILIES,"POBLETE TAMARGO, LLP",NY,0,1,2
THE SCOTT FAMILY,"POBLETE TAMARGO, LLP",IN,0,1,2
MRS. GEORGENE OSTREICHER,"POBLETE TAMARGO, LLP",FL,0,1,2
MS. MARGERY ELLEN LEEDER AND FAMILY,"POBLETE TAMARGO, LLP",FL,0,1,2
MS. ELIZABETH SIMPSON AND FAMILY,"POBLETE TAMARGO, LLP",FL,0,1,2
MS. DORI KAPLAN,"POBLETE TAMARGO, LLP",CA,0,1,2
PAGANINI,"POBLETE TAMARGO, LLP",CA,0,1,2
"CONFEDERATED TRIBES OF COOS, LOWER UMPQUA AND SIUSLAW INDIANS",EICHSTAEDT LAW OFFICE,OR,0,3,1
PINGREE,"POBLETE TAMARGO, LLP",VA,0,1,2
PIEDRA FAMILY,"POBLETE TAMARGO, LLP",FL,0,1,2
THE COLEMAN FAMILY,"POBLETE TAMARGO, LLP",MI,0,1,2
THE RACITI FAMILY,"POBLETE TAMARGO, LLP",NY,0,1,2
THE RITTER FAMILY,"POBLETE TAMARGO, LLP",TX,0,1,2
THE CONDON (VEEDER) FAMILY,"POBLETE TAMARGO, LLP",CA,0,1,2
THE WASSALL FAMILY,"POBLETE TAMARGO, LLP",FL,0,1,2
THE BUTTENHEIM FAMILY,"POBLETE TAMARGO, LLP",MI,0,1,2
CONFERENCE OF PROVINCIALS OF NORTH AMERICA,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,MO,20000,9,1
AMERICAN ASSOCIATION OF INTERNATIONAL HEALTHCARE RECRUITMENT,DENTONS US LLP,FL,40000,1,1
JACKSON HEALTH CARE,DENTONS US LLP,GA,20000,3,1
BRIGHTMARK,DENTONS US LLP,CA,60000,1,4
MOLECULAR TESTING LABS,ASCENDANT STRATEGIC PARTNERS,WA,30000,1,2
CAMECO CORPORATION,DENTONS US LLP,,80000,1,3
ACCESS TO ADVANCED HEALTH INSTITUTE,ASCENDANT STRATEGIC PARTNERS,WA,37500,1,2
CONCERNED WOMEN FOR AMERICA LEGISLATIVE ACTION COMMITTEE,CONCERNED WOMEN FOR AMERICA LEGISLATIVE ACTION COMMITTEE,DC,11000,5,2
"ACCESSLEX INSTITUTE (FKA ACCESS GROUP, INC.)","ACCESSLEX INSTITUTE (FKA ACCESS GROUP, INC.)",PA,0,1,2
COMPASSION AND CHOICES,COMPASSION AND CHOICES,CO,360000,1,1
CDR MAGUIRE INC.,"A10 ASSOCIATES, LLC",MA,60000,2,1
"QUANTUM COMPUTING, INC.","A10 ASSOCIATES, LLC",VA,110000,1,3
J. DERENZO COMPANIES,"A10 ASSOCIATES, LLC",MA,30000,1,1
DREW COMPANY,"A10 ASSOCIATES, LLC",MA,60000,2,1
ASCENSUS,"A10 ASSOCIATES, LLC",PA,30000,1,3
GREYSCAN AUSTRALIA PTY LTD.,"A10 ASSOCIATES, LLC",,60000,1,1
KAREN BACARDI,"A10 ASSOCIATES, LLC",FL,30000,1,1
ONECHIROPRACTIC,"A10 ASSOCIATES, LLC",OH,30000,2,2
BLINK CHARGING CO.,"A10 ASSOCIATES, LLC",FL,60000,1,2
MUFON,"A10 ASSOCIATES, LLC",OH,30000,1,2
SALISBURY BEACH PARTNERSHIP,"A10 ASSOCIATES, LLC",MA,20000,1,1
"D-FEND SOLUTIONS, INC.","D-FEND SOLUTIONS, INC.",VA,10000,1,1
"CARBON RIVERS, INC.","A10 ASSOCIATES, LLC",TN,50000,1,2
CLEANLIGHT,"A10 ASSOCIATES, LLC",FL,30000,1,2
"FLAMINGO AIR, INC.","A10 ASSOCIATES, LLC",OH,20000,1,2
DREAM CENTER INDIANAPOLIS,"A10 ASSOCIATES, LLC",IN,20000,1,2
"SOLARTECH ENERGY SYSTEMS, INC.","A10 ASSOCIATES, LLC",CA,60000,1,2
VEHYA,"A10 ASSOCIATES, LLC",MI,30000,1,2
MONETTE FARM,"A10 ASSOCIATES, LLC",SK,60000,1,2
WATERKEEPER ALLIANCE,"A10 ASSOCIATES, LLC",NY,30000,1,2
MGM TRANSFORMER COMPANY,"A10 ASSOCIATES, LLC",CA,20000,1,2
ALLIED POWER AND CONTROL,"A10 ASSOCIATES, LLC",MD,10000,1,2
NEW CITY DEVELOPMENT PARTNERS,"A10 ASSOCIATES, LLC",IN,30000,2,1
"INTELLECTUAL TECHNOLOGY, INC.","A10 ASSOCIATES, LLC",IN,30000,1,1
RMS ENERGY CO. LLC,"A10 ASSOCIATES, LLC",MN,20000,1,2
AESTHETIC MEDICAL PROVIDERS OF NEW HAMPSHIRE,"A10 ASSOCIATES, LLC",NH,10000,1,1
"DELAWARE NORTH COMPANIES, INC.","DELAWARE NORTH COMPANIES, INC.",NY,0,2,1
"WNDR GLOBAL, INC.","A10 ASSOCIATES, LLC",IL,20000,1,1
ORIGIN PROPERTY GROUP,"A10 ASSOCIATES, LLC",MA,80000,2,2
HAYNES GROUP INC.,"A10 ASSOCIATES, LLC",MA,20000,2,1
AMERICAN FEDERATION OF SCHOOL ADMINISTRATORS,BERNSTEIN STRATEGY GROUP,DC,10000,3,1
NATIONAL COUNCIL FOR LANGUAGES AND INTERNATIONAL STUDIES,BERNSTEIN STRATEGY GROUP,WA,10000,2,1
LEARNING FORWARD,BERNSTEIN STRATEGY GROUP,TX,20000,1,1
AMERICAN BUS ASSOCIATION,AMERICAN BUS ASSOCIATION,DC,45000,9,1
WK KELLOGG CO,WK KELLOGG CO.,MI,80000,1,1
"DESALES MEDIA GROUP, INC.","DESALES MEDIA GROUP, INC.",NY,0,1,1
HERMEUS CORP.,HERMEUS CORP.,GA,150000,1,1
THE LEONA TATE FOUNDATION FOR CHANGE,DENTONS US LLP,LA,0,1,2
REPSOL S.A.,DENTONS US LLP,,80000,3,2
PHARMACEUTICAL INDUSTRY LABOR MANAGEMENT ASSOCIATION,DAVE KOLBE CONSULTING,VA,30000,1,1
COALITION FOR RESPONSIBLE WASTE INCINERATION,COALITION FOR RESPONSIBLE WASTE INCINERATION,VA,0,1,1
UNIVERSITY OF MIAMI,DENTONS US LLP,FL,50000,1,2
VOICES FOR NATIONAL SERVICE,DENTONS US LLP,DC,30000,1,1
UPPER WESTSIDE COMMUNITY IMPROVEMENT DISTRICT,DENTONS US LLP,GA,15000,1,1
ANIMAL WELLNESS ACTION,DENTONS US LLP,DC,30000,1,3
"COBB COUNTY, GEORGIA",DENTONS US LLP,GA,30000,1,5
"ASTRANIS SPACE TECHNOLOGIES, INC.",DENTONS US LLP,CA,80000,1,2
DEKALB COUNTY BOARD OF COMMISSIONERS,DENTONS US LLP,GA,20000,2,1
WORLD DOG ALLIANCE,DENTONS US LLP,,135000,3,2
INSPIRED SEEDLINGS,DENTONS US LLP,NJ,30000,1,2
METROPOLITAN PIER AND EXPOSITION AUTHORITY,DENTONS US LLP,IL,40000,1,3
OCEANA,THE MCSWANE GROUP,DC,10000,1,1
ALLSUP,THE MCSWANE GROUP,IL,40000,2,1
PINSLY RAILROAD COMPANY,DENTONS US LLP,FL,60000,1,2
NEW YORK INSTITUTE FOR SPECIAL EDUCATION,THE MCSWANE GROUP,NY,20000,1,1
CLEAN AIR TASK FORCE,THE MCSWANE GROUP,MA,40000,2,1
STAR HARBOR SPACE ACADEMY,THE MCSWANE GROUP,CO,10000,1,1
BUCKHEAD BUSINESS IMPROVEMENT DISTRICT,DENTONS US LLP,GA,10000,1,1
MANITOBA HYDRO CORPORATION,DENTONS US LLP,,0,1,1
GRIDWISE ALLIANCE,DENTONS US LLP,DC,10000,1,2
"RIO TINTO SERVICES, INC.",TORRES CONSULTING AND LAW GROUP,DC,30000,1,1
BAUSCH HEALTH COMPANIES,BAUSCH HEALTH COMPANIES,NJ,160000,1,1
THE BOSTON BEER COMPANY,THE NARDELLI GROUP,MA,40000,3,1
THE AUTO CARE ASSOCIATION,THE NARDELLI GROUP,MD,40000,2,1
HIGHLAND DAIRY & FARM,RUTTENKERN POLICY GROUP,NM,0,1,2
RAJEN DAIRY,RUTTENKERN POLICY GROUP,NM,10000,1,2
DO-RENE DAIRY,RUTTENKERN POLICY GROUP,NM,20000,1,2
IDAHO POWER,THE MICHAEL LEWAN COMPANY,DC,20000,1,1
SPACE FRONTIER FOUNDATION,MR. AARON OESTERLE,MD,9000,1,1
CURE ALZHEIMER'S FUND,"FRANCIS EDWARD & CRONIN, INC.",MA,20000,2,1
AUDUBON NATURE INSTITUTE,"BERNI CONSULTING, LLC",LA,0,1,1
VIRGINIA PEANUT GROWERS ASSN,"TRIANGLE ASSOCIATES, INC.",VA,0,1,1
PEANUT GROWERS COOPERATIVE MARKETING ASSN,"TRIANGLE ASSOCIATES, INC.",VA,0,1,1
NATIONAL ASSN OF FARMERS MARKET NUTRITION PROGRAMS,"TRIANGLE ASSOCIATES, INC.",VA,0,1,1
NORTH CAROLINA PEANUT GROWERS ASSN,"TRIANGLE ASSOCIATES, INC.",NC,0,1,1
FIS GLOBAL,"TRIANGLE ASSOCIATES, INC.",FL,15000,1,1
NATIONAL SUSTAINABLE AGRICULTURE COALITION,NATIONAL SUSTAINABLE AGRICULTURE COALITION,DC,0,1,1
"CITY OF EVERETT, WA",HOLLAND & KNIGHT LLP,WA,30000,5,3
CITY OF FREMONT CA,HOLLAND & KNIGHT LLP,CA,30000,2,1
"CITY OF SACRAMENTO, CA",HOLLAND & KNIGHT LLP,CA,20000,3,3
"CITY OF SAN JOSE, CA",HOLLAND & KNIGHT LLP,CA,40000,6,3
"CITY OF SANTA ANA, CA",HOLLAND & KNIGHT LLP,CA,20000,2,2
"CITY OF SEATTLE, WA",HOLLAND & KNIGHT LLP,WA,60000,7,3
LOS ANGELES COMMUNITY COLLEGE DISTRICT,HOLLAND & KNIGHT LLP,CA,40000,2,2
PALLET PBC,HOLLAND & KNIGHT LLP,WA,40000,2,4
ACCENTURE FEDERAL SERVICES LLC,ACCENTURE FEDERAL SERVICES LLC,VA,220000,9,2
TREA SENIOR CITIZENS LEAGUE,TREA SENIOR CITIZENS LEAGUE,VA,0,2,1
PUGET SOUND REGIONAL COUNCIL,HOLLAND & KNIGHT LLP,WA,30000,1,2
RESULTS FOR AMERICA,HOLLAND & KNIGHT LLP,DC,50000,3,2
SOUTHERN CALIFORNIA ASSOCIATION OF GOVERNMENTS,HOLLAND & KNIGHT LLP,CA,30000,2,2
UNIVERSITY OF PITTSBURGH,HOLLAND & KNIGHT LLP,PA,50000,3,2
UNIVERSITY OF SOUTHERN CALIFORNIA,HOLLAND & KNIGHT LLP,CA,40000,3,4
WAKEFERN FOOD CORP.,WAKEFERN FOOD CORP.,NJ,0,5,1
"ACP TECHNOLOGIES, LLC",HOLLAND & KNIGHT LLP,MI,60000,1,2
"TOPSOE, INC.","TOPSOE, INC.",TX,60000,2,1
"FEMWELL GROUP HEALTH, INC.","HEALTH POLICY SOURCE, INC.",FL,20000,1,4
CARBICE CORPORATION,HOLLAND & KNIGHT LLP,GA,50000,1,3
VANCOUVER CLINIC,"HEALTH POLICY SOURCE, INC.",WA,10000,1,4
GLOBAL TECHNICAL SYSTEMS,GLOBAL TECHNICAL SYSTEMS,VA,30000,1,1
AMERICAN ASSOCIATION OF NATUROPATHIC PHYSICIANS,"HEALTH POLICY SOURCE, INC.",DC,10000,1,4
"STRATUM MED, INC.","HEALTH POLICY SOURCE, INC.",IL,0,1,4
"OMADA HEALTH, INC.","HEALTH POLICY SOURCE, INC.",CA,20000,1,3
COVAR LLC,HOLLAND & KNIGHT LLP,VA,40000,1,3
CAMPAIGN FOR TOBACCO FREE KIDS,"REINECKE STRATEGIC SOLUTIONS, INC.",DC,10000,3,1
VOR - A VOICE OF REASON,"HEALTH POLICY SOURCE, INC.",IL,10000,1,4
HYPORI LLC,HOLLAND & KNIGHT LLP,VA,10000,1,3
INTELLIGENT WAVES LLC,HOLLAND & KNIGHT LLP,VA,50000,1,3
BONE HEALTH AND OSTEOPOROSIS FOUNDATION (FKA) NATIONAL OSTEOPOROSIS FOUNDATION,"REINECKE STRATEGIC SOLUTIONS, INC.",VA,10000,4,1
NATIONAL COUNCIL ON SEVERE AUTISM,"HEALTH POLICY SOURCE, INC.",CA,10000,1,4
HOSPICE AND PALLIATIVE NURSES ASSOCIATION,"HEALTH POLICY SOURCE, INC.",PA,20000,1,4
UNITED NATURAL PRODUCTS ALLIANCE,"REINECKE STRATEGIC SOLUTIONS, INC.",UT,10000,1,1
"STRIDE, INC.",HOLLAND & KNIGHT LLP,VA,80000,2,2
"SYSTEMS PLANNING & ANALYSIS, INC.",HOLLAND & KNIGHT LLP,VA,50000,2,3
"TAKAYA TECHNOLOGY, INC.",HOLLAND & KNIGHT LLP,NS,0,2,1
PHARMAVITE LLC,"REINECKE STRATEGIC SOLUTIONS, INC.",CA,40000,4,1
ENOVIS,"HEALTH POLICY SOURCE, INC.",DC,20000,1,4
"TRANSDIGM GROUP, INC.",HOLLAND & KNIGHT LLP,DC,90000,1,3
"PREMIER HEALTHCARE SOLUTIONS, INC.","HEALTH POLICY SOURCE, INC.",NC,30000,1,4
