geoid,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,entropy,largest,largest_pct
26163517300,2131,62,718,1215,9,62,0,5,60,1.03052,Black,57.0155
26163517500,2856,43,445,2050,5,217,1,12,83,0.926396,Black,71.7787
26163518000,2280,73,639,1380,1,98,0,10,79,1.04956,Black,60.5263
26163518900,2121,32,87,1941,5,13,0,7,36,0.408965,Black,91.5134
26163519000,1091,16,90,923,3,5,0,8,46,0.619651,Black,84.6013
26163519100,1037,50,213,714,7,9,1,0,43,0.941874,Black,68.8525
26163519200,1440,4,49,1333,5,2,3,6,38,0.363275,Black,92.5694
26163519300,1208,18,106,1028,3,2,2,7,42,0.596238,Black,85.0993
26163520200,3650,99,2002,837,15,527,5,29,136,1.23699,White,54.8493
26163520300,2622,81,1043,714,11,652,4,14,103,1.36235,White,39.7788
26163520400,1940,70,619,1070,4,72,0,33,72,1.13907,Black,55.1546
26163520700,3151,184,1682,947,9,183,0,17,129,1.20328,White,53.3799
26163520800,1242,67,488,480,5,125,5,10,62,1.35592,White,39.2915
26163521100,1544,712,339,418,12,8,1,6,48,1.24282,Hispanic,46.114
26163521400,1403,166,719,391,1,37,2,11,76,1.25753,White,51.2473
26163521500,1354,113,243,890,0,3,0,15,90,1.03497,Black,65.7312
26163521800,1466,9,47,1347,3,8,0,8,44,0.394117,Black,91.8827
26163521900,2943,106,978,1659,5,57,0,33,105,1.06544,Black,56.371
26163522000,1789,31,64,1641,4,0,1,13,35,0.39921,Black,91.7272
26163522300,1193,13,38,1086,9,0,0,4,43,0.420318,Black,91.031
26163522400,924,11,66,803,0,3,0,7,34,0.540339,Black,86.9048
26163522500,1442,23,167,1191,3,2,0,17,39,0.645588,Black,82.5936
26163522800,1186,205,74,847,0,7,0,4,49,0.898068,Black,71.4165
26163523100,1336,820,253,218,2,3,0,4,36,1.04876,Hispanic,61.3772
26163523200,3247,2620,406,141,3,7,0,8,62,0.679381,Hispanic,80.6899
26163523300,2914,2345,296,193,8,3,0,10,59,0.708623,Hispanic,80.4736
26163523400,2196,990,533,570,4,9,0,7,83,1.22905,Hispanic,45.082
26163523800,3759,2890,578,202,6,6,0,3,74,0.750704,Hispanic,76.8821
26163524001,2553,2044,313,110,16,2,1,7,60,0.71562,Hispanic,80.0627
26163524101,3730,2769,517,332,12,5,0,9,86,0.839171,Hispanic,74.2359
26163524200,4366,3460,604,208,18,8,0,12,56,0.70925,Hispanic,79.2487
26163524300,2626,2011,427,116,9,5,1,5,52,0.761472,Hispanic,76.5804
26163524500,83,22,44,14,0,1,0,1,1,1.14831,White,53.012
26163524600,1401,730,371,228,9,7,0,0,56,1.17461,Hispanic,52.1056
26163524700,3768,416,63,3124,13,0,2,29,121,0.638526,Black,82.9087
26163524800,2586,335,98,2033,7,0,1,9,103,0.745053,Black,78.6156
26163525400,1795,760,120,856,2,8,0,8,41,1.04001,Black,47.688
26163525700,4403,3552,564,175,12,14,0,14,72,0.684617,Hispanic,80.6723
26163525800,1781,1407,214,96,5,7,1,3,48,0.74887,Hispanic,79.0006
26163525900,2610,1752,280,511,10,6,0,16,35,0.950655,Hispanic,67.1264
26163526000,3043,1257,1532,126,4,21,0,15,88,1.01428,White,50.3451
26163526100,2753,767,1695,94,1,23,0,15,158,1.00524,White,61.5692
26163526200,3026,1749,1022,124,4,9,0,16,102,0.982432,Hispanic,57.7991
26163526300,3345,2739,331,224,10,4,0,4,33,0.652636,Hispanic,81.8834
26163526400,1417,1078,73,224,7,3,0,3,29,0.784312,Hispanic,76.0762
26163526500,1796,489,39,1201,4,3,0,16,44,0.863677,Black,66.8708
26163527900,1835,289,47,1443,9,0,0,7,40,0.704675,Black,78.6376
26163530100,2336,32,91,2139,2,2,0,22,48,0.401727,Black,91.5668
26163530200,3546,77,592,2707,6,62,0,3,99,0.775552,Black,76.3395
26163530300,1341,17,9,1259,6,0,0,7,43,0.310136,Black,93.8852
26163530400,1283,15,7,1233,7,0,1,4,16,0.225324,Black,96.1029
26163530500,2253,64,106,1974,0,14,0,7,88,0.536965,Black,87.6165
26163530800,1394,36,25,1281,2,2,0,0,48,0.379006,Black,91.8938
26163530900,1698,22,36,1561,6,8,0,8,57,0.399723,Black,91.9317
26163531100,946,16,19,879,3,0,2,1,26,0.353035,Black,92.9175
26163531200,2242,49,403,1661,6,16,0,11,96,0.826389,Black,74.0856
26163531300,1153,22,47,1033,0,3,0,13,35,0.476586,Black,89.5924
26163531400,1518,10,75,1369,0,10,0,6,48,0.439033,Black,90.1845
26163531501,1276,22,62,1126,0,2,0,12,52,0.511743,Black,88.2445
26163531502,809,9,12,745,0,0,1,0,42,0.350252,Black,92.089
26163531600,1644,15,29,1544,3,1,0,4,48,0.306845,Black,93.9173
26163531700,1645,21,22,1539,1,4,1,13,44,0.334444,Black,93.5562
26163531800,1500,31,20,1404,0,0,0,2,43,0.310296,Black,93.6
26163531900,866,16,45,752,8,1,0,8,36,0.576545,Black,86.836
26163532100,2162,55,402,1569,10,19,0,7,100,0.866073,Black,72.5717
26163532400,1569,41,176,1259,6,8,0,10,69,0.735083,Black,80.2422
26163532600,2068,36,216,1615,0,95,1,19,86,0.820094,Black,78.0948
26163532700,558,7,33,498,0,3,0,3,14,0.472346,Black,89.2473
26163533000,1426,54,179,1146,0,2,0,4,41,0.687876,Black,80.3647
26163533100,1388,34,82,1223,4,3,0,6,36,0.517875,Black,88.1124
26163533200,1104,24,17,1016,3,3,0,4,37,0.390223,Black,92.029
26163533300,1196,37,55,1047,3,3,0,16,35,0.556717,Black,87.5418
26163533400,2215,37,59,2046,0,8,0,6,59,0.371129,Black,92.3702
26163533600,1390,98,42,1200,5,0,0,10,35,0.568058,Black,86.3309
26163533800,1921,84,47,1707,6,1,0,7,69,0.494487,Black,88.86
26163533900,3356,104,753,2210,5,111,2,22,149,1.01619,Black,65.8522
26163534100,1691,24,9,1592,1,0,0,18,47,0.29739,Black,94.1455
26163534200,2991,51,26,2808,9,0,0,23,74,0.316374,Black,93.8816
26163534300,1087,28,13,988,8,1,0,11,38,0.440283,Black,90.8924
26163534400,1474,23,13,1379,3,1,0,10,45,0.326922,Black,93.555
26163534700,3056,100,82,2746,6,2,0,14,106,0.463399,Black,89.856
26163534800,2205,179,24,1884,2,4,0,2,110,0.561196,Black,85.4422
26163535000,2411,57,57,2192,4,4,0,17,80,0.432825,Black,90.9166
26163535100,1717,18,18,1656,2,2,0,7,14,0.207838,Black,96.4473
26163535200,2019,35,26,1879,2,1,0,5,71,0.336428,Black,93.0659
26163535300,3950,32,47,3693,7,2,0,23,146,0.321569,Black,93.4937
26163535600,3727,64,202,3329,0,8,0,25,99,0.471796,Black,89.3212
26163535700,1313,51,18,1205,0,3,0,11,25,0.393134,Black,91.7746
26163535800,3944,137,131,3519,15,6,1,11,124,0.489873,Black,89.2241
26163536100,3327,43,89,3059,4,0,0,28,104,0.386911,Black,91.9447
26163536200,2165,20,34,2040,0,6,0,8,57,0.297317,Black,94.2263
26163536300,2736,31,22,2575,11,0,0,17,80,0.303656,Black,94.1155
26163536400,2145,25,21,2055,0,1,0,1,42,0.222413,Black,95.8042
26163536500,2097,16,28,1945,0,5,0,9,94,0.341599,Black,92.7515
26163536600,2535,47,25,2398,0,0,0,17,48,0.280717,Black,94.5957
26163536700,1055,10,9,989,11,0,0,2,34,0.315523,Black,93.7441
26163536800,1667,15,5,1602,2,4,1,5,33,0.220099,Black,96.1008
26163536900,3374,28,47,3178,4,5,0,12,100,0.297653,Black,94.1909
26163537000,3334,19,45,3165,0,2,0,18,85,0.26313,Black,94.931
26163537100,1946,36,28,1833,0,3,1,1,44,0.294632,Black,94.1932
26163537200,583,7,10,548,3,0,0,0,15,0.302316,Black,93.9966
26163537300,1987,38,29,1822,0,0,3,15,80,0.392887,Black,91.696
26163537500,2714,13,37,2567,5,0,4,20,68,0.286578,Black,94.5836
26163537600,3365,58,62,3137,0,10,0,16,82,0.342228,Black,93.2244
26163537700,2874,38,34,2696,7,1,0,9,89,0.312755,Black,93.8065
26163537800,1545,10,25,1465,4,0,0,7,34,0.273627,Black,94.822
26163538100,2136,41,366,1622,0,11,6,14,76,0.782465,Black,75.9363
26163538200,1972,53,354,1462,8,19,1,10,65,0.837559,Black,74.1379
26163538300,2162,29,154,1870,2,10,12,12,73,0.574902,Black,86.494
26163538400,3330,82,582,2457,1,24,0,16,168,0.834706,Black,73.7838
26163538500,5184,83,169,4690,13,14,0,49,166,0.453651,Black,90.4707
26163538600,4758,57,124,4388,7,5,0,42,135,0.382345,Black,92.2236
26163538700,3823,50,51,3631,1,1,0,12,77,0.264307,Black,94.9778
26163538800,1549,8,24,1478,1,0,0,5,33,0.241787,Black,95.4164
26163538900,3465,44,81,3249,0,3,0,11,77,0.312561,Black,93.7662
26163539000,2769,23,55,2588,7,7,0,14,75,0.335529,Black,93.4633
26163539100,1788,20,32,1666,6,1,0,6,57,0.340384,Black,93.1767
26163539200,4863,55,73,4568,2,11,0,25,129,0.312869,Black,93.9338
26163539300,3793,39,39,3577,12,3,0,37,86,0.304302,Black,94.3053
26163539400,3707,51,46,3487,12,1,1,20,89,0.311689,Black,94.0653
26163539500,2921,23,31,2796,5,6,0,12,48,0.241952,Black,95.7206
26163539600,3197,31,39,3017,11,2,0,12,85,0.294929,Black,94.3697
26163539700,2072,31,29,1943,6,0,0,4,59,0.313225,Black,93.7741
26163540100,3201,27,39,3026,10,1,0,12,86,0.285787,Black,94.533
26163540200,3183,32,21,3020,3,1,0,22,84,0.268651,Black,94.879
26163540300,3746,29,27,3541,11,11,0,21,106,0.290567,Black,94.5275
26163540400,2632,29,52,2458,9,5,0,9,70,0.338277,Black,93.3891
26163540500,3466,30,40,3265,3,4,0,22,102,0.298666,Black,94.2008
26163540600,3274,49,66,3035,8,0,0,34,82,0.366331,Black,92.7001
26163540700,3193,30,74,2974,3,14,0,12,86,0.345972,Black,93.1412
26163540800,2110,17,28,1965,4,3,2,16,75,0.345937,Black,93.128
26163540900,3420,22,33,3276,7,6,0,10,66,0.235499,Black,95.7895
26163541000,3775,51,48,3548,4,2,1,17,104,0.308659,Black,93.9868
26163541100,2921,38,54,2699,11,6,0,23,90,0.382393,Black,92.3999
26163541200,2046,38,98,1832,4,4,0,9,61,0.471492,Black,89.5406
26163541300,2664,66,385,2084,10,5,0,19,95,0.750132,Black,78.2282
26163541400,2642,55,275,2155,7,11,0,13,126,0.692111,Black,81.567
26163541500,3625,33,90,3376,16,1,0,11,98,0.342212,Black,93.131
26163541700,2538,36,47,2378,6,0,0,8,63,0.319441,Black,93.6958
26163541800,2533,73,280,1997,11,31,0,28,113,0.799151,Black,78.8393
26163542100,4547,30,53,4321,6,5,0,8,124,0.259094,Black,95.0297
26163542200,3644,13,71,3440,10,3,0,17,90,0.289706,Black,94.4018
26163542300,2255,32,40,2096,3,2,0,21,61,0.356116,Black,92.949
26163542400,2651,27,45,2487,22,1,2,10,57,0.327584,Black,93.8137
26163542500,2475,46,80,2236,6,5,2,28,72,0.463244,Black,90.3434
26163542600,3168,41,22,3023,2,5,0,9,66,0.247623,Black,95.423
26163542900,3319,52,265,2879,13,12,0,20,78,0.551287,Black,86.743
26163543000,1778,23,156,1538,2,0,0,14,45,0.534011,Black,86.5017
26163543100,2455,24,174,2147,4,16,0,20,70,0.533957,Black,87.4542
26163543200,3008,47,76,2784,6,3,0,22,70,0.372317,Black,92.5532
26163543300,3315,45,89,3112,3,0,0,17,49,0.310488,Black,93.8763
26163543400,3132,46,71,2945,3,1,0,13,53,0.306741,Black,94.0294
26163543500,1210,60,85,1005,4,6,1,4,45,0.682067,Black,83.0579
26163543700,1785,62,87,1523,17,0,0,15,81,0.624226,Black,85.3221
26163543900,785,24,89,638,5,0,0,5,24,0.693009,Black,81.2739
26163544000,2534,19,132,2289,4,12,0,7,71,0.43443,Black,90.3315
26163544100,2222,35,105,1994,4,4,1,7,72,0.462264,Black,89.739
26163544200,2005,57,185,1636,5,0,0,7,115,0.685708,Black,81.596
26163544300,2428,42,468,1800,3,12,0,11,92,0.792378,Black,74.1351
26163544800,1775,63,195,1391,10,9,0,16,91,0.802878,Black,78.3662
26163545100,1026,8,22,956,0,0,0,2,38,0.320314,Black,93.1774
26163545200,2641,36,44,2467,2,0,0,19,73,0.330566,Black,93.4116
26163545500,3878,230,1068,2311,16,28,1,14,210,1.06975,Black,59.5926
26163545600,5319,637,3211,1168,6,38,0,33,226,1.10043,White,60.3685
26163545700,2925,617,934,1224,14,10,0,10,116,1.24973,Black,41.8462
26163545800,5518,1115,1610,2494,20,27,0,58,194,1.25345,Black,45.1975
26163545900,3758,374,396,2817,13,3,0,33,122,0.860949,Black,74.9601
26163546000,2925,168,151,2467,10,10,0,12,107,0.643122,Black,84.3419
26163546100,3952,154,289,3352,6,13,0,21,117,0.618079,Black,84.8178
26163546201,3067,131,622,2174,6,17,2,18,97,0.887361,Black,70.8836
26163546301,1792,42,126,1544,6,12,1,8,53,0.588054,Black,86.1607
26163546600,1996,35,43,1806,6,0,1,10,95,0.436815,Black,90.481
26163546700,2816,47,71,2603,3,4,0,1,87,0.360662,Black,92.4361
26163547000,3512,47,58,3315,7,5,1,10,69,0.297937,Black,94.3907
26163547100,4714,49,84,4403,12,3,0,25,138,0.334027,Black,93.4026
26163547200,3982,121,99,3627,8,4,0,10,113,0.418599,Black,91.0849
26163550100,3945,97,3226,339,6,111,0,19,147,0.725158,White,81.7744
26163550200,4109,173,3227,355,13,108,0,26,207,0.831121,White,78.5349
26163550300,3541,119,3141,93,5,64,0,1,118,0.513405,White,88.7038
26163550400,1648,47,1424,83,4,43,0,0,47,0.589394,White,86.4078
26163550500,4030,109,3663,97,9,43,0,2,107,0.436334,White,90.8933
26163550600,2696,61,2477,22,4,50,0,7,75,0.401522,White,91.8769
26163550700,5817,162,5258,120,5,79,3,35,155,0.466832,White,90.3902
26163550800,1635,50,1408,66,4,49,0,0,58,0.603212,White,86.1162
26163550900,2570,59,2289,28,2,124,0,5,63,0.493899,White,89.0661
26163551100,5347,129,4738,210,4,100,0,8,158,0.517741,White,88.6104
26163551200,3982,135,2995,579,6,64,0,18,185,0.852525,White,75.2135
26163551300,4383,98,1769,2257,8,73,0,20,158,1.01703,Black,51.4944
26163551400,4431,104,1099,3011,4,40,0,16,157,0.883884,Black,67.9531
26163551500,2441,44,661,1608,6,20,0,9,93,0.900407,Black,65.8746
26163551600,4237,54,672,3323,22,8,0,16,142,0.712248,Black,78.4281
26163551700,3399,105,2970,116,0,93,2,19,94,0.571638,White,87.3786
26163551800,3759,121,3061,327,2,98,3,14,133,0.734146,White,81.4312
26163552000,3701,30,1410,188,11,1921,0,14,127,1.05253,Asian,51.9049
26163552100,5760,50,2273,1367,9,1685,1,30,345,1.31666,White,39.4618
26163552200,4685,60,3089,277,4,985,3,35,232,1.02167,White,65.9338
26163552300,4656,63,2570,181,7,1599,0,20,216,1.05516,White,55.1976
26163552400,3524,32,1813,414,2,966,1,22,274,1.22781,White,51.4472
26163552801,6102,83,4672,387,3,471,2,69,415,0.875416,White,76.5651
26163553000,918,6,45,814,6,8,0,13,26,0.522756,Black,88.671
26163553100,1295,22,75,1125,1,9,0,9,54,0.563563,Black,86.8726
26163553200,572,2,23,516,0,1,0,4,26,0.428248,Black,90.2098
26163553601,1931,48,148,1647,13,4,1,4,66,0.602971,Black,85.2926
26163553800,1370,43,116,1154,2,21,2,1,31,0.636324,Black,84.2336
26163554100,4247,176,1920,1814,29,23,2,22,261,1.11878,White,45.2084
26163554200,3160,151,1797,941,10,20,0,22,219,1.09686,White,56.8671
26163554300,5157,218,2897,1669,9,41,0,22,301,1.06142,White,56.1761
26163554400,3404,156,1252,1738,14,35,2,18,189,1.11464,Black,51.0576
26163554500,2766,110,1314,1122,14,21,0,22,163,1.11695,White,47.5054
26163554600,3756,146,2264,1074,10,12,2,34,214,1.03335,White,60.2769
26163554700,3297,133,1495,1486,7,37,1,16,122,1.06107,White,45.3443
26163554800,3611,100,1152,2175,2,27,0,22,133,0.962591,Black,60.2326
26163554900,3352,112,1161,1858,4,47,0,11,159,1.0391,Black,55.4296
26163555100,4697,198,2486,1648,11,55,0,8,291,1.08715,White,52.9274
26163555300,3402,121,916,2128,9,44,0,19,165,1.01311,Black,62.5514
26163555401,2918,75,380,2349,4,23,4,16,67,0.705625,Black,80.5003
26163555500,3050,87,904,1923,6,19,1,8,102,0.928463,Black,63.0492
26163555600,2687,95,1229,1238,2,18,1,18,86,1.01851,Black,46.0737
26163556100,3360,178,2487,375,8,105,0,28,179,0.941858,White,74.0179
26163556200,2783,108,2067,370,5,128,0,9,96,0.902934,White,74.2724
26163556300,3263,95,2622,191,6,229,0,14,106,0.777584,White,80.3555
26163556400,4508,103,3728,195,3,318,2,12,147,0.702047,White,82.6974
26163556500,2172,47,1813,118,0,121,0,5,68,0.675288,White,83.4715
26163556600,3427,92,3054,52,2,117,0,10,100,0.503169,White,89.1158
26163556700,2680,111,2297,67,0,121,1,6,77,0.614731,White,85.709
26163556800,1810,58,1615,21,1,48,0,7,60,0.49849,White,89.2265
26163556900,3686,159,2955,183,7,211,0,25,146,0.799278,White,80.1682
26163557000,3074,146,2206,383,7,164,0,12,156,0.985467,White,71.7632
26163557100,2626,131,1947,295,10,120,0,9,114,0.934831,White,74.1432
26163557200,2081,65,1826,59,3,30,0,10,88,0.553953,White,87.7463
26163557300,2220,63,1933,79,4,38,0,8,95,0.576474,White,87.0721
26163557400,3363,133,2985,32,4,47,1,6,155,0.501098,White,88.76
26163557500,3922,122,3504,51,8,92,0,7,138,0.494833,White,89.3422
26163557600,3039,108,2728,50,13,52,0,11,77,0.489497,White,89.7664
26163557700,4258,135,3830,60,4,63,0,14,152,0.471424,White,89.9483
26163557901,4431,131,3997,97,8,73,1,0,124,0.461768,White,90.2054
26163558000,4296,193,3771,98,5,56,0,17,156,0.546776,White,87.7793
26163558100,3451,130,2916,147,3,78,0,9,168,0.654722,White,84.4972
26163558200,4461,193,3439,479,7,167,0,27,149,0.85361,White,77.0903
26163558301,1906,87,1494,185,7,41,0,3,89,0.814606,White,78.3841
26163558400,3903,117,3235,189,6,180,1,17,158,0.714806,White,82.885
26163558500,3863,117,3397,105,13,77,0,7,147,0.549988,White,87.9368
26163558600,1926,74,1629,45,3,73,0,0,102,0.644365,White,84.5794
26163558700,2729,63,2442,38,12,38,0,11,125,0.49278,White,89.4833
26163558800,2743,126,2408,39,9,59,0,5,97,0.547354,White,87.7871
26163558900,1866,69,1594,82,9,31,0,4,77,0.632351,White,85.4234
26163559000,2710,111,2321,99,7,48,2,5,117,0.623929,White,85.6458
26163559100,2626,117,2074,198,9,41,0,15,172,0.812327,White,78.9794
26163559200,2096,98,1711,83,6,39,1,9,149,0.742637,White,81.6317
26163559800,2891,54,77,2620,12,4,0,15,109,0.442877,Black,90.6261
26163560100,2793,51,2561,15,1,80,4,10,71,0.408181,White,91.6935
26163560201,2034,142,1397,155,4,242,0,15,79,1.06795,White,68.6824
26163560202,3562,136,2637,150,0,516,0,24,99,0.893801,White,74.0314
26163560300,3598,129,2634,143,2,520,0,11,159,0.915099,White,73.2073
26163560400,6471,207,5587,93,5,363,0,20,196,0.588826,White,86.3391
26163561200,7688,248,4144,222,7,2825,2,18,222,1.03919,White,53.9022
26163561301,4350,146,3307,71,3,654,0,24,145,0.821457,White,76.023
26163561302,4055,105,2974,118,0,702,0,13,143,0.864907,White,73.3416
26163561600,4056,149,3590,53,6,103,0,17,138,0.526968,White,88.5108
26163561700,2366,126,1909,86,7,101,1,3,133,0.77524,White,80.6847
26163561900,7117,253,5894,139,5,569,0,20,237,0.688524,White,82.8158
26163562300,2173,60,1908,49,3,96,0,8,49,0.551863,White,87.8049
26163562400,5439,162,4836,58,10,177,0,20,176,0.512237,White,88.9134
26163562500,1975,49,1723,59,2,63,0,4,75,0.569324,White,87.2405
26163562600,3764,120,3368,27,1,83,0,9,156,0.477406,White,89.4793
26163562700,3631,109,3260,34,7,65,0,14,142,0.478013,White,89.7824
26163562800,3461,136,3004,68,2,136,1,13,101,0.585269,White,86.7957
26163562900,3326,100,2922,73,7,73,0,10,141,0.551205,White,87.8533
26163563200,3022,114,1716,700,6,304,3,5,174,1.20899,White,56.7836
26163563300,3023,114,1946,365,8,460,0,9,121,1.11075,White,64.3731
26163563400,5019,171,3895,324,6,324,0,11,288,0.851147,White,77.6051
26163563500,6023,237,4662,213,9,584,0,32,286,0.852262,White,77.4033
26163563600,2078,98,1547,96,7,262,0,1,67,0.900457,White,74.4466
26163563700,1928,79,1158,187,1,414,0,15,74,1.16056,White,60.0622
26163563800,2954,128,2227,239,9,192,0,13,146,0.920255,White,75.3893
26163563900,2650,71,1711,275,1,469,0,13,110,1.08216,White,64.566
26163564000,2044,88,1089,481,3,276,0,22,85,1.2723,White,53.2779
26163564100,4541,140,2365,522,16,1242,0,36,220,1.25519,White,52.081
26163564200,3944,122,2800,386,8,444,2,10,172,0.992259,White,70.9939
