geoid,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,largest,largest_pct
261635018001,2223,57,394,1648,6,14,2,13,89,Black,74.1341
261635018002,1894,41,261,1507,1,6,0,10,68,Black,79.5671
261635019001,1130,17,34,1027,0,3,0,13,36,Black,90.885
261635019002,1360,29,67,1219,2,2,0,2,39,Black,89.6324
261635020001,1858,25,68,1719,0,3,0,5,38,Black,92.5188
261635026001,518,12,11,488,2,0,0,3,2,Black,94.2085
261635026002,922,11,18,857,5,3,0,0,28,Black,92.9501
261635026003,421,22,5,375,1,1,0,6,11,Black,89.0736
261635026004,840,18,9,767,3,6,0,12,25,Black,91.3095
261635026005,620,1,4,591,0,0,0,0,24,Black,95.3226
261635026006,0,0,0,0,0,0,0,0,0,Two or More,0
261635027001,794,9,21,730,11,0,0,3,20,Black,91.9395
261635027002,384,10,2,361,0,0,0,0,11,Black,94.0104
261635027003,546,1,26,511,2,0,0,2,4,Black,93.5897
261635027004,635,24,75,517,0,4,0,0,15,Black,81.4173
261635031001,1443,15,48,1333,2,3,0,6,36,Black,92.377
261635031002,1553,10,140,1355,3,0,0,0,45,Black,87.2505
261635032001,1589,20,73,1422,4,2,0,14,54,Black,89.4902
261635032002,1413,37,56,1278,2,9,0,1,30,Black,90.4459
261635033001,1807,20,55,1677,0,1,0,8,46,Black,92.8058
261635033002,1600,21,35,1459,1,9,0,13,62,Black,91.1875
261635034001,886,17,35,755,2,51,0,5,21,Black,85.2144
261635035001,1096,7,34,1001,5,36,0,0,13,Black,91.3321
261635035002,1076,16,24,996,4,16,0,0,20,Black,92.5651
261635035003,537,8,20,489,2,2,0,0,16,Black,91.0615
261635036001,1476,28,32,1307,1,56,2,3,47,Black,88.5501
261635039001,1730,30,40,1570,2,4,0,17,67,Black,90.7514
261635040001,505,15,5,477,0,0,0,0,8,Black,94.4554
261635040002,588,5,27,522,0,2,0,4,28,Black,88.7755
261635041001,614,5,8,581,3,0,0,5,12,Black,94.6254
261635041002,559,9,7,528,2,0,0,1,12,Black,94.4544
261635042001,1644,14,39,1538,6,1,0,5,41,Black,93.5523
261635043001,594,9,20,539,2,3,0,0,21,Black,90.7407
261635043002,788,5,7,760,1,0,0,1,14,Black,96.4467
261635043003,452,1,7,435,0,0,0,1,8,Black,96.2389
261635044001,510,9,7,477,2,0,0,4,11,Black,93.5294
261635044002,426,3,5,403,1,0,0,1,13,Black,94.6009
261635044003,480,4,12,441,8,0,0,1,14,Black,91.875
261635051001,1182,11,62,1085,1,0,0,2,21,Black,91.7936
261635051002,381,18,26,313,2,0,0,0,22,Black,82.1522
261635051003,1325,8,82,1205,0,3,0,0,27,Black,90.9434
261635052001,957,7,18,910,0,3,0,1,18,Black,95.0888
261635052002,1986,25,32,1870,5,1,0,17,36,Black,94.1591
261635054001,536,15,23,442,1,21,0,9,25,Black,82.4627
261635054002,1391,20,23,1323,2,3,0,2,18,Black,95.1114
261635056001,860,10,35,754,2,3,3,7,46,Black,87.6744
261635056002,2181,12,27,2053,15,0,1,7,66,Black,94.1311
261635056003,1037,6,31,964,3,3,0,4,26,Black,92.9605
261635057001,464,1,14,442,0,0,0,0,7,Black,95.2586
261635057002,0,0,0,0,0,0,0,0,0,Hispanic,0
261635057003,977,14,21,910,0,2,0,1,29,Black,93.1423
261635057004,470,14,13,431,1,1,0,0,10,Black,91.7021
261635057005,1025,12,61,921,0,1,0,7,23,Black,89.8537
261635058001,687,6,54,611,2,0,0,4,10,Black,88.9374
261635058002,1513,9,1312,65,0,24,0,4,99,White,86.7151
261635058003,647,6,90,468,0,28,0,7,48,Black,72.3338
261635058004,490,3,178,292,0,1,0,0,16,Black,59.5918
261635061001,1875,22,58,1737,8,8,0,6,36,Black,92.64
261635062001,1814,43,52,1662,5,2,0,9,41,Black,91.6207
261635063001,1033,12,49,932,0,0,0,18,22,Black,90.2227
261635063002,827,12,31,763,0,1,0,5,15,Black,92.2612
261635064001,687,15,80,553,1,5,0,1,32,Black,80.4949
261635064002,155,2,38,112,0,0,0,1,2,Black,72.2581
261635065001,1106,19,13,1055,0,1,0,1,17,Black,95.3888
261635065002,857,46,42,737,0,0,0,5,27,Black,85.9977
261635066001,1868,34,48,1712,1,1,0,4,68,Black,91.6488
261635066002,845,19,35,749,0,0,0,9,33,Black,88.6391
261635067001,1023,10,27,960,0,3,0,1,22,Black,93.8416
261635068001,2037,12,49,1892,11,2,0,11,60,Black,92.8817
261635068002,1860,40,60,1696,2,4,3,5,50,Black,91.1828
261635068003,7,0,7,0,0,0,0,0,0,White,100
261635069001,1094,4,24,1038,2,0,0,1,25,Black,94.8812
261635069002,1580,19,36,1489,6,0,0,4,26,Black,94.2405
261635069003,905,12,16,847,0,0,0,4,26,Black,93.5912
261635070001,890,9,6,834,2,4,0,7,28,Black,93.7079
261635070002,1830,22,17,1746,0,0,0,8,37,Black,95.4098
261635071001,1652,24,11,1549,1,1,0,0,66,Black,93.7651
261635071002,614,8,19,556,3,1,0,1,26,Black,90.5537
261635072001,1003,22,18,924,1,5,0,0,33,Black,92.1236
261635073001,1864,19,29,1752,5,0,0,8,51,Black,93.9914
261635073002,421,19,11,365,3,0,0,0,23,Black,86.6983
261635074001,886,6,17,831,0,2,0,4,26,Black,93.7923
261635074002,1602,19,37,1491,5,0,0,7,43,Black,93.0712
261635075001,1055,15,26,960,4,0,0,4,46,Black,90.9953
261635075002,1166,12,38,1081,1,3,0,11,20,Black,92.7101
261635080001,1098,14,100,902,10,5,0,13,54,Black,82.1494
261635080002,0,0,0,0,0,0,0,0,0,Hispanic,0
261635081001,870,23,131,671,3,6,0,8,28,Black,77.1264
261635081002,401,17,19,348,2,1,0,0,14,Black,86.783
261635090001,797,18,101,628,3,3,0,6,38,Black,78.7955
261635090002,369,10,45,287,0,0,0,0,27,Black,77.7778
261635090003,376,13,28,325,0,1,0,3,6,Black,86.4362
261635090004,433,15,49,327,0,3,0,6,33,Black,75.5196
261635091001,648,7,99,155,0,341,0,1,45,Asian,52.6235
261635091002,524,16,142,312,1,26,0,3,24,Black,59.542
261635091003,1395,8,164,18,0,1172,0,3,30,Asian,84.0143
261635091004,1379,2,125,40,0,1182,0,2,28,Asian,85.7143
261635091005,617,3,45,468,1,29,0,5,66,Black,75.8509
261635106001,1419,31,340,788,8,174,0,1,77,Black,55.5321
261635106002,2125,10,657,109,2,1278,0,4,65,Asian,60.1412
261635106003,1955,0,450,249,0,1187,0,9,60,Asian,60.7161
261635112001,1165,28,131,954,2,2,1,0,47,Black,81.8884
261635112002,23,3,3,15,0,1,0,0,1,Black,65.2174
261635113001,918,21,418,380,6,49,0,4,40,White,45.5338
261635113002,1313,13,463,636,0,90,0,8,103,Black,48.4387
261635114001,1026,29,88,861,4,4,1,4,35,Black,83.9181
261635114002,979,24,139,768,2,10,0,1,35,Black,78.4474
261635114003,0,0,0,0,0,0,0,0,0,Two or More,0
261635119001,729,18,182,480,1,18,0,2,28,Black,65.8436
261635119002,830,27,132,617,0,16,0,10,28,Black,74.3373
261635128001,1294,46,114,1081,0,1,0,6,46,Black,83.5394
261635128002,582,13,17,537,0,0,0,3,12,Black,92.268
261635128003,539,5,18,508,0,0,0,1,7,Black,94.2486
261635132001,595,25,166,372,2,1,0,3,26,Black,62.521
261635132002,909,13,124,708,2,12,0,2,48,Black,77.8878
261635133001,840,18,174,627,1,0,0,7,13,Black,74.6429
261635133002,1131,33,121,900,4,17,0,13,43,Black,79.5756
261635137001,1255,9,23,1189,0,8,0,3,23,Black,94.741
261635137002,858,13,38,781,6,2,0,7,11,Black,91.0256
261635137003,869,11,11,822,1,1,0,0,23,Black,94.5915
261635138001,1205,8,38,1128,0,2,0,2,27,Black,93.61
261635138002,1162,31,132,919,6,3,0,10,61,Black,79.0878
261635139001,765,11,31,691,1,2,0,1,28,Black,90.3268
261635139002,791,1,5,761,0,3,0,2,19,Black,96.2073
261635141001,859,5,24,798,0,5,0,2,25,Black,92.8987
261635141002,873,14,8,829,2,0,0,6,14,Black,94.9599
261635142001,1029,10,19,962,7,0,1,2,28,Black,93.4888
261635142002,799,15,12,739,3,2,0,5,23,Black,92.4906
261635143001,1156,13,19,1074,12,6,0,1,31,Black,92.9066
261635143002,1007,5,51,927,4,2,0,1,17,Black,92.0556
261635145001,861,3,14,817,2,0,0,0,25,Black,94.8897
261635152001,708,28,144,497,0,8,2,0,29,Black,70.1977
261635152002,607,25,40,516,0,3,1,7,15,Black,85.0082
261635153001,1536,57,463,889,4,24,0,9,90,Black,57.8776
261635153002,1172,7,133,982,2,6,0,2,40,Black,83.7884
261635154001,591,27,287,240,2,4,0,10,21,White,48.5618
261635154002,767,29,454,225,2,10,1,6,40,White,59.1917
261635157001,1766,63,334,1272,0,26,1,5,65,Black,72.0272
261635157002,1679,9,311,1256,7,33,0,19,44,Black,74.8064
261635157003,1173,13,69,1054,0,8,0,4,25,Black,89.8551
261635160001,1239,31,134,1009,2,11,0,6,46,Black,81.4366
261635160002,996,13,43,907,5,2,0,0,26,Black,91.0643
261635164001,1097,45,308,666,3,26,0,12,37,Black,60.711
261635165001,1119,50,457,481,0,56,0,5,70,Black,42.9848
261635165002,1441,41,569,743,2,45,0,3,38,Black,51.5614
261635166001,1328,5,28,1273,2,1,0,0,19,Black,95.8584
261635166002,25,8,2,7,1,0,0,1,6,Hispanic,32
261635166003,1024,12,53,910,4,5,0,5,35,Black,88.8672
261635167001,964,5,19,904,0,8,0,4,24,Black,93.7759
261635167002,1000,11,6,962,1,0,0,0,20,Black,96.2
261635167003,1254,22,43,1161,3,4,0,6,15,Black,92.5837
261635168001,569,20,50,468,3,0,2,1,25,Black,82.2496
261635169001,1365,19,127,1180,0,2,0,1,36,Black,86.4469
261635169002,746,4,64,648,0,5,0,0,25,Black,86.8633
261635170001,2127,77,777,977,2,192,0,14,88,Black,45.9332
261635170002,851,43,448,253,7,54,0,3,43,White,52.6439
261635171001,1552,55,487,885,4,82,1,4,34,Black,57.0232
261635172001,968,92,629,197,0,29,0,4,17,White,64.9793
261635172002,790,59,391,235,4,59,0,7,35,White,49.4937
261635173001,961,16,17,889,5,5,0,2,27,Black,92.5078
261635173002,1170,46,701,326,4,57,0,3,33,White,59.9145
261635175001,1464,30,78,1167,2,134,0,11,42,Black,79.7131
261635175002,1392,13,367,883,3,83,1,1,41,Black,63.4339
261635180001,441,17,237,156,0,21,0,0,10,White,53.7415
261635180002,1839,56,402,1224,1,77,0,10,69,Black,66.5579
261635189001,2121,32,87,1941,5,13,0,7,36,Black,91.5134
261635190001,448,4,33,389,0,0,0,8,14,Black,86.8304
261635190002,643,12,57,534,3,5,0,0,32,Black,83.0482
261635191001,740,27,154,536,4,0,1,0,18,Black,72.4324
261635191002,297,23,59,178,3,9,0,0,25,Black,59.9327
261635192001,414,2,15,381,0,1,3,1,11,Black,92.029
261635192002,609,0,10,587,2,0,0,2,8,Black,96.3875
261635192003,417,2,24,365,3,1,0,3,19,Black,87.53
261635193001,553,4,14,509,2,0,1,3,20,Black,92.0434
261635193002,655,14,92,519,1,2,1,4,22,Black,79.2366
261635202001,1035,58,521,191,2,190,3,21,49,White,50.3382
261635202002,2615,41,1481,646,13,337,2,8,87,White,56.6348
261635203001,652,42,170,364,3,38,0,4,31,Black,55.8282
261635203002,537,16,356,73,6,57,1,0,28,White,66.2942
261635203003,1433,23,517,277,2,557,3,10,44,Asian,38.8695
261635204001,622,25,349,140,3,52,0,26,27,White,56.1093
261635204002,652,13,55,565,0,3,0,4,12,Black,86.6564
261635204003,666,32,215,365,1,17,0,3,33,Black,54.8048
261635207001,1130,55,652,321,0,63,0,5,34,White,57.6991
261635207002,1217,67,580,452,5,56,0,4,53,White,47.6582
261635207003,402,32,251,59,1,31,0,4,24,White,62.4378
261635207004,402,30,199,115,3,33,0,4,18,White,49.5025
261635208001,1242,67,488,480,5,125,5,10,62,White,39.2915
261635211001,843,457,205,142,4,7,0,3,25,Hispanic,54.2112
261635211002,701,255,134,276,8,1,1,3,23,Black,39.3723
261635214001,635,90,395,81,0,18,1,5,45,White,62.2047
261635214002,768,76,324,310,1,19,1,6,31,White,42.1875
261635215001,483,52,204,179,0,2,0,5,41,White,42.236
261635215002,871,61,39,711,0,1,0,10,49,Black,81.6303
261635218001,1466,9,47,1347,3,8,0,8,44,Black,91.8827
261635219001,741,37,365,258,1,30,0,14,36,White,49.2578
261635219002,0,0,0,0,0,0,0,0,0,NHPI,0
261635219003,144,1,29,114,0,0,0,0,0,Black,79.1667
261635219004,1068,49,565,362,3,26,0,15,48,White,52.9026
261635219005,990,19,19,925,1,1,0,4,21,Black,93.4343
261635220001,1096,15,22,1030,1,0,0,7,21,Black,93.9781
261635220002,693,16,42,611,3,0,1,6,14,Black,88.1674
261635223001,821,11,19,757,6,0,0,1,27,Black,92.2046
261635223002,338,1,12,307,3,0,0,2,13,Black,90.8284
261635223003,34,1,7,22,0,0,0,1,3,Black,64.7059
261635224001,924,11,66,803,0,3,0,7,34,Black,86.9048
261635225001,727,13,135,543,3,0,0,8,25,Black,74.6905
261635225002,715,10,32,648,0,2,0,9,14,Black,90.6294
261635228001,659,137,59,421,0,5,0,1,36,Black,63.8847
261635228002,527,68,15,426,0,2,0,3,13,Black,80.8349
261635231001,1336,820,253,218,2,3,0,4,36,Hispanic,61.3772
261635232001,989,818,107,47,1,1,0,5,10,Hispanic,82.7098
261635232002,1147,922,169,24,2,4,0,2,24,Hispanic,80.3836
261635232003,1111,880,130,70,0,2,0,1,28,Hispanic,79.2079
261635233001,927,734,81,98,1,0,0,1,12,Hispanic,79.1802
261635233002,1053,891,92,33,4,3,0,8,22,Hispanic,84.6154
261635233003,934,720,123,62,3,0,0,1,25,Hispanic,77.0878
261635234001,1246,437,396,352,3,4,0,6,48,Hispanic,35.0722
261635234002,950,553,137,218,1,5,0,1,35,Hispanic,58.2105
261635238001,656,462,150,25,1,0,0,0,18,Hispanic,70.4268
261635238002,1466,1168,199,61,5,1,0,1,31,Hispanic,79.6726
261635238003,587,453,65,58,0,3,0,2,6,Hispanic,77.1721
261635238004,1050,807,164,58,0,2,0,0,19,Hispanic,76.8571
261635240011,991,810,113,33,12,1,0,1,21,Hispanic,81.7356
261635240012,961,754,121,57,4,0,0,3,22,Hispanic,78.4599
261635240013,601,480,79,20,0,1,1,3,17,Hispanic,79.8669
261635241011,1287,943,162,146,0,1,0,6,29,Hispanic,73.2712
261635241012,2443,1826,355,186,12,4,0,3,57,Hispanic,74.7442
261635242001,1593,1222,193,145,2,3,0,7,21,Hispanic,76.7106
261635242002,993,787,162,21,10,1,0,0,12,Hispanic,79.2548
261635242003,1780,1451,249,42,6,4,0,5,23,Hispanic,81.5169
261635243001,912,732,163,5,1,0,0,0,11,Hispanic,80.2632
261635243002,7,0,0,3,0,0,0,1,3,Two or More,42.8571
261635243003,1707,1279,264,108,8,5,1,4,38,Hispanic,74.9268
261635245001,50,12,25,11,0,0,0,1,1,White,50
261635245002,28,9,19,0,0,0,0,0,0,White,67.8571
261635245003,5,1,0,3,0,1,0,0,0,Black,60
261635246001,1401,730,371,228,9,7,0,0,56,Hispanic,52.1056
261635247001,1566,155,16,1328,4,0,1,23,39,Black,84.802
261635247002,1121,122,21,941,8,0,1,3,25,Black,83.9429
261635247003,1081,139,26,855,1,0,0,3,57,Black,79.0934
261635248001,1370,152,49,1105,1,0,1,3,59,Black,80.6569
261635248002,1216,183,49,928,6,0,0,6,44,Black,76.3158
261635254001,766,124,24,589,2,1,0,1,25,Black,76.893
261635254002,1029,636,96,267,0,7,0,7,16,Hispanic,61.8076
261635257001,1436,1182,172,58,1,0,0,1,22,Hispanic,82.312
261635257002,9,6,2,1,0,0,0,0,0,Hispanic,66.6667
261635257003,1590,1241,223,81,4,11,0,0,30,Hispanic,78.0503
261635257004,1368,1123,167,35,7,3,0,13,20,Hispanic,82.0906
261635258001,762,597,101,43,1,6,1,0,13,Hispanic,78.3465
261635258002,1019,810,113,53,4,1,0,3,35,Hispanic,79.4897
261635259001,820,654,133,13,5,2,0,4,9,Hispanic,79.7561
261635259002,741,629,60,43,0,3,0,2,4,Hispanic,84.8853
261635259003,1049,469,87,455,5,1,0,10,22,Hispanic,44.7092
261635260001,1648,557,977,37,2,12,0,13,50,White,59.284
261635260002,1395,700,555,89,2,9,0,2,38,Hispanic,50.1792
261635261001,1249,277,876,45,1,2,0,5,43,White,70.1361
261635261002,1504,490,819,49,0,21,0,10,115,White,54.4548
261635262001,1239,711,458,26,2,3,0,4,35,Hispanic,57.385
261635262002,830,491,281,18,0,4,0,11,25,Hispanic,59.1566
261635262003,957,547,283,80,2,2,0,1,42,Hispanic,57.1578
261635263001,1017,854,112,36,0,0,0,0,15,Hispanic,83.9725
261635263002,935,667,95,156,1,0,0,3,13,Hispanic,71.3369
261635263003,1393,1218,124,32,9,4,0,1,5,Hispanic,87.4372
261635264001,742,632,37,56,4,2,0,0,11,Hispanic,85.1752
261635264002,675,446,36,168,3,1,0,3,18,Hispanic,66.0741
261635265001,940,252,19,623,1,3,0,11,31,Black,66.2766
261635265002,856,237,20,578,3,0,0,5,13,Black,67.5234
261635279001,372,24,8,332,2,0,0,1,5,Black,89.2473
261635279002,396,102,12,271,1,0,0,2,8,Black,68.4343
261635279003,507,43,11,437,0,0,0,3,13,Black,86.1933
261635279004,560,120,16,403,6,0,0,1,14,Black,71.9643
261635301001,1055,22,44,950,2,0,0,14,23,Black,90.0474
261635301002,1281,10,47,1189,0,2,0,8,25,Black,92.8181
261635302001,1562,15,81,1407,1,4,0,1,53,Black,90.0768
261635302002,1196,16,26,1111,5,6,0,1,31,Black,92.893
261635302003,788,46,485,189,0,52,0,1,15,White,61.5482
261635303001,762,8,6,714,4,0,0,4,26,Black,93.7008
261635303002,579,9,3,545,2,0,0,3,17,Black,94.1278
261635303003,0,0,0,0,0,0,0,0,0,Two or More,0
261635304001,554,12,2,524,3,0,1,0,12,Black,94.5848
261635304002,729,3,5,709,4,0,0,4,4,Black,97.2565
261635305001,925,32,42,804,0,7,0,2,38,Black,86.9189
261635305002,1328,32,64,1170,0,7,0,5,50,Black,88.1024
261635308001,791,12,23,731,1,2,0,0,22,Black,92.4147
261635308002,603,24,2,550,1,0,0,0,26,Black,91.2106
261635309001,719,11,16,669,1,0,0,6,16,Black,93.0459
261635309002,336,4,16,293,5,1,0,0,17,Black,87.2024
261635309003,643,7,4,599,0,7,0,2,24,Black,93.1571
261635311001,946,16,19,879,3,0,2,1,26,Black,92.9175
261635312001,992,20,185,716,5,4,0,9,53,Black,72.1774
261635312002,1250,29,218,945,1,12,0,2,43,Black,75.6
261635313001,1153,22,47,1033,0,3,0,13,35,Black,89.5924
261635314001,711,8,30,655,0,1,0,2,15,Black,92.1238
261635314002,807,2,45,714,0,9,0,4,33,Black,88.4758
261635315011,661,15,51,546,0,2,0,9,38,Black,82.6021
261635315012,615,7,11,580,0,0,0,3,14,Black,94.3089
261635315021,809,9,12,745,0,0,1,0,42,Black,92.089
261635316001,645,3,11,610,0,1,0,1,19,Black,94.5736
261635316002,999,12,18,934,3,0,0,3,29,Black,93.4935
261635317001,766,5,10,733,0,2,0,2,14,Black,95.6919
261635317002,879,16,12,806,1,2,1,11,30,Black,91.6951
261635318001,779,13,17,734,0,0,0,0,15,Black,94.2234
261635318002,721,18,3,670,0,0,0,2,28,Black,92.9265
261635319001,866,16,45,752,8,1,0,8,36,Black,86.836
261635321001,941,35,236,604,3,6,0,4,53,Black,64.187
261635321002,1221,20,166,965,7,13,0,3,47,Black,79.0336
261635324001,1569,41,176,1259,6,8,0,10,69,Black,80.2422
261635326001,841,8,65,708,0,12,0,8,40,Black,84.1855
261635326002,1227,28,151,907,0,83,1,11,46,Black,73.9201
261635327001,558,7,33,498,0,3,0,3,14,Black,89.2473
261635330001,716,30,76,588,0,0,0,2,20,Black,82.1229
261635330002,710,24,103,558,0,2,0,2,21,Black,78.5915
261635331001,576,7,25,522,2,0,0,1,19,Black,90.625
261635331002,812,27,57,701,2,3,0,5,17,Black,86.33
261635332001,527,12,13,488,1,1,0,1,11,Black,92.5996
261635332002,577,12,4,528,2,2,0,3,26,Black,91.5078
261635333001,546,21,34,469,0,2,0,6,14,Black,85.8974
261635333002,650,16,21,578,3,1,0,10,21,Black,88.9231
261635334001,615,5,6,590,0,3,0,0,11,Black,95.935
261635334002,911,22,26,821,0,3,0,5,34,Black,90.1207
261635334003,689,10,27,635,0,2,0,1,14,Black,92.1626
261635336001,574,43,18,486,1,0,0,4,22,Black,84.669
261635336002,816,55,24,714,4,0,0,6,13,Black,87.5
261635338001,434,6,13,402,3,0,0,4,6,Black,92.6267
261635338002,553,11,14,509,1,0,0,0,18,Black,92.0434
261635338003,424,16,9,371,0,0,0,2,26,Black,87.5
261635338004,510,51,11,425,2,1,0,1,19,Black,83.3333
261635339001,864,28,196,587,0,8,1,5,39,Black,67.9398
261635339002,792,19,70,646,4,30,0,6,17,Black,81.5657
261635339003,1319,29,276,890,0,45,0,11,68,Black,67.4754
261635339004,381,28,211,87,1,28,1,0,25,White,55.3806
261635341001,540,8,3,505,1,0,0,6,17,Black,93.5185
261635341002,1151,16,6,1087,0,0,0,12,30,Black,94.4396
261635342001,1436,34,15,1348,6,0,0,7,26,Black,93.8719
261635342002,1030,9,5,976,2,0,0,12,26,Black,94.7573
261635342003,525,8,6,484,1,0,0,4,22,Black,92.1905
261635343001,1087,28,13,988,8,1,0,11,38,Black,90.8924
261635344001,916,15,5,856,3,1,0,10,26,Black,93.4498
261635344002,558,8,8,523,0,0,0,0,19,Black,93.7276
261635347001,1104,45,27,991,5,0,0,1,35,Black,89.7645
261635347002,764,39,38,650,1,1,0,4,31,Black,85.0785
261635347003,1188,16,17,1105,0,1,0,9,40,Black,93.0135
261635348001,618,90,7,461,0,2,0,1,57,Black,74.5955
261635348002,924,61,13,808,2,2,0,1,37,Black,87.4459
261635348003,663,28,4,615,0,0,0,0,16,Black,92.7602
261635350001,688,12,33,612,2,0,0,5,24,Black,88.9535
261635350002,940,32,21,854,2,2,0,4,25,Black,90.8511
261635350003,783,13,3,726,0,2,0,8,31,Black,92.7203
261635351001,704,7,16,668,0,1,0,1,11,Black,94.8864
261635351002,1013,11,2,988,2,1,0,6,3,Black,97.5321
261635352001,800,17,12,737,1,1,0,0,32,Black,92.125
261635352002,1219,18,14,1142,1,0,0,5,39,Black,93.6833
261635353001,1484,12,7,1408,2,0,0,5,50,Black,94.8787
261635353002,1190,17,24,1090,1,1,0,10,47,Black,91.5966
261635353003,1276,3,16,1195,4,1,0,8,49,Black,93.652
261635356001,659,3,48,591,0,0,0,2,15,Black,89.6813
261635356002,936,15,50,828,0,2,0,4,37,Black,88.4615
261635356003,1062,21,57,955,0,3,0,8,18,Black,89.9247
261635356004,1070,25,47,955,0,3,0,11,29,Black,89.2523
261635357001,1313,51,18,1205,0,3,0,11,25,Black,91.7746
261635358001,829,37,69,684,11,4,0,4,20,Black,82.509
261635358002,792,42,24,704,0,1,0,4,17,Black,88.8889
261635358003,888,27,23,798,3,1,0,3,33,Black,89.8649
261635358004,635,15,8,588,0,0,1,0,23,Black,92.5984
261635358005,800,16,7,745,1,0,0,0,31,Black,93.125
261635361001,1026,9,22,972,3,0,0,7,13,Black,94.7368
261635361002,1443,26,45,1274,0,0,0,21,77,Black,88.2883
261635361003,858,8,22,813,1,0,0,0,14,Black,94.7552
261635362001,689,5,15,644,0,2,0,2,21,Black,93.4688
261635362002,1476,15,19,1396,0,4,0,6,36,Black,94.5799
261635363001,1123,7,7,1080,5,0,0,6,18,Black,96.171
261635363002,600,7,1,559,3,0,0,1,29,Black,93.1667
261635363003,1013,17,14,936,3,0,0,10,33,Black,92.3988
261635364001,874,8,2,846,0,1,0,1,16,Black,96.7963
261635364002,749,14,0,723,0,0,0,0,12,Black,96.5287
261635364003,522,3,19,486,0,0,0,0,14,Black,93.1034
261635365001,890,14,16,808,0,3,0,1,48,Black,90.7865
261635365002,1207,2,12,1137,0,2,0,8,46,Black,94.2005
261635366001,962,10,12,914,0,0,0,8,18,Black,95.0104
261635366002,1573,37,13,1484,0,0,0,9,30,Black,94.342
261635367001,1055,10,9,989,11,0,0,2,34,Black,93.7441
261635368001,1667,15,5,1602,2,4,1,5,33,Black,96.1008
261635369001,1852,15,41,1731,0,3,0,7,55,Black,93.4665
261635369002,1522,13,6,1447,4,2,0,5,45,Black,95.0723
261635370001,1070,10,8,1036,0,0,0,4,12,Black,96.8224
261635370002,953,4,24,895,0,2,0,10,18,Black,93.914
261635370003,1311,5,13,1234,0,0,0,4,55,Black,94.1266
261635371001,1134,14,12,1091,0,1,1,1,14,Black,96.2081
261635371002,812,22,16,742,0,2,0,0,30,Black,91.3793
261635372001,583,7,10,548,3,0,0,0,15,Black,93.9966
261635373001,545,7,14,504,0,0,2,2,16,Black,92.4771
261635373002,430,3,5,388,0,0,0,9,25,Black,90.2326
