"fips","county","region","donalds_2026","donalds_dev","desantis_dev","residual","county_votes","cx","cy"
"12113","Santa Rosa","Panhandle",39.7261,-8.06265,0.298589,-4.7015,24830,1555,990
"12005","Bay","Panhandle",42.2686,-5.52024,-4.04788,0.973513,24174,1611,1000
"12091","Okaloosa","Panhandle",41.9592,-5.82958,3.77471,-4.97375,23928,1573,984
"12053","Hernando","rest of Florida",40.0215,-7.76731,-1.99545,-2.7528,23280,1757,1065
"12073","Leon","Panhandle",43.9359,-3.85293,-18.4374,13.0117,22328,1669,986
"12061","Indian River","rest of Florida",51.0815,3.29271,7.62843,1.37108,21914,1834,1091
"12085","Martin","rest of Florida",48.3668,0.578049,7.64929,-1.35862,20543,1848,1118
"12035","Flagler","rest of Florida",48.6731,0.88434,12.6405,-4.64959,17221,1793,1016
"12097","Osceola","rest of Florida",47.6726,-0.116163,-5.43587,7.37794,16886,1812,1082
"12089","Nassau","rest of Florida",38.6994,-9.08936,-0.406083,-5.22034,16685,1762,970
"12001","Alachua","Big Bend / north central",38.0604,-9.72841,-5.4656,-2.21288,14209,1750,1014
"12131","Walton","Panhandle",40.4587,-7.3301,-3.24445,-1.4154,13473,1591,986
"12055","Highlands","rest of Florida",40.5167,-7.27206,-15.8909,7.75723,11921,1810,1115
"12023","Columbia","Big Bend / north central",28.7771,-19.0117,-10.0367,-8.2017,8962,1735,988
"12107","Putnam","rest of Florida",34.8662,-12.9226,-3.98721,-6.47261,8742,1773,1013
"12087","Monroe","rest of Florida",51.2951,3.50635,10.1653,-0.243682,7837,1819,1238
"12075","Levy","Big Bend / north central",27.4253,-20.3635,-11.9993,-8.13897,7030,1736,1032
"12121","Suwannee","Big Bend / north central",25.2135,-22.5753,-10.1237,-11.7026,6441,1719,993
"12063","Jackson","Panhandle",28.0668,-19.722,-14.015,-6.04476,6171,1628,975
"12129","Wakulla","Panhandle",33.2694,-14.5194,-13.159,-1.45905,5212,1665,1002
"12003","Baker","Big Bend / north central",28.8997,-18.8891,-6.45817,-10.6582,5135,1749,981
"12133","Washington","Panhandle",27.4142,-20.3746,-14.6628,-6.23043,4370,1610,986
"12041","Gilchrist","Big Bend / north central",21.7545,-26.0343,-15.2899,-11.4382,3967,1731,1010
"12093","Okeechobee","rest of Florida",38.3678,-9.42101,-18.87,7.75536,3774,1828,1113
"12007","Bradford","Big Bend / north central",31.9557,-15.8331,-12.3056,-3.38784,3702,1755,997
"12029","Dixie","Big Bend / north central",20.2053,-27.5835,-12.3225,-15.1261,3410,1717,1022
"12059","Holmes","Panhandle",23.707,-24.0818,-13.4465,-10.8142,3345,1603,974
"12051","Hendry","rest of Florida",45.7035,-2.0853,-23.9536,18.755,3177,1818,1148
"12045","Gulf","Panhandle",38.089,-9.69974,-8.69807,0.1455,3077,1632,1014
"12123","Taylor","Big Bend / north central",26.5421,-21.2467,-10.0904,-10.3979,2837,1694,1003
"12079","Madison","Big Bend / north central",29.5089,-18.2799,-17.1831,-2.31935,2484,1699,982
"12027","Desoto","rest of Florida",39.1498,-8.63899,-17.8088,7.77254,2470,1789,1122
"12049","Hardee","rest of Florida",27.6371,-20.1517,-37.8031,10.6702,2370,1787,1110
"12013","Calhoun","Panhandle",23.5571,-24.2317,-11.4072,-12.4339,2339,1630,994
"12039","Gadsden","Panhandle",38.2197,-9.56913,-14.1364,4.19565,2258,1652,984
"12065","Jefferson","Panhandle",29.9601,-17.8287,-20.3358,0.404066,2253,1681,988
"12125","Union","Big Bend / north central",26.1857,-21.6031,-23.0819,-1.39113,1982,1746,995
"12067","Lafayette","Big Bend / north central",18.0229,-29.7659,-19.7768,-11.9359,1659,1715,1002
"12043","Glades","rest of Florida",39.0615,-8.72724,-17.2759,7.30025,1641,1815,1134
"12047","Hamilton","Big Bend / north central",24.3243,-23.4645,-10.9953,-11.9635,1628,1720,978
"12037","Franklin","Panhandle",41.303,-6.48578,-5.97359,1.39587,1627,1646,1020
"12077","Liberty","Panhandle",19.3016,-28.4872,-18.5184,-11.5642,1575,1643,997
