"office","winner","county","county_votes","share","statewide","deviation"
"AGR","Simpson","Putnam",8482,63.9118,68.9095,-4.99771
"AGR","Simpson","Santa Rosa",23311,64.5403,68.9095,-4.36917
"AGR","Simpson","Sarasota",53739,66.8509,68.9095,-2.05863
"AGR","Simpson","Seminole",33997,73.0241,68.9095,4.11457
"AGR","Simpson","St. Johns",40015,68.0645,68.9095,-0.845043
"AGR","Simpson","St. Lucie",26651,72.3425,68.9095,3.43298
"AGR","Simpson","Sumter",29847,69.6016,68.9095,0.692116
"AGR","Simpson","Suwannee",6319,63.9658,68.9095,-4.9437
"AGR","Simpson","Taylor",2789,65.3639,68.9095,-3.54559
"AGR","Simpson","Union",1947,68.4129,68.9095,-0.496576
"AGR","Simpson","Volusia",54914,71.2459,68.9095,2.33643
"AGR","Simpson","Wakulla",5031,66.2294,68.9095,-2.68014
"AGR","Simpson","Walton",12834,64.9992,68.9095,-3.9103
"AGR","Simpson","Washington",4283,66.7756,68.9095,-2.13389
