"r","cx","cy","n"
3.2,66.5108,38.4,176
3.2,66.5108,48,137
3.2,66.5108,57.6,125
3.2,66.5108,67.2,112
3.2,66.5108,76.8,134
3.2,66.5108,86.4,142
3.2,66.5108,9.6,551
3.2,66.5108,96,276
3.2,69.282,100.8,76
3.2,69.282,14.4,379
3.2,69.282,24,225
3.2,69.282,33.6,151
3.2,69.282,4.8,634
3.2,69.282,43.2,120
3.2,69.282,52.8,99
3.2,69.282,62.4,86
3.2,69.282,72,98
3.2,69.282,81.6,97
3.2,69.282,91.2,165
3.2,72.0533,0,334
3.2,72.0533,19.2,215
3.2,72.0533,28.8,130
3.2,72.0533,38.4,112
3.2,72.0533,48,80
3.2,72.0533,57.6,74
3.2,72.0533,67.2,59
3.2,72.0533,76.8,75
3.2,72.0533,86.4,90
3.2,72.0533,9.6,395
3.2,72.0533,96,171
3.2,74.8246,100.8,37
3.2,74.8246,14.4,278
3.2,74.8246,24,161
3.2,74.8246,33.6,122
3.2,74.8246,4.8,392
3.2,74.8246,43.2,92
3.2,74.8246,52.8,90
3.2,74.8246,62.4,73
3.2,74.8246,72,62
3.2,74.8246,81.6,64
3.2,74.8246,91.2,94
3.2,77.5959,0,151
3.2,77.5959,19.2,160
3.2,77.5959,28.8,90
3.2,77.5959,38.4,75
3.2,77.5959,48,70
3.2,77.5959,57.6,58
3.2,77.5959,67.2,47
3.2,77.5959,76.8,49
3.2,77.5959,86.4,52
3.2,77.5959,9.6,223
3.2,77.5959,96,139
3.2,8.3138,100.8,509
3.2,8.3138,52.8,574
3.2,80.3672,100.8,30
3.2,80.3672,14.4,160
3.2,80.3672,24,96
3.2,80.3672,33.6,67
3.2,80.3672,4.8,211
3.2,80.3672,43.2,50
3.2,80.3672,52.8,60
3.2,80.3672,62.4,48
3.2,80.3672,72,33
3.2,80.3672,81.6,38
3.2,80.3672,91.2,69
3.2,83.1384,0,59
3.2,83.1384,19.2,92
3.2,83.1384,28.8,60
3.2,83.1384,38.4,53
3.2,83.1384,48,46
3.2,83.1384,57.6,38
3.2,83.1384,67.2,33
3.2,83.1384,76.8,28
3.2,83.1384,86.4,38
3.2,83.1384,9.6,124
3.2,83.1384,96,84
3.2,85.9097,100.8,12
3.2,85.9097,14.4,70
3.2,85.9097,24,56
3.2,85.9097,33.6,36
3.2,85.9097,4.8,107
3.2,85.9097,43.2,37
3.2,85.9097,52.8,24
3.2,85.9097,62.4,20
3.2,85.9097,72,12
3.2,85.9097,81.6,21
3.2,85.9097,91.2,37
3.2,88.681,0,22
3.2,88.681,19.2,49
3.2,88.681,28.8,30
3.2,88.681,38.4,23
3.2,88.681,48,14
3.2,88.681,57.6,15
3.2,88.681,67.2,10
3.2,88.681,76.8,9
3.2,88.681,86.4,17
3.2,88.681,9.6,42
3.2,88.681,96,33
3.2,91.4523,100.8,3
3.2,91.4523,14.4,17
3.2,91.4523,24,16
3.2,91.4523,33.6,12
3.2,91.4523,4.8,27
3.2,91.4523,43.2,8
3.2,91.4523,52.8,9
3.2,91.4523,62.4,5
3.2,91.4523,72,8
3.2,91.4523,81.6,3
3.2,91.4523,91.2,4
3.2,94.2236,0,2
3.2,94.2236,19.2,9
3.2,94.2236,28.8,11
3.2,94.2236,38.4,4
3.2,94.2236,48,4
3.2,94.2236,57.6,3
3.2,94.2236,67.2,3
3.2,94.2236,86.4,2
3.2,94.2236,9.6,6
3.2,94.2236,96,4
3.2,96.9948,100.8,1
3.2,96.9948,14.4,2
3.2,96.9948,24,2
3.2,96.9948,4.8,3
3.2,96.9948,43.2,2
3.2,96.9948,52.8,1
3.2,96.9948,62.4,3
3.2,96.9948,91.2,2
3.2,99.7661,57.6,1
3.2,99.7661,76.8,1
3.2,99.7661,96,1
1.7,0,0,1743
1.7,1.4722,99.45,714
1.7,100.1125,91.8,1
1.7,100.1125,96.9,1
1.7,13.2502,33.15,591
1.7,13.2502,99.45,439
1.7,14.7224,0,1879
1.7,14.7224,66.3,396
1.7,16.1947,73.95,326
1.7,16.1947,99.45,369
1.7,17.6669,0,2066
1.7,17.6669,25.5,664
1.7,17.6669,51,449
1.7,19.1392,79.05,260
1.7,19.1392,99.45,289
1.7,20.6114,0,1942
1.7,20.6114,20.4,676
1.7,20.6114,40.8,495
1.7,20.6114,61.2,373
1.7,22.0836,17.85,675
1.7,22.0836,33.15,453
1.7,22.0836,48.45,339
1.7,22.0836,84.15,219
1.7,22.0836,99.45,247
1.7,23.5559,0,3781
1.7,23.5559,15.3,677
1.7,23.5559,56.1,274
1.7,23.5559,66.3,268
1.7,23.5559,71.4,196
1.7,23.5559,86.7,205
1.7,25.0281,12.75,645
1.7,25.0281,28.05,464
1.7,25.0281,38.25,354
1.7,25.0281,43.35,331
1.7,25.0281,63.75,244
1.7,25.0281,73.95,195
1.7,25.0281,99.45,465
1.7,26.5004,0,3381
1.7,26.5004,10.2,585
1.7,26.5004,25.5,480
1.7,26.5004,51,271
1.7,26.5004,56.1,200
1.7,26.5004,66.3,185
1.7,26.5004,86.7,133
1.7,27.9726,22.95,435
1.7,27.9726,33.15,337
1.7,27.9726,43.35,264
1.7,27.9726,58.65,173
1.7,27.9726,68.85,132
1.7,27.9726,79.05,305
1.7,27.9726,89.25,275
1.7,27.9726,99.45,377
1.7,29.4449,0,4218
1.7,29.4449,10.2,1106
1.7,29.4449,20.4,424
1.7,29.4449,25.5,304
1.7,29.4449,30.6,369
1.7,29.4449,35.7,247
1.7,29.4449,40.8,465
1.7,29.4449,45.9,210
1.7,29.4449,51,230
1.7,29.4449,66.3,119
1.7,29.4449,71.4,130
1.7,29.4449,81.6,110
1.7,29.4449,91.8,232
1.7,30.9171,17.85,775
1.7,30.9171,22.95,269
1.7,30.9171,28.05,340
1.7,30.9171,33.15,256
1.7,30.9171,38.25,199
1.7,30.9171,48.45,182
1.7,30.9171,53.55,270
1.7,30.9171,58.65,117
1.7,30.9171,63.75,140
1.7,30.9171,68.85,107
1.7,30.9171,7.65,988
1.7,30.9171,73.95,92
1.7,30.9171,84.15,203
1.7,30.9171,99.45,459
1.7,32.3894,0,3234
1.7,32.3894,15.3,642
1.7,32.3894,20.4,503
1.7,32.3894,30.6,215
1.7,32.3894,35.7,188
1.7,32.3894,40.8,135
1.7,32.3894,45.9,261
1.7,32.3894,51,128
1.7,32.3894,56.1,119
1.7,32.3894,61.2,87
1.7,32.3894,66.3,73
1.7,32.3894,71.4,91
1.7,32.3894,76.5,93
1.7,32.3894,86.7,186
1.7,32.3894,91.8,169
1.7,33.8616,12.75,618
1.7,33.8616,17.85,429
1.7,33.8616,22.95,171
1.7,33.8616,28.05,406
1.7,33.8616,33.15,169
1.7,33.8616,38.25,119
1.7,33.8616,43.35,239
1.7,33.8616,53.55,174
1.7,33.8616,58.65,159
1.7,33.8616,63.75,173
1.7,33.8616,68.85,77
1.7,33.8616,7.65,860
1.7,33.8616,73.95,148
1.7,33.8616,79.05,148
1.7,33.8616,94.35,234
1.7,33.8616,99.45,435
1.7,35.3338,0,3276
1.7,35.3338,10.2,798
1.7,35.3338,15.3,366
1.7,35.3338,20.4,150
1.7,35.3338,25.5,312
1.7,35.3338,30.6,420
1.7,35.3338,35.7,139
1.7,35.3338,40.8,92
1.7,35.3338,45.9,96
1.7,35.3338,5.1,1390
1.7,35.3338,51,186
1.7,35.3338,56.1,161
1.7,35.3338,61.2,63
1.7,35.3338,66.3,128
1.7,35.3338,71.4,126
1.7,35.3338,76.5,111
1.7,35.3338,81.6,149
1.7,35.3338,86.7,136
1.7,36.8061,22.95,268
1.7,36.8061,28.05,248
1.7,36.8061,33.15,218
1.7,36.8061,38.25,241
1.7,36.8061,43.35,225
1.7,36.8061,48.45,131
1.7,36.8061,53.55,112
1.7,36.8061,58.65,94
1.7,36.8061,63.75,104
1.7,36.8061,68.85,95
1.7,36.8061,73.95,120
1.7,36.8061,79.05,109
1.7,36.8061,84.15,180
1.7,36.8061,89.25,175
1.7,36.8061,94.35,217
1.7,36.8061,99.45,389
1.7,38.2783,0,3001
1.7,38.2783,10.2,639
1.7,38.2783,15.3,359
1.7,38.2783,20.4,402
1.7,38.2783,25.5,305
1.7,38.2783,30.6,258
1.7,38.2783,35.7,217
1.7,38.2783,40.8,199
1.7,38.2783,45.9,135
1.7,38.2783,5.1,1271
1.7,38.2783,51,248
1.7,38.2783,56.1,127
1.7,38.2783,61.2,76
1.7,38.2783,66.3,122
1.7,38.2783,71.4,111
1.7,38.2783,76.5,86
1.7,38.2783,81.6,139
1.7,38.2783,86.7,171
1.7,38.2783,91.8,200
1.7,38.2783,96.9,103
1.7,39.7506,12.75,715
1.7,39.7506,17.85,513
1.7,39.7506,2.55,414
1.7,39.7506,22.95,468
1.7,39.7506,28.05,317
1.7,39.7506,33.15,187
1.7,39.7506,38.25,154
1.7,39.7506,43.35,125
1.7,39.7506,48.45,125
1.7,39.7506,53.55,122
1.7,39.7506,58.65,195
1.7,39.7506,63.75,119
1.7,39.7506,68.85,151
1.7,39.7506,7.65,780
1.7,39.7506,73.95,133
1.7,39.7506,79.05,127
1.7,39.7506,84.15,147
1.7,39.7506,89.25,120
1.7,39.7506,94.35,47
1.7,39.7506,99.45,398
1.7,41.2228,0,2865
1.7,41.2228,10.2,559
1.7,41.2228,15.3,474
1.7,41.2228,20.4,402
1.7,41.2228,25.5,241
1.7,41.2228,30.6,257
1.7,41.2228,35.7,304
1.7,41.2228,40.8,164
1.7,41.2228,45.9,182
1.7,41.2228,5.1,371
1.7,41.2228,51,152
1.7,41.2228,56.1,154
1.7,41.2228,61.2,92
1.7,41.2228,66.3,133
1.7,41.2228,71.4,117
1.7,41.2228,76.5,188
1.7,41.2228,81.6,122
1.7,41.2228,86.7,129
1.7,41.2228,91.8,197
1.7,41.2228,96.9,287
1.7,42.6951,12.75,564
1.7,42.6951,17.85,509
1.7,42.6951,2.55,1071
1.7,42.6951,22.95,358
1.7,42.6951,28.05,296
1.7,42.6951,33.15,166
1.7,42.6951,38.25,185
1.7,42.6951,43.35,206
1.7,42.6951,48.45,85
1.7,42.6951,53.55,139
1.7,42.6951,58.65,129
1.7,42.6951,63.75,130
1.7,42.6951,68.85,120
1.7,42.6951,7.65,597
1.7,42.6951,73.95,106
1.7,42.6951,79.05,216
1.7,42.6951,84.15,97
1.7,42.6951,89.25,191
1.7,42.6951,94.35,173
1.7,42.6951,99.45,378
1.7,44.1673,0,2208
1.7,44.1673,10.2,689
1.7,44.1673,15.3,539
1.7,44.1673,20.4,307
1.7,44.1673,25.5,263
1.7,44.1673,30.6,273
1.7,44.1673,35.7,174
1.7,44.1673,40.8,141
1.7,44.1673,45.9,159
1.7,44.1673,5.1,705
1.7,44.1673,51,140
1.7,44.1673,56.1,128
1.7,44.1673,61.2,138
1.7,44.1673,66.3,136
1.7,44.1673,71.4,100
1.7,44.1673,76.5,139
1.7,44.1673,81.6,161
1.7,44.1673,86.7,181
1.7,44.1673,91.8,141
1.7,44.1673,96.9,195
1.7,45.6395,12.75,368
1.7,45.6395,17.85,345
1.7,45.6395,2.55,979
1.7,45.6395,22.95,251
1.7,45.6395,28.05,255
1.7,45.6395,33.15,202
1.7,45.6395,38.25,171
1.7,45.6395,43.35,127
1.7,45.6395,48.45,131
1.7,45.6395,53.55,131
1.7,45.6395,58.65,132
1.7,45.6395,63.75,104
1.7,45.6395,68.85,113
1.7,45.6395,7.65,605
1.7,45.6395,73.95,125
1.7,45.6395,79.05,153
1.7,45.6395,84.15,164
1.7,45.6395,89.25,191
1.7,45.6395,94.35,157
1.7,45.6395,99.45,252
1.7,47.1118,0,1956
1.7,47.1118,10.2,674
1.7,47.1118,15.3,408
1.7,47.1118,20.4,343
1.7,47.1118,25.5,217
1.7,47.1118,30.6,228
1.7,47.1118,35.7,196
1.7,47.1118,40.8,178
1.7,47.1118,45.9,155
1.7,47.1118,5.1,939
1.7,47.1118,51,166
1.7,47.1118,56.1,116
1.7,47.1118,61.2,110
1.7,47.1118,66.3,119
1.7,47.1118,71.4,119
1.7,47.1118,76.5,134
1.7,47.1118,81.6,139
1.7,47.1118,86.7,115
1.7,47.1118,91.8,197
1.7,47.1118,96.9,221
1.7,48.584,12.75,453
1.7,48.584,17.85,359
1.7,48.584,2.55,1083
1.7,48.584,22.95,285
1.7,48.584,28.05,259
1.7,48.584,33.15,165
1.7,48.584,38.25,165
1.7,48.584,43.35,117
1.7,48.584,48.45,114
1.7,48.584,53.55,133
1.7,48.584,58.65,123
1.7,48.584,63.75,119
1.7,48.584,68.85,98
1.7,48.584,7.65,517
1.7,48.584,73.95,117
1.7,48.584,79.05,113
1.7,48.584,84.15,158
1.7,48.584,89.25,209
1.7,48.584,94.35,172
1.7,48.584,99.45,257
1.7,50.0563,0,1318
1.7,50.0563,10.2,506
1.7,50.0563,15.3,360
1.7,50.0563,20.4,281
1.7,50.0563,25.5,217
1.7,50.0563,30.6,186
1.7,50.0563,35.7,173
1.7,50.0563,40.8,156
1.7,50.0563,45.9,137
1.7,50.0563,5.1,607
1.7,50.0563,51,107
1.7,50.0563,56.1,97
1.7,50.0563,61.2,129
1.7,50.0563,66.3,99
1.7,50.0563,71.4,99
1.7,50.0563,76.5,123
1.7,50.0563,81.6,127
1.7,50.0563,86.7,141
1.7,50.0563,91.8,169
1.7,50.0563,96.9,199
1.7,51.5285,12.75,392
1.7,51.5285,17.85,296
1.7,51.5285,2.55,975
1.7,51.5285,22.95,237
1.7,51.5285,28.05,208
1.7,51.5285,33.15,148
1.7,51.5285,38.25,134
1.7,51.5285,43.35,110
1.7,51.5285,48.45,125
1.7,51.5285,53.55,86
1.7,51.5285,58.65,107
1.7,51.5285,63.75,102
1.7,51.5285,68.85,86
1.7,51.5285,7.65,606
1.7,51.5285,73.95,118
1.7,51.5285,79.05,122
1.7,51.5285,84.15,157
1.7,51.5285,89.25,154
1.7,51.5285,94.35,175
1.7,51.5285,99.45,229
1.7,53.0008,0,1194
1.7,53.0008,10.2,403
1.7,53.0008,15.3,321
1.7,53.0008,20.4,212
1.7,53.0008,25.5,173
1.7,53.0008,30.6,169
1.7,53.0008,35.7,141
1.7,53.0008,40.8,130
1.7,53.0008,45.9,123
1.7,53.0008,5.1,553
1.7,53.0008,51,97
1.7,53.0008,56.1,106
1.7,53.0008,61.2,102
1.7,53.0008,66.3,92
1.7,53.0008,71.4,120
1.7,53.0008,76.5,81
1.7,53.0008,81.6,131
1.7,53.0008,86.7,127
1.7,53.0008,91.8,192
1.7,53.0008,96.9,170
1.7,54.473,12.75,348
1.7,54.473,17.85,239
1.7,54.473,2.55,759
1.7,54.473,22.95,194
1.7,54.473,28.05,147
1.7,54.473,33.15,132
1.7,54.473,38.25,105
1.7,54.473,43.35,85
1.7,54.473,48.45,90
1.7,54.473,53.55,83
1.7,54.473,58.65,84
1.7,54.473,63.75,89
1.7,54.473,68.85,96
1.7,54.473,7.65,484
1.7,54.473,73.95,106
1.7,54.473,79.05,113
1.7,54.473,84.15,105
1.7,54.473,89.25,135
1.7,54.473,94.35,138
1.7,54.473,99.45,162
1.7,55.9452,0,945
1.7,55.9452,10.2,367
1.7,55.9452,15.3,258
1.7,55.9452,20.4,189
1.7,55.9452,25.5,182
1.7,55.9452,30.6,137
1.7,55.9452,35.7,119
1.7,55.9452,40.8,90
1.7,55.9452,45.9,74
1.7,55.9452,5.1,508
1.7,55.9452,51,78
1.7,55.9452,56.1,82
1.7,55.9452,61.2,80
1.7,55.9452,66.3,76
1.7,55.9452,71.4,75
1.7,55.9452,76.5,94
1.7,55.9452,81.6,108
1.7,55.9452,86.7,122
1.7,55.9452,91.8,168
1.7,55.9452,96.9,165
1.7,57.4175,12.75,273
1.7,57.4175,17.85,197
1.7,57.4175,2.55,572
1.7,57.4175,22.95,152
1.7,57.4175,28.05,156
1.7,57.4175,33.15,93
1.7,57.4175,38.25,85
1.7,57.4175,43.35,78
1.7,57.4175,48.45,81
1.7,57.4175,53.55,78
1.7,57.4175,58.65,62
1.7,57.4175,63.75,78
1.7,57.4175,68.85,64
1.7,57.4175,7.65,338
1.7,57.4175,73.95,68
1.7,57.4175,79.05,77
1.7,57.4175,84.15,92
1.7,57.4175,89.25,112
1.7,57.4175,94.35,120
1.7,57.4175,99.45,116
1.7,58.8897,0,670
1.7,58.8897,10.2,261
1.7,58.8897,15.3,175
1.7,58.8897,20.4,147
1.7,58.8897,25.5,89
1.7,58.8897,30.6,101
1.7,58.8897,35.7,96
1.7,58.8897,40.8,82
1.7,58.8897,45.9,62
1.7,58.8897,5.1,349
1.7,58.8897,51,59
1.7,58.8897,56.1,55
1.7,58.8897,61.2,61
1.7,58.8897,66.3,49
1.7,58.8897,71.4,59
1.7,58.8897,76.5,77
1.7,58.8897,81.6,66
1.7,58.8897,86.7,93
1.7,58.8897,91.8,107
1.7,58.8897,96.9,131
1.7,60.362,12.75,192
1.7,60.362,17.85,143
1.7,60.362,2.55,453
1.7,60.362,22.95,134
1.7,60.362,28.05,99
1.7,60.362,33.15,71
1.7,60.362,38.25,68
1.7,60.362,43.35,54
1.7,60.362,48.45,60
1.7,60.362,53.55,53
1.7,60.362,58.65,44
1.7,60.362,63.75,45
1.7,60.362,68.85,55
1.7,60.362,7.65,316
1.7,60.362,73.95,56
1.7,60.362,79.05,65
1.7,60.362,84.15,67
1.7,60.362,89.25,99
1.7,60.362,94.35,101
1.7,60.362,99.45,83
1.7,61.8342,0,515
1.7,61.8342,10.2,183
1.7,61.8342,15.3,159
1.7,61.8342,20.4,116
1.7,61.8342,25.5,96
1.7,61.8342,30.6,74
1.7,61.8342,35.7,57
1.7,61.8342,40.8,46
1.7,61.8342,45.9,55
1.7,61.8342,5.1,290
1.7,61.8342,51,51
1.7,61.8342,56.1,37
1.7,61.8342,61.2,42
1.7,61.8342,66.3,58
1.7,61.8342,71.4,44
1.7,61.8342,76.5,51
1.7,61.8342,81.6,50
1.7,61.8342,86.7,68
1.7,61.8342,91.8,97
1.7,61.8342,96.9,94
1.7,63.3065,12.75,153
1.7,63.3065,17.85,126
1.7,63.3065,2.55,371
1.7,63.3065,22.95,74
1.7,63.3065,28.05,70
1.7,63.3065,33.15,56
1.7,63.3065,38.25,53
1.7,63.3065,43.35,58
1.7,63.3065,48.45,45
1.7,63.3065,53.55,47
1.7,63.3065,58.65,33
1.7,63.3065,63.75,34
1.7,63.3065,68.85,23
1.7,63.3065,7.65,213
1.7,63.3065,73.95,32
1.7,63.3065,79.05,37
1.7,63.3065,84.15,49
1.7,63.3065,89.25,51
1.7,63.3065,94.35,85
1.7,63.3065,99.45,61
1.7,64.7787,0,337
1.7,64.7787,10.2,207
1.7,64.7787,15.3,122
1.7,64.7787,20.4,92
1.7,64.7787,25.5,85
1.7,64.7787,30.6,62
1.7,64.7787,35.7,54
1.7,64.7787,40.8,55
1.7,64.7787,45.9,49
1.7,64.7787,5.1,255
1.7,64.7787,51,37
1.7,64.7787,56.1,47
1.7,64.7787,61.2,38
1.7,64.7787,66.3,33
1.7,64.7787,71.4,46
1.7,64.7787,76.5,53
1.7,64.7787,81.6,46
1.7,64.7787,86.7,34
1.7,64.7787,91.8,51
1.7,64.7787,96.9,95
1.7,66.2509,12.75,99
1.7,66.2509,17.85,83
1.7,66.2509,2.55,255
1.7,66.2509,22.95,66
1.7,66.2509,28.05,48
1.7,66.2509,33.15,56
1.7,66.2509,38.25,45
1.7,66.2509,43.35,44
1.7,66.2509,48.45,45
1.7,66.2509,53.55,35
1.7,66.2509,58.65,39
1.7,66.2509,63.75,24
1.7,66.2509,68.85,33
1.7,66.2509,7.65,178
1.7,66.2509,73.95,31
1.7,66.2509,79.05,34
1.7,66.2509,84.15,41
1.7,66.2509,89.25,40
1.7,66.2509,94.35,73
1.7,66.2509,99.45,44
1.7,67.7232,0,249
1.7,67.7232,10.2,129
1.7,67.7232,15.3,113
1.7,67.7232,20.4,81
1.7,67.7232,25.5,70
1.7,67.7232,30.6,47
1.7,67.7232,35.7,63
1.7,67.7232,40.8,44
1.7,67.7232,45.9,33
1.7,67.7232,5.1,208
