"id","level","x","y"
7,0.0003,12.658,1.363
7,0.0003,13.924,2.137
7,0.0003,14.831,2.532
7,0.0003,15.19,2.649
7,0.0003,16.456,3.002
7,0.0003,17.722,3.304
7,0.0003,18.987,3.551
7,0.0003,20.253,3.759
7,0.0003,20.501,3.797
7,0.0003,21.519,3.974
7,0.0003,22.785,4.175
7,0.0003,24.051,4.368
7,0.0003,25.316,4.583
7,0.0003,26.582,4.853
7,0.0003,27.33,5.063
7,0.0003,27.848,5.419
7,0.0003,28.784,6.329
7,0.0003,28.712,7.595
7,0.0003,28.157,8.861
7,0.0003,27.848,9.539
7,0.0003,27.549,10.127
7,0.0003,27.362,11.392
7,0.0003,27.848,11.817
7,0.0003,29.114,11.986
7,0.0003,30.38,12.145
7,0.0003,31.511,12.658
7,0.0003,31.646,12.793
7,0.0003,32.326,13.924
7,0.0003,32.81,15.19
7,0.0003,32.911,15.398
7,0.0003,33.861,16.456
7,0.0003,34.177,16.719
7,0.0003,35.443,17.651
7,0.0003,35.54,17.722
7,0.0003,36.709,18.68
7,0.0003,37.181,18.987
7,0.0003,37.975,19.523
7,0.0003,39.241,20.024
7,0.0003,40.506,20.171
7,0.0003,41.772,20.007
7,0.0003,43.038,19.594
7,0.0003,44.304,19.035
7,0.0003,44.394,18.987
7,0.0003,45.57,18.462
7,0.0003,46.835,17.768
7,0.0003,46.904,17.722
7,0.0003,48.101,16.954
7,0.0003,48.7,16.456
7,0.0003,49.367,15.933
7,0.0003,50.141,15.19
7,0.0003,50.633,14.756
7,0.0003,51.476,13.924
7,0.0003,51.899,13.542
7,0.0003,52.813,12.658
7,0.0003,53.165,12.337
7,0.0003,54.128,11.392
7,0.0003,54.43,11.108
7,0.0003,55.394,10.127
7,0.0003,55.696,9.839
7,0.0003,56.65,8.861
7,0.0003,56.962,8.568
7,0.0003,57.933,7.595
7,0.0003,58.228,7.314
7,0.0003,59.216,6.329
7,0.0003,59.494,6.038
7,0.0003,60.403,5.063
7,0.0003,60.759,4.551
7,0.0003,61.285,3.797
7,0.0003,61.58,2.532
7,0.0003,61.054,1.266
7,0.0003,60.759,1.021
7,0.0003,59.521,0
8,0.0004,14.143,0
8,0.0004,15.048,1.266
8,0.0004,15.19,1.337
8,0.0004,16.456,1.889
8,0.0004,17.722,2.362
8,0.0004,18.249,2.532
8,0.0004,18.987,2.716
8,0.0004,20.253,2.993
8,0.0004,21.519,3.236
8,0.0004,22.785,3.446
8,0.0004,24.051,3.633
8,0.0004,25.189,3.797
8,0.0004,25.316,3.82
8,0.0004,26.582,4.079
8,0.0004,27.848,4.402
8,0.0004,29.114,4.825
8,0.0004,29.691,5.063
