"year","abbr","state","initial","initial_rank","final","final_rank","rank_move"
2000,"NM","New Mexico",-0.0476278,17,-0.140861,21,4
2000,"NY","New York",0.850239,49,-0.241398,16,33
2000,"NC","North Carolina",0.317947,30,-0.0692443,27,2.5
2000,"ND","North Dakota",-2.22486,1,-0.605734,8,7
2000,"OH","Ohio",0.45384,35,-0.218012,18,17
2000,"OK","Oklahoma",-0.156343,15,-0.0936406,25,10
2000,"OR","Oregon",0.235434,26,-1.83794,1,25
2000,"PA","Pennsylvania",0.815769,46,-0.0782658,26,20.5
2000,"RI","Rhode Island",0.85836,50,-0.0228273,28,22
2000,"SC","South Carolina",0.693991,39,0.710921,42,3
2000,"SD","South Dakota",-0.0390227,18,-0.162078,20,2
2000,"TN","Tennessee",0.252875,27,1.16644,47,20
2000,"TX","Texas",0.332062,31,0.571174,39,8
2000,"UT","Utah",0.217837,25,-0.587161,10,15
2000,"VT","Vermont",-0.872639,9,-0.785679,7,2
2000,"VA","Virginia",0.761411,43,0.665922,41,1.5
2000,"WA","Washington",0.815769,47,0.18616,34,12.5
2000,"WV","West Virginia",0.815769,48,0.0464137,31,15.5
2000,"WI","Wisconsin",-1.41361,5,-1.03791,5,0.5
2000,"WY","Wyoming",-1.77554,2,-1.17765,4,2
2004,"AL","Alabama",0.294949,33,0.576802,38,5
2004,"AK","Alaska",0.0717351,22,0.361493,33,11
2004,"AZ","Arizona",-0.12086,17,-0.263264,12,5
2004,"AR","Arkansas",0.236849,29,0.638545,40,11
2004,"CA","California",0.0620837,21,0.0057668,21,0
2004,"CO","Colorado",-0.13745,14,0.0136461,24,10
2004,"CT","Connecticut",-0.0506777,19,-0.0341564,20,1
2004,"DE","Delaware",0.545887,38,0.43665,34,4.5
2004,"FL","Florida",-0.0991017,18,0.723372,45,27
2004,"GA","Georgia",-0.182763,13,0.468674,35,22
2004,"HI","Hawaii",-0.13215,15,0.707366,43,28
2004,"ID","Idaho",-1.91606,2,-1.48357,4,2
2004,"IL","Illinois",0.0978814,23,-0.476884,10,13
2004,"IN","Indiana",0.477991,35,0.161758,29,6
2004,"IA","Iowa",-0.13101,16,-0.251419,13,3
2004,"KS","Kansas",-0.256838,10,0.0070209,22,12
2004,"KY","Kentucky",0.551965,40,0.57325,37,3
2004,"LA","Louisiana",0.869839,48,0.872141,48,0
2004,"ME","Maine",-1.50906,3,-1.9066,3,0.5
2004,"MD","Maryland",0.259942,31,0.0134763,23,8
2004,"MA","Massachusetts",0.226966,27,-0.0507782,19,9
2004,"MI","Michigan",0.482755,36,0.474181,36,0.5
2004,"MN","Minnesota",-0.857112,7,-0.721739,8,1
2004,"MS","Mississippi",0.903863,49,0.674112,41,8
2004,"MO","Missouri",0.832099,45,0.738125,46,1
2004,"MT","Montana",0.256766,30,0.715434,44,14
2004,"NE","Nebraska",-0.0086329,20,0.053518,25,5
2004,"NV","Nevada",0.26602,32,-0.110795,17,15
2004,"NH","New Hampshire",-1.20769,5,-0.532305,9,4
2004,"NJ","New Jersey",0.102645,25,-0.240186,14,11
2004,"NM","New Mexico",0.200068,26,0.173654,30,4
2004,"NY","New York",0.654344,44,0.127006,27,17
2004,"NC","North Carolina",-0.319969,9,-0.367981,11,2
2004,"ND","North Dakota",-2.72123,1,-2.03896,1,0
2004,"OH","Ohio",0.556729,41,0.0616485,26,15
2004,"OK","Oklahoma",0.101138,24,0.244483,31,7
2004,"OR","Oregon",-0.808822,8,-1.99226,2,6
2004,"PA","Pennsylvania",0.482755,37,-0.125793,16,20.5
2004,"RI","Rhode Island",0.847438,47,0.272167,32,15
2004,"SC","South Carolina",0.926264,50,0.974099,49,1
2004,"SD","South Dakota",-0.183823,12,0.582663,39,27
2004,"TN","Tennessee",0.64385,43,1.0385,50,7
2004,"TX","Texas",0.607343,42,0.675366,42,0
2004,"UT","Utah",0.545887,39,-0.0507782,19,20
2004,"VT","Vermont",-0.236646,11,-0.851079,6,5
2004,"VA","Virginia",0.842674,46,0.82163,47,1
2004,"WA","Washington",0.403406,34,0.155133,28,6
2004,"WV","West Virginia",0.226966,28,-0.162069,15,12.5
2004,"WI","Wisconsin",-1.19014,6,-0.93425,5,1
2004,"WY","Wyoming",-1.50906,4,-0.746808,7,3.5
2008,"AL","Alabama",0.0836514,20,0.246896,28,8
2008,"AK","Alaska",0.31486,31,0.291352,30,1
2008,"AZ","Arizona",0.305234,29,0.506016,38,9
2008,"AR","Arkansas",0.730487,46,0.824829,47,1
2008,"CA","California",-0.12139,13,0.0133687,18,5
2008,"CO","Colorado",0.0850856,22,0.180332,25,3
2008,"CT","Connecticut",0.015329,18,0.0795051,19,1
2008,"DE","Delaware",0.494703,37,0.540214,40,3
2008,"FL","Florida",0.0849823,21,-0.003197,17,4
2008,"GA","Georgia",0.0981436,23,0.445395,37,14
2008,"HI","Hawaii",-0.0504034,15,-0.485647,13,2
2008,"ID","Idaho",-1.59396,2,-1.23575,3,1
2008,"IL","Illinois",0.0398871,19,-0.29656,14,5
2008,"IN","Indiana",0.626838,42,0.774903,45,3
2008,"IA","Iowa",-0.799916,10,-0.942891,6,4.5
2008,"KS","Kansas",0.0034928,16,0.123354,22,6
2008,"KY","Kentucky",0.583283,41,0.771713,44,3
2008,"LA","Louisiana",0.704952,44,0.830082,48,4
2008,"ME","Maine",-1.25053,5,-1.63597,2,3
2008,"MD","Maryland",0.155856,26,0.242776,27,1
2008,"MA","Massachusetts",0.307379,30,0.0897646,20,10
2008,"MI","Michigan",0.541838,40,0.249614,29,11
2008,"MN","Minnesota",-1.1488,7,-0.894464,7,0
2008,"MS","Mississippi",0.806407,47,0.776736,46,1
2008,"MO","Missouri",0.711929,45,0.2384,26,19
2008,"MT","Montana",-0.897712,9,-0.501634,12,3
2008,"NE","Nebraska",-0.212655,12,-0.0214726,16,4
2008,"NV","Nevada",0.43176,34,0.157858,23,11
2008,"NH","New Hampshire",-1.45995,3,-0.788419,10,7
2008,"NJ","New Jersey",0.371757,33,0.299021,31,2
2008,"NM","New Mexico",0.360158,32,0.443633,36,4
2008,"NY","New York",0.641433,43,0.515536,39,4
2008,"NC","North Carolina",-0.262904,11,-0.942891,6,5.5
2008,"ND","North Dakota",-2.41954,1,-2.7273,1,0
2008,"OH","Ohio",0.832492,49,0.64507,42,7
2008,"OK","Oklahoma",0.252756,27,0.411419,35,8
2008,"OR","Oregon",-0.082708,14,-0.886895,9,5
2008,"PA","Pennsylvania",0.486136,35,0.091535,21,14
2008,"RI","Rhode Island",0.53244,39,0.383083,34,5
2008,"SC","South Carolina",0.862109,50,0.883272,50,0
2008,"SD","South Dakota",0.0061508,17,0.333799,32,15
2008,"TN","Tennessee",0.520011,38,0.71353,43,5
2008,"TX","Texas",0.487461,36,0.608308,41,5
2008,"UT","Utah",0.120056,24,-0.130207,15,9.5
2008,"VT","Vermont",-0.964126,8,-1.05819,4,4
2008,"VA","Virginia",0.81691,48,0.856829,49,1
2008,"WA","Washington",0.292073,28,0.377006,33,5
2008,"WV","West Virginia",0.120056,25,0.158714,24,0.5
2008,"WI","Wisconsin",-1.18809,6,-0.893151,8,2
2008,"WY","Wyoming",-1.37542,4,-0.659223,11,7
2012,"AL","Alabama",0.402581,34,0.221819,29,5
2012,"AK","Alaska",0.310618,29,0.181131,27,2
2012,"AZ","Arizona",0.399134,32,0.453258,38,6
2012,"AR","Arkansas",0.760174,48,0.817738,47,1
2012,"CA","California",-0.583978,10,-0.548003,9,1
2012,"CO","Colorado",-0.493647,13,0.395158,33,20
2012,"CT","Connecticut",-0.604042,9,-0.718142,8,1
2012,"DE","Delaware",0.134731,27,0.19309,28,1
2012,"FL","Florida",0.397245,31,0.639859,40,9
2012,"GA","Georgia",0.725288,44,0.997143,49,5
2012,"HI","Hawaii",0.247368,28,0.298609,30,2
2012,"ID","Idaho",-0.756205,8,-0.444465,13,5
2012,"IL","Illinois",0.131467,26,-0.177334,20,6
2012,"IN","Indiana",0.594831,40,0.838526,48,8
2012,"IA","Iowa",-1.27766,3,-1.12658,4,1
2012,"KS","Kansas",0.513104,37,0.719635,45,8
2012,"KY","Kentucky",0.887688,49,0.671153,42,7
2012,"LA","Louisiana",-0.0778287,21,0.355018,31,10
2012,"ME","Maine",-1.38848,1,-1.21879,3,2
2012,"MD","Maryland",-0.436204,16,-0.536153,10,6
2012,"MA","Massachusetts",0.39973,33,-0.186712,18,15
2012,"MI","Michigan",0.690437,42,0.448814,37,5
2012,"MN","Minnesota",-0.569311,12,-0.492749,11,1
2012,"MS","Mississippi",0.58452,39,0.683546,43,4
2012,"MO","Missouri",0.747354,47,0.418839,34,13
2012,"MT","Montana",-0.459301,15,-0.185276,19,4
2012,"NE","Nebraska",-0.331388,17,-0.218286,17,0
2012,"NV","Nevada",0.0532249,24,-0.0179299,24,0
2012,"NH","New Hampshire",-0.576967,11,0.0808088,25,14
2012,"NJ","New Jersey",0.0507789,23,-0.308711,15,8
2012,"NM","New Mexico",0.471978,36,0.480551,39,3
2012,"NY","New York",0.0168153,22,-0.455656,12,10
2012,"NC","North Carolina",-0.482363,14,-0.986992,6,8
2012,"ND","North Dakota",-1.35414,2,-1.03443,5,3
2012,"OH","Ohio",0.73089,45,0.659766,41,4
2012,"OK","Oklahoma",0.429317,35,0.382619,32,3
2012,"OR","Oregon",-1.04462,4,-1.67435,1,3
2012,"PA","Pennsylvania",0.579079,38,0.113209,26,12
2012,"RI","Rhode Island",0.123922,25,-0.102991,22,3
2012,"SC","South Carolina",0.739158,46,0.69254,44,2
2012,"SD","South Dakota",0.311341,30,0.428422,35,5
2012,"TN","Tennessee",0.92824,50,1.08774,50,0
2012,"TX","Texas",0.64042,41,0.760767,46,5
2012,"UT","Utah",-0.180801,19,-0.398464,14,5
2012,"VT","Vermont",-0.188618,18,-0.0795997,23,5
2012,"VA","Virginia",0.70063,43,0.432996,36,7
2012,"WA","Washington",-1.03285,5,-1.39553,2,3
2012,"WV","West Virginia",-0.150467,20,-0.131163,21,1
2012,"WI","Wisconsin",-0.879419,6,-0.771007,7,1
2012,"WY","Wyoming",-0.833773,7,-0.243437,16,9
2016,"AL","Alabama",0.617022,39,0.615528,43,4
2016,"AK","Alaska",-0.04463,23,-0.152304,19,4
2016,"AZ","Arizona",0.53644,36,0.256253,29,7
2016,"AR","Arkansas",0.510029,34,0.555008,37,3
2016,"CA","California",-1.30002,3,-1.26234,2,1
2016,"CO","Colorado",-1.45973,2,-0.721183,10,8
2016,"CT","Connecticut",-0.33634,15,-0.227223,18,3
2016,"DE","Delaware",0.0393883,25,0.125778,26,1
2016,"FL","Florida",0.407294,32,0.457588,35,3
2016,"GA","Georgia",0.526618,35,0.211229,27,8
2016,"HI","Hawaii",-0.205622,19,-0.726545,9,10
2016,"ID","Idaho",-0.255586,17,-0.05282,23,6
2016,"IL","Illinois",-0.572932,12,-0.649683,13,0.5
2016,"IN","Indiana",0.914205,47,0.686328,44,3
2016,"IA","Iowa",-1.09362,5,-0.757245,8,3
2016,"KS","Kansas",0.683713,42,0.381935,33,9
2016,"KY","Kentucky",0.653698,41,0.687502,45,4
2016,"LA","Louisiana",-0.143034,20,-0.141584,21,1
2016,"ME","Maine",-1.09056,6,-0.867323,6,0
2016,"MD","Maryland",-0.736097,9,-0.777134,7,2
2016,"MA","Massachusetts",-0.752566,8,-0.696813,11,3
2016,"MI","Michigan",0.82032,45,0.594313,40,5
2016,"MN","Minnesota",-0.572932,13,-0.260545,16,3.5
2016,"MS","Mississippi",1.30155,50,1.08601,49,1
2016,"MO","Missouri",0.258596,29,0.319766,30,1
2016,"MT","Montana",-0.212205,18,-0.148562,20,2
2016,"NE","Nebraska",-0.400812,14,-0.293721,14,0
2016,"NV","Nevada",0.346752,30,0.320163,31,1
2016,"NH","New Hampshire",0.622097,40,1.21799,50,10
2016,"NJ","New Jersey",-0.63089,10,-0.669627,12,2
2016,"NM","New Mexico",0.568277,37,0.574823,38,1
2016,"NY","New York",0.0565673,26,0.0102045,25,1
2016,"NC","North Carolina",0.03835,24,-0.0521072,24,0
2016,"ND","North Dakota",-1.2214,4,-0.896449,5,1
2016,"OH","Ohio",0.808721,44,0.604653,42,2
2016,"OK","Oklahoma",0.419289,33,0.370615,32,1
2016,"OR","Oregon",-2.06112,1,-2.01638,1,0
2016,"PA","Pennsylvania",0.367567,31,0.417105,34,3
2016,"RI","Rhode Island",0.0793974,27,-0.106856,22,5
2016,"SC","South Carolina",0.695766,43,0.821029,46,3
2016,"SD","South Dakota",0.589972,38,0.46415,36,2
2016,"TN","Tennessee",0.959445,48,0.598356,41,7
2016,"TX","Texas",0.913964,46,0.900078,48,2
2016,"UT","Utah",-0.802849,7,-1.09026,3,4
2016,"VT","Vermont",-0.10612,21,-0.249111,17,4
2016,"VA","Virginia",1.05442,49,0.89998,47,2
2016,"WA","Washington",-0.618929,11,-0.915006,4,7
2016,"WV","West Virginia",-0.317439,16,-0.286625,15,1
2016,"WI","Wisconsin",-0.0682917,22,0.250401,28,6
2016,"WY","Wyoming",0.214258,28,0.590652,39,11
2020,"AL","Alabama",0.455878,39,0.775544,39,0
2020,"AK","Alaska",0.341942,36,-0.826169,9,27
2020,"AZ","Arizona",0.205742,30,0.446005,33,3
2020,"AR","Arkansas",0.536758,42,0.798091,40,2
2020,"CA","California",-0.621735,10,-1.02438,6,4
2020,"CO","Colorado",-0.68696,7,-0.677997,12,5
2020,"CT","Connecticut",-0.0741452,20,0.0333042,22,2
2020,"DE","Delaware",0.317414,33,0.0908156,24,9
2020,"FL","Florida",0.458465,40,0.355308,28,12
2020,"GA","Georgia",0.98382,49,0.093488,25,24
2020,"HI","Hawaii",-0.711108,6,-0.720783,11,5
2020,"ID","Idaho",-0.120125,18,0.53326,35,17
2020,"IL","Illinois",-0.846523,4,-1.35607,3,1
2020,"IN","Indiana",0.511901,41,1.17531,48,7
2020,"IA","Iowa",0.0521446,24,-0.153792,19,5
2020,"KS","Kansas",0.38042,38,0.905968,44,6
2020,"KY","Kentucky",0.605908,43,0.525977,34,9
2020,"LA","Louisiana",0.15306,27,0.114711,26,1
2020,"ME","Maine",-0.394382,14,-0.151706,20,6
2020,"MD","Maryland",-0.744743,5,-0.983151,7,2
2020,"MA","Massachusetts",-0.524303,11,-1.03175,5,6
2020,"MI","Michigan",-0.504327,13,-0.0733128,21,8
2020,"MN","Minnesota",-0.392172,15,0.372833,29,14
2020,"MS","Mississippi",0.85809,47,1.21248,49,2
2020,"MO","Missouri",0.915758,48,0.439124,32,16
2020,"MT","Montana",-0.068343,21,0.662322,37,16
2020,"NE","Nebraska",-0.0525623,22,0.16194,27,5
2020,"NV","Nevada",0.171668,28,-0.522561,15,13
2020,"NH","New Hampshire",0.782726,45,1.43694,50,5
2020,"NJ","New Jersey",-0.262016,16,-0.921365,8,8
2020,"NM","New Mexico",0.253178,31,0.421849,30,1
2020,"NY","New York",-0.246878,17,-0.753141,10,7
2020,"NC","North Carolina",-0.0279648,23,-0.489616,16,7
2020,"ND","North Dakota",-0.655997,8,-0.650797,13,5
2020,"OH","Ohio",0.319907,34,0.878077,43,9
2020,"OK","Oklahoma",0.369845,37,0.601024,36,1
2020,"OR","Oregon",-1.68757,1,-2.91698,1,0
2020,"PA","Pennsylvania",0.29443,32,0.424345,31,1
2020,"RI","Rhode Island",-0.0961096,19,-0.593382,14,5
2020,"SC","South Carolina",0.741478,44,0.981364,46,2
2020,"SD","South Dakota",0.187205,29,0.822561,41,12
2020,"TN","Tennessee",0.795487,46,1.02553,47,1
2020,"TX","Texas",1.2921,50,0.933478,45,5
2020,"UT","Utah",-0.929959,3,-1.03278,4,1
2020,"VT","Vermont",-0.638682,9,0.0418787,23,14
2020,"VA","Virginia",-0.505349,12,-0.163822,18,6
2020,"WA","Washington",-1.66375,2,-2.5133,2,0
2020,"WV","West Virginia",0.33254,35,-0.30746,17,18
2020,"WI","Wisconsin",0.0542661,25,0.770598,38,13
2020,"WY","Wyoming",0.0835755,26,0.83019,42,16
2022,"AL","Alabama",1.2784,45,1.30021,44,1
2022,"AK","Alaska",-0.41043,16,-0.0994304,22,6
2022,"AZ","Arizona",0.156269,26,0.339551,29,3
2022,"AR","Arkansas",1.36708,48,1.62166,49,1
2022,"CA","California",-1.92029,6,-2.32245,4,2
2022,"CO","Colorado",-2.09566,5,-2.28012,5,0
2022,"CT","Connecticut",0.465377,30,0.302025,28,2
2022,"DE","Delaware",-0.294144,18,-0.168645,20,2
2022,"FL","Florida",0.683532,33,0.829677,34,1
2022,"GA","Georgia",0.428767,29,0.676069,31,2
2022,"HI","Hawaii",-2.25638,4,-2.21792,6,2
2022,"ID","Idaho",0.30886,28,0.252042,27,1
2022,"IL","Illinois",-1.152,9,-1.28606,9,0
2022,"IN","Indiana",0.881898,36,0.959011,35,1
2022,"IA","Iowa",-0.0989997,23,-0.235867,17,6
2022,"KS","Kansas",1.03856,40,1.17534,39,1
2022,"KY","Kentucky",1.01895,39,1.18856,40,1
2022,"LA","Louisiana",0.580111,31,0.746653,33,2
2022,"ME","Maine",-0.429665,15,-0.573876,14,1
2022,"MD","Maryland",-0.562251,14,-0.707772,12,2
2022,"MA","Massachusetts",-0.600241,12,-0.689032,13,1
2022,"MI","Michigan",0.250352,27,0.101491,25,2
2022,"MN","Minnesota",0.0947725,24,-0.0257861,24,0
2022,"MS","Mississippi",1.56746,49,1.74384,50,1
2022,"MO","Missouri",1.07505,42,1.09036,37,5
2022,"MT","Montana",0.693601,34,0.736139,32,2
2022,"NE","Nebraska",0.154938,25,0.221305,26,1
2022,"NV","Nevada",-1.88382,7,-2.15443,8,1
2022,"NH","New Hampshire",1.6866,50,1.48974,47,3
2022,"NJ","New Jersey",-0.581983,13,-0.571394,15,2
2022,"NM","New Mexico",-0.174665,21,-0.220029,18,3
2022,"NY","New York",-0.299436,17,-0.256562,16,1
2022,"NC","North Carolina",-0.133655,22,-0.134117,21,1
2022,"ND","North Dakota",-0.809075,10,-0.853082,10,0
2022,"OH","Ohio",1.06058,41,1.19257,41,0
2022,"OK","Oklahoma",0.848863,35,1.01742,36,1
2022,"OR","Oregon",-2.54,1,-2.42854,2,1
2022,"PA","Pennsylvania",0.620847,32,0.537097,30,2
2022,"RI","Rhode Island",-0.204019,20,-0.189328,19,1
2022,"SC","South Carolina",1.18323,43,1.34039,46,3
2022,"SD","South Dakota",0.986854,37,1.15825,38,1
2022,"TN","Tennessee",1.01045,38,1.23834,43,5
2022,"TX","Texas",1.29428,46,1.57769,48,2
2022,"UT","Utah",-1.2094,8,-2.20443,7,1
2022,"VT","Vermont",-2.29496,3,-2.37643,3,0
2022,"VA","Virginia",-0.733758,11,-0.838394,11,0
2022,"WA","Washington",-2.42198,2,-2.46835,1,1
2022,"WV","West Virginia",-0.205282,19,-0.043942,23,4
2022,"WI","Wisconsin",1.36504,47,1.30131,45,2
2022,"WY","Wyoming",1.21137,44,1.20923,42,2
2024,"AL","Alabama",1.45516,47,1.42632,44,3
2024,"AK","Alaska",-0.168335,19,-0.164555,21,2
2024,"AZ","Arizona",0.308158,25,0.561168,29,4
2024,"AR","Arkansas",1.34891,44,1.5679,49,5
2024,"CA","California",-2.33571,4,-2.08445,7,3
2024,"CO","Colorado",-2.14484,8,-2.05294,8,0
2024,"CT","Connecticut",-0.0462431,20,-0.0462743,22,2
2024,"DE","Delaware",0.361521,28,0.382832,25,3
2024,"FL","Florida",0.728562,33,0.802503,32,1
2024,"GA","Georgia",0.953935,36,0.875783,35,1
2024,"HI","Hawaii",-2.42049,3,-2.22486,3,0
2024,"ID","Idaho",0.322707,27,0.428473,27,0
2024,"IL","Illinois",-1.5582,9,-1.68346,9,0
2024,"IN","Indiana",0.672978,31,0.862012,34,3
2024,"IA","Iowa",0.166135,24,0.160612,24,0
2024,"KS","Kansas",1.06565,38,1.10969,38,0
2024,"KY","Kentucky",1.05607,37,1.08475,37,0
2024,"LA","Louisiana",0.878942,34,0.809784,33,1
2024,"ME","Maine",-0.482182,17,-0.797199,14,3
2024,"MD","Maryland",-0.491494,16,-0.697404,17,1
2024,"MA","Massachusetts",-0.791484,12,-1.01575,11,1
2024,"MI","Michigan",-0.806048,11,-0.889477,13,2
2024,"MN","Minnesota",-0.67567,13,-1.14786,10,3
2024,"MS","Mississippi",1.94005,50,2.01049,50,0
2024,"MO","Missouri",1.28811,42,1.30899,41,1
2024,"MT","Montana",0.709028,32,0.717965,31,1
2024,"NE","Nebraska",0.313901,26,0.496135,28,2
2024,"NV","Nevada",-2.32014,6,-2.18687,4,2
2024,"NH","New Hampshire",1.5746,49,1.48327,47,2
2024,"NJ","New Jersey",-0.455524,18,-0.607256,18,0
2024,"NM","New Mexico",0.0092204,21,-0.338559,19,2
2024,"NY","New York",-0.871176,10,-0.96585,12,2
2024,"NC","North Carolina",0.663595,30,0.622359,30,0
2024,"ND","North Dakota",-0.495759,15,-0.700922,16,1
2024,"OH","Ohio",1.3512,45,1.43571,45,0
2024,"OK","Oklahoma",0.928017,35,0.919162,36,1
2024,"OR","Oregon",-2.45738,1,-2.31425,2,1
2024,"PA","Pennsylvania",0.49235,29,0.399019,26,3
2024,"RI","Rhode Island",0.0126768,22,-0.204266,20,2
2024,"SC","South Carolina",1.33103,43,1.41008,43,0
2024,"SD","South Dakota",1.13662,40,1.12374,39,1
2024,"TN","Tennessee",1.10157,39,1.33541,42,3
2024,"TX","Texas",1.5045,48,1.52445,48,0
2024,"UT","Utah",-2.33463,5,-2.12666,6,1
2024,"VT","Vermont",-2.31918,7,-2.15193,5,2
2024,"VA","Virginia",-0.675282,14,-0.714896,15,1
2024,"WA","Washington",-2.43015,2,-2.47609,1,1
2024,"WV","West Virginia",0.0364121,23,0.0823577,23,0
2024,"WI","Wisconsin",1.37135,46,1.47018,46,0
2024,"WY","Wyoming",1.19696,41,1.18064,40,1
