"year","state_abbrev","democrat","republican","other","winner","party_win"
1868,"MI",43,57,NA,"Ulysses S. Grant","republican"
1868,"MN",39.2,60.8,NA,"Ulysses S. Grant","republican"
1868,"MO",43,57,NA,"Ulysses S. Grant","republican"
1868,"NC",46.6,53.4,NA,"Ulysses S. Grant","republican"
1868,"NE",36.09,63.91,NA,"Ulysses S. Grant","republican"
1868,"NH",44.8,55.2,NA,"Ulysses S. Grant","republican"
1868,"NJ",50.9,49.1,NA,"Horatio Seymour","democrat"
1868,"NV",44.6,55.4,NA,"Ulysses S. Grant","republican"
1868,"NY",50.59,49.41,NA,"Horatio Seymour","democrat"
1868,"OH",46,54,NA,"Ulysses S. Grant","republican"
1868,"OR",50.4,49.6,NA,"Horatio Seymour","democrat"
1868,"PA",47.8,52.2,NA,"Ulysses S. Grant","republican"
1868,"RI",33.3,66.7,NA,"Ulysses S. Grant","republican"
1868,"SC",42.1,57.9,NA,"Ulysses S. Grant","republican"
1868,"TN",31.6,68.4,NA,"Ulysses S. Grant","republican"
1868,"VT",21.43,78.57,NA,"Ulysses S. Grant","republican"
1868,"WI",43.75,56.25,NA,"Ulysses S. Grant","republican"
1868,"WV",41.2,58.8,NA,"Ulysses S. Grant","republican"
1872,"AL",46.81,53.19,NA,"Ulysses S. Grant","republican"
1872,"AR",47.83,52.17,NA,"Ulysses S. Grant","republican"
1872,"CA",42.51,56.38,NA,"Ulysses S. Grant","republican"
1872,"CT",47.59,52.41,NA,"Ulysses S. Grant","republican"
1872,"DE",46.76,51,NA,"Ulysses S. Grant","republican"
1872,"FL",46.48,53.52,NA,"Ulysses S. Grant","republican"
1872,"GA",54.97,45.03,NA,"Horace Greeley","democrat"
1872,"IA",37.73,60.81,NA,"Ulysses S. Grant","republican"
1872,"IL",43,56.27,NA,"Ulysses S. Grant","republican"
1872,"IN",46.59,53,NA,"Ulysses S. Grant","republican"
1872,"KS",32.8,66.46,NA,"Ulysses S. Grant","republican"
1872,"KY",52.32,46.44,NA,"Horace Greeley","democrat"
1872,"LA",44.31,55.69,NA,"Ulysses S. Grant","republican"
1872,"MA",30.69,69.2,NA,"Ulysses S. Grant","republican"
1872,"MD",50.34,49.66,NA,"Horace Greeley","democrat"
1872,"ME",32.14,67.86,NA,"Ulysses S. Grant","republican"
1872,"MI",35.47,62.66,NA,"Ulysses S. Grant","republican"
1872,"MN",38.73,61.27,NA,"Ulysses S. Grant","republican"
1872,"MO",55.46,43.65,NA,"Horace Greeley","democrat"
1872,"MS",36.52,63.48,NA,"Ulysses S. Grant","republican"
1872,"NC",42.46,57.38,NA,"Ulysses S. Grant","republican"
1872,"NE",29.32,70.68,NA,"Ulysses S. Grant","republican"
1872,"NH",45.61,53.94,NA,"Ulysses S. Grant","republican"
1872,"NJ",45.48,54.52,NA,"Ulysses S. Grant","republican"
1872,"NV",42.57,57.43,NA,"Ulysses S. Grant","republican"
1872,"NY",46.77,53.23,NA,"Ulysses S. Grant","republican"
1872,"OH",46.15,53.24,NA,"Ulysses S. Grant","republican"
1872,"OR",38.43,58.66,NA,"Ulysses S. Grant","republican"
1872,"PA",37.65,62.07,NA,"Ulysses S. Grant","republican"
1872,"RI",28.06,71.94,NA,"Ulysses S. Grant","republican"
1872,"SC",23.78,75.73,NA,"Ulysses S. Grant","republican"
1872,"TN",52.16,47.84,NA,"Horace Greeley","democrat"
1872,"TX",57.07,40.71,NA,"Horace Greeley","democrat"
1872,"VA",49.49,50.47,NA,"Ulysses S. Grant","republican"
1872,"VT",20.62,78.29,NA,"Ulysses S. Grant","republican"
1872,"WI",44.94,54.62,NA,"Ulysses S. Grant","republican"
1872,"WV",47.28,51.74,NA,"Ulysses S. Grant","republican"
1876,"AL",59.98,40.02,NA,"Samuel J. Tilden","democrat"
1876,"AR",59.92,39.87,0.22,"Samuel J. Tilden","democrat"
1876,"CA",49.08,50.88,NA,"Rutherford B. Hayes","republican"
1876,"CT",50.7,48.33,NA,"Samuel J. Tilden","democrat"
1876,"DE",55.45,44.55,NA,"Samuel J. Tilden","democrat"
1876,"FL",49.01,50.99,NA,"Rutherford B. Hayes","republican"
1876,"GA",72.03,27.97,NA,"Samuel J. Tilden","democrat"
1876,"IA",38.28,58.5,NA,"Rutherford B. Hayes","republican"
1876,"IL",46.66,50.2,NA,"Rutherford B. Hayes","republican"
1876,"IN",48.65,47.39,NA,"Samuel J. Tilden","democrat"
1876,"KS",30.53,63.1,NA,"Rutherford B. Hayes","republican"
1876,"KY",61.41,37.44,NA,"Samuel J. Tilden","democrat"
1876,"LA",48.35,51.65,NA,"Rutherford B. Hayes","republican"
1876,"MA",41.9,57.8,NA,"Rutherford B. Hayes","republican"
1876,"MD",56.05,43.95,NA,"Samuel J. Tilden","democrat"
1876,"ME",42.65,56.64,NA,"Rutherford B. Hayes","republican"
1876,"MI",44.49,52.41,NA,"Rutherford B. Hayes","republican"
1876,"MN",39.16,58.8,NA,"Rutherford B. Hayes","republican"
1876,"MO",57.64,41.36,NA,"Samuel J. Tilden","democrat"
1876,"MS",68.08,31.92,NA,"Samuel J. Tilden","democrat"
1876,"NC",53.62,46.38,NA,"Samuel J. Tilden","democrat"
1876,"NE",35.3,64.7,NA,"Rutherford B. Hayes","republican"
1876,"NH",48.05,51.83,NA,"Rutherford B. Hayes","republican"
1876,"NJ",52.66,47.01,NA,"Samuel J. Tilden","democrat"
1876,"NV",47.27,52.73,NA,"Rutherford B. Hayes","republican"
1876,"NY",51.4,48.17,NA,"Samuel J. Tilden","democrat"
1876,"OH",49.07,50.21,NA,"Rutherford B. Hayes","republican"
1876,"OR",47.38,50.92,NA,"Rutherford B. Hayes","republican"
1876,"PA",48.25,50.62,NA,"Rutherford B. Hayes","republican"
1876,"RI",40.23,59.29,NA,"Rutherford B. Hayes","republican"
1876,"SC",49.76,50.24,NA,"Rutherford B. Hayes","republican"
1876,"TN",59.79,40.21,NA,"Samuel J. Tilden","democrat"
1876,"TX",70.04,29.96,NA,"Samuel J. Tilden","democrat"
1876,"VA",59.58,40.42,NA,"Samuel J. Tilden","democrat"
1876,"VT",31.38,68.3,NA,"Rutherford B. Hayes","republican"
1876,"WI",48.07,50.69,NA,"Rutherford B. Hayes","republican"
1876,"WV",56.75,42.15,NA,"Samuel J. Tilden","democrat"
1880,"AL",59.99,37.1,2.91,"Winfield Scott Hancock","democrat"
1880,"AR",55.56,38.27,3.75,"Winfield Scott Hancock","democrat"
1880,"CA",48.98,48.89,NA,"Winfield Scott Hancock","democrat"
1880,"CO",46.03,51.26,2.68,"James A. Garfield","republican"
1880,"CT",48.5,50.51,NA,"James A. Garfield","republican"
1880,"DE",51.53,48.03,0.44,"Winfield Scott Hancock","democrat"
1880,"FL",54.17,45.83,NA,"Winfield Scott Hancock","democrat"
1880,"GA",65.41,34.59,NA,"Winfield Scott Hancock","democrat"
1880,"IA",32.8,56.99,10.02,"James A. Garfield","republican"
1880,"IL",44.56,51.11,4.24,"James A. Garfield","republican"
1880,"IN",47.91,49.33,2.76,"James A. Garfield","republican"
1880,"KS",29.72,60.4,9.86,"James A. Garfield","republican"
1880,"KY",55.74,39.87,4.31,"Winfield Scott Hancock","democrat"
1880,"LA",62.27,37.31,0.42,"Winfield Scott Hancock","democrat"
1880,"MA",39.58,58.53,1.61,"James A. Garfield","republican"
1880,"MD",54.41,45.59,NA,"Winfield Scott Hancock","democrat"
1880,"ME",45.32,51.46,3.06,"James A. Garfield","republican"
1880,"MI",37.27,52.49,9.88,"James A. Garfield","republican"
1880,"MN",35.36,62.28,2.17,"James A. Garfield","republican"
1880,"MO",52.51,38.67,8.82,"Winfield Scott Hancock","democrat"
1880,"MS",64.71,29.76,4.95,"Winfield Scott Hancock","democrat"
1880,"NC",51.55,47.98,0.47,"Winfield Scott Hancock","democrat"
1880,"NE",32.62,62.87,NA,"James A. Garfield","republican"
1880,"NH",47.24,51.94,0.61,"James A. Garfield","republican"
1880,"NJ",49.84,49.02,1.06,"Winfield Scott Hancock","democrat"
1880,"NV",52.4,47.6,NA,"Winfield Scott Hancock","democrat"
1880,"NY",48.42,50.32,NA,"James A. Garfield","republican"
1880,"OH",47.01,51.73,0.89,"James A. Garfield","republican"
1880,"OR",48.88,50.51,0.61,"James A. Garfield","republican"
1880,"PA",46.57,50.84,NA,"James A. Garfield","republican"
1880,"RI",36.87,62.24,0.81,"James A. Garfield","republican"
1880,"SC",65.51,34.13,0.33,"Winfield Scott Hancock","democrat"
1880,"TN",53.26,44.26,2.47,"Winfield Scott Hancock","democrat"
1880,"TX",64.71,23.95,11.34,"Winfield Scott Hancock","democrat"
1880,"VA",60.53,39.47,NA,"Winfield Scott Hancock","democrat"
1880,"VT",28.15,69.81,1.88,"James A. Garfield","republican"
1880,"WI",42.91,54.04,NA,"James A. Garfield","republican"
1880,"WV",50.95,41.05,8,"Winfield Scott Hancock","democrat"
1884,"AL",60.37,38.69,NA,"Grover Cleveland","democrat"
1884,"AR",57.83,40.7,1.47,"Grover Cleveland","democrat"
1884,"CA",45.33,51.97,NA,"James G. Blaine","republican"
1884,"CO",41.68,54.25,NA,"James G. Blaine","republican"
1884,"CT",48.95,48.01,NA,"Grover Cleveland","democrat"
1884,"DE",56.55,43.2,NA,"Grover Cleveland","democrat"
1884,"FL",52.96,46.73,0.12,"Grover Cleveland","democrat"
1884,"GA",65.92,33.84,NA,"Grover Cleveland","democrat"
1884,"IA",47.01,52.25,NA,"James G. Blaine","republican"
1884,"IL",46.43,50.17,NA,"James G. Blaine","republican"
1884,"IN",49.46,48.15,NA,"Grover Cleveland","democrat"
1884,"KS",33.9,58.08,NA,"James G. Blaine","republican"
1884,"KY",55.32,42.93,NA,"Grover Cleveland","democrat"
1884,"LA",57.22,42.37,NA,"Grover Cleveland","democrat"
1884,"MA",40.33,48.36,NA,"James G. Blaine","republican"
1884,"MD",52.07,46.1,NA,"Grover Cleveland","democrat"
1884,"ME",39.97,55.34,NA,"James G. Blaine","republican"
1884,"MI",47.2,48.02,NA,"James G. Blaine","republican"
1884,"MN",36.87,58.78,NA,"James G. Blaine","republican"
1884,"MO",53.49,46.02,NA,"Grover Cleveland","democrat"
1884,"MS",64.34,35.66,NA,"Grover Cleveland","democrat"
1884,"NC",53.25,46.59,NA,"Grover Cleveland","democrat"
1884,"NE",40.53,57.31,NA,"James G. Blaine","republican"
1884,"NH",46.34,51.14,NA,"James G. Blaine","republican"
1884,"NJ",48.98,47.31,NA,"Grover Cleveland","democrat"
1884,"NV",43.59,56.21,NA,"James G. Blaine","republican"
1884,"NY",48.25,48.15,NA,"Grover Cleveland","democrat"
1884,"OH",46.94,50.99,NA,"James G. Blaine","republican"
1884,"OR",46.7,50.99,NA,"James G. Blaine","republican"
1884,"PA",43.46,52.97,NA,"James G. Blaine","republican"
1884,"RI",37.81,58.07,NA,"James G. Blaine","republican"
1884,"SC",75.25,23.41,NA,"Grover Cleveland","democrat"
1884,"TN",51.45,47.74,NA,"Grover Cleveland","democrat"
1884,"TX",69.26,28.63,NA,"Grover Cleveland","democrat"
1884,"VA",51.05,48.9,NA,"Grover Cleveland","democrat"
1884,"VT",29.18,66.52,NA,"James G. Blaine","republican"
1884,"WI",45.79,50.39,NA,"James G. Blaine","republican"
1884,"WV",50.94,47.75,NA,"Grover Cleveland","democrat"
1888,"AL",67,32.66,NA,"Grover Cleveland","democrat"
1888,"AR",54.8,38.04,6.77,"Grover Cleveland","democrat"
1888,"CA",46.84,49.66,NA,"Benjamin Harrison","republican"
1888,"CO",40.84,55.22,NA,"Benjamin Harrison","republican"
1888,"CT",48.66,48.44,NA,"Grover Cleveland","democrat"
1888,"DE",55.15,43.51,NA,"Grover Cleveland","democrat"
1888,"FL",59.48,39.89,0.62,"Grover Cleveland","democrat"
1888,"GA",70.31,28.33,NA,"Grover Cleveland","democrat"
1888,"IA",44.51,52.36,NA,"Benjamin Harrison","republican"
1888,"IL",46.58,49.54,NA,"Benjamin Harrison","republican"
1888,"IN",48.61,49.05,NA,"Benjamin Harrison","republican"
1888,"KS",31.03,55.23,NA,"Benjamin Harrison","republican"
1888,"KY",53.3,44.98,NA,"Grover Cleveland","democrat"
1888,"LA",73.37,26.46,NA,"Grover Cleveland","democrat"
1888,"MA",44.04,53.42,NA,"Benjamin Harrison","republican"
1888,"MD",50.34,47.4,NA,"Grover Cleveland","democrat"
1888,"ME",39.35,57.49,NA,"Benjamin Harrison","republican"
1888,"MI",44.91,49.73,NA,"Benjamin Harrison","republican"
1888,"MN",39.65,54.12,NA,"Benjamin Harrison","republican"
1888,"MO",50.24,45.31,NA,"Grover Cleveland","democrat"
1888,"MS",73.8,25.99,NA,"Grover Cleveland","democrat"
1888,"NC",51.79,47.2,NA,"Grover Cleveland","democrat"
1888,"NE",39.75,53.51,NA,"Benjamin Harrison","republican"
1888,"NH",47.84,50.34,NA,"Benjamin Harrison","republican"
1888,"NJ",49.87,47.52,NA,"Grover Cleveland","democrat"
1888,"NV",41.94,57.73,NA,"Benjamin Harrison","republican"
1888,"NY",48.19,49.28,NA,"Benjamin Harrison","republican"
1888,"OH",47.18,49.51,NA,"Benjamin Harrison","republican"
1888,"OR",42.88,53.82,NA,"Benjamin Harrison","republican"
1888,"PA",44.77,52.74,NA,"Benjamin Harrison","republican"
1888,"RI",42.99,53.88,NA,"Benjamin Harrison","republican"
1888,"SC",82.28,17.17,NA,"Grover Cleveland","democrat"
1888,"TN",52.26,45.76,NA,"Grover Cleveland","democrat"
1888,"TX",65.7,24.73,NA,"Grover Cleveland","democrat"
1888,"VA",49.99,49.46,NA,"Grover Cleveland","democrat"
1888,"VT",25.65,69.05,NA,"Benjamin Harrison","republican"
1888,"WI",43.77,49.79,NA,"Benjamin Harrison","republican"
1888,"WV",49.35,49.03,NA,"Grover Cleveland","democrat"
1892,"AL",59.4,3.95,36.55,"Grover Cleveland","democrat"
1892,"AR",59.3,31.78,7.99,"Grover Cleveland","democrat"
1892,"CA",43.83,43.78,NA,"Grover Cleveland","democrat"
1892,"CO",NA,41.13,57.07,"James B. Weaver","other"
1892,"CT",50.06,46.8,NA,"Grover Cleveland","democrat"
1892,"DE",49.9,48.55,NA,"Grover Cleveland","democrat"
1892,"FL",85.01,NA,13.65,"Grover Cleveland","democrat"
1892,"GA",58.01,21.7,18.8,"Grover Cleveland","democrat"
1892,"IA",44.31,49.6,4.65,"Benjamin Harrison","republican"
1892,"ID",NA,44.31,54.21,"James B. Weaver","other"
1892,"IL",48.79,45.7,2.54,"Grover Cleveland","democrat"
1892,"IN",47.46,46.17,4.01,"Grover Cleveland","democrat"
1892,"KS",NA,48.4,50.2,"James B. Weaver","other"
1892,"KY",51.48,39.74,6.89,"Grover Cleveland","democrat"
1892,"LA",76.53,23.47,NA,"Grover Cleveland","democrat"
1892,"MA",45.22,51.87,0.82,"Benjamin Harrison","republican"
1892,"MD",53.39,43.48,0.37,"Grover Cleveland","democrat"
1892,"ME",41.26,54.05,2.06,"Benjamin Harrison","republican"
1892,"MI",43.26,47.79,4.28,"Benjamin Harrison","republican"
1892,"MN",37.76,45.96,10.97,"Benjamin Harrison","republican"
1892,"MO",49.56,42.03,7.61,"Grover Cleveland","democrat"
1892,"MS",76.22,2.66,19.27,"Grover Cleveland","democrat"
1892,"MT",39.79,42.44,16.5,"Benjamin Harrison","republican"
1892,"NC",47.44,35.8,15.82,"Grover Cleveland","democrat"
1892,"ND",0,48.5,49.01,"James B. Weaver","other"
1892,"NE",NA,43.56,41.53,"Benjamin Harrison","republican"
1892,"NH",47.11,51.11,0.33,"Benjamin Harrison","republican"
1892,"NJ",50.67,46.24,0.29,"Grover Cleveland","democrat"
1892,"NV",6.56,25.84,66.78,"James B. Weaver","other"
1892,"NY",48.99,45.58,NA,"Grover Cleveland","democrat"
1892,"OH",47.53,47.66,1.75,"Benjamin Harrison","republican"
1892,"OR",18.15,44.59,34.35,"Benjamin Harrison","republican"
1892,"PA",45.09,51.45,NA,"Benjamin Harrison","republican"
1892,"RI",45.75,50.71,0.43,"Benjamin Harrison","republican"
1892,"SC",77.56,18.93,3.41,"Grover Cleveland","democrat"
1892,"SD",12.88,49.48,37.64,"Benjamin Harrison","republican"
1892,"TN",51.36,37.83,9,"Grover Cleveland","democrat"
1892,"TX",56.65,19.22,23.61,"Grover Cleveland","democrat"
1892,"VA",56.17,38.7,4.2,"Grover Cleveland","democrat"
1892,"VT",29.26,68.09,0.08,"Benjamin Harrison","republican"
1892,"WA",33.9,41.4,NA,"Benjamin Harrison","republican"
1892,"WI",47.73,46.06,NA,"Grover Cleveland","democrat"
1892,"WV",49.37,46.93,2.44,"Grover Cleveland","democrat"
1892,"WY",NA,50.52,46.14,"Benjamin Harrison","republican"
1896,"AL",66.96,28.61,NA,"William Jennings Bryan","democrat"
1896,"AR",73.7,25.11,0.6,"William Jennings Bryan","democrat"
1896,"CA",48.51,49.16,NA,"William McKinley","republican"
1896,"CO",84.95,13.86,NA,"William Jennings Bryan","democrat"
1896,"CT",32.54,63.24,NA,"William McKinley","republican"
1896,"DE",43.1,53.18,NA,"William McKinley","republican"
1896,"FL",70.46,24.3,3.82,"William Jennings Bryan","democrat"
1896,"GA",57.78,36.56,NA,"William Jennings Bryan","democrat"
1896,"IA",42.9,55.47,NA,"William McKinley","republican"
1896,"ID",78.1,21.32,NA,"William Jennings Bryan","democrat"
1896,"IL",42.68,55.66,NA,"William McKinley","republican"
1896,"IN",47.96,50.82,NA,"William McKinley","republican"
1896,"KS",51.32,47.63,NA,"William Jennings Bryan","democrat"
1896,"KY",48.86,48.93,NA,"William McKinley","republican"
1896,"LA",76.38,21.81,NA,"William Jennings Bryan","democrat"
1896,"MA",26.32,69.47,NA,"William McKinley","republican"
1896,"MD",41.62,54.73,NA,"William McKinley","republican"
1896,"ME",29.21,67.9,NA,"William McKinley","republican"
1896,"MI",43.47,53.77,NA,"William McKinley","republican"
1896,"MN",40.89,56.62,NA,"William McKinley","republican"
1896,"MO",53.96,45.25,NA,"William Jennings Bryan","democrat"
1896,"MS",91.04,6.92,NA,"William Jennings Bryan","democrat"
1896,"MT",79.93,19.71,NA,"William Jennings Bryan","democrat"
1896,"NC",52.64,46.82,NA,"William Jennings Bryan","democrat"
1896,"ND",43.65,55.57,NA,"William McKinley","republican"
1896,"NE",51.53,46.18,NA,"William Jennings Bryan","democrat"
1896,"NH",25.88,68.66,NA,"William McKinley","republican"
1896,"NJ",36.02,59.68,NA,"William McKinley","republican"
1896,"NV",81.21,18.79,NA,"William Jennings Bryan","democrat"
1896,"NY",38.72,57.58,NA,"William McKinley","republican"
1896,"OH",47.08,51.86,NA,"William McKinley","republican"
1896,"OR",47.98,50.07,NA,"William McKinley","republican"
1896,"PA",36.27,60.98,NA,"William McKinley","republican"
1896,"RI",26.39,68.33,NA,"William McKinley","republican"
1896,"SC",85.3,13.51,NA,"William Jennings Bryan","democrat"
1896,"SD",49.7,49.48,NA,"William Jennings Bryan","democrat"
1896,"TN",52.09,46.33,NA,"William Jennings Bryan","democrat"
1896,"TX",68,30.75,NA,"William Jennings Bryan","democrat"
1896,"UT",82.73,17.27,NA,"William Jennings Bryan","democrat"
1896,"VA",52.5,45.94,NA,"William Jennings Bryan","democrat"
1896,"VT",16.66,80.08,NA,"William McKinley","republican"
1896,"WA",57,41.8,NA,"William Jennings Bryan","democrat"
1896,"WI",37,59.93,NA,"William McKinley","republican"
1896,"WV",46.83,52.23,NA,"William McKinley","republican"
1896,"WY",51.49,47.75,0.75,"William Jennings Bryan","democrat"
1900,"AL",60.82,34.82,NA,"William Jennings Bryan","democrat"
1900,"AR",63.49,35.01,0.76,"William Jennings Bryan","democrat"
1900,"CA",41.34,54.5,NA,"William McKinley","republican"
1900,"CO",55.43,42.04,NA,"William Jennings Bryan","democrat"
1900,"CT",41.07,56.92,NA,"William McKinley","republican"
1900,"DE",44.9,53.67,NA,"William McKinley","republican"
1900,"FL",71.31,18.55,5.66,"William Jennings Bryan","democrat"
1900,"GA",66.86,28.22,NA,"William Jennings Bryan","democrat"
1900,"IA",39.46,58.04,NA,"William McKinley","republican"
1900,"ID",50.79,46.96,NA,"William Jennings Bryan","democrat"
1900,"IL",44.44,52.83,NA,"William McKinley","republican"
1900,"IN",46.62,50.6,NA,"William McKinley","republican"
1900,"KS",45.96,52.56,NA,"William McKinley","republican"
1900,"KY",50.21,48.51,NA,"William Jennings Bryan","democrat"
1900,"LA",79.03,20.96,NA,"William Jennings Bryan","democrat"
1900,"MA",37.85,57.59,NA,"William McKinley","republican"
1900,"MD",46.23,51.5,NA,"William McKinley","republican"
1900,"ME",34.84,61.89,NA,"William McKinley","republican"
1900,"MI",38.89,58.1,NA,"William McKinley","republican"
1900,"MN",35.69,60.21,NA,"William McKinley","republican"
1900,"MO",51.48,45.94,NA,"William Jennings Bryan","democrat"
1900,"MS",87.56,9.66,NA,"William Jennings Bryan","democrat"
1900,"MT",58.43,39.79,NA,"William Jennings Bryan","democrat"
1900,"NC",53.92,45.47,NA,"William Jennings Bryan","democrat"
1900,"ND",35.53,62.12,NA,"William McKinley","republican"
1900,"NE",47.22,50.46,NA,"William McKinley","republican"
1900,"NH",38.42,59.33,NA,"William McKinley","republican"
1900,"NJ",41.09,55.28,NA,"William McKinley","republican"
1900,"NV",62.25,37.75,NA,"William Jennings Bryan","democrat"
1900,"NY",43.83,53.1,NA,"William McKinley","republican"
1900,"OH",45.66,52.3,NA,"William McKinley","republican"
1900,"OR",39.41,55.46,NA,"William McKinley","republican"
1900,"PA",36.16,60.74,NA,"William McKinley","republican"
1900,"RI",35.04,59.74,NA,"William McKinley","republican"
1900,"SC",92.96,7.04,NA,"William Jennings Bryan","democrat"
1900,"SD",41.14,56.73,NA,"William McKinley","republican"
1900,"TN",53.03,44.95,NA,"William Jennings Bryan","democrat"
1900,"TX",63.12,30.83,NA,"William Jennings Bryan","democrat"
1900,"UT",48.3,50.59,0.77,"William McKinley","republican"
1900,"VA",55.29,43.82,NA,"William Jennings Bryan","democrat"
1900,"VT",22.86,75.73,NA,"William McKinley","republican"
1900,"WA",41.7,53.4,NA,"William McKinley","republican"
1900,"WI",35.97,60.06,NA,"William McKinley","republican"
1900,"WV",44.75,54.27,NA,"William McKinley","republican"
1900,"WY",41.17,58.66,0.09,"William McKinley","republican"
1904,"AL",73.35,20.66,NA,"Alton B. Parker","democrat"
1904,"AR",55.39,40.2,1.99,"Alton B. Parker","democrat"
1904,"CA",26.94,61.84,NA,"Theodore Roosevelt","republican"
1904,"CO",41.08,55.26,NA,"Theodore Roosevelt","republican"
1904,"CT",38.15,58.12,NA,"Theodore Roosevelt","republican"
1904,"DE",44.11,54.05,NA,"Theodore Roosevelt","republican"
1904,"FL",68.82,21.15,5.95,"Alton B. Parker","democrat"
1904,"GA",63.72,18.33,NA,"Alton B. Parker","democrat"
1904,"IA",30.71,63.39,NA,"Theodore Roosevelt","republican"
1904,"ID",25.46,65.84,NA,"Theodore Roosevelt","republican"
1904,"IL",30.43,58.77,NA,"Theodore Roosevelt","republican"
1904,"IN",40.22,53.99,NA,"Theodore Roosevelt","republican"
1904,"KS",26.23,64.81,NA,"Theodore Roosevelt","republican"
1904,"KY",49.82,47.13,NA,"Alton B. Parker","democrat"
1904,"LA",88.5,9.66,NA,"Alton B. Parker","democrat"
1904,"MA",37.24,57.92,NA,"Theodore Roosevelt","republican"
1904,"MD",48.81,48.83,NA,"Theodore Roosevelt","republican"
1904,"ME",28.49,67.44,NA,"Theodore Roosevelt","republican"
1904,"MI",25.79,69.51,NA,"Theodore Roosevelt","republican"
1904,"MN",18.84,73.98,NA,"Theodore Roosevelt","republican"
1904,"MO",46.02,49.93,NA,"Theodore Roosevelt","republican"
1904,"MS",91.07,5.59,NA,"Alton B. Parker","democrat"
1904,"MT",33.79,54.21,NA,"Theodore Roosevelt","republican"
1904,"NC",59.71,39.67,NA,"Alton B. Parker","democrat"
1904,"ND",20.39,75.12,NA,"Theodore Roosevelt","republican"
1904,"NE",23.44,61.38,NA,"Theodore Roosevelt","republican"
1904,"NH",37.79,60.07,NA,"Theodore Roosevelt","republican"
1904,"NJ",38.05,56.68,NA,"Theodore Roosevelt","republican"
1904,"NV",32.87,56.66,NA,"Theodore Roosevelt","republican"
1904,"NY",42.28,53.13,NA,"Theodore Roosevelt","republican"
1904,"OH",34.32,59.75,NA,"Theodore Roosevelt","republican"
1904,"OR",19.43,67.06,NA,"Theodore Roosevelt","republican"
1904,"PA",27.33,68,NA,"Theodore Roosevelt","republican"
1904,"RI",36.18,60.6,NA,"Theodore Roosevelt","republican"
1904,"SC",95.36,4.63,NA,"Alton B. Parker","democrat"
1904,"SD",21.67,71.09,NA,"Theodore Roosevelt","republican"
1904,"TN",54.23,43.4,NA,"Alton B. Parker","democrat"
1904,"TX",71.45,21.9,NA,"Alton B. Parker","democrat"
1904,"UT",32.88,61.45,5.67,"Theodore Roosevelt","republican"
1904,"VA",61.84,36.95,NA,"Alton B. Parker","democrat"
1904,"VT",18.84,77.97,NA,"Theodore Roosevelt","republican"
1904,"WA",19.4,70,NA,"Theodore Roosevelt","republican"
