lab	file	path	bytes	rows	cols	sha256	schema
county-returns	IL_2024.csv	labs/county-returns/data/states/IL_2024.csv	4140	102	6	e93104af7bd115d6	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	IN_2020.csv	labs/county-returns/data/states/IN_2020.csv	3674	92	6	d10b59d4c08e08ea	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	IN_2024.csv	labs/county-returns/data/states/IN_2024.csv	3672	92	6	930ab0ebab687f5f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	KS_2020.csv	labs/county-returns/data/states/KS_2020.csv	3866	105	6	51ace61634e46f7f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	KS_2024.csv	labs/county-returns/data/states/KS_2024.csv	3863	105	6	79010f3978cb76d0	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	MD_2020.csv	labs/county-returns/data/states/MD_2020.csv	1286	24	6	097fdd9cc9fa8e2d	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	MD_2024.csv	labs/county-returns/data/states/MD_2024.csv	1286	24	6	47ec85eb6cb854de	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	ND_2020.csv	labs/county-returns/data/states/ND_2020.csv	2284	53	6	9e67ec35396b0f44	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	ND_2024.csv	labs/county-returns/data/states/ND_2024.csv	2282	53	6	31581f057f59ad50	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	OH_2020.csv	labs/county-returns/data/states/OH_2020.csv	3342	88	6	91678e876f1b289f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	OH_2024.csv	labs/county-returns/data/states/OH_2024.csv	3340	88	6	c157f7ee06ab5fb6	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	PA_2020.csv	labs/county-returns/data/states/PA_2020.csv	3160	67	6	b255737ab1e2e106	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	PA_2024.csv	labs/county-returns/data/states/PA_2024.csv	3161	67	6	271adccf32b72254	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	SC_2020.csv	labs/county-returns/data/states/SC_2020.csv	2281	46	6	2e60f6591055d56f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	SC_2024.csv	labs/county-returns/data/states/SC_2024.csv	2279	46	6	e29f2348a8215ab6	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	SD_2020.csv	labs/county-returns/data/states/SD_2020.csv	2826	66	6	bef7b699832222cf	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	SD_2024.csv	labs/county-returns/data/states/SD_2024.csv	2824	66	6	8613889e4d4f5ec8	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	TN_2020.csv	labs/county-returns/data/states/TN_2020.csv	3964	95	6	758148add66516dd	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	TN_2024.csv	labs/county-returns/data/states/TN_2024.csv	3967	95	6	2ee10f1e28d7c08c	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	TX_2020.csv	labs/county-returns/data/states/TX_2020.csv	9235	254	6	bd8fa2377a11c45c	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	TX_2024.csv	labs/county-returns/data/states/TX_2024.csv	9227	254	6	d57849e67e1dc0d5	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	UT_2020.csv	labs/county-returns/data/states/UT_2020.csv	1084	29	6	c51eb74cc4f7625d	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	UT_2024.csv	labs/county-returns/data/states/UT_2024.csv	1288	29	6	95079942f753bdf2	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	VA_2020.csv	labs/county-returns/data/states/VA_2020.csv	6498	133	6	796eb7fb924da0a7	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	VA_2024.csv	labs/county-returns/data/states/VA_2024.csv	6502	133	6	53c69614f60a909e	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WA_2020.csv	labs/county-returns/data/states/WA_2020.csv	1772	39	6	d87889bd336e425c	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WA_2024.csv	labs/county-returns/data/states/WA_2024.csv	1771	39	6	d81f7994e6338021	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WI_2020.csv	labs/county-returns/data/states/WI_2020.csv	3085	72	6	a311f14fef1cb441	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WI_2024.csv	labs/county-returns/data/states/WI_2024.csv	3088	72	6	51ee938a2d19d257	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WV_2020.csv	labs/county-returns/data/states/WV_2020.csv	2511	55	6	f35e3f69e3bfb833	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WV_2024.csv	labs/county-returns/data/states/WV_2024.csv	2503	55	6	8bdcb3559f4fe3f7	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WY_2020.csv	labs/county-returns/data/states/WY_2020.csv	950	23	6	1870bf94fa29f9d5	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	WY_2024.csv	labs/county-returns/data/states/WY_2024.csv	950	23	6	2631fe6c3745e529	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
data-sources	census_counties.csv	labs/data-sources/data/census_counties.csv	129465	3144	4	522748cb284a7046	fips|name|state_abbrev|state_name
data-sources	pres2020_counties.csv	labs/data-sources/data/pres2020_counties.csv	164589	3152	6	081ade8927b3ab10	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
data-sources	pres2024_counties.csv	labs/data-sources/data/pres2024_counties.csv	165599	3160	6	d310e4f50885b508	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
data-sources	pres2024_states.csv	labs/data-sources/data/pres2024_states.csv	2713	51	10	1511f657f52d1c1a	state|abbrev|ev|harris|trump|other|winner|col|row|margin
demographics	categories.csv	labs/demographics/data/categories.csv	1263	12	9	771165c130a7d649	category|dimension|c1980|c1990|c2000|c2010|c2020|c2030|note
demographics	counties.csv	labs/demographics/data/counties.csv	444922	3143	28	9a946521868ecc58	geoid|name|st|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|white_alone|black_alone|aian_alone|asian_alone|nhpi_alone|sor_alone|white_any|black_any|aian_any|asian_any|nhpi_any|sor_any|one_race|two_plus|entropy|largest
demographics	decades.csv	labs/demographics/data/decades.csv	632	2	24	7ff3470e2654779a	year|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|white_alone|black_alone|aian_alone|asian_alone|nhpi_alone|sor_alone|white_any|black_any|aian_any|asian_any|nhpi_any|sor_any|one_race|two_plus
demographics	eightmile_profile.csv	labs/demographics/data/eightmile_profile.csv	1059	20	12	00af2d5240dfb064	band|blocks|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|mid
demographics	facts.csv	labs/demographics/data/facts.csv	4659	191	3	a52d42f78a852d66	name|value|note
demographics	ladder.csv	labs/demographics/data/ladder.csv	1454	8	12	c020d3ff8c66d25a	level|units|units_with_people|median_pop|ebar|ebar0|pct_single_group|note|H|H0|H_net|diversity
demographics	metros.csv	labs/demographics/data/metros.csv	10624	50	26	9dabb2b7f2d9a1e9	geoid|name|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|white_alone|black_alone|aian_alone|asian_alone|nhpi_alone|sor_alone|white_any|black_any|aian_any|asian_any|nhpi_any|sor_any|one_race|two_plus|entropy
demographics	nation.csv	labs/demographics/data/nation.csv	470	1	26	5b33e22755aab40f	geoid|name|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|white_alone|black_alone|aian_alone|asian_alone|nhpi_alone|sor_alone|white_any|black_any|aian_any|asian_any|nhpi_any|sor_any|one_race|two_plus|entropy
demographics	regions.csv	labs/demographics/data/regions.csv	3102	13	27	c07890433463cd27	kind|geoid|name|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|white_alone|black_alone|aian_alone|asian_alone|nhpi_alone|sor_alone|white_any|black_any|aian_any|asian_any|nhpi_any|sor_any|one_race|two_plus|entropy
demographics	standards.csv	labs/demographics/data/standards.csv	1117	3	8	d92c8a2ccbad3441	key|issued|citation|title|categories|question_form|first_census|detail
demographics	states.csv	labs/demographics/data/states.csv	10359	51	30	44c18bba23048ebd	geoid|name|region|division|st|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|white_alone|black_alone|aian_alone|asian_alone|nhpi_alone|sor_alone|white_any|black_any|aian_any|asian_any|nhpi_any|sor_any|one_race|two_plus|entropy|largest
demographics	tract_dist.csv	labs/demographics/data/tract_dist.csv	2119	60	5	a9038540b053048d	mid|tracts|tracts_null|people|people_null
demographics	tract_largest.csv	labs/demographics/data/tract_largest.csv	178	9	2	74beb1e504a2f083	bin|people
demographics	us_rings.csv	labs/demographics/data/us_rings.csv	27846	1497	4	0cddca3c59964694	st|part|x|y
demographics	wayne_bg.csv	labs/demographics/data/wayne_bg.csv	93747	1507	12	3fc94fce682147d3	geoid|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|largest|largest_pct
demographics	wayne_bg_rings.csv	labs/demographics/data/wayne_bg_rings.csv	318021	11192	4	f0a72f6379764fc2	id|part|x|y
demographics	wayne_block_rings.csv	labs/demographics/data/wayne_block_rings.csv	373845	11876	4	059d775e0fedb7a2	id|part|x|y
demographics	wayne_detroit_rings.csv	labs/demographics/data/wayne_detroit_rings.csv	2709	120	4	659266cbe8691c09	id|part|x|y
demographics	wayne_outline.csv	labs/demographics/data/wayne_outline.csv	2029	91	4	3e5c8d6df95f2b7c	id|part|x|y
demographics	wayne_tract_rings.csv	labs/demographics/data/wayne_tract_rings.csv	156643	5700	4	6b0130d3e73235dc	id|part|x|y
demographics	wayne_tracts.csv	labs/demographics/data/wayne_tracts.csv	50677	627	13	0ce45d3acb1713c6	geoid|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|entropy|largest|largest_pct
demographics	wayne_transect.csv	labs/demographics/data/wayne_transect.csv	151650	2234	15	57c0855347f1eb25	GEOID|cx|cy|dist|total|hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_sor|nh_two|county|side
disenfranchisement	grid.csv	labs/disenfranchisement/data/grid.csv	899	50	4	2aceed7c9c774795	state|abbr|col|row
disenfranchisement	national.csv	labs/disenfranchisement/data/national.csv	148	1	8	8c900bcc2154631d	prison|parole|probation|jail|post_sentence|total|voting_eligible_pop|pct
disenfranchisement	states.csv	labs/disenfranchisement/data/states.csv	3229	50	9	11cbd9bbe504a588	state|prison|parole|probation|jail|post_sentence|total|voting_eligible_pop|pct
dw-nominate	nominate_members.csv	labs/dw-nominate/data/nominate_members.csv	2774945	38643	9	811323e427cd5f0e	congress|year|chamber|state|district_code|bioname|party|dim1|dim2
eavs	national.csv	labs/eavs/data/national.csv	532	9	5	c14202c5eab6ade7	variable|item|total|reported_by|pct_reporting
eavs	reasons.csv	labs/eavs/data/reasons.csv	883	19	5	c6de564b311be6a2	variable|reason|ballots|reported_by|pct_of_rejected
eavs	states.csv	labs/eavs/data/states.csv	2524	56	8	e1594884dc0e5c95	state|jurisdictions|voters|mail_sent|mail_returned|mail_rejected|prov_cast|prov_rejected
eavs	units.csv	labs/eavs/data/units.csv	1284	56	4	a5cdfa1f28e83cff	state|jurisdictions|voters|voters_per_jurisdiction
election-night	rehearsal_house_2024.csv	labs/election-night/data/rehearsal_house_2024.csv	39746	433	10	a492f917ab18232f	district|state|cd|dem_share|pres_party|house_rep|house_rep_party|baseline|actual|as_expected
election-night	results_senate_2026_TEMPLATE.csv	labs/election-night/data/results_senate_2026_TEMPLATE.csv	396	33	3	001eeae0689ae89c	state|winner_party|dem_pct
election-night	senate_2026_landscape.csv	labs/election-night/data/senate_2026_landscape.csv	2587	33	10	ff561e8f44977f23	state|senator_last|senator_first|party|state_name|pres24_margin|ev|pres24_winner|abs_margin|hostile_turf
electoral-map	pres2024_states.csv	labs/electoral-map/data/pres2024_states.csv	2713	51	10	1511f657f52d1c1a	state|abbrev|ev|harris|trump|other|winner|col|row|margin
false-matches	birthday.csv	labs/false-matches/data/birthday.csv	15216	366	5	fd56a9562288bf49	n|p|pmine|pairs|certain
false-matches	birthyears.csv	labs/false-matches/data/birthyears.csv	1187	110	2	f9efe0fc6bfe3780	year|n
false-matches	crosscounty.csv	labs/false-matches/data/crosscounty.csv	221	6	2	f6921364eaa67348	quantity|value
false-matches	facts.csv	labs/false-matches/data/facts.csv	6265	68	3	5fd7adc58156ca17	key|value|source
false-matches	ga_keys.csv	labs/false-matches/data/ga_keys.csv	285	3	7	7ceaf722d078a751	label|keys|dup_keys|flagged|pct|pairs|max_group
false-matches	groupsize.csv	labs/false-matches/data/groupsize.csv	62	3	3	8ca780b8eb750061	group_size|n_keys|registrants
false-matches	keys.csv	labs/false-matches/data/keys.csv	788	6	8	a1137a08287b8b7d	label|note|keys|dup_keys|flagged|pct|pairs|max_group
false-matches	monthday.csv	labs/false-matches/data/monthday.csv	5138	366	2	8c1f86950548444f	monthday|n
false-matches	scaling.csv	labs/false-matches/data/scaling.csv	379	11	3	b40fddf8ec2b4045	n|pairs|per100k
finance-source	distribution.csv	labs/finance-source/data/distribution.csv	326	7	3	ed8383f30e4d539f	quantity|value|unit
finance-source	filed.csv	labs/finance-source/data/filed.csv	282	2	6	77ee005540314ba5	the_file|supporting|opposing|pct_supporting|pct_opposing|reads_as
finance-source	outliers.csv	labs/finance-source/data/outliers.csv	923	16	4	2615649bd933ad45	spender|on_behalf_of|amount|support_or_oppose
finance-source	regime.csv	labs/finance-source/data/regime.csv	831	5	4	95f1a923e6bfb876	who|must_report|what_is_invisible|verified_before_publication
ga-precinct-returns	assign_point.csv	labs/ga-precinct-returns/data/assign_point.csv	108971	2684	2	2f9ce9f5f382176d	from_2020|to_2024
ga-precinct-returns	block_assign.csv	labs/ga-precinct-returns/data/block_assign.csv	14352532	232717	4	4e69a54651ec61f8	GEOID20|pop|precinct_2020|precinct_2024
ga-precinct-returns	counties.csv	labs/ga-precinct-returns/data/counties.csv	6063	159	7	5529232b4c1272a6	county|precincts|Joseph R. Biden|Donald J. Trump|Jo Jorgensen|total|dem_two_party_pct
ga-precinct-returns	crosswalk.csv	labs/ga-precinct-returns/data/crosswalk.csv	367766	7522	3	12cd2675e556abcc	from_2020|to_2024|weight
ga-precinct-returns	crosswalk_check.csv	labs/ga-precinct-returns/data/crosswalk_check.csv	226	7	2	9691ba3ab6d7cb49	check|value
ga-precinct-returns	crosswalk_compare.csv	labs/ga-precinct-returns/data/crosswalk_compare.csv	230688	3437	5	2d164abd27968227	from_2020|to_2024|weight_area|weight_pop|diff
ga-precinct-returns	crosswalk_pop.csv	labs/ga-precinct-returns/data/crosswalk_pop.csv	170439	3408	4	fd92d11ba577e6e0	from_2020|to_2024|weight|pop
ga-precinct-returns	fig_forsyth.csv	labs/ga-precinct-returns/data/fig_forsyth.csv	127812	3656	5	8a1ece850b3059b1	yr|name|part|x|y
ga-precinct-returns	fig_forsyth_lab.csv	labs/ga-precinct-returns/data/fig_forsyth_lab.csv	2585	49	7	6766b810e9d76c64	yr|name|x|y|status|focus|split
ga-precinct-returns	fig_wind_blocks.csv	labs/ga-precinct-returns/data/fig_wind_blocks.csv	61438	1592	6	c076e240fbcfbfc8	id|part|x|y|tgt|pop
ga-precinct-returns	fig_wind_meta.csv	labs/ga-precinct-returns/data/fig_wind_meta.csv	221	3	7	c85ba867e2599109	target|w_area|w_pop|pop|ballots_area|ballots_pop|ballots_total
ga-precinct-returns	fig_wind_outline.csv	labs/ga-precinct-returns/data/fig_wind_outline.csv	9641	286	5	fd3faf526b428eab	tgt|id|part|x|y
ga-precinct-returns	fig_wind_pts.csv	labs/ga-precinct-returns/data/fig_wind_pts.csv	3468	96	5	84a73e611ee199e0	id|tgt|pop|x|y
