"stcd","district_id","state","district","dv","dpres","base","imputed","no_totals","uncontested","top_two","party_2024"
1004,"GA-04","Georgia",4,75.58,76.77,75.58,FALSE,FALSE,0,0,"D"
3208,"NY-08","New York",8,75.39,72.45,75.39,FALSE,FALSE,0,0,"D"
4330,"TX-30","Texas",30,NA,73.74,75.2317,TRUE,FALSE,1,0,"D"
2305,"MN-05","Minnesota",5,75.17,81.63,75.17,FALSE,FALSE,0,0,"D"
543,"CA-43","California",43,75.07,75.26,75.07,FALSE,FALSE,0,0,"D"
3205,"NY-05","New York",5,74.82,71.43,74.82,FALSE,FALSE,0,0,"D"
1006,"GA-06","Georgia",6,74.68,75,74.68,FALSE,FALSE,0,0,"D"
2105,"MA-05","Massachusetts",5,NA,73.2,74.6553,TRUE,FALSE,1,0,"D"
4608,"VA-08","Virginia",8,74.36,75.51,74.36,FALSE,FALSE,0,0,"D"
3209,"NY-09","New York",9,74.25,70.41,74.25,FALSE,FALSE,0,0,"D"
3312,"NC-12","North Carolina",12,74.02,73.47,74.02,FALSE,FALSE,0,0,"D"
508,"CA-08","California",8,73.97,72.16,73.97,FALSE,FALSE,0,0,"D"
4309,"TX-09","Texas",9,NA,72.45,73.8546,TRUE,FALSE,1,0,"D"
2213,"MI-13","Michigan",13,73.67,71.13,73.67,FALSE,FALSE,0,0,"D"
4209,"TN-09","Tennessee",9,73.54,72.45,73.54,FALSE,FALSE,0,0,"D"
3304,"NC-04","North Carolina",4,73.32,72.73,73.32,FALSE,FALSE,0,0,"D"
2212,"MI-12","Michigan",12,73.26,69.79,73.26,FALSE,FALSE,0,0,"D"
515,"CA-15","California",15,73.1,75,73.1,FALSE,FALSE,0,0,"D"
3703,"OR-03","Oregon",3,72.86,73.96,72.86,FALSE,FALSE,0,0,"D"
303,"AZ-03","Arizona",3,72.74,70.41,72.74,FALSE,FALSE,0,0,"D"
4709,"WA-09","Washington",9,NA,71.13,72.4455,TRUE,FALSE,0,1,"D"
502,"CA-02","California",2,71.88,73.2,71.88,FALSE,FALSE,0,0,"D"
1101,"HI-01","Hawaii",1,71.84,62.63,71.84,FALSE,FALSE,0,0,"D"
1013,"GA-13","Georgia",13,71.83,71.72,71.83,FALSE,FALSE,0,0,"D"
3216,"NY-16","New York",16,71.58,66.67,71.58,FALSE,FALSE,0,0,"D"
3802,"PA-02","Pennsylvania",2,71.46,67.68,71.46,FALSE,FALSE,0,0,"D"
544,"CA-44","California",44,71.37,67.01,71.37,FALSE,FALSE,0,0,"D"
1304,"IL-04","Illinois",4,71.21,64.29,71.21,FALSE,FALSE,0,0,"D"
3701,"OR-01","Oregon",1,70.95,69.79,70.95,FALSE,FALSE,0,0,"D"
1802,"LA-02","Louisiana",2,70.94,66.33,70.94,FALSE,FALSE,0,0,"D"
920,"FL-20","Florida",20,NA,69.7,70.9189,TRUE,TRUE,1,0,"D"
3503,"OH-03","Ohio",3,70.74,70.71,70.74,FALSE,FALSE,0,0,"D"
2108,"MA-08","Massachusetts",8,70.58,63.27,70.58,FALSE,FALSE,0,0,"D"
602,"CO-02","Colorado",2,70.26,70.41,70.26,FALSE,FALSE,0,0,"D"
1407,"IN-07","Indiana",7,70.24,71.43,70.24,FALSE,FALSE,0,0,"D"
4902,"WI-02","Wisconsin",2,70.14,70.41,70.14,FALSE,FALSE,0,0,"D"
4603,"VA-03","Virginia",3,70.1,67.68,70.1,FALSE,FALSE,0,0,"D"
529,"CA-29","California",29,69.78,68.04,69.78,FALSE,FALSE,0,0,"D"
4318,"TX-18","Texas",18,69.44,70.41,69.44,FALSE,FALSE,0,0,"D"
519,"CA-19","California",19,69.3,67.71,69.3,FALSE,FALSE,0,0,"D"
3214,"NY-14","New York",14,69.2,66.33,69.2,FALSE,FALSE,0,0,"D"
1305,"IL-05","Illinois",5,68.97,68.69,68.97,FALSE,FALSE,0,0,"D"
4333,"TX-33","Texas",33,68.79,67.35,68.79,FALSE,FALSE,0,0,"D"
1102,"HI-02","Hawaii",2,68.78,61.22,68.78,FALSE,FALSE,0,0,"D"
536,"CA-36","California",36,68.72,70.1,68.72,FALSE,FALSE,0,0,"D"
1309,"IL-09","Illinois",9,68.39,68.69,68.39,FALSE,FALSE,0,0,"D"
530,"CA-30","California",30,68.38,71.13,68.38,FALSE,FALSE,0,0,"D"
924,"FL-24","Florida",24,68.24,65,68.24,FALSE,FALSE,0,0,"D"
542,"CA-42","California",42,68.14,66.67,68.14,FALSE,FALSE,0,0,"D"
2005,"MD-05","Maryland",5,67.92,67.35,67.92,FALSE,FALSE,0,0,"D"
514,"CA-14","California",14,67.75,68.75,67.75,FALSE,FALSE,0,0,"D"
3302,"NC-02","North Carolina",2,67.7,67.35,67.7,FALSE,FALSE,0,0,"D"
517,"CA-17","California",17,67.66,69.79,67.66,FALSE,FALSE,0,0,"D"
1302,"IL-02","Illinois",2,67.56,66.67,67.56,FALSE,FALSE,0,0,"D"
4604,"VA-04","Virginia",4,67.49,66.67,67.49,FALSE,FALSE,0,0,"D"
2304,"MN-04","Minnesota",4,67.37,68.37,67.37,FALSE,FALSE,0,0,"D"
4335,"TX-35","Texas",35,67.36,67.35,67.36,FALSE,FALSE,0,0,"D"
1303,"IL-03","Illinois",3,67.29,65.66,67.29,FALSE,FALSE,0,0,"D"
4611,"VA-11","Virginia",11,66.99,68.04,66.99,FALSE,FALSE,0,0,"D"
4501,"VT-AL","Vermont",1,NA,65.98,66.9478,TRUE,FALSE,1,0,"D"
507,"CA-07","California",7,66.75,65.62,66.75,FALSE,FALSE,0,0,"D"
510,"CA-10","California",10,66.47,67.71,66.47,FALSE,FALSE,0,0,"D"
504,"CA-04","California",4,66.46,65.98,66.46,FALSE,FALSE,0,0,"D"
3901,"RI-01","Rhode Island",1,66.33,61.22,66.33,FALSE,FALSE,0,0,"D"
552,"CA-52","California",52,66.31,60.82,66.31,FALSE,FALSE,0,0,"D"
532,"CA-32","California",32,66.2,65.98,66.2,FALSE,FALSE,0,0,"D"
1301,"IL-01","Illinois",1,65.85,66.33,65.85,FALSE,FALSE,0,0,"D"
3805,"PA-05","Pennsylvania",5,65.29,64.65,65.29,FALSE,FALSE,0,0,"D"
4329,"TX-29","Texas",29,65.29,60.61,65.29,FALSE,FALSE,0,0,"D"
3226,"NY-26","New York",26,65.17,59.6,65.17,FALSE,FALSE,0,0,"D"
528,"CA-28","California",28,64.93,63.92,64.93,FALSE,FALSE,0,0,"D"
518,"CA-18","California",18,64.63,64.95,64.63,FALSE,FALSE,0,0,"D"
701,"CT-01","Connecticut",1,64.45,61.62,64.45,FALSE,FALSE,0,0,"D"
550,"CA-50","California",50,64.27,64.95,64.27,FALSE,FALSE,0,0,"D"
4702,"WA-02","Washington",2,64.03,61.86,64.03,FALSE,FALSE,0,0,"D"
2206,"MI-06","Michigan",6,63.93,61.86,63.93,FALSE,FALSE,0,0,"D"
107,"AL-07","Alabama",7,63.72,61.62,63.72,FALSE,FALSE,0,0,"D"
307,"AZ-07","Arizona",7,63.45,61.22,63.45,FALSE,FALSE,0,0,"D"
546,"CA-46","California",46,63.43,58.76,63.43,FALSE,FALSE,0,0,"D"
4701,"WA-01","Washington",1,63.16,64.95,63.16,FALSE,FALSE,0,0,"D"
3008,"NJ-08","New Jersey",8,63.08,62.24,63.08,FALSE,FALSE,0,0,"D"
2102,"MA-02","Massachusetts",2,NA,62.24,62.9552,TRUE,FALSE,1,0,"D"
524,"CA-24","California",24,62.7,62.89,62.7,FALSE,FALSE,0,0,"D"
3012,"NJ-12","New Jersey",12,62.68,62.24,62.68,FALSE,FALSE,0,0,"D"
910,"FL-10","Florida",10,62.37,61.62,62.37,FALSE,FALSE,0,0,"D"
2505,"MO-05","Missouri",5,62.3,61.62,62.3,FALSE,FALSE,0,0,"D"
1806,"LA-06","Louisiana",6,62.26,57.58,62.26,FALSE,FALSE,0,0,"D"
704,"CT-04","Connecticut",4,62.05,61.62,62.05,FALSE,FALSE,0,0,"D"
4332,"TX-32","Texas",32,62.05,62.24,62.05,FALSE,FALSE,0,0,"D"
2402,"MS-02","Mississippi",2,62.02,60.61,62.02,FALSE,FALSE,0,0,"D"
1703,"KY-03","Kentucky",3,61.96,59.6,61.96,FALSE,FALSE,0,0,"D"
4006,"SC-06","South Carolina",6,61.84,61.62,61.84,FALSE,FALSE,0,0,"D"
1901,"ME-01","Maine",1,61.73,61.22,61.73,FALSE,FALSE,0,0,"D"
3206,"NY-06","New York",6,61.72,53.06,61.72,FALSE,FALSE,0,0,"D"
4307,"TX-07","Texas",7,61.28,60.82,61.28,FALSE,FALSE,0,0,"D"
4320,"TX-20","Texas",20,NA,60.61,61.2152,TRUE,FALSE,1,0,"D"
3220,"NY-20","New York",20,61.13,57.14,61.13,FALSE,FALSE,0,0,"D"
2003,"MD-03","Maryland",3,61.02,61.86,61.02,FALSE,FALSE,0,0,"D"
3225,"NY-25","New York",25,60.82,59.6,60.82,FALSE,FALSE,0,0,"D"
2104,"MA-04","Massachusetts",4,NA,60.2,60.7775,TRUE,FALSE,1,0,"D"
2106,"MA-06","Massachusetts",6,NA,60.2,60.7775,TRUE,FALSE,1,0,"D"
551,"CA-51","California",51,60.7,61.86,60.7,FALSE,FALSE,0,0,"D"
606,"CO-06","Colorado",6,60.53,59.79,60.53,FALSE,FALSE,0,0,"D"
2103,"MA-03","Massachusetts",3,NA,59.79,60.3398,TRUE,FALSE,1,0,"D"
1310,"IL-10","Illinois",10,59.98,61.22,59.98,FALSE,FALSE,0,0,"D"
538,"CA-38","California",38,59.84,58.33,59.84,FALSE,FALSE,0,0,"D"
531,"CA-31","California",31,59.73,58.76,59.73,FALSE,FALSE,0,0,"D"
2002,"MD-02","Maryland",2,59.54,59.18,59.54,FALSE,FALSE,0,0,"D"
4316,"TX-16","Texas",16,59.54,58.16,59.54,FALSE,FALSE,0,0,"D"
2211,"MI-11","Michigan",11,59.51,58.16,59.51,FALSE,FALSE,0,0,"D"
3001,"NJ-01","New Jersey",1,59.12,59.6,59.12,FALSE,FALSE,0,0,"D"
3804,"PA-04","Pennsylvania",4,59.07,57.58,59.07,FALSE,FALSE,0,0,"D"
703,"CT-03","Connecticut",3,58.91,57.14,58.91,FALSE,FALSE,0,0,"D"
533,"CA-33","California",33,58.81,54.64,58.81,FALSE,FALSE,0,0,"D"
4710,"WA-10","Washington",10,58.67,59.38,58.67,FALSE,FALSE,0,0,"D"
2303,"MN-03","Minnesota",3,58.5,61.22,58.5,FALSE,FALSE,0,0,"D"
535,"CA-35","California",35,58.41,55.67,58.41,FALSE,FALSE,0,0,"D"
3902,"RI-02","Rhode Island",2,58.38,53.06,58.38,FALSE,FALSE,0,0,"D"
3006,"NJ-06","New Jersey",6,58.16,53.06,58.16,FALSE,FALSE,0,0,"D"
1313,"IL-13","Illinois",13,58.11,55.1,58.11,FALSE,FALSE,0,0,"D"
702,"CT-02","Connecticut",2,58.02,54.08,58.02,FALSE,FALSE,0,0,"D"
801,"DE-AL","Delaware",1,57.86,57.58,57.86,FALSE,FALSE,0,0,"D"
914,"FL-14","Florida",14,57.79,53.54,57.79,FALSE,FALSE,0,0,"D"
506,"CA-06","California",6,57.62,57.29,57.62,FALSE,FALSE,0,0,"D"
2101,"MA-01","Massachusetts",1,NA,57.14,57.5109,TRUE,FALSE,1,0,"D"
3011,"NJ-11","New Jersey",11,57.49,54.08,57.49,FALSE,FALSE,0,0,"D"
607,"CO-07","Colorado",7,57.35,57.73,57.35,FALSE,FALSE,0,0,"D"
3218,"NY-18","New York",18,57.17,51.52,57.17,FALSE,FALSE,0,0,"D"
1308,"IL-08","Illinois",8,57.06,53.54,57.06,FALSE,FALSE,0,0,"D"
2302,"MN-02","Minnesota",2,56.89,53.06,56.89,FALSE,FALSE,0,0,"D"
4706,"WA-06","Washington",6,56.82,59.79,56.82,FALSE,FALSE,0,0,"D"
539,"CA-39","California",39,56.69,54.64,56.69,FALSE,FALSE,0,0,"D"
2109,"MA-09","Massachusetts",9,56.52,55.56,56.52,FALSE,FALSE,0,0,"D"
909,"FL-09","Florida",9,56.42,51.52,56.42,FALSE,FALSE,0,0,"D"
3812,"PA-12","Pennsylvania",12,56.41,59.6,56.41,FALSE,FALSE,0,0,"D"
3101,"NM-01","New Mexico",1,56.37,56.7,56.37,FALSE,FALSE,0,0,"D"
1002,"GA-02","Georgia",2,56.33,54,56.33,FALSE,FALSE,0,0,"D"
3103,"NM-03","New Mexico",3,56.29,53.06,56.29,FALSE,FALSE,0,0,"D"
525,"CA-25","California",25,56.25,51.02,56.25,FALSE,FALSE,0,0,"D"
3806,"PA-06","Pennsylvania",6,56.2,55.56,56.2,FALSE,FALSE,0,0,"D"
526,"CA-26","California",26,56.05,56.7,56.05,FALSE,FALSE,0,0,"D"
3005,"NJ-05","New Jersey",5,55.76,51.02,55.76,FALSE,FALSE,0,0,"D"
1603,"KS-03","Kansas",3,55.6,52.04,55.6,FALSE,FALSE,0,0,"D"
1311,"IL-11","Illinois",11,55.59,55.56,55.59,FALSE,FALSE,0,0,"D"
1314,"IL-14","Illinois",14,55.1,52.53,55.1,FALSE,FALSE,0,0,"D"
2203,"MI-03","Michigan",3,55.07,54.08,55.07,FALSE,FALSE,0,0,"D"
922,"FL-22","Florida",22,54.96,52.53,54.96,FALSE,FALSE,0,0,"D"
102,"AL-02","Alabama",2,54.6,54.55,54.6,FALSE,FALSE,0,0,"D"
3501,"OH-01","Ohio",1,54.58,53.54,54.58,FALSE,FALSE,0,0,"D"
3222,"NY-22","New York",22,54.56,54,54.56,FALSE,FALSE,0,0,"D"
925,"FL-25","Florida",25,54.48,52.53,54.48,FALSE,FALSE,0,0,"D"
1317,"IL-17","Illinois",17,54.43,52.53,54.43,FALSE,FALSE,0,0,"D"
3003,"NJ-03","New Jersey",3,54.39,54.08,54.39,FALSE,FALSE,0,0,"D"
1401,"IN-01","Indiana",1,54.32,50.2,54.32,FALSE,FALSE,0,0,"D"
1306,"IL-06","Illinois",6,54.21,52.53,54.21,FALSE,FALSE,0,0,"D"
2804,"NV-04","Nevada",4,54.16,51.02,54.16,FALSE,FALSE,0,0,"D"
4708,"WA-08","Washington",8,54.09,52.58,54.09,FALSE,FALSE,0,0,"D"
3704,"OR-04","Oregon",4,54.06,56.25,54.06,FALSE,FALSE,0,0,"D"
2901,"NH-01","New Hampshire",1,54.03,51,54.03,FALSE,FALSE,0,0,"D"
2801,"NV-01","Nevada",1,53.89,51.02,53.89,FALSE,FALSE,0,0,"D"
3817,"PA-17","Pennsylvania",17,53.88,52.53,53.88,FALSE,FALSE,0,0,"D"
304,"AZ-04","Arizona",4,53.71,53.54,53.71,FALSE,FALSE,0,0,"D"
2208,"MI-08","Michigan",8,53.46,48.98,53.46,FALSE,FALSE,0,0,"D"
3706,"OR-06","Oregon",6,53.43,55.67,53.43,FALSE,FALSE,0,0,"D"
705,"CT-05","Connecticut",5,53.41,53.06,53.41,FALSE,FALSE,0,0,"D"
2006,"MD-06","Maryland",6,53.17,53.06,53.17,FALSE,FALSE,0,0,"D"
2902,"NH-02","New Hampshire",2,52.98,51.52,52.98,FALSE,FALSE,0,0,"D"
4328,"TX-28","Texas",28,52.79,46.46,52.79,FALSE,FALSE,0,0,"D"
521,"CA-21","California",21,52.57,52.04,52.57,FALSE,FALSE,0,0,"D"
3009,"NJ-09","New Jersey",9,52.53,49.48,52.53,FALSE,FALSE,0,0,"D"
923,"FL-23","Florida",23,52.45,51,52.45,FALSE,FALSE,0,0,"D"
4610,"VA-10","Virginia",10,52.28,54.08,52.28,FALSE,FALSE,0,0,"D"
549,"CA-49","California",49,52.17,53.61,52.17,FALSE,FALSE,0,0,"D"
3102,"NM-02","New Mexico",2,52.08,48.98,52.08,FALSE,FALSE,0,0,"D"
4703,"WA-03","Washington",3,51.95,48.45,51.95,FALSE,FALSE,0,0,"D"
509,"CA-09","California",9,51.79,49.48,51.79,FALSE,FALSE,0,0,"D"
3203,"NY-03","New York",3,51.5,47.96,51.5,FALSE,FALSE,0,0,"D"
3705,"OR-05","Oregon",5,51.47,54.64,51.47,FALSE,FALSE,0,0,"D"
547,"CA-47","California",47,51.44,52.08,51.44,FALSE,FALSE,0,0,"D"
2803,"NV-03","Nevada",3,51.37,49.49,51.37,FALSE,FALSE,0,0,"D"
527,"CA-27","California",27,51.33,51.55,51.33,FALSE,FALSE,0,0,"D"
4607,"VA-07","Virginia",7,51.32,51.52,51.32,FALSE,FALSE,0,0,"D"
4334,"TX-34","Texas",34,51.29,47.47,51.29,FALSE,FALSE,0,0,"D"
3219,"NY-19","New York",19,51.11,50.51,51.11,FALSE,FALSE,0,0,"D"
3513,"OH-13","Ohio",13,51.11,50.02,51.11,FALSE,FALSE,0,0,"D"
3204,"NY-04","New York",4,50.99,50.51,50.99,FALSE,FALSE,0,0,"D"
3301,"NC-01","North Carolina",1,50.86,48.48,50.86,FALSE,FALSE,0,0,"D"
1902,"ME-02","Maine",2,50.35,44.9,50.35,FALSE,FALSE,0,0,"D"
3509,"OH-09","Ohio",9,50.33,46.46,50.33,FALSE,FALSE,0,0,"D"
545,"CA-45","California",45,50.1,50.52,50.1,FALSE,FALSE,0,0,"D"
513,"CA-13","California",13,50.04,47.42,50.04,FALSE,FALSE,0,0,"D"
1501,"IA-01","Iowa",1,49.9,45.45,49.9,FALSE,FALSE,0,0,"R"
608,"CO-08","Colorado",8,49.62,48.98,49.62,FALSE,FALSE,0,0,"R"
3807,"PA-07","Pennsylvania",7,49.5,48.48,49.5,FALSE,FALSE,0,0,"R"
201,"AK-AL","Alaska",1,49.48,42.71,49.48,FALSE,FALSE,0,0,"R"
3810,"PA-10","Pennsylvania",10,49.37,47.47,49.37,FALSE,FALSE,0,0,"R"
3808,"PA-08","Pennsylvania",8,49.19,45.45,49.19,FALSE,FALSE,0,0,"R"
2702,"NE-02","Nebraska",2,49.07,52.53,49.07,FALSE,FALSE,0,0,"R"
306,"AZ-06","Arizona",6,48.71,49.49,48.71,FALSE,FALSE,0,0,"R"
4903,"WI-03","Wisconsin",3,48.64,46.46,48.64,FALSE,FALSE,0,0,"R"
541,"CA-41","California",41,48.31,46.94,48.31,FALSE,FALSE,0,0,"R"
301,"AZ-01","Arizona",1,48.09,48.48,48.09,FALSE,FALSE,0,0,"R"
1503,"IA-03","Iowa",3,48.08,47.47,48.08,FALSE,FALSE,0,0,"R"
2207,"MI-07","Michigan",7,48.08,49.49,48.08,FALSE,FALSE,0,0,"R"
4602,"VA-02","Virginia",2,48.03,49.9,48.03,FALSE,FALSE,0,0,"R"
603,"CO-03","Colorado",3,47.42,44.9,47.42,FALSE,FALSE,0,0,"R"
3007,"NJ-07","New Jersey",7,47.25,48.98,47.25,FALSE,FALSE,0,0,"R"
2210,"MI-10","Michigan",10,46.81,46.94,46.81,FALSE,FALSE,0,0,"R"
3217,"NY-17","New York",17,46.78,50.51,46.78,FALSE,FALSE,0,0,"R"
522,"CA-22","California",22,46.58,46.94,46.58,FALSE,FALSE,0,0,"R"
2601,"MT-01","Montana",1,46.04,44.33,46.04,FALSE,FALSE,0,0,"R"
302,"AZ-02","Arizona",2,45.52,42.42,45.52,FALSE,FALSE,0,0,"R"
913,"FL-13","Florida",13,45.18,44.44,45.18,FALSE,FALSE,0,0,"R"
4901,"WI-01","Wisconsin",1,44.79,47.47,44.79,FALSE,FALSE,0,0,"R"
540,"CA-40","California",40,44.74,48.96,44.74,FALSE,FALSE,0,0,"R"
503,"CA-03","California",3,44.53,48.45,44.53,FALSE,FALSE,0,0,"R"
3201,"NY-01","New York",1,44.53,44.9,44.53,FALSE,FALSE,0,0,"R"
2204,"MI-04","Michigan",4,44.05,46.94,44.05,FALSE,FALSE,0,0,"R"
604,"CO-04","Colorado",4,43.94,40.82,43.94,FALSE,FALSE,0,0,"R"
915,"FL-15","Florida",15,43.82,44.44,43.82,FALSE,FALSE,0,0,"R"
2502,"MO-02","Missouri",2,43.82,45.92,43.82,FALSE,FALSE,0,0,"R"
3801,"PA-01","Pennsylvania",1,43.6,50.15,43.6,FALSE,FALSE,0,0,"R"
4601,"VA-01","Virginia",1,43.6,47.47,43.6,FALSE,FALSE,0,0,"R"
3515,"OH-15","Ohio",15,43.54,45.45,43.54,FALSE,FALSE,0,0,"R"
308,"AZ-08","Arizona",8,43.5,41.41,43.5,FALSE,FALSE,0,0,"R"
907,"FL-07","Florida",7,43.47,43.43,43.47,FALSE,FALSE,0,0,"R"
3311,"NC-11","North Carolina",11,43.23,45.45,43.23,FALSE,FALSE,0,0,"R"
4315,"TX-15","Texas",15,42.89,41,42.89,FALSE,FALSE,0,0,"R"
605,"CO-05","Colorado",5,42.78,45.36,42.78,FALSE,FALSE,0,0,"R"
904,"FL-04","Florida",4,42.73,44.44,42.73,FALSE,FALSE,0,0,"R"
4908,"WI-08","Wisconsin",8,42.67,41.84,42.67,FALSE,FALSE,0,0,"R"
4605,"VA-05","Virginia",5,42.47,43.43,42.47,FALSE,FALSE,0,0,"R"
2802,"NV-02","Nevada",2,NA,42.86,42.2667,TRUE,FALSE,1,0,"R"
1502,"IA-02","Iowa",2,42.11,44.9,42.11,FALSE,FALSE,0,0,"R"
2308,"MN-08","Minnesota",8,41.96,42.86,41.96,FALSE,FALSE,0,0,"R"
3314,"NC-14","North Carolina",14,41.94,42.42,41.94,FALSE,FALSE,0,0,"R"
4001,"SC-01","South Carolina",1,41.68,43.43,41.68,FALSE,FALSE,0,0,"R"
3002,"NJ-02","New Jersey",2,41.49,43.43,41.49,FALSE,FALSE,0,0,"R"
2301,"MN-01","Minnesota",1,41.45,43.88,41.45,FALSE,FALSE,0,0,"R"
3507,"OH-07","Ohio",7,41.42,44.44,41.42,FALSE,FALSE,0,0,"R"
3307,"NC-07","North Carolina",7,41.41,43.43,41.41,FALSE,FALSE,0,0,"R"
3313,"NC-13","North Carolina",13,41.36,41.41,41.36,FALSE,FALSE,0,0,"R"
402,"AR-02","Arkansas",2,41.07,41.84,41.07,FALSE,FALSE,0,0,"R"
4205,"TN-05","Tennessee",5,40.98,40.82,40.98,FALSE,FALSE,0,0,"R"
3306,"NC-06","North Carolina",6,NA,41.41,40.7188,TRUE,FALSE,1,0,"R"
548,"CA-48","California",48,40.71,42.27,40.71,FALSE,FALSE,0,0,"R"
3305,"NC-05","North Carolina",5,40.53,41.41,40.53,FALSE,FALSE,0,0,"R"
916,"FL-16","Florida",16,40.52,42.42,40.52,FALSE,FALSE,0,0,"R"
3510,"OH-10","Ohio",10,40.49,47.47,40.49,FALSE,FALSE,0,0,"R"
3308,"NC-08","North Carolina",8,40.39,40.4,40.39,FALSE,FALSE,0,0,"R"
4002,"SC-02","South Carolina",2,40.33,42.86,40.33,FALSE,FALSE,0,0,"R"
3202,"NY-02","New York",2,40.23,43.43,40.23,FALSE,FALSE,0,0,"R"
1405,"IN-05","Indiana",5,40.18,41.84,40.18,FALSE,FALSE,0,0,"R"
3309,"NC-09","North Carolina",9,40.14,42.42,40.14,FALSE,FALSE,0,0,"R"
1602,"KS-02","Kansas",2,40.09,39.8,40.09,FALSE,FALSE,0,0,"R"
3310,"NC-10","North Carolina",10,39.92,41.41,39.92,FALSE,FALSE,0,0,"R"
2701,"NE-01","Nebraska",1,39.9,43.43,39.9,FALSE,FALSE,0,0,"R"
523,"CA-23","California",23,39.86,41.24,39.86,FALSE,FALSE,0,0,"R"
4324,"TX-24","Texas",24,39.7,41.84,39.7,FALSE,FALSE,0,0,"R"
1012,"GA-12","Georgia",12,39.68,43,39.68,FALSE,FALSE,0,0,"R"
911,"FL-11","Florida",11,39.62,41.41,39.62,FALSE,FALSE,0,0,"R"
927,"FL-27","Florida",27,39.62,42.42,39.62,FALSE,FALSE,0,0,"R"
305,"AZ-05","Arizona",5,39.61,39.8,39.61,FALSE,FALSE,0,0,"R"
4705,"WA-05","Washington",5,39.34,44.33,39.34,FALSE,FALSE,0,0,"R"
3605,"OK-05","Oklahoma",5,39.31,40.82,39.31,FALSE,FALSE,0,0,"R"
2201,"MI-01","Michigan",1,39.06,39.39,39.06,FALSE,FALSE,0,0,"R"
4207,"TN-07","Tennessee",7,39,38.78,39,FALSE,FALSE,0,0,"R"
4906,"WI-06","Wisconsin",6,38.7,41.41,38.7,FALSE,FALSE,0,0,"R"
2001,"MD-01","Maryland",1,38.62,41.24,38.62,FALSE,FALSE,0,0,"R"
3303,"NC-03","North Carolina",3,NA,39.39,38.5624,TRUE,FALSE,1,0,"R"
4004,"SC-04","South Carolina",4,38.4,37.76,38.4,FALSE,FALSE,0,0,"R"
903,"FL-03","Florida",3,38.39,39.39,38.39,FALSE,FALSE,0,0,"R"
902,"FL-02","Florida",2,38.36,41,38.36,FALSE,FALSE,0,0,"R"
4704,"WA-04","Washington",4,NA,39.18,38.3382,TRUE,FALSE,0,1,"R"
505,"CA-05","California",5,38.23,40.82,38.23,FALSE,FALSE,0,0,"R"
921,"FL-21","Florida",21,38.18,41.41,38.18,FALSE,FALSE,0,0,"R"
1001,"GA-01","Georgia",1,38.02,42,38.02,FALSE,FALSE,0,0,"R"
3221,"NY-21","New York",21,38.01,39.39,38.01,FALSE,FALSE,0,0,"R"
4322,"TX-22","Texas",22,37.88,39.8,37.88,FALSE,FALSE,0,0,"R"
908,"FL-08","Florida",8,37.76,38.38,37.76,FALSE,FALSE,0,0,"R"
4323,"TX-23","Texas",23,37.7,42.42,37.7,FALSE,FALSE,0,0,"R"
4303,"TX-03","Texas",3,37.55,39.8,37.55,FALSE,FALSE,0,0,"R"
1316,"IL-16","Illinois",16,NA,38.38,37.4842,TRUE,FALSE,1,0,"R"
