"id","tgt","pop","x","y"
64,"ROZR",26,11.3488,7.349
65,"ROZR",14,11.3318,7.4292
66,"ROZR",22,11.3519,7.496
67,"ROZR",22,11.1952,7.6094
68,"ROZR",0,11.0839,7.6094
69,"ROZR",25,11.1222,7.496
70,"ROZR",37,11.1839,7.3251
71,"ROZR",21,11.0323,7.3185
72,"ROZR",15,11.1058,7.0568
73,"ROZR",25,11.2402,7.168
74,"ROZR",17,11.3919,7.225
75,"ROZR",28,11.4268,7.1297
76,"ROZR",13,11.5621,7.1856
77,"ROZR",13,10.9569,7.0455
78,"PEC",0,10.8592,6.9985
79,"PEC",0,10.806,6.9842
80,"PEC",0,10.6979,6.9457
81,"PEC",19,10.5887,6.9071
82,"PEC",16,10.4782,6.8623
83,"PEC",0,10.3773,6.8362
84,"PEC",0,10.3958,6.7398
85,"PEC",0,10.508,6.7856
86,"PEC",0,10.6187,6.8244
87,"PEC",0,10.7269,6.8649
88,"PEC",0,10.8365,6.9047
89,"ROZR",0,10.9605,6.9493
90,"ROZR",36,10.9574,6.7737
91,"ROZR",25,10.7816,6.7119
92,"ROZR",10,10.6727,6.6758
93,"ROZR",17,10.5677,6.5915
94,"ROZR",0,10.6993,6.3808
95,"ROZR",0,10.792,6.3461
96,"ROZR",8,11.7995,7.4674
97,"ROZR",13,11.2733,7.0759
98,"ROZR",1177,12.3045,9.0948
99,"ROZR",367,11.2459,8.9437
100,"ROZR",39,12.6251,8.3876
101,"ROZR",88,11.1897,8.3115
102,"ROZR",31,12.8842,9.0425
103,"ROZR",38,11.5478,8.493
104,"ROZR",8,11.1407,9.6772
105,"ROZR",60,12.4664,8.3905
106,"ROZR",59,11.5419,9.0874
107,"ROZR",74,11.1578,8.6358
108,"ROZR",40,12.2813,8.2823
109,"ROZR",24,12.3979,8.3054
110,"ROZR",37,12.455,8.1332
111,"ROZR",25,12.138,8.0947
112,"ROZR",0,11.4605,7.9863
113,"ROZR",0,11.2218,8.0557
114,"ROZR",12,11.296,8.2296
115,"ROZR",0,13.1599,8.7628
116,"PEC",210,10.7072,7.6209
117,"PEC",17,10.8078,7.3662
118,"PEC",16,10.3654,8.0262
119,"PEC",3,10.2166,7.8877
120,"PEC",1,10.4159,7.5397
121,"PEC",0,10.1578,7.8514
122,"PEC",117,9.924,7.8193
123,"PEC",0,9.8679,8.0384
124,"PEC",0,9.6447,7.9747
125,"PEC",43,10.137,7.479
126,"PEC",34,10.2849,7.534
127,"PEC",17,9.8604,7.4674
128,"PEC",3,10.2287,7.346
129,"PEC",71,10.3213,7.1613
130,"PEC",6,10.4998,7.1677
131,"PEC",4,10.2308,7.2589
132,"PEC",12,10.1403,7.1499
133,"PEC",20,10.0404,7.2481
134,"PEC",19,10.1454,7.0105
135,"PEC",6,10.1035,7.015
136,"PEC",23,9.5317,7.0629
137,"PEC",31,10.0126,7.0306
138,"PEC",12,10.0784,6.8872
139,"PEC",16,10.0107,6.8895
140,"PEC",0,9.1864,7.2111
141,"PEC",0,9.5335,7.9272
142,"PEC",0,10.609,7.1991
143,"PEC",0,10.6579,7.0592
144,"PEC",4,10.7644,7.1037
145,"PEC",0,10.8607,7.1021
146,"PEC",0,10.2168,6.8612
147,"PEC",9,10.2634,13.9119
148,"PEC",0,9.908,13.7269
149,"PEC",0,9.9028,12.1591
150,"PEC",0,9.9268,12.1529
151,"PEC",89,10.5239,11.7588
152,"PEC",76,10.7644,13.2323
153,"PEC",212,11.0806,13.3719
154,"PEC",29,11.0715,13.128
155,"PEC",39,10.8061,12.8325
156,"PEC",15,10.8302,13.0671
157,"PEC",27,10.9615,13.0717
158,"PEC",30,11.0132,12.8366
159,"PEC",18,10.8489,12.7283
160,"PEC",51,11.2063,12.819
161,"PEC",0,11.1637,12.6116
162,"PEC",50,10.831,12.6127
163,"PEC",38,10.6681,12.816
164,"PEC",17,10.9925,10.7935
165,"PEC",13,10.7541,10.7935
166,"PEC",0,11.1198,11.6538
167,"PEC",0,11.1403,12.2493
168,"PEC",14,10.1093,11.0448
169,"PEC",0,10.5569,10.2545
170,"PEC",5,10.8146,10.2526
171,"PEC",0,10.5786,10.2069
172,"PEC",0,10.2772,10.6299
173,"PEC",0,10.3426,10.3233
174,"PEC",0,9.9827,10.4843
175,"PEC",0,10.2793,10.4853
176,"PEC",0,9.8947,9.6891
177,"PEC",192,10.2445,8.8956
178,"PEC",71,10.2228,8.2058
179,"PEC",0,10.3172,8.2506
180,"PEC",0,10.1468,9.8564
181,"PEC",18,10.3267,10.0814
182,"PEC",0,10.7449,10.0763
183,"PEC",698,10.8224,9.0451
184,"PEC",33,11.0559,8.1573
185,"PEC",25,10.7119,9.1489
186,"PEC",0,9.7146,8.3881
187,"PEC",0,9.9224,8.1364
188,"PEC",0,10.0987,8.0969
189,"PEC",44,9.6417,14.3556
190,"PEC",0,9.6222,13.5823
191,"PEC",0,9.6141,12.3546
192,"PEC",0,9.4853,13.6362
193,"PEC",0,9.4891,10.6179
194,"PEC",11,8.2847,11.3066
195,"PEC",0,7.2073,12.0899
196,"PEC",6,6.9533,12.1922
197,"PEC",35,6.1302,11.2105
198,"PEC",0,7.1472,12.0899
199,"PEC",0,7.3193,11.7335
200,"PEC",5,6.1839,12.6165
201,"PEC",48,5.3515,10.482
202,"PEC",24,5.3341,10.1956
203,"PEC",0,4.9354,10.0207
204,"PEC",0,5.3444,10.083
205,"PEC",0,5.3406,10.058
206,"PEC",177,5.9126,9.0401
207,"PEC",25,5.1189,9.4085
208,"PEC",0,4.9277,9.9955
209,"PEC",12,7.2347,11.9376
210,"PEC",0,7.9778,10.627
211,"PEC",0,8.1271,10.4474
212,"PEC",0,7.5854,10.0529
213,"PEC",0,7.4881,9.9083
214,"PEC",8,7.9211,9.9083
215,"PEC",412,9.3888,9.6841
216,"PEC",0,9.3258,10.4528
217,"PEC",0,8.6824,10.4573
218,"PEC",5,9.2978,10.2705
219,"PEC",0,8.6453,9.9016
220,"PEC",55,9.1351,9.432
221,"PEC",169,7.3229,8.6809
222,"PEC",47,8.0122,8.3708
223,"PEC",55,7.9216,8.5262
224,"PEC",99,8.0104,8.7283
225,"PEC",29,8.1376,8.5162
226,"PEC",22,7.6496,8.2047
227,"PEC",0,6.5651,8.8066
228,"PEC",0,6.6712,9.0401
229,"PEC",0,6.5903,9.9499
230,"PEC",0,9.4398,7.7924
231,"PEC",73,8.977,8.5855
232,"PEC",6,9.3767,8.4414
233,"PEC",0,9.3739,8.5071
234,"PEC",9,8.5114,8.9185
235,"PEC",0,9.6195,8.5014
236,"PEC",0,7.6538,7.3687
237,"PEC",36,7.1249,8.1772
238,"PEC",7,6.8066,7.9675
239,"PEC",5,6.7856,8.1888
240,"PEC",0,6.9905,7.4717
241,"PEC",0,5.1926,8.9786
242,"PEC",204,9.1865,6.7147
243,"PEC",26,9.4999,6.6831
244,"PEC",0,8.9638,6.752
245,"PEC",0,8.7073,6.1206
246,"PEC",179,8.9288,6.1307
247,"PEC",21,9.172,6.0956
248,"PEC",0,8.8865,5.7532
249,"PEC",90,9.2846,6.3444
250,"PEC",40,9.6365,6.4018
251,"PEC",161,9.4431,6.2448
252,"PEC",34,9.2712,6.1914
253,"PEC",43,9.2831,6.0614
254,"PEC",21,9.3991,6.0319
255,"PEC",57,9.1124,5.8187
256,"PEC",0,8.955,5.5959
257,"PEC",0,8.9814,7.2531
258,"PEC",45,8.3626,6.3891
259,"PEC",28,8.5649,6.5393
260,"PEC",32,8.5232,6.1964
261,"PEC",0,7.5297,6.8384
262,"PEC",0,6.6442,7.4717
263,"PEC",0,6.4969,7.8409
264,"PEC",0,6.4833,7.8241
265,"PEC",0,6.4714,7.8289
266,"PEC",0,5.9439,8.2086
267,"PEC",0,5.4336,7.9078
268,"PEC",0,6.4554,7.4568
269,"PEC",9,4.7868,9.1194
270,"PEC",8,8.6287,6.1383
271,"PEC",0,8.3659,5.8326
272,"PEC",77,7.9596,6.1385
273,"PEC",0,7.7553,5.8518
274,"PEC",85,5.9128,5.8307
275,"PEC",85,7.0558,5.7281
276,"PEC",10,5.1147,6.0111
277,"PEC",0,6.5166,6.8611
278,"PEC",0,6.4636,7.3741
279,"PEC",55,7.4147,4.9469
280,"PEC",4,7.8841,4.4083
281,"PEC",0,8.0922,4.3691
282,"PEC",0,7.6218,4.7022
283,"PEC",19,8.327,5.6061
284,"PEC",23,6.1596,5.0977
285,"PEC",0,6.4575,5.3563
286,"PEC",0,6.7494,5.4792
287,"PEC",73,6.7923,5.1617
288,"PEC",2,4.8743,3.5674
289,"PEC",0,5.1755,4.9307
290,"PEC",0,5.9495,5.1848
291,"PEC",43,3.2638,3.7219
292,"PEC",14,2.9755,3.5968
293,"PEC",2,3.394,4.5781
294,"PEC",32,4.0323,5.4068
295,"PEC",0,4.0829,5.7499
296,"PEC",9,3.2625,5.4399
297,"PEC",61,2.7049,2.9765
298,"PEC",26,2.8524,3.4878
299,"PEC",0,2.2148,3.3565
300,"PEC",0,1.6638,4.3808
301,"PEC",8,0.8946,6.4902
302,"PEC",0,0.1402,7.8392
303,"PEC",29,5.9472,4.1715
304,"PEC",81,6.7899,3.7546
305,"PEC",10,6.7969,3.9667
306,"PEC",13,6.837,4.2416
307,"PEC",19,6.8687,3.8374
308,"PEC",0,7.5062,3.9839
309,"PEC",0,7.2607,3.5712
310,"PEC",0,6.0493,3.8951
311,"PEC",53,5.7444,4.9122
312,"PEC",0,6.8651,2.6114
313,"PEC",99,7.7196,3.3976
314,"PEC",10,7.5694,3.7004
315,"PEC",0,7.9502,4.1661
316,"PEC",0,7.609,4.3319
317,"PEC",0,8.2524,4.0286
318,"PEC",8,8.351,4.6711
319,"PEC",40,8.3428,5.2295
320,"PEC",0,7.9935,4.2335
321,"PEC",9,6.665,2.9258
322,"PEC",0,6.5954,2.4931
323,"PEC",6,6.7469,2.4425
324,"PEC",50,4.2917,1.9842
325,"PEC",8,1.6755,1.6102
326,"PEC",26,1.3249,2.9835
327,"PEC",12,7.3248,2.9624
328,"PEC",3,7.2404,3.2665
329,"PEC",27,8.3112,5.4844
330,"PEC",0,1.1629,1.0497
331,"PEC",12,0.8611,0.3967
332,"PEC",0,0.9797,0.8211
333,"PEC",20,6.6557,5.4869
334,"PEC",0,10.3033,6.7716
335,"PEC",0,10.251,6.7392
336,"PEC",0,10.2864,6.6935
337,"PEC",0,10.3388,6.7235
338,"ROZR",0,10.6079,6.0187
339,"ROZR",0,10.7241,6.3052
340,"PEC",0,9.9437,6.4712
341,"ROZR",22,9.9897,6.4568
342,"ROZR",30,10.1914,5.9125
343,"ROZR",44,10.1339,5.3601
344,"ROZR",16,10.0263,6.256
345,"ROZR",36,9.8688,6.2263
346,"ROZR",70,9.8545,6.0725
347,"PEC",0,9.7053,6.2472
348,"PEC",0,9.5786,6.1271
349,"ROZR",16,9.6002,6.0372
350,"ROZR",71,9.6965,5.8971
351,"ROZR",25,9.8654,5.8906
352,"ROZR",1,9.4061,5.8527
353,"ROZR",0,9.3744,5.9313
354,"ROZR",0,9.1763,5.7419
355,"ROZR",0,9.2575,5.6593
356,"ROZR",17,9.54,5.7536
357,"ROZR",0,9.5342,5.8391
358,"ROZR",0,9.0258,5.5965
359,"ROZR",29,9.8218,5.5636
360,"ROZR",26,9.6995,5.5176
361,"ROZR",24,9.4328,5.5608
362,"ROZR",5,9.2749,5.3265
363,"ROZR",36,9.9806,5.4163
364,"ROZR",0,9.2421,5.2491
365,"PEC",0,8.8945,5.5898
366,"PEC",0,8.7387,5.6464
367,"ROZR",4,8.5299,4.7974
368,"ROZR",0,8.8805,5.5349
369,"PEC",0,8.4964,4.7938
370,"PEC",0,8.1967,3.3481
371,"ROZR",0,8.3473,3.6159
372,"ROZR",0,9.4068,4.6625
373,"ROZR",0,10.6205,4.8521
374,"ROZR",0,10.9582,4.8635
375,"ROZR",23,11.3456,4.63
376,"ROZR",10,10.0215,5.6623
377,"ROZR",20,9.8758,5.7467
378,"ROZR",17,9.8714,5.6446
379,"ROZR",0,9.9115,5.5636
380,"ROZR",0,11.428,4.415
381,"ROZR",0,11.0542,3.8433
382,"ROZR",0,11.8283,4.1434
383,"ROZR",16,12.2406,3.706
384,"ROZR",0,12.1494,3.6192
385,"ROZR",0,12.0687,3.6859
386,"ROZR",0,11.8593,3.4332
387,"ROZR",7,10.1066,3.1704
388,"ROZR",0,8.8237,3.4766
389,"ROZR",40,9.0626,3.0568
390,"ROZR",0,10.6458,3.3291
391,"ROZR",0,16.5453,5.9733
392,"ROZR",413,16.4124,5.2638
393,"ROZR",87,15.9632,5.8225
394,"ROZR",0,15.4909,6.2066
395,"ROZR",56,16.0279,5.4197
396,"ROZR",40,16.4626,5.6851
397,"ROZR",14,15.9507,5.5558
398,"ROZR",94,14.67,5.7726
399,"ROZR",17,14.4133,6.1894
400,"ROZR",29,13.5918,5.9594
401,"ROZR",25,13.2028,6.1717
402,"ROZR",12,13.4219,6.3422
403,"ROZR",24,12.8571,6.378
404,"ROZR",47,12.5759,6.3903
405,"ROZR",28,12.6123,6.2779
406,"ROZR",46,12.4898,6.0646
407,"ROZR",439,12.1395,5.2751
408,"ROZR",0,11.7268,5.8147
409,"ROZR",0,11.4561,4.8305
410,"ROZR",120,12.1702,5.5473
411,"ROZR",34,12.6076,5.6056
412,"ROZR",63,12.0996,5.8591
413,"ROZR",42,12.059,5.9615
414,"ROZR",45,11.866,5.8567
415,"ROZR",37,12.5965,6.1146
416,"ROZR",43,12.5551,5.7652
417,"ROZR",12,12.6564,5.8072
418,"ROZR",45,12.7075,6.1133
419,"ROZR",89,12.9074,6.1458
420,"ROZR",17,13.8885,6.0226
421,"ROZR",13,13.9852,5.482
422,"ROZR",10,13.8748,5.4237
423,"ROZR",28,13.5404,5.6246
424,"ROZR",19,13.5213,5.8636
425,"ROZR",7,11.978,4.2349
426,"ROZR",97,14.7115,4.1441
427,"ROZR",22,13.9139,5.2293
428,"ROZR",10,14.5202,5.2028
429,"ROZR",67,13.8919,4.7287
430,"ROZR",0,12.8517,5.0242
431,"ROZR",45,12.0636,5.5632
432,"ROZR",0,18.1117,3.9746
433,"ROZR",0,16.1118,6.0795
434,"ROZR",34,14.2431,5.4676
435,"ROZR",30,11.922,6.7626
436,"ROZR",14,11.6133,6.8914
437,"ROZR",14,11.3129,6.8999
438,"ROZR",14,11.1167,6.8667
439,"ROZR",10,11.3133,6.7677
440,"ROZR",4,11.4454,6.7795
441,"ROZR",47,11.6101,6.6492
442,"ROZR",11,11.7668,6.531
443,"ROZR",29,11.5736,6.5188
444,"ROZR",22,11.2557,6.6256
445,"ROZR",42,10.9914,6.4838
446,"ROZR",6,10.8504,6.5002
447,"ROZR",3,10.8774,6.3702
448,"ROZR",56,11.1248,6.2461
449,"ROZR",17,11.2596,6.4993
450,"ROZR",26,11.1268,6.4722
451,"ROZR",30,11.9088,6.5452
452,"ROZR",23,12.0728,6.5698
453,"ROZR",38,12.1536,6.5976
454,"ROZR",21,12.276,6.6113
455,"ROZR",49,11.3227,6.1207
456,"ROZR",0,11.4016,6.3065
457,"ROZR",31,11.5043,6.2728
458,"ROZR",31,11.4928,6.4131
459,"ROZR",46,11.6422,6.3201
460,"ROZR",28,11.7569,6.3088
461,"ROZR",50,11.8932,6.293
462,"ROZR",12,11.9656,6.4184
463,"ROZR",60,12.2416,6.4004
464,"ROZR",66,11.4721,6.0533
465,"ROZR",27,11.4463,6.1492
466,"ROZR",33,11.9548,6.179
467,"ROZR",25,12.0526,6.2977
468,"ROZR",58,12.2973,6.2835
469,"ROZR",41,12.2781,6.1741
470,"ROZR",13,12.0749,6.1761
471,"ROZR",33,12.2868,6.054
472,"ROZR",23,11.9433,6.052
473,"ROZR",39,11.7962,6.0767
474,"ROZR",56,11.5981,6.0135
475,"ROZR",11,13.3242,8.3833
476,"ROZR",290,13.5377,8.063
477,"ROZR",354,13.0519,8.0534
478,"ROZR",0,13.3431,7.7733
479,"ROZR",276,12.6437,7.9748
480,"ROZR",0,12.6448,7.7879
481,"ROZR",23,12.2749,7.8882
482,"ROZR",43,12.4032,7.8779
483,"ROZR",34,12.2958,7.7456
484,"ROZR",599,11.9121,7.156
485,"ROZR",18,11.7121,7.24
486,"ROZR",23,12.498,7.2501
487,"ROZR",31,12.261,7.1965
488,"ROZR",50,12.5204,7.3867
489,"ROZR",34,12.2258,7.4552
490,"ROZR",0,12.5034,7.1935
491,"ROZR",42,12.9329,7.0348
492,"ROZR",37,12.7039,7.3898
493,"ROZR",0,12.6701,7.1901
494,"ROZR",84,13.3714,7.1861
495,"ROZR",0,14.3108,7.0256
496,"ROZR",9,14.0461,7.0655
497,"ROZR",0,14.0819,7.6533
498,"ROZR",6,13.2437,6.7143
499,"ROZR",0,13.5933,6.947
500,"ROZR",32,12.5436,6.9974
501,"ROZR",130,12.6908,6.9996
502,"ROZR",0,16.8722,11.1426
503,"ROZR",321,18.7935,7.937
504,"ROZR",7,18.401,9.1048
505,"ROZR",0,18.5442,9.2908
506,"ROZR",40,17.6439,8.7502
507,"ROZR",0,17.2538,9.9475
508,"ROZR",0,17.2384,10.0076
509,"ROZR",139,17.1868,10.5037
510,"ROZR",49,16.8407,10.5763
511,"ROZR",56,15.866,9.7942
512,"ROZR",11,14.5714,9.475
513,"ROZR",0,15.4168,10.3482
514,"ROZR",0,14.5149,9.5674
515,"ROZR",195,14.1124,8.6087
516,"ROZR",11,13.8465,8.9668
517,"ROZR",260,15.5246,8.6536
518,"ROZR",0,15.4583,8.5455
519,"ROZR",17,15.2257,7.6388
520,"ROZR",0,15.8178,8.9371
521,"ROZR",0,18.9478,4.6753
522,"ROZR",0,20.3544,5.266
523,"ROZR",0,14.1094,7.6527
524,"ROZR",0,13.7914,8.1117
525,"ROZR",0,20.5893,5.111
526,"ROZR",0,20.2918,5.1622
527,"ROZR",0,20.2525,4.0364
528,"ROZR",0,14.3383,7.0256
529,"ROZR",192,14.2678,7.5366
530,"ROZR",319,15.0774,6.9451
531,"ROZR",30,15.4014,7.2188
532,"ROZR",15,14.9733,7.2691
533,"ROZR",62,15.2454,7.0817
534,"ROZR",0,15.3149,6.4341
535,"ROZR",48,15.2623,7.2029
536,"ROZR",0,14.6808,7.5444
537,"ROZR",59,15.4932,6.6644
538,"ROZR",484,16.0359,6.7577
539,"ROZR",74,16.3296,7.3897
540,"ROZR",52,15.685,6.688
541,"ROZR",11,15.4607,7.1601
542,"ROZR",85,16.5622,8.6205
543,"ROZR",17,16.2844,7.7857
544,"ROZR",8,15.9037,7.838
545,"ROZR",43,16.2369,7.7094
546,"ROZR",13,16.369,7.719
547,"ROZR",50,15.8592,6.2555
548,"ROZR",29,15.5212,6.337
549,"ROZR",0,19.4118,3.793
550,"ROZR",0,20.0983,4.3631
551,"ROZR",0,15.4405,6.7284
552,"ROZR",0,19.0124,3.8638
553,"ROZR",6,14.5814,6.9024
554,"ROZR",0,15.433,7.1629
555,"ROZR",0,15.4222,6.9122
556,"ROZR",0,15.4605,6.4173
557,"ROZR",9,15.5463,8.0954
558,"ROZR",33,17.2623,6.6166
559,"ROZR",0,17.7417,5.2045
560,"ROZR",0,21.5411,4.5571
561,"ROZR",0,21.3309,3.6125
