"id","part","x","y","tgt","pop"
18,1,15.0066,12.2278,"PEC",0
18,1,14.8744,12.3229,"PEC",0
18,1,14.7897,12.4053,"PEC",0
18,1,14.7276,12.4421,"PEC",0
19,1,15.075,12.004,"PEC",191
19,1,15.0533,11.6201,"PEC",191
19,1,15.3705,11.6101,"PEC",191
19,1,15.3424,11.0186,"PEC",191
19,1,15.4955,10.9551,"PEC",191
19,1,15.7553,10.868,"PEC",191
19,1,15.8244,10.8309,"PEC",191
19,1,15.9718,10.9397,"PEC",191
19,1,16.1045,11.0065,"PEC",191
19,1,16.281,11.0708,"PEC",191
19,1,16.4699,11.1144,"PEC",191
19,1,16.7341,11.1554,"PEC",191
19,1,16.8635,11.1861,"PEC",191
19,1,17.0382,11.2423,"PEC",191
19,1,17.0125,11.3254,"PEC",191
19,1,16.9371,11.3344,"PEC",191
19,1,16.7963,11.3251,"PEC",191
19,1,16.7429,11.3691,"PEC",191
19,1,16.6579,11.3951,"PEC",191
19,1,16.5724,11.415,"PEC",191
19,1,16.4863,11.5012,"PEC",191
19,1,16.3671,11.586,"PEC",191
19,1,16.1528,11.629,"PEC",191
19,1,16.0552,11.6776,"PEC",191
19,1,16.0001,11.6784,"PEC",191
19,1,15.9475,11.6072,"PEC",191
19,1,15.8408,11.5961,"PEC",191
19,1,15.6986,11.7015,"PEC",191
19,1,15.5517,11.7104,"PEC",191
19,1,15.5383,11.7877,"PEC",191
19,1,15.4565,11.8332,"PEC",191
19,1,15.3007,11.8649,"PEC",191
19,1,15.2296,11.9092,"PEC",191
19,1,15.1581,11.9885,"PEC",191
19,1,15.075,12.004,"PEC",191
20,1,16.6579,11.3951,"PEC",0
20,1,16.7429,11.3691,"PEC",0
20,1,16.7963,11.3251,"PEC",0
20,1,16.9371,11.3344,"PEC",0
20,1,17.0125,11.3254,"PEC",0
20,1,16.9147,11.4337,"PEC",0
20,1,16.6579,11.3951,"PEC",0
21,1,16.4699,11.1144,"PEC",0
21,1,16.4728,11.093,"PEC",0
21,1,16.7308,11.1246,"PEC",0
21,1,16.8986,11.1605,"PEC",0
21,1,17.0485,11.218,"PEC",0
21,1,17.0382,11.2423,"PEC",0
21,1,16.8635,11.1861,"PEC",0
21,1,16.7341,11.1554,"PEC",0
21,1,16.4699,11.1144,"PEC",0
22,1,15.8244,10.8309,"PEC",0
22,1,15.8483,10.808,"PEC",0
22,1,15.9784,10.9028,"PEC",0
22,1,16.1026,10.9749,"PEC",0
