"state","forecaster","published","rating","score"
"ME","The Economist","2026-08-07","Lean D",1
"ME","RealClearPolitics","2026-08-14","Toss-up",0
"ME","Decision Desk HQ","2026-08-05","Toss-up",0
"ME","Fox News","2026-08-18","Toss-up",0
"ME","VoteHub","2026-08-06","Tilt D",0.5
"ME","FiftyPlusOne","2026-08-11","Lean D",1
"ME","Split Ticket","2026-08-11","Lean D",1
"ME","Silver Bulletin","2026-08-21","Lean D",1
"MI","Cook","2026-08-20","Toss-up",0
"MI","Inside Elections","2026-08-06","Toss-up",0
"MI","Sabato","2026-08-19","Toss-up",0
"MI","Race to the WH","2026-08-22","Tilt D",0.5
"MI","The Economist","2026-08-07","Toss-up",0
"MI","RealClearPolitics","2026-08-14","Toss-up",0
"MI","Decision Desk HQ","2026-08-05","Toss-up",0
"MI","Fox News","2026-08-18","Toss-up",0
"MI","VoteHub","2026-08-06","Tilt D",0.5
"MI","FiftyPlusOne","2026-08-11","Lean D",1
"MI","Split Ticket","2026-08-11","Lean D",1
"MI","Silver Bulletin","2026-08-21","Lean D",1
"MN","Cook","2026-08-20","Likely D",2
"MN","Inside Elections","2026-08-06","Likely D",2
"MN","Sabato","2026-08-19","Likely D",2
"MN","Race to the WH","2026-08-22","Likely D",2
"MN","The Economist","2026-08-07","Likely D",2
"MN","RealClearPolitics","2026-08-14","Lean D",1
"MN","Decision Desk HQ","2026-08-05","Likely D",2
"MN","Fox News","2026-08-18","Likely D",2
"MN","VoteHub","2026-08-06","Solid D",3
"MN","FiftyPlusOne","2026-08-11","Safe D",3
"MN","Split Ticket","2026-08-11","Likely D",2
"MN","Silver Bulletin","2026-08-21","Likely D",2
"MS","Cook","2026-08-20","Solid R",-3
"MS","Inside Elections","2026-08-06","Solid R",-3
"MS","Sabato","2026-08-19","Safe R",-3
"MS","Race to the WH","2026-08-22","Safe R",-3
"MS","The Economist","2026-08-07","Likely R",-2
"MS","RealClearPolitics","2026-08-14","Solid R",-3
"MS","Decision Desk HQ","2026-08-05","Safe R",-3
"MS","Fox News","2026-08-18","Solid R",-3
"MS","VoteHub","2026-08-06","Solid R",-3
"MS","FiftyPlusOne","2026-08-11","Safe R",-3
"MS","Split Ticket","2026-08-11","Safe R",-3
"MS","Silver Bulletin","2026-08-21","Solid R",-3
"MT","Cook","2026-08-20","Solid R",-3
"MT","Inside Elections","2026-08-06","Solid R",-3
"MT","Sabato","2026-08-19","Safe R",-3
"MT","Race to the WH","2026-08-22","Likely R",-2
"MT","The Economist","2026-08-07","Safe R",-3
"MT","RealClearPolitics","2026-08-14","Lean R",-1
"MT","Decision Desk HQ","2026-08-05","Likely R",-2
"MT","Fox News","2026-08-18","Solid R",-3
"MT","VoteHub","2026-08-06","Likely R",-2
"MT","FiftyPlusOne","2026-08-11","Likely R",-2
"MT","Split Ticket","2026-08-11","Safe R",-3
"MT","Silver Bulletin","2026-08-21","Solid R",-3
"NC","Cook","2026-08-20","Lean D",1
"NC","Inside Elections","2026-08-06","Tilt D",0.5
"NC","Sabato","2026-08-19","Lean D",1
"NC","Race to the WH","2026-08-22","Likely D",2
"NC","The Economist","2026-08-07","Likely D",2
"NC","RealClearPolitics","2026-08-14","Lean D",1
"NC","Decision Desk HQ","2026-08-05","Likely D",2
"NC","Fox News","2026-08-18","Lean D",1
"NC","VoteHub","2026-08-06","Likely D",2
"NC","FiftyPlusOne","2026-08-11","Likely D",2
"NC","Split Ticket","2026-08-11","Likely D",2
"NC","Silver Bulletin","2026-08-21","Likely D",2
"NE","Cook","2026-08-20","Likely R",-2
"NE","Inside Elections","2026-08-06","Likely R",-2
"NE","Sabato","2026-08-19","Likely R",-2
"NE","Race to the WH","2026-08-22","Lean R",-1
"NE","The Economist","2026-08-07","Lean R",-1
"NE","RealClearPolitics","2026-08-14","Lean R",-1
"NE","Decision Desk HQ","2026-08-05","Likely R",-2
"NE","Fox News","2026-08-18","Likely R",-2
"NE","VoteHub","2026-08-06","Lean R",-1
"NE","FiftyPlusOne","2026-08-11","Likely R",-2
"NE","Split Ticket","2026-08-11","Likely R",-2
"NE","Silver Bulletin","2026-08-21","Likely R",-2
"NH","Cook","2026-08-20","Lean D",1
"NH","Inside Elections","2026-08-06","Tilt D",0.5
"NH","Sabato","2026-08-19","Lean D",1
"NH","Race to the WH","2026-08-22","Lean D",1
"NH","The Economist","2026-08-07","Likely D",2
"NH","RealClearPolitics","2026-08-14","Lean D",1
"NH","Decision Desk HQ","2026-08-05","Likely D",2
"NH","Fox News","2026-08-18","Lean D",1
"NH","VoteHub","2026-08-06","Likely D",2
"NH","FiftyPlusOne","2026-08-11","Likely D",2
"NH","Split Ticket","2026-08-11","Safe D",3
"NH","Silver Bulletin","2026-08-21","Likely D",2
"NJ","Cook","2026-08-20","Solid D",3
"NJ","Inside Elections","2026-08-06","Solid D",3
"NJ","Sabato","2026-08-19","Safe D",3
"NJ","Race to the WH","2026-08-22","Safe D",3
"NJ","The Economist","2026-08-07","Safe D",3
"NJ","RealClearPolitics","2026-08-14","Solid D",3
"NJ","Decision Desk HQ","2026-08-05","Safe D",3
"NJ","Fox News","2026-08-18","Solid D",3
"NJ","VoteHub","2026-08-06","Solid D",3
"NJ","FiftyPlusOne","2026-08-11","Safe D",3
"NJ","Split Ticket","2026-08-11","Safe D",3
"NJ","Silver Bulletin","2026-08-21","Solid D",3
"NM","Cook","2026-08-20","Solid D",3
"NM","Inside Elections","2026-08-06","Solid D",3
"NM","Sabato","2026-08-19","Safe D",3
"NM","Race to the WH","2026-08-22","Safe D",3
"NM","The Economist","2026-08-07","Likely D",2
"NM","RealClearPolitics","2026-08-14","Solid D",3
"NM","Decision Desk HQ","2026-08-05","Safe D",3
"NM","Fox News","2026-08-18","Solid D",3
"NM","VoteHub","2026-08-06","Solid D",3
"NM","FiftyPlusOne","2026-08-11","Safe D",3
"NM","Split Ticket","2026-08-11","Safe D",3
"NM","Silver Bulletin","2026-08-21","Solid D",3
"OH","Cook","2026-08-20","Toss-up",0
"OH","Inside Elections","2026-08-06","Tilt R",-0.5
"OH","Sabato","2026-08-19","Toss-up",0
"OH","Race to the WH","2026-08-22","Tilt D",0.5
"OH","The Economist","2026-08-07","Toss-up",0
"OH","RealClearPolitics","2026-08-14","Toss-up",0
"OH","Decision Desk HQ","2026-08-05","Toss-up",0
"OH","Fox News","2026-08-18","Toss-up",0
"OH","VoteHub","2026-08-06","Toss-up",0
"OH","FiftyPlusOne","2026-08-11","Toss-up",0
"OH","Split Ticket","2026-08-11","Lean D",1
"OH","Silver Bulletin","2026-08-21","Lean D",1
"OK","Cook","2026-08-20","Solid R",-3
"OK","Inside Elections","2026-08-06","Solid R",-3
"OK","Sabato","2026-08-19","Safe R",-3
"OK","Race to the WH","2026-08-22","Safe R",-3
"OK","The Economist","2026-08-07","Safe R",-3
"OK","RealClearPolitics","2026-08-14","Solid R",-3
"OK","Decision Desk HQ","2026-08-05","Safe R",-3
"OK","Fox News","2026-08-18","Solid R",-3
"OK","VoteHub","2026-08-06","Solid R",-3
"OK","FiftyPlusOne","2026-08-11","Safe R",-3
"OK","Split Ticket","2026-08-11","Safe R",-3
"OK","Silver Bulletin","2026-08-21","Solid R",-3
"OR","Cook","2026-08-20","Solid D",3
"OR","Inside Elections","2026-08-06","Solid D",3
"OR","Sabato","2026-08-19","Safe D",3
"OR","Race to the WH","2026-08-22","Safe D",3
"OR","The Economist","2026-08-07","Safe D",3
"OR","RealClearPolitics","2026-08-14","Solid D",3
"OR","Decision Desk HQ","2026-08-05","Safe D",3
"OR","Fox News","2026-08-18","Solid D",3
"OR","VoteHub","2026-08-06","Solid D",3
"OR","FiftyPlusOne","2026-08-11","Safe D",3
"OR","Split Ticket","2026-08-11","Safe D",3
"OR","Silver Bulletin","2026-08-21","Solid D",3
"RI","Cook","2026-08-20","Solid D",3
"RI","Inside Elections","2026-08-06","Solid D",3
"RI","Sabato","2026-08-19","Safe D",3
"RI","Race to the WH","2026-08-22","Safe D",3
"RI","The Economist","2026-08-07","Safe D",3
"RI","RealClearPolitics","2026-08-14","Solid D",3
"RI","Decision Desk HQ","2026-08-05","Safe D",3
"RI","Fox News","2026-08-18","Solid D",3
"RI","VoteHub","2026-08-06","Solid D",3
"RI","FiftyPlusOne","2026-08-11","Safe D",3
"RI","Split Ticket","2026-08-11","Safe D",3
"RI","Silver Bulletin","2026-08-21","Solid D",3
"SC","Cook","2026-08-20","Solid R",-3
"SC","Inside Elections","2026-08-06","Likely R",-2
"SC","Sabato","2026-08-19","Safe R",-3
"SC","Race to the WH","2026-08-22","Likely R",-2
"SC","The Economist","2026-08-07","Lean R",-1
"SC","RealClearPolitics","2026-08-14","Likely R",-2
"SC","Decision Desk HQ","2026-08-05","Likely R",-2
"SC","Fox News","2026-08-18","Solid R",-3
"SC","VoteHub","2026-08-06","Likely R",-2
"SC","FiftyPlusOne","2026-08-11","Likely R",-2
"SC","Split Ticket","2026-08-11","Likely R",-2
"SC","Silver Bulletin","2026-08-21","Likely R",-2
"SD","Cook","2026-08-20","Solid R",-3
"SD","Inside Elections","2026-08-06","Solid R",-3
"SD","Sabato","2026-08-19","Safe R",-3
"SD","Race to the WH","2026-08-22","Safe R",-3
"SD","The Economist","2026-08-07","Safe R",-3
"SD","RealClearPolitics","2026-08-14","Solid R",-3
"SD","Decision Desk HQ","2026-08-05","Safe R",-3
"SD","Fox News","2026-08-18","Solid R",-3
"SD","VoteHub","2026-08-06","Solid R",-3
"SD","FiftyPlusOne","2026-08-11","Safe R",-3
"SD","Split Ticket","2026-08-11","Safe R",-3
"SD","Silver Bulletin","2026-08-21","Solid R",-3
"TN","Cook","2026-08-20","Solid R",-3
"TN","Inside Elections","2026-08-06","Solid R",-3
"TN","Sabato","2026-08-19","Safe R",-3
"TN","Race to the WH","2026-08-22","Safe R",-3
"TN","The Economist","2026-08-07","Safe R",-3
"TN","RealClearPolitics","2026-08-14","Solid R",-3
"TN","Decision Desk HQ","2026-08-05","Safe R",-3
"TN","Fox News","2026-08-18","Solid R",-3
"TN","VoteHub","2026-08-06","Solid R",-3
"TN","FiftyPlusOne","2026-08-11","Safe R",-3
"TN","Split Ticket","2026-08-11","Safe R",-3
"TN","Silver Bulletin","2026-08-21","Solid R",-3
"TX","Cook","2026-08-20","Toss-up",0
"TX","Inside Elections","2026-08-06","Lean R",-1
"TX","Sabato","2026-08-19","Lean R",-1
"TX","Race to the WH","2026-08-22","Tilt D",0.5
"TX","The Economist","2026-08-07","Toss-up",0
"TX","RealClearPolitics","2026-08-14","Toss-up",0
"TX","Decision Desk HQ","2026-08-05","Toss-up",0
"TX","Fox News","2026-08-18","Toss-up",0
"TX","VoteHub","2026-08-06","Toss-up",0
"TX","FiftyPlusOne","2026-08-11","Toss-up",0
"TX","Split Ticket","2026-08-11","Toss-up",0
"TX","Silver Bulletin","2026-08-21","Lean D",1
"VA","Cook","2026-08-20","Solid D",3
"VA","Inside Elections","2026-08-06","Solid D",3
"VA","Sabato","2026-08-19","Safe D",3
"VA","Race to the WH","2026-08-22","Safe D",3
"VA","The Economist","2026-08-07","Safe D",3
"VA","RealClearPolitics","2026-08-14","Solid D",3
"VA","Decision Desk HQ","2026-08-05","Safe D",3
"VA","Fox News","2026-08-18","Solid D",3
"VA","VoteHub","2026-08-06","Solid D",3
"VA","FiftyPlusOne","2026-08-11","Safe D",3
"VA","Split Ticket","2026-08-11","Safe D",3
"VA","Silver Bulletin","2026-08-21","Solid D",3
"WV","Cook","2026-08-20","Solid R",-3
"WV","Inside Elections","2026-08-06","Solid R",-3
"WV","Sabato","2026-08-19","Safe R",-3
"WV","Race to the WH","2026-08-22","Safe R",-3
"WV","The Economist","2026-08-07","Safe R",-3
"WV","RealClearPolitics","2026-08-14","Solid R",-3
"WV","Decision Desk HQ","2026-08-05","Safe R",-3
"WV","Fox News","2026-08-18","Solid R",-3
"WV","VoteHub","2026-08-06","Solid R",-3
"WV","FiftyPlusOne","2026-08-11","Safe R",-3
"WV","Split Ticket","2026-08-11","Safe R",-3
"WV","Silver Bulletin","2026-08-21","Solid R",-3
"WY","Cook","2026-08-20","Solid R",-3
"WY","Inside Elections","2026-08-06","Solid R",-3
"WY","Sabato","2026-08-19","Safe R",-3
"WY","Race to the WH","2026-08-22","Safe R",-3
"WY","The Economist","2026-08-07","Safe R",-3
"WY","RealClearPolitics","2026-08-14","Solid R",-3
"WY","Decision Desk HQ","2026-08-05","Safe R",-3
"WY","Fox News","2026-08-18","Solid R",-3
"WY","VoteHub","2026-08-06","Solid R",-3
"WY","FiftyPlusOne","2026-08-11","Safe R",-3
"WY","Split Ticket","2026-08-11","Safe R",-3
"WY","Silver Bulletin","2026-08-21","Solid R",-3
