"fips","county","state","pop","white","black","api","aian","twoplus","hispanic"
"01099","Monroe County","Alabama",19057,0.534659,0.408196,0.00697906,0.0143254,0.0200451,0.0157947
"01101","Montgomery County","Alabama",225894,0.287285,0.603947,0.0390891,0.00199651,0.0145511,0.0531311
"01103","Morgan County","Alabama",126084,0.720528,0.127098,0.00778053,0.00797088,0.0232623,0.113361
"01105","Perry County","Alabama",7719,0.27944,0.686488,0.00660707,0.00297966,0.00971628,0.0147688
"01107","Pickens County","Alabama",18508,0.526205,0.385725,0.00351199,0.00307975,0.0129674,0.0685109
"01109","Pike County","Alabama",33124,0.546733,0.376555,0.0235781,0.00630962,0.0179024,0.0289216
"01111","Randolph County","Alabama",23067,0.760654,0.177223,0.00710972,0.00459531,0.0179911,0.0324273
"01113","Russell County","Alabama",58837,0.439621,0.454578,0.00853205,0.00431701,0.0269728,0.0659789
"01117","Shelby County","Alabama",235969,0.730943,0.146265,0.0255796,0.00260627,0.0152096,0.079396
"01115","St. Clair County","Alabama",96927,0.824301,0.114179,0.0092647,0.0031467,0.0169715,0.0321376
"01119","Sumter County","Alabama",11607,0.264065,0.690704,0.0168002,0.00180925,0.0120617,0.0145602
"01121","Talladega County","Alabama",81375,0.619318,0.324154,0.00720123,0.00330568,0.0200184,0.0260031
"01123","Tallapoosa County","Alabama",40699,0.682105,0.264134,0.0057741,0.00341532,0.0132436,0.0313276
"01125","Tuscaloosa County","Alabama",241212,0.58585,0.321862,0.0193481,0.00195264,0.0128227,0.0581646
"01127","Walker County","Alabama",65260,0.868342,0.0621667,0.00520993,0.00409133,0.0171621,0.0430279
"01129","Washington County","Alabama",15018,0.656812,0.22493,0.00965508,0.0761753,0.0198429,0.0125849
"01131","Wilcox County","Alabama",9865,0.27704,0.689002,0.00253421,0.00283832,0.0146984,0.0138875
"01133","Winston County","Alabama",23869,0.916922,0.0126105,0.00444091,0.00708031,0.0169676,0.0419791
"02013","Aleutians East Borough","Alaska",3632,0.110683,0.0881057,0.437225,0.121145,0.0429515,0.19989
"02016","Aleutians West Census Area","Alaska",5424,0.257375,0.0840708,0.412426,0.0671091,0.0400074,0.139012
"02020","Anchorage Municipality","Alaska",289600,0.543646,0.0507528,0.138539,0.0879834,0.0801347,0.0989434
"02050","Bethel Census Area","Alaska",18237,0.0788507,0.0103635,0.0138729,0.837528,0.0427154,0.0166694
"02060","Bristol Bay Borough","Alaska",884,0.410633,0.010181,0.0282805,0.263575,0.204751,0.0825792
"02063","Chugach Census Area","Alaska",6604,0.663234,0.0215021,0.0775288,0.106753,0.0667777,0.0642035
"02066","Copper River Census Area","Alaska",2631,0.648043,0.0121627,0.0330673,0.185861,0.0889396,0.031927
"02068","Denali Borough","Alaska",1621,0.728563,0.0481184,0.0623072,0.0678593,0.0555213,0.0376311
"02070","Dillingham Census Area","Alaska",4642,0.149289,0.00775528,0.0116329,0.703791,0.0833692,0.044162
"02090","Fairbanks North Star Borough","Alaska",94951,0.676633,0.0458026,0.0405894,0.0773241,0.0675822,0.0920685
"02100","Haines Borough","Alaska",2104,0.748099,0.00855513,0.023289,0.0879278,0.09173,0.0403992
"02105","Hoonah-Angoon Census Area","Alaska",2312,0.460208,0.0229239,0.0151384,0.33737,0.0968858,0.067474
"02110","Juneau City and Borough","Alaska",31572,0.62755,0.0131446,0.0880527,0.108165,0.0891296,0.0739579
"02122","Kenai Peninsula Borough","Alaska",61259,0.786791,0.00822736,0.0214662,0.0775233,0.0587342,0.0472584
"02130","Ketchikan Gateway Borough","Alaska",13677,0.613804,0.0104555,0.0969511,0.130292,0.0897127,0.0587848
"02150","Kodiak Island Borough","Alaska",12654,0.463727,0.0121701,0.255018,0.108424,0.0714399,0.0892208
"02158","Kusilvak Census Area","Alaska",7946,0.0255474,0.00390133,0.00654417,0.926881,0.030959,0.00616662
"02164","Lake and Peninsula Borough","Alaska",1315,0.225856,0.0121673,0.0357414,0.565019,0.126996,0.0342205
"02170","Matanuska-Susitna Borough","Alaska",117613,0.767551,0.0129578,0.0221744,0.0646357,0.0747196,0.0579613
"02180","Nome Census Area","Alaska",9836,0.127898,0.0113867,0.0219601,0.742782,0.0717771,0.0241968
"02185","North Slope Borough","Alaska",10663,0.315015,0.0195067,0.0717434,0.487761,0.0509238,0.0550502
"02188","Northwest Arctic Borough","Alaska",7134,0.0850855,0.0120549,0.0138772,0.798991,0.0627979,0.0271937
"02195","Petersburg Borough","Alaska",3436,0.675204,0.0212456,0.0826542,0.0977881,0.0672293,0.0558789
"02198","Prince of Wales-Hyder Census Area","Alaska",5746,0.439958,0.00852767,0.020536,0.396624,0.0911939,0.0431605
"02220","Sitka City and Borough","Alaska",8355,0.605027,0.0134051,0.0888091,0.136326,0.0852184,0.0712148
"02230","Skagway Municipality","Alaska",1119,0.758713,0.0223414,0.0384272,0.051832,0.0536193,0.075067
"02240","Southeast Fairbanks Census Area","Alaska",7313,0.726378,0.0207849,0.0373308,0.103241,0.0481335,0.0641324
"02275","Wrangell City and Borough","Alaska",2064,0.605136,0.0125969,0.0397287,0.160368,0.133721,0.0484496
"02282","Yakutat City and Borough","Alaska",690,0.369565,0.0289855,0.0695652,0.331884,0.136232,0.0637681
"02290","Yukon-Koyukuk Census Area","Alaska",5099,0.214944,0.00941361,0.0286331,0.658364,0.0625613,0.0260835
"04001","Apache County","Arizona",64800,0.194198,0.00699074,0.00884259,0.705787,0.0153395,0.0688426
"04003","Cochise County","Arizona",125773,0.548623,0.0370668,0.0239797,0.00845173,0.0263173,0.355561
"04005","Coconino County","Arizona",145161,0.529281,0.0127031,0.0231605,0.249743,0.0261158,0.158996
"04007","Gila County","Arizona",54073,0.619163,0.00676863,0.00898785,0.16609,0.0132044,0.185786
"04009","Graham County","Arizona",40242,0.527558,0.0159038,0.0076537,0.114408,0.0129715,0.321505
"04011","Greenlee County","Arizona",9410,0.439107,0.0198725,0.0155154,0.0376196,0.0165781,0.471307
"04012","La Paz County","Arizona",16992,0.569444,0.0104167,0.0190678,0.112288,0.0264242,0.262359
"04013","Maricopa County","Arizona",4673096,0.520824,0.0623614,0.0547834,0.0171077,0.0257827,0.319141
"04015","Mohave County","Arizona",226479,0.748127,0.0137894,0.0162002,0.0200813,0.0207127,0.18109
"04017","Navajo County","Arizona",109516,0.434713,0.00886628,0.0090763,0.414533,0.0187461,0.114066
"04019","Pima County","Arizona",1080149,0.505559,0.0391566,0.0377902,0.0246198,0.0224451,0.370429
"04021","Pinal County","Arizona",513862,0.544329,0.0600667,0.0238332,0.0384656,0.024853,0.308452
"04023","Santa Cruz County","Arizona",50508,0.155203,0.00619704,0.00758296,0.00382118,0.00536549,0.82183
"04025","Yavapai County","Arizona",252013,0.780698,0.00849559,0.0151699,0.0139755,0.0193046,0.162357
"04027","Yuma County","Arizona",220310,0.28528,0.0181608,0.0136263,0.00968181,0.012378,0.660873
"05001","Arkansas County","Arkansas",16050,0.670343,0.251526,0.00922118,0.00342679,0.0199377,0.0455452
"05003","Ashley County","Arkansas",17984,0.671986,0.237489,0.00278025,0.00455961,0.0162923,0.0668928
"05005","Baxter County","Arkansas",43007,0.930616,0.00588276,0.00753366,0.00788244,0.0159974,0.0320878
"05007","Benton County","Arkansas",321566,0.689156,0.0208262,0.0598042,0.0133907,0.0254815,0.191342
"05009","Boone County","Arkansas",38636,0.924009,0.00546123,0.00748007,0.0083342,0.0198002,0.0349156
"05011","Bradley County","Arkansas",9935,0.533971,0.276699,0.00473075,0.00372421,0.0149975,0.165878
"05013","Calhoun County","Arkansas",4690,0.729638,0.203625,0.00341151,0.00490405,0.0268657,0.0315565
"05015","Carroll County","Arkansas",28968,0.754867,0.00783623,0.0436344,0.0100801,0.0227838,0.160798
"05017","Chicot County","Arkansas",9272,0.391178,0.517148,0.00808887,0.00280414,0.013805,0.0669758
"05019","Clark County","Arkansas",20920,0.676052,0.226291,0.0119503,0.00525813,0.0188337,0.0616157
"05021","Clay County","Arkansas",14112,0.935941,0.00921202,0.00283447,0.00588152,0.0203373,0.0257937
"05023","Cleburne County","Arkansas",25646,0.93071,0.00674569,0.00483506,0.00705763,0.0198082,0.030843
"05025","Cleveland County","Arkansas",7367,0.832632,0.105742,0.0105878,0.00515814,0.017782,0.0280983
"05027","Columbia County","Arkansas",22024,0.582274,0.351117,0.010534,0.0044951,0.0156193,0.0359608
"05029","Conway County","Arkansas",21422,0.795817,0.111287,0.00798245,0.00863598,0.0241807,0.052096
"05031","Craighead County","Arkansas",115852,0.710346,0.185573,0.0140783,0.00309878,0.0208024,0.0661016
"05033","Crawford County","Arkansas",62258,0.8109,0.0183109,0.0185036,0.024286,0.032542,0.0954576
"05035","Crittenden County","Arkansas",46633,0.379409,0.558167,0.00735531,0.00310939,0.015504,0.0364549
"05037","Cross County","Arkansas",16194,0.720267,0.226257,0.0096332,0.00382858,0.0152526,0.0247623
"05039","Dallas County","Arkansas",6076,0.51975,0.398288,0.00658328,0.00674786,0.0230415,0.0455892
"05041","Desha County","Arkansas",10321,0.425056,0.466815,0.0109486,0.00406937,0.0150179,0.0780932
"05043","Drew County","Arkansas",16935,0.647239,0.26897,0.00903454,0.00436965,0.01677,0.0536168
"05045","Faulkner County","Arkansas",131611,0.77084,0.125787,0.0136387,0.00521233,0.0241773,0.0603445
"05047","Franklin County","Arkansas",17586,0.902764,0.00966678,0.0150119,0.0161492,0.0201296,0.0362789
"05049","Fulton County","Arkansas",12546,0.928105,0.0105213,0.00446357,0.00908656,0.023912,0.023912
"05051","Garland County","Arkansas",99902,0.79619,0.0832916,0.00980961,0.0060159,0.0243639,0.0803287
"05053","Grant County","Arkansas",18546,0.90812,0.0326216,0.00652432,0.00425968,0.0161221,0.032352
"05055","Greene County","Arkansas",46928,0.904258,0.025358,0.0108464,0.00479458,0.0155344,0.039209
"05057","Hempstead County","Arkansas",19105,0.512431,0.291651,0.00607171,0.00591468,0.025072,0.158859
"05059","Hot Spring County","Arkansas",33313,0.811575,0.110407,0.00576352,0.00588359,0.0223036,0.0440669
"05061","Howard County","Arkansas",12387,0.629127,0.20021,0.00984904,0.0103334,0.0190522,0.131428
"05063","Independence County","Arkansas",38345,0.851428,0.0230017,0.0100926,0.00513757,0.0197157,0.0906246
"05065","Izard County","Arkansas",14291,0.911273,0.0295291,0.00482821,0.00727731,0.0140648,0.0330278
"05067","Jackson County","Arkansas",16673,0.752654,0.176993,0.00755713,0.00791699,0.0190728,0.0358064
"05069","Jefferson County","Arkansas",63672,0.369142,0.571193,0.0114022,0.00391067,0.0139936,0.0303587
"05071","Johnson County","Arkansas",26172,0.767423,0.0168501,0.0405395,0.00932294,0.0226196,0.143245
"05073","Lafayette County","Arkansas",6015,0.585869,0.339318,0.0081463,0.00532003,0.0179551,0.0433915
"05075","Lawrence County","Arkansas",16305,0.931432,0.0145354,0.00429316,0.00631708,0.0183379,0.0250843
"05077","Lee County","Arkansas",8104,0.400543,0.537636,0.00703356,0.00616979,0.0148075,0.0338105
"05079","Lincoln County","Arkansas",12868,0.618589,0.302844,0.00567299,0.00435188,0.014843,0.0536991
"05081","Little River County","Arkansas",11626,0.716498,0.188457,0.00653707,0.0156546,0.0267504,0.0461036
"05083","Logan County","Arkansas",21457,0.896724,0.0137018,0.0209722,0.0110453,0.0187351,0.0388218
"05085","Lonoke County","Arkansas",76389,0.833104,0.0673134,0.0113629,0.0061789,0.0238516,0.058189
"05087","Madison County","Arkansas",17865,0.866275,0.00593339,0.0202631,0.0144976,0.0191436,0.0738875
"05089","Marion County","Arkansas",17593,0.926846,0.00699142,0.00767351,0.00909453,0.0198374,0.0295572
"05091","Miller County","Arkansas",41958,0.657824,0.26057,0.00643501,0.00743601,0.0217837,0.0459507
"05093","Mississippi County","Arkansas",38095,0.569524,0.352933,0.00614254,0.00307127,0.0160914,0.0522378
"05095","Monroe County","Arkansas",6415,0.523461,0.403429,0.008106,0.00592362,0.0277475,0.0313328
"05097","Montgomery County","Arkansas",8510,0.886604,0.00834313,0.0145711,0.0137485,0.0227967,0.0539365
"05099","Nevada County","Arkansas",8004,0.622189,0.295352,0.00549725,0.0029985,0.0208646,0.0530985
"05101","Newton County","Arkansas",7026,0.92969,0.00555081,0.00540848,0.0146598,0.0283234,0.0163678
"05103","Ouachita County","Arkansas",21684,0.537216,0.401171,0.00484228,0.00401217,0.0245803,0.0281775
"05105","Perry County","Arkansas",10251,0.901961,0.0238026,0.00351185,0.00858453,0.0222417,0.0398985
"05107","Phillips County","Arkansas",14661,0.332788,0.610872,0.0124821,0.00381966,0.0149376,0.0251006
"05109","Pike County","Arkansas",10027,0.847412,0.0361025,0.00738007,0.00857684,0.0210432,0.0794854
"05111","Poinsett County","Arkansas",22300,0.840987,0.0871749,0.00381166,0.00381166,0.0246637,0.0395516
"05113","Polk County","Arkansas",19434,0.865133,0.00694659,0.0104456,0.0197077,0.0251106,0.0726562
"05115","Pope County","Arkansas",64829,0.807771,0.0318222,0.0130343,0.00715729,0.0216724,0.118543
"05117","Prairie County","Arkansas",7935,0.847133,0.101827,0.00189036,0.00441084,0.0155009,0.0292376
"05119","Pulaski County","Arkansas",401209,0.485091,0.379299,0.0253235,0.00287381,0.0219362,0.0854766
"05121","Randolph County","Arkansas",19040,0.88855,0.0139181,0.0392857,0.00672269,0.0233193,0.0282038
"05125","Saline County","Arkansas",131252,0.782594,0.103061,0.0144379,0.00447993,0.0175388,0.0778883
"05127","Scott County","Arkansas",9837,0.828098,0.0114872,0.0286673,0.021348,0.027854,0.0825455
"05129","Searcy County","Arkansas",7836,0.926365,0.00829505,0.00446656,0.0140378,0.0246299,0.0222052
"05131","Sebastian County","Arkansas",130035,0.663475,0.0656516,0.0464644,0.0205176,0.0360441,0.167847
"05133","Sevier County","Arkansas",15735,0.530219,0.0369241,0.0244677,0.0214172,0.0243406,0.362631
"05135","Sharp County","Arkansas",18130,0.920629,0.013348,0.00672918,0.0102592,0.0210149,0.0280199
"05123","St. Francis County","Arkansas",21822,0.394327,0.532673,0.00650719,0.00600312,0.0166346,0.0438548
"05137","Stone County","Arkansas",12785,0.933516,0.00696128,0.00555338,0.0100117,0.0188502,0.0251075
"05139","Union County","Arkansas",37008,0.59398,0.326659,0.00894401,0.00343169,0.0164019,0.0505837
"05141","Van Buren County","Arkansas",16152,0.918772,0.00792472,0.00693413,0.0089153,0.02105,0.0364042
"05143","Washington County","Arkansas",266184,0.675168,0.037429,0.0576368,0.011075,0.0271654,0.191525
"05145","White County","Arkansas",79091,0.863904,0.0464022,0.0084839,0.00590459,0.0221896,0.053116
"05147","Woodruff County","Arkansas",5808,0.699036,0.24053,0.00447658,0.00378788,0.02927,0.0228994
"05149","Yell County","Arkansas",20134,0.722807,0.0183769,0.0162909,0.00809576,0.0149995,0.21943
"06001","Alameda County","California",1649060,0.270657,0.0938686,0.354763,0.00235164,0.042842,0.235517
"06003","Alpine County","California",1099,0.618744,0.010919,0.0209281,0.181984,0.0363967,0.131028
"06005","Amador County","California",42026,0.738971,0.0283396,0.01994,0.0135154,0.0286013,0.170632
"06007","Butte County","California",208334,0.656268,0.0181055,0.0591358,0.0150624,0.0418943,0.209534
"06009","Calaveras County","California",46505,0.762993,0.00931083,0.0229223,0.0119987,0.0360606,0.156714
"06011","Colusa County","California",22074,0.301984,0.00996648,0.017396,0.0137266,0.0151309,0.641796
"06013","Contra Costa County","California",1172607,0.376488,0.0833536,0.211141,0.00259848,0.0440565,0.282362
"06015","Del Norte County","California",27009,0.607538,0.0312859,0.0320264,0.0748639,0.0427635,0.211522
"06017","El Dorado County","California",192823,0.738755,0.0093661,0.0579028,0.00725017,0.035919,0.150807
"06019","Fresno County","California",1024125,0.257559,0.0461086,0.116573,0.00557061,0.0207846,0.553404
"06021","Glenn County","California",28304,0.4605,0.00784341,0.0263567,0.0168881,0.0217637,0.466648
"06023","Humboldt County","California",132380,0.705907,0.0124566,0.0323992,0.0510802,0.0517752,0.146382
"06025","Imperial County","California",181724,0.0862187,0.0220664,0.0129592,0.00678501,0.00561841,0.866352
"06027","Inyo County","California",18485,0.583987,0.00968353,0.0194212,0.109656,0.0272113,0.250041
"06029","Kern County","California",922529,0.292376,0.0500104,0.0538986,0.00550335,0.0201067,0.578105
"06031","Kings County","California",154913,0.272191,0.060137,0.0401709,0.00854673,0.0232453,0.595709
"06033","Lake County","California",67764,0.638746,0.0180184,0.016587,0.0258397,0.0366714,0.264137
"06035","Lassen County","California",28340,0.627558,0.0614679,0.0254058,0.0266408,0.0355328,0.223394
"06037","Los Angeles County","California",9757179,0.24954,0.0779436,0.159014,0.00187216,0.0239596,0.48767
"06039","Madera County","California",165432,0.295022,0.0295771,0.0288396,0.00978045,0.0169556,0.619826
"06041","Marin County","California",256400,0.663136,0.0253783,0.070468,0.00187207,0.0351755,0.20397
"06043","Mariposa County","California",17048,0.745542,0.013198,0.0214688,0.0236978,0.0334937,0.1626
"06045","Mendocino County","California",89175,0.609408,0.00761424,0.0251752,0.0378918,0.0291449,0.290765
"06047","Merced County","California",296774,0.224666,0.0285166,0.0777258,0.00389522,0.0191425,0.646054
"06049","Modoc County","California",8491,0.736073,0.0113061,0.014957,0.0327405,0.037687,0.167236
"06051","Mono County","California",12991,0.64283,0.00885228,0.0236317,0.0181664,0.0232469,0.283273
"06053","Monterey County","California",436251,0.26366,0.0218154,0.0606852,0.0026636,0.0225856,0.62859
"06055","Napa County","California",132727,0.484144,0.0197774,0.0947057,0.00354864,0.0253528,0.372471
"06057","Nevada County","California",102195,0.824258,0.00651695,0.0186017,0.0076129,0.0297373,0.113274
"06059","Orange County","California",3170435,0.366872,0.0174162,0.240511,0.00189564,0.0303132,0.342992
"06061","Placer County","California",433822,0.659794,0.0210709,0.106959,0.00517263,0.0440711,0.162933
"06063","Plumas County","California",18834,0.817511,0.00976957,0.0116279,0.0206541,0.0344059,0.106032
"06065","Riverside County","California",2529933,0.30239,0.063642,0.07921,0.00449459,0.0254995,0.524764
"06067","Sacramento County","California",1611231,0.40171,0.0941491,0.198562,0.00459711,0.0551522,0.245829
"06069","San Benito County","California",69159,0.277361,0.0129412,0.0528348,0.00348472,0.0192744,0.634104
"06071","San Bernardino County","California",2214281,0.237383,0.0794578,0.092397,0.00365762,0.0227663,0.564338
"06073","San Diego County","California",3298799,0.424116,0.0463681,0.135091,0.00406663,0.0378889,0.352469
"06075","San Francisco County","California",827526,0.370289,0.0499598,0.369765,0.00206519,0.0400809,0.16784
"06077","San Joaquin County","California",816108,0.257282,0.0691367,0.203404,0.00407544,0.0360393,0.430062
"06079","San Luis Obispo County","California",281843,0.652761,0.0140894,0.0420837,0.00455218,0.028122,0.258392
"06081","San Mateo County","California",742893,0.345786,0.0214674,0.342598,0.00139993,0.0388468,0.249901
"06083","Santa Barbara County","California",444500,0.402711,0.016243,0.0589786,0.00392351,0.0251699,0.492974
"06085","Santa Clara County","California",1926325,0.264874,0.0236938,0.42953,0.00195917,0.0322183,0.247724
"06087","Santa Cruz County","California",262406,0.545365,0.0101217,0.0526512,0.00394427,0.0324459,0.355472
"06089","Shasta County","California",181121,0.758902,0.0117932,0.0387034,0.0225043,0.0416075,0.12649
"06091","Sierra County","California",3113,0.813685,0.00353357,0.00995824,0.0218439,0.0279473,0.123032
"06093","Siskiyou County","California",42498,0.735188,0.0125418,0.0221893,0.0394136,0.0482611,0.142407
"06095","Solano County","California",455101,0.324862,0.128563,0.178242,0.0039266,0.0553591,0.309048
"06097","Sonoma County","California",485375,0.581596,0.0170672,0.0529632,0.00665671,0.0315694,0.310148
"06099","Stanislaus County","California",556972,0.351976,0.0276531,0.0702639,0.00473453,0.0298758,0.515496
"06101","Sutter County","California",98545,0.402395,0.0206099,0.190735,0.00858491,0.0390989,0.338576
"06103","Tehama County","California",64451,0.619773,0.00861119,0.0155622,0.0176568,0.0305659,0.307831
"06105","Trinity County","California",15642,0.805588,0.00677663,0.0294719,0.0402122,0.0504411,0.0675105
"06107","Tulare County","California",483546,0.251083,0.0139801,0.0362447,0.00669016,0.0147763,0.677226
"06109","Tuolumne County","California",53893,0.776557,0.017609,0.0171265,0.0152896,0.0291318,0.144286
"06111","Ventura County","California",835427,0.416966,0.0182422,0.0818168,0.00284525,0.0267995,0.45333
"06113","Yolo County","California",225251,0.415687,0.0273739,0.171187,0.00455936,0.0476002,0.333592
"06115","Yuba County","California",87469,0.473916,0.0452846,0.0913009,0.0130789,0.0514811,0.324938
"08001","Adams County","Colorado",542973,0.446282,0.038838,0.0486028,0.00554908,0.0237544,0.436974
"08003","Alamosa County","Colorado",16689,0.452094,0.0136018,0.0109054,0.0144406,0.0192342,0.489724
"08005","Arapahoe County","Colorado",666918,0.54694,0.112449,0.0724662,0.00407546,0.0356266,0.228443
"08007","Archuleta County","Colorado",14112,0.774306,0.00722789,0.00836168,0.0165108,0.0202664,0.173328
"08009","Baca County","Colorado",3367,0.825661,0.010692,0.00504901,0.018414,0.029997,0.110187
"08011","Bent County","Colorado",5779,0.560997,0.0693892,0.0143623,0.0143623,0.0122859,0.328604
"08013","Boulder County","Colorado",330262,0.753759,0.0111548,0.055998,0.00396655,0.0252497,0.149872
"08014","Broomfield County","Colorado",78323,0.728036,0.0158957,0.0795424,0.00417502,0.0243479,0.148003
"08015","Chaffee County","Colorado",20780,0.847594,0.0172281,0.00991338,0.0103465,0.0144851,0.100433
"08017","Cheyenne County","Colorado",1712,0.810164,0.0140187,0.021028,0.0110981,0.0186916,0.125
"08019","Clear Creek County","Colorado",9076,0.863156,0.0110181,0.0125606,0.00848391,0.0221463,0.0826355
"08021","Conejos County","Colorado",7549,0.464432,0.00834548,0.00675586,0.0100676,0.0148364,0.495562
"08023","Costilla County","Colorado",3686,0.386327,0.0255019,0.0165491,0.0208899,0.0189908,0.531742
"08025","Crowley County","Colorado",5600,0.549821,0.106429,0.0135714,0.0176786,0.0141071,0.298393
"08027","Custer County","Colorado",5553,0.904376,0.00936431,0.00432199,0.00864398,0.0187286,0.0545651
"08029","Delta County","Colorado",32215,0.808288,0.00611516,0.0102126,0.00744995,0.0167934,0.151141
"08031","Denver County","Colorado",729019,0.545894,0.0923145,0.0467121,0.00488327,0.0276248,0.282572
"08033","Dolores County","Colorado",2467,0.837454,0.0178354,0.00648561,0.0283745,0.0247264,0.0851236
"08035","Douglas County","Colorado",393995,0.772599,0.0189317,0.0712979,0.00312441,0.0268227,0.107225
"08037","Eagle County","Colorado",54330,0.647911,0.0101969,0.0152218,0.00340512,0.0140806,0.309185
"08041","El Paso County","Colorado",752772,0.658194,0.0613864,0.0366804,0.00585171,0.0423063,0.195581
"08039","Elbert County","Colorado",29382,0.841502,0.0136818,0.0126948,0.00663672,0.0211694,0.104316
