"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"TX","10","TX-10",36.85,61.63,37.42,"republican","Michael T. Mccaul","republican"
"TX","11","TX-11",26.82,72.24,27.07,"republican","August Pfluger","republican"
"TX","12","TX-12",38.1,60.68,38.57,"republican","Craig Goldman","republican"
"TX","13","TX-13",25.59,73.34,25.87,"republican","Ronny Jackson","republican"
"TX","14","TX-14",32.47,66.48,32.81,"republican","Randy K. Weber, Sr.","republican"
"TX","15","TX-15",40.66,58.5,41,"republican","Monica De La Cruz","republican"
"TX","16","TX-16",57.24,41.27,58.11,"democrat","Veronica Escobar","democrat"
"TX","17","TX-17",34.82,64.02,35.23,"republican","Pete Sessions","republican"
"TX","18","TX-18",69.13,29.36,70.19,"democrat","Sylvester Turner","democrat"
"TX","19","TX-19",23.69,75.36,23.92,"republican","Jodey C. Arrington","republican"
"TX","20","TX-20",59.91,38.68,60.77,"democrat","Joaquin Castro","democrat"
"TX","21","TX-21",37.53,61.15,38.03,"republican","Chip Roy","republican"
"TX","22","TX-22",39.18,58.66,40.04,"republican","Troy E. Nehls","republican"
"TX","23","TX-23",41.66,57.18,42.15,"republican","Tony Gonzales","republican"
"TX","24","TX-24",41.3,56.77,42.11,"republican","Beth Van Duyne","republican"
"TX","25","TX-25",31.24,67.54,31.63,"republican","Roger Williams","republican"
"TX","26","TX-26",37.58,60.99,38.13,"republican","Brandon Gill","republican"
"TX","27","TX-27",34.71,64.35,35.04,"republican","Michael Cloud","republican"
"TX","28","TX-28",45.82,53.13,46.31,"republican","Henry Cuellar","democrat"
"TX","29","TX-29",59.58,39.19,60.32,"democrat","Sylvia R. Garcia","democrat"
"TX","30","TX-30",72.57,25.77,73.79,"democrat","Jasmine Crockett","democrat"
"TX","31","TX-31",37.65,60.89,38.21,"republican","John R. Carter","republican"
"TX","32","TX-32",60.34,36.71,62.17,"democrat","Julie Johnson","democrat"
"TX","33","TX-33",65.56,31.88,67.28,"democrat","Marc A. Veasey","democrat"
"TX","34","TX-34",47.37,51.8,47.77,"republican","Vicente Gonzalez","democrat"
"TX","35","TX-35",65.84,32.25,67.12,"democrat","Greg Casar","democrat"
"TX","36","TX-36",31.05,67.83,31.4,"republican","Brian Babin","republican"
"TX","37","TX-37",73.23,24.22,75.15,"democrat","Lloyd Doggett","democrat"
"TX","38","TX-38",38.75,59.43,39.47,"republican","Wesley Hunt","republican"
"UT","01","UT-01",38.5,58.54,39.67,"republican","Blake D. Moore","republican"
"UT","02","UT-02",38.56,58.88,39.57,"republican","Celeste Maloy","republican"
"UT","03","UT-03",38.95,58.26,40.07,"republican","Mike Kennedy","republican"
"UT","04","UT-04",35.23,61.91,36.27,"republican","Burgess Owens","republican"
"VA","01","VA-01",46.66,51.58,47.5,"republican","Robert J. Wittman","republican"
"VA","02","VA-02",49.06,49.33,49.86,"republican","Jennifer A. Kiggans","republican"
"VA","03","VA-03",66.4,31.84,67.59,"democrat","Robert C. \""Bobby\"" Scott","democrat"
"VA","04","VA-04",65.41,32.82,66.59,"democrat","Jennifer L. Mcclellan","democrat"
"VA","05","VA-05",43.17,55.4,43.8,"republican","John J. Mcguire Iii","republican"
"VA","06","VA-06",37.17,61.25,37.77,"republican","Ben Cline","republican"
"VA","07","VA-07",50.29,47.44,51.46,"democrat","Eugene S. Vindman","democrat"
"VA","08","VA-08",73.04,23.76,75.45,"democrat","Donald S. Beyer, Jr.","democrat"
"VA","09","VA-09",27.47,71.38,27.79,"republican","H. Morgan Griffith","republican"
"VA","10","VA-10",52.59,44.28,54.29,"democrat","Suhas Subramanyam","democrat"
"VA","11","VA-11",65.18,31.18,67.64,"democrat","Gerald E. Connolly","democrat"
"VT","00","VT-00",64.36,32.59,66.38,"democrat","Becca Balint","democrat"
"WA","01","WA-01",62.15,33.68,64.85,"democrat","Suzan K. Delbene","democrat"
"WA","02","WA-02",59.84,36.33,62.22,"democrat","Rick Larsen","democrat"
"WA","03","WA-03",46.67,49.95,48.3,"republican","Marie Gluesenkamp Perez","democrat"
"WA","04","WA-04",38.11,58.66,39.38,"republican","Dan Newhouse","republican"
"WA","05","WA-05",42.85,53.56,44.45,"republican","Michael Baumgartner","republican"
"WA","06","WA-06",57.72,38.56,59.95,"democrat","Emily Randall","democrat"
"WA","07","WA-07",85.32,10.78,88.78,"democrat","Pramila Jayapal","democrat"
"WA","08","WA-08",50.93,45.2,52.98,"democrat","Kim Schrier","democrat"
"WA","09","WA-09",68.44,27.49,71.34,"democrat","Adam Smith","democrat"
