"icpsr","chamber","bioname","born","entry_congress","last_congress","n_congresses","entry_year","entry_age","years_served","span_years","still_serving","prior_house"
2936,"Senate","ELLSWORTH, Oliver",1745,1,4,4,1789,44,8,8,FALSE,FALSE
2943,"Senate","ELMER, Jonathan",1745,1,1,1,1789,44,2,2,FALSE,FALSE
3128,"Senate","FEW, William",1748,1,2,2,1789,41,4,4,FALSE,FALSE
3196,"House","FITZSIMONS, Thomas",1741,1,3,3,1789,48,6,6,FALSE,FALSE
3237,"House","FLOYD, William",1734,1,1,1,1789,55,2,2,FALSE,FALSE
3299,"House","FOSTER, Abiel",1735,1,7,5,1789,54,10,14,FALSE,FALSE
3315,"Senate","FOSTER, Theodore",1752,1,7,7,1789,37,14,14,FALSE,FALSE
3430,"House","GALE, George",1756,1,1,1,1789,33,2,2,FALSE,FALSE
3541,"House","GERRY, Elbridge",1744,1,2,2,1789,45,4,4,FALSE,FALSE
3582,"House","GILES, William Branch",1762,1,7,6,1789,27,12,14,FALSE,FALSE
3610,"House","GILMAN, Nicholas",1755,1,4,4,1789,34,8,8,FALSE,FALSE
3674,"House","GOODHUE, Benjamin",1748,1,4,4,1789,41,8,8,FALSE,FALSE
3771,"Senate","GRAYSON, William",1740,1,1,1,1789,49,2,2,FALSE,FALSE
3825,"House","GRIFFIN, Samuel",1746,1,3,3,1789,43,6,6,FALSE,FALSE
3857,"House","GROUT, Jonathan",1737,1,1,1,1789,52,2,2,FALSE,FALSE
3877,"Senate","GUNN, James",1753,1,6,6,1789,36,12,12,FALSE,FALSE
4156,"House","HARTLEY, Thomas",1748,1,6,6,1789,41,12,12,FALSE,FALSE
4193,"House","HATHORN, John",1749,1,4,2,1789,40,4,8,FALSE,FALSE
4212,"Senate","HAWKINS, Benjamin",1754,1,3,3,1789,35,6,6,FALSE,FALSE
4333,"Senate","HENRY, John",1750,1,5,5,1789,39,10,10,FALSE,FALSE
4390,"House","HIESTER, Daniel",1747,1,8,6,1789,42,12,16,FALSE,FALSE
4695,"House","HUGER, Daniel",1742,1,2,2,1789,47,4,4,FALSE,FALSE
4766,"House","HUNTINGTON, Benjamin",1736,1,1,1,1789,53,2,2,FALSE,FALSE
4837,"Senate","IZARD, Ralph",1741,1,3,3,1789,48,6,6,FALSE,FALSE
4854,"House","JACKSON, James",1757,1,1,1,1789,32,2,2,FALSE,FALSE
4998,"Senate","JOHNSON, William Samuel",1727,1,1,1,1789,62,2,2,FALSE,FALSE
5012,"Senate","JOHNSTON, Samuel",1733,1,2,2,1789,56,4,4,FALSE,FALSE
5270,"Senate","KING, Rufus",1755,1,18,10,1789,34,20,36,FALSE,FALSE
5449,"Senate","LANGDON, John",1741,1,6,6,1789,48,12,12,FALSE,FALSE
5498,"House","LAURANCE, John",1750,1,2,2,1789,39,4,4,FALSE,FALSE
5564,"House","LEE, Richard Bland",1761,1,3,3,1789,28,6,6,FALSE,FALSE
5565,"Senate","LEE, Richard Henry",1732,1,2,2,1789,57,4,4,FALSE,FALSE
5611,"House","LEONARD, George",1729,1,4,3,1789,60,6,8,FALSE,FALSE
5713,"House","LIVERMORE, Samuel",1732,1,2,2,1789,57,4,4,FALSE,FALSE
5891,"Senate","MACLAY, William",1737,1,1,1,1789,52,2,2,FALSE,FALSE
5903,"House","MADISON, James, Jr.",1751,1,4,4,1789,38,8,8,FALSE,FALSE
6071,"House","MATHEWS, George",1739,1,1,1,1789,50,2,2,FALSE,FALSE
6594,"Senate","MONROE, James",1758,1,3,3,1789,31,6,6,FALSE,FALSE
6625,"House","MOORE, Andrew",1752,1,8,5,1789,37,10,16,FALSE,FALSE
6712,"Senate","MORRIS, Robert",1734,1,3,3,1789,55,6,6,FALSE,FALSE
6781,"House","MUHLENBERG, Frederick Augustus Conrad",1750,1,4,4,1789,39,8,8,FALSE,FALSE
6784,"House","MUHLENBERG, John Peter Gabriel",1746,1,6,3,1789,43,6,12,FALSE,FALSE
7156,"House","PAGE, John",1743,1,4,4,1789,46,8,8,FALSE,FALSE
7199,"House","PARKER, Josiah",1751,1,6,6,1789,38,12,12,FALSE,FALSE
7224,"House","PARTRIDGE, George",1740,1,1,1,1789,49,2,2,FALSE,FALSE
7231,"Senate","PATERSON, William",1745,1,1,1,1789,44,2,2,FALSE,FALSE
7762,"Senate","READ, George",1733,1,2,2,1789,56,4,4,FALSE,FALSE
8278,"House","SCHUREMAN, James",1756,1,13,3,1789,33,6,26,FALSE,FALSE
8282,"Senate","SCHUYLER, Philip John",1733,1,5,2,1789,56,4,10,FALSE,FALSE
8312,"House","SCOTT, Thomas",1739,1,3,2,1789,50,4,6,FALSE,FALSE
8344,"House","SEDGWICK, Theodore",1746,1,6,5,1789,43,10,12,FALSE,FALSE
8363,"House","SENEY, Joshua",1756,1,2,2,1789,33,4,4,FALSE,FALSE
8374,"House","SEVIER, John",1745,1,13,3,1789,44,6,26,FALSE,FALSE
8457,"House","SHERMAN, Roger",1721,1,1,1,1789,68,2,2,FALSE,FALSE
8511,"House","SILVESTER, Peter",1734,1,2,2,1789,55,4,4,FALSE,FALSE
8544,"House","SINNICKSON, Thomas",1744,1,5,2,1789,45,4,10,FALSE,FALSE
8693,"House","SMITH, William",1728,1,1,1,1789,61,2,2,FALSE,FALSE
8702,"House","SMITH, William Loughton",1758,1,5,5,1789,31,10,10,FALSE,FALSE
8845,"Senate","STANTON, Joseph, Jr.",1739,1,2,2,1789,50,4,4,FALSE,FALSE
8869,"House","STEELE, John",1764,1,2,2,1789,25,4,4,FALSE,FALSE
8983,"House","STONE, Michael Jenifer",1747,1,1,1,1789,42,2,2,FALSE,FALSE
9028,"Senate","STRONG, Caleb",1745,1,4,4,1789,44,8,8,FALSE,FALSE
9062,"House","STURGES, Jonathan",1740,1,2,2,1789,49,4,4,FALSE,FALSE
9088,"House","SUMTER, Thomas",1734,1,7,5,1789,55,10,14,FALSE,FALSE
9268,"House","THACHER, George",1754,1,6,6,1789,35,12,12,FALSE,FALSE
9489,"House","TRUMBULL, Jonathan, Jr.",1740,1,3,3,1789,49,6,6,FALSE,FALSE
9501,"House","TUCKER, Thomas Tudor",1745,1,2,2,1789,44,4,4,FALSE,FALSE
9629,"House","VAN RENSSELAER, Jeremiah",1738,1,1,1,1789,51,2,2,FALSE,FALSE
9676,"House","VINING, John",1758,1,2,2,1789,31,4,4,FALSE,FALSE
9706,"House","WADSWORTH, Jeremiah",1743,1,3,3,1789,46,6,6,FALSE,FALSE
9747,"Senate","WALKER, John",1744,1,1,1,1789,45,2,2,FALSE,FALSE
10006,"House","WHITE, Alexander",1738,1,2,2,1789,51,4,4,FALSE,FALSE
10193,"House","WILLIAMSON, Hugh",1735,1,2,2,1789,54,4,4,FALSE,FALSE
10272,"Senate","WINGATE, Paine",1739,1,2,2,1789,50,4,4,FALSE,FALSE
10405,"House","WYNKOOP, Henry",1737,1,1,1,1789,52,2,2,FALSE,FALSE
456,"House","BARNWELL, Robert",1761,2,2,1,1791,30,2,2,FALSE,FALSE
886,"House","BOURNE, Shearjashub",1746,2,3,2,1791,45,4,4,FALSE,FALSE
956,"Senate","BRADLEY, Stephen Row",1754,2,12,8,1791,37,16,22,FALSE,FALSE
1118,"Senate","BROWN, John",1757,2,8,7,1791,34,14,14,FALSE,TRUE
1302,"Senate","BURR, Aaron",1756,2,4,3,1791,35,6,6,FALSE,FALSE
1384,"Senate","CABOT, George",1752,2,4,3,1791,39,6,6,FALSE,FALSE
1750,"House","CLARK, Abraham",1726,2,3,2,1791,65,4,4,FALSE,FALSE
2440,"House","DAYTON, Jonathan",1760,2,5,4,1791,31,8,8,FALSE,FALSE
2866,"Senate","EDWARDS, John",1748,2,3,2,1791,43,4,4,FALSE,FALSE
3147,"House","FINDLEY, William",1741,2,14,11,1791,50,22,26,FALSE,FALSE
3695,"House","GORDON, James",1739,2,3,2,1791,52,4,4,FALSE,FALSE
3798,"House","GREENUP, Christopher",1750,2,4,3,1791,41,6,6,FALSE,FALSE
3805,"House","GREGG, Andrew",1755,2,9,8,1791,36,16,16,FALSE,FALSE
3859,"House","GROVE, William Barry",1764,2,7,6,1791,27,12,12,FALSE,FALSE
4433,"House","HILLHOUSE, James",1754,2,4,3,1791,37,6,6,FALSE,FALSE
4441,"House","HINDMAN, William",1743,2,5,4,1791,48,8,8,FALSE,FALSE
4871,"House","JACOBS, Israel",1726,2,2,1,1791,65,2,2,FALSE,FALSE
5224,"House","KEY, Philip",1750,2,2,1,1791,41,2,2,FALSE,FALSE
5303,"House","KITCHELL, Aaron",1744,2,6,4,1791,47,8,10,FALSE,FALSE
5310,"House","KITTERA, John Wilkes",1752,2,6,5,1791,39,10,10,FALSE,FALSE
5543,"House","LEARNED, Amasa",1750,2,3,2,1791,41,4,4,FALSE,FALSE
5895,"House","MACON, Nathaniel",1757,2,14,13,1791,34,26,26,FALSE,FALSE
6418,"House","MERCER, John Francis",1759,2,3,2,1791,32,4,4,FALSE,FALSE
6472,"House","MILLEDGE, John",1757,2,7,4,1791,34,8,12,FALSE,FALSE
6830,"House","MURRAY, William Vans",1760,2,4,3,1791,31,6,6,FALSE,FALSE
6932,"House","NILES, Nathaniel",1741,2,3,2,1791,50,4,4,FALSE,FALSE
7084,"House","ORR, Alexander Dalrymple",1761,2,4,3,1791,30,6,6,FALSE,FALSE
7463,"House","PINKNEY, William",1764,2,14,2,1791,27,4,26,FALSE,FALSE
7564,"Senate","POTTS, Richard",1753,2,4,3,1791,38,6,6,FALSE,FALSE
7989,"Senate","ROBINSON, Moses",1741,2,4,3,1791,50,6,6,FALSE,FALSE
8150,"Senate","RUTHERFURD, John",1760,2,5,4,1791,31,8,8,FALSE,FALSE
8272,"House","SCHOONMAKER, Cornelius Corneliusen",1745,2,2,1,1791,46,2,2,FALSE,FALSE
8449,"House","SHEREDINE, Upton",1740,2,2,1,1791,51,2,2,FALSE,FALSE
8457,"Senate","SHERMAN, Roger",1721,2,3,2,1791,70,4,4,FALSE,TRUE
8639,"House","SMITH, Israel",1759,2,7,4,1791,32,8,12,FALSE,FALSE
8644,"House","SMITH, Jeremiah",1759,2,5,4,1791,32,8,8,FALSE,FALSE
8896,"House","STERETT, Samuel",1758,2,2,1,1791,33,2,2,FALSE,FALSE
9215,"Senate","TAYLOR, John",1753,2,18,5,1791,38,10,34,FALSE,FALSE
9463,"House","TREDWELL, Thomas",1743,2,3,2,1791,48,4,4,FALSE,FALSE
9658,"House","VENABLE, Abraham Bedford",1758,2,5,4,1791,33,8,8,FALSE,FALSE
9808,"House","WARD, Artemas",1727,2,3,2,1791,64,4,4,FALSE,FALSE
9885,"House","WAYNE, Anthony",1745,2,2,1,1791,46,2,2,FALSE,FALSE
10202,"House","WILLIS, Francis",1745,2,2,1,1791,46,2,2,FALSE,FALSE
231,"House","ARMSTRONG, James",1748,3,3,1,1793,45,2,2,FALSE,FALSE
351,"House","BAILEY, Theodorus",1758,3,7,4,1793,35,8,10,FALSE,FALSE
554,"House","BEATTY, John",1749,3,3,1,1793,44,2,2,FALSE,FALSE
656,"House","BENTON, Lemuel",1754,3,5,3,1793,39,6,6,FALSE,FALSE
805,"House","BLOUNT, Thomas",1759,3,12,6,1793,34,12,20,FALSE,FALSE
951,"Senate","BRADFORD, William",1729,3,5,3,1793,64,6,6,FALSE,FALSE
1518,"House","CARNES, Thomas Petters",1762,3,3,1,1793,31,2,2,FALSE,FALSE
1716,"House","CHRISTIE, Gabriel",1755,3,6,3,1793,38,6,8,FALSE,FALSE
1739,"House","CLAIBORNE, Thomas",1749,3,8,5,1793,44,10,12,FALSE,FALSE
1865,"House","COBB, David",1748,3,3,1,1793,45,2,2,FALSE,FALSE
1906,"House","COFFIN, Peleg, Jr.",1756,3,3,1,1793,37,2,2,FALSE,FALSE
1914,"House","COIT, Joshua",1758,3,5,3,1793,35,6,6,FALSE,FALSE
2432,"House","DAWSON, William Johnson",NA,3,3,1,1793,NA,2,2,FALSE,FALSE
2451,"House","DEARBORN, Henry",1751,3,4,2,1793,42,4,4,FALSE,FALSE
2512,"House","DENT, George",1756,3,6,4,1793,37,8,8,FALSE,FALSE
2550,"House","DEXTER, Samuel",1761,3,3,1,1793,32,2,2,FALSE,FALSE
2796,"House","DUVALL, Gabriel",1752,3,4,2,1793,41,4,4,FALSE,FALSE
2859,"House","EDWARDS, Benjamin",1753,3,3,1,1793,40,2,2,FALSE,FALSE
3285,"House","FORREST, Uriah",1756,3,3,1,1793,37,2,2,FALSE,FALSE
3303,"House","FOSTER, Dwight",1757,3,6,4,1793,36,8,8,FALSE,FALSE
3361,"Senate","FRELINGHUYSEN, Frederick",1753,3,4,2,1793,40,4,4,FALSE,FALSE
3437,"Senate","GALLATIN, Albert",1761,3,3,1,1793,32,2,2,FALSE,FALSE
3573,"House","GILBERT, Ezekiel",1756,3,4,2,1793,37,4,4,FALSE,FALSE
3594,"House","GILLESPIE, James",1747,3,8,4,1793,46,8,12,FALSE,FALSE
3607,"House","GILLON, Alexander",1741,3,3,1,1793,52,2,2,FALSE,FALSE
3628,"House","GLEN, Henry",1739,3,6,4,1793,54,8,8,FALSE,FALSE
4026,"House","HANCOCK, George",1754,3,4,2,1793,39,4,4,FALSE,FALSE
4090,"House","HARPER, Robert Goodloe",1765,3,6,4,1793,28,8,8,FALSE,FALSE
4127,"House","HARRISON, Carter Bassett",1756,3,5,3,1793,37,6,6,FALSE,FALSE
4269,"House","HEATH, John",1758,3,4,2,1793,35,4,4,FALSE,FALSE
4546,"House","HOLTEN, Samuel",1738,3,3,1,1793,55,2,2,FALSE,FALSE
4753,"House","HUNTER, John",NA,3,3,1,1793,NA,2,2,FALSE,FALSE
4820,"House","IRVINE, William",1741,3,3,1,1793,52,2,2,FALSE,FALSE
4854,"Senate","JACKSON, James",1757,3,9,5,1793,36,10,14,FALSE,TRUE
5494,"House","LATIMER, Henry",1752,3,3,1,1793,41,2,2,FALSE,FALSE
5494,"Senate","LATIMER, Henry",1752,3,6,4,1793,41,8,8,FALSE,FALSE
5713,"Senate","LIVERMORE, Samuel",1732,3,6,4,1793,61,8,8,FALSE,TRUE
5734,"House","LOCKE, Matthew",1730,3,5,3,1793,63,6,6,FALSE,FALSE
5852,"House","LYMAN, William",1755,3,4,2,1793,38,4,4,FALSE,FALSE
5935,"House","MALBONE, Francis",1759,3,4,2,1793,34,4,4,FALSE,FALSE
6012,"Senate","MARTIN, Alexander",1740,3,5,3,1793,53,6,6,FALSE,FALSE
6230,"House","McDOWELL, Joseph",1758,3,3,1,1793,35,2,2,FALSE,FALSE
6401,"House","MEBANE, Alexander",1744,3,3,1,1793,49,2,2,FALSE,FALSE
6574,"Senate","MITCHELL, Stephen Mix",1743,3,3,1,1793,50,2,2,FALSE,FALSE
6608,"House","MONTGOMERY, William",1736,3,3,1,1793,57,2,2,FALSE,FALSE
6883,"House","NEVILLE, Joseph",1730,3,3,1,1793,63,2,2,FALSE,FALSE
6886,"House","NEW, Anthony",1747,3,17,9,1793,46,18,30,FALSE,FALSE
6911,"House","NICHOLAS, John",1757,3,6,4,1793,36,8,8,FALSE,FALSE
7235,"House","PATTEN, John",1746,3,4,2,1793,47,4,4,FALSE,FALSE
7425,"House","PICKENS, Andrew",1739,3,3,1,1793,54,2,2,FALSE,FALSE
7603,"House","PRESTON, Francis",1765,3,4,2,1793,28,4,4,FALSE,FALSE
8070,"Senate","ROSS, James",1762,3,7,5,1793,31,10,10,FALSE,FALSE
8148,"House","RUTHERFORD, Robert",1728,3,4,2,1793,65,4,4,FALSE,FALSE
8448,"House","SHERBURNE, John Samuel",1757,3,4,2,1793,36,4,4,FALSE,FALSE
8596,"House","SMILIE, John",1741,3,12,8,1793,52,16,20,FALSE,FALSE
8678,"House","SMITH, Samuel",1752,3,17,9,1793,41,18,30,FALSE,FALSE
8811,"House","SPRIGG, Thomas",1747,3,4,2,1793,46,4,4,FALSE,FALSE
9127,"House","SWIFT, Zephaniah",1759,3,4,2,1793,34,4,4,FALSE,FALSE
9161,"House","TALBOT, Silas",1751,3,3,1,1793,42,2,2,FALSE,FALSE
9238,"Senate","TAZEWELL, Henry",1753,3,5,3,1793,40,6,6,FALSE,FALSE
9452,"House","TRACY, Uriah",1755,3,4,2,1793,38,4,4,FALSE,FALSE
9591,"House","VAN ALEN, John Evert",1749,3,5,3,1793,44,6,6,FALSE,FALSE
9602,"House","VAN CORTLANDT, Philip",1749,3,10,8,1793,44,16,16,FALSE,FALSE
9615,"House","VAN GAASBECK, Peter",1754,3,3,1,1793,39,2,2,FALSE,FALSE
9676,"Senate","VINING, John",1758,3,5,3,1793,35,6,6,FALSE,TRUE
9707,"House","WADSWORTH, Peleg",1748,3,9,7,1793,45,14,14,FALSE,FALSE
9739,"House","WALKER, Francis",1764,3,3,1,1793,29,2,2,FALSE,FALSE
9881,"House","WATTS, John",1749,3,3,1,1793,44,2,2,FALSE,FALSE
10136,"House","WILLIAMS, Benjamin",1751,3,3,1,1793,42,2,2,FALSE,FALSE
10272,"House","WINGATE, Paine",1739,3,3,1,1793,54,2,2,FALSE,FALSE
10275,"House","WINN, Richard",1750,3,12,8,1793,43,16,20,FALSE,FALSE
10280,"House","WINSTON, Joseph",1746,3,9,3,1793,47,6,14,FALSE,FALSE
429,"House","BARD, David",1744,4,13,8,1795,51,16,20,FALSE,FALSE
719,"Senate","BINGHAM, William",1752,4,6,3,1795,43,6,6,FALSE,FALSE
800,"Senate","BLOODWORTH, Timothy",1736,4,6,3,1795,59,6,6,FALSE,TRUE
806,"Senate","BLOUNT, William",1749,4,5,2,1795,46,4,4,FALSE,FALSE
947,"House","BRADBURY, Theophilus",1739,4,5,2,1795,56,4,4,FALSE,FALSE
1007,"House","BRENT, Richard",1757,4,7,3,1795,38,6,8,FALSE,FALSE
1176,"House","BRYAN, Nathan",1748,4,5,2,1795,47,4,4,FALSE,FALSE
1195,"House","BUCK, Daniel",1753,4,4,1,1795,42,2,2,FALSE,FALSE
1255,"House","BURGES, Dempsey",1751,4,5,2,1795,44,4,4,FALSE,FALSE
1380,"House","CABELL, Samuel Jordan",1756,4,7,4,1795,39,8,8,FALSE,FALSE
1853,"House","CLOPTON, John",1756,4,14,10,1795,39,20,22,FALSE,FALSE
1888,"Senate","COCKE, William",1748,4,8,5,1795,47,10,10,FALSE,FALSE
2058,"House","COOPER, William",1754,4,6,2,1795,41,4,6,FALSE,FALSE
2125,"House","CRABB, Jeremiah",1760,4,4,1,1795,35,2,2,FALSE,FALSE
2139,"House","CRAIK, William",1761,4,6,3,1795,34,6,6,FALSE,FALSE
2316,"House","DANA, Samuel Whittlesey",1760,4,11,8,1795,35,16,16,FALSE,FALSE
2355,"House","DAVENPORT, James",1758,4,5,2,1795,37,4,4,FALSE,FALSE
2816,"House","EARLE, Samuel",1760,4,4,1,1795,35,2,2,FALSE,FALSE
2881,"House","EGE, George",1748,4,5,2,1795,47,4,4,FALSE,FALSE
3342,"House","FRANKLIN, Jesse",1760,4,4,1,1795,35,2,2,FALSE,FALSE
3358,"House","FREEMAN, Nathaniel, Jr.",1766,4,5,2,1795,29,4,4,FALSE,FALSE
3437,"House","GALLATIN, Albert",1761,4,6,3,1795,34,6,6,FALSE,FALSE
3674,"Senate","GOODHUE, Benjamin",1748,4,6,3,1795,47,6,6,FALSE,TRUE
3678,"House","GOODRICH, Chauncey",1759,4,6,3,1795,36,6,6,FALSE,FALSE
3846,"House","GRISWOLD, Roger",1762,4,8,5,1795,33,10,10,FALSE,FALSE
4019,"House","HAMPTON, Wade",1752,4,8,2,1795,43,4,10,FALSE,FALSE
4204,"House","HAVENS, Jonathan Nicoll",1757,4,6,3,1795,38,6,6,FALSE,FALSE
4315,"House","HENDERSON, Thomas",1743,4,4,1,1795,52,2,2,FALSE,FALSE
4433,"Senate","HILLHOUSE, James",1754,4,11,8,1795,41,16,16,FALSE,TRUE
4519,"House","HOLLAND, James",1754,4,11,6,1795,41,12,16,FALSE,FALSE
4628,"Senate","HOWARD, John Eager",1752,4,7,4,1795,43,8,8,FALSE,FALSE
4753,"Senate","HUNTER, John",NA,4,5,2,1795,NA,4,4,FALSE,TRUE
4843,"House","JACKSON, Andrew",1767,4,4,1,1795,28,2,2,FALSE,FALSE
4850,"House","JACKSON, George",1757,4,7,3,1795,38,6,8,FALSE,FALSE
5498,"Senate","LAURANCE, John",1750,4,6,3,1795,45,6,6,FALSE,TRUE
5715,"House","LIVINGSTON, Edward",1764,4,20,6,1795,31,12,34,FALSE,FALSE
5850,"House","LYMAN, Samuel",1749,4,6,3,1795,46,6,6,FALSE,FALSE
5890,"House","MACLAY, Samuel",1741,4,4,1,1795,54,2,2,FALSE,FALSE
6000,"Senate","MARSHALL, Humphrey",1760,4,6,3,1795,35,6,6,FALSE,FALSE
6063,"Senate","MASON, Stevens Thomson",1760,4,8,5,1795,35,10,10,FALSE,FALSE
7164,"Senate","PAINE, Elijah",1757,4,6,3,1795,38,6,6,FALSE,FALSE
7553,"House","POTTER, Elisha Reynolds",1764,4,13,5,1795,31,10,20,FALSE,FALSE
7763,"Senate","READ, Jacob",1752,4,6,3,1795,43,6,6,FALSE,FALSE
7788,"House","REED, John",1751,4,6,3,1795,44,6,6,FALSE,FALSE
7870,"House","RICHARDS, John",1753,4,4,1,1795,42,2,2,FALSE,FALSE
8344,"Senate","SEDGWICK, Theodore",1746,4,5,2,1795,49,4,4,FALSE,TRUE
8376,"House","SEWALL, Samuel",1757,4,6,3,1795,38,6,6,FALSE,FALSE
8555,"House","SITGREAVES, Samuel",1764,4,5,2,1795,31,4,4,FALSE,FALSE
8563,"House","SKINNER, Thomson Joseph",1752,4,8,3,1795,43,6,10,FALSE,FALSE
8637,"House","SMITH, Isaac",1740,4,4,1,1795,55,2,2,FALSE,FALSE
8671,"House","SMITH, Nathaniel",1762,4,5,2,1795,33,4,4,FALSE,FALSE
8810,"House","SPRIGG, Richard, Jr.",1769,4,7,3,1795,26,6,8,FALSE,FALSE
8964,"Senate","STOCKTON, Richard",1764,4,5,2,1795,31,4,4,FALSE,FALSE
9048,"House","STRUDWICK, William Francis",NA,4,4,1,1795,NA,2,2,FALSE,FALSE
9107,"House","SWANWICK, John",1760,4,5,2,1795,35,4,4,FALSE,FALSE
9187,"House","TATOM, Absalom",1742,4,4,1,1795,53,2,2,FALSE,FALSE
9189,"Senate","TATTNALL, Josiah",1762,4,5,2,1795,33,4,4,FALSE,FALSE
9308,"House","THOMAS, Richard",1744,4,6,3,1795,51,6,6,FALSE,FALSE
9353,"House","THOMSON, Mark",1739,4,5,2,1795,56,4,4,FALSE,FALSE
9378,"Senate","TICHENOR, Isaac",1754,4,16,5,1795,41,10,26,FALSE,FALSE
9452,"Senate","TRACY, Uriah",1755,4,9,6,1795,40,12,12,FALSE,TRUE
9489,"Senate","TRUMBULL, Jonathan, Jr.",1740,4,4,1,1795,55,2,2,FALSE,TRUE
9650,"House","VARNUM, Joseph Bradley",1750,4,11,8,1795,45,16,16,FALSE,FALSE
9796,"Senate","WALTON, George",1749,4,4,1,1795,46,2,2,FALSE,FALSE
10159,"House","WILLIAMS, John",1752,4,5,2,1795,43,4,4,FALSE,FALSE
112,"House","ALLEN, John",1763,5,5,1,1797,34,2,2,FALSE,FALSE
174,"Senate","ANDERSON, Joseph Inslee",1757,5,13,9,1797,40,18,18,FALSE,FALSE
332,"House","BAER, George, Jr.",1763,5,14,3,1797,34,6,20,FALSE,FALSE
484,"House","BARTLETT, Bailey",1750,5,6,2,1797,47,4,4,FALSE,FALSE
524,"House","BAYARD, James Asheton, Sr.",1767,5,7,3,1797,30,6,6,FALSE,FALSE
943,"House","BRACE, Jonathan",1754,5,6,2,1797,43,4,4,FALSE,FALSE
1072,"House","BROOKS, David",1756,5,5,1,1797,41,2,2,FALSE,FALSE
1132,"House","BROWN, Robert",1744,5,13,9,1797,53,18,18,FALSE,FALSE
1232,"House","BULLOCK, Stephen",1735,5,5,1,1797,62,2,2,FALSE,FALSE
1633,"House","CHAMPLIN, Christopher Grant",1768,5,6,2,1797,29,4,4,FALSE,FALSE
1655,"House","CHAPMAN, John",1740,5,5,1,1797,57,2,2,FALSE,FALSE
1706,"Senate","CHIPMAN, Nathaniel",1752,5,7,3,1797,45,6,6,FALSE,FALSE
1741,"House","CLAIBORNE, William Charles Cole",1775,5,6,2,1797,22,4,4,FALSE,FALSE
1815,"House","CLAY, Matthew",1754,5,12,8,1797,43,16,16,FALSE,FALSE
1823,"Senate","CLAYTON, Joshua",1744,5,5,1,1797,53,2,2,FALSE,FALSE
1881,"House","COCHRAN, James",1769,5,5,1,1797,28,2,2,FALSE,FALSE
2351,"Senate","DAVENPORT, Franklin",1755,5,5,1,1797,42,2,2,FALSE,FALSE
2413,"House","DAVIS, Thomas Terry",NA,5,7,3,1797,NA,6,6,FALSE,FALSE
2426,"House","DAWSON, John",1762,5,13,9,1797,35,18,18,FALSE,FALSE
2501,"House","DENNIS, John",1771,5,8,4,1797,26,8,8,FALSE,FALSE
2852,"House","EDMOND, William",1755,5,6,2,1797,42,4,4,FALSE,FALSE
2883,"House","EGGLESTON, Joseph",1754,5,6,2,1797,43,4,4,FALSE,FALSE
2941,"House","ELMENDORF, Lucas Conrad",1758,5,7,3,1797,39,6,6,FALSE,FALSE
3021,"House","EVANS, Thomas",NA,5,6,2,1797,NA,4,4,FALSE,FALSE
3324,"House","FOWLER, John",1755,5,9,5,1797,42,10,10,FALSE,FALSE
3357,"House","FREEMAN, Jonathan",1745,5,6,2,1797,52,4,4,FALSE,FALSE
3701,"House","GORDON, William",1763,5,6,2,1797,34,4,4,FALSE,FALSE
3791,"Senate","GREENE, Ray",1765,5,6,2,1797,32,4,4,FALSE,FALSE
4037,"House","HANNA, John Andre",1762,5,8,4,1797,35,8,8,FALSE,FALSE
4394,"House","HIESTER, Joseph",1752,5,16,7,1797,45,14,24,FALSE,FALSE
