"st","part","pts"
"17",1,"900 545 1 2 2 5 1 1 0 7 5 2 1 2 1 4 3 5 0 5 -1 3 -4 4 1 3 1 3 7 1 9 4 3 2 0 5 2 2 2 6 0 4 -1 3 -4 2 -2 1 -3 6 -4 4 5 1 14 1 2 0 12 0 1 0 11 1 5 0 1 0 11 1 3 1 32 2 -1 -3 0 -6 -1 -4 -1 -14 -8 -1 0 -10 1 -7 0 -5 1 -5 1 -10 1 -9 0 -1 1 -12 0 -10 1 -10 1 -5 0 -4 -2 -4 0 -4 4 -9 0 -2 1 -5 -2 -2 -2 -3 -2 -6 -2 -5 -4 -1 0 -1 2 -3 -2 -2 0 -8 -2 0 2 -3 -3 -6 1 -3 2 -2 -6 -3 -2 -2 -2 1 -2 -5 3 -5 -2 -3 -2 0 -11 5 0 -1 -3 0 -4 -6 2 -3 -4 3 -2 -2 -1 1 -4 7 0 3 1 3 -3 6 0 4 -5 3 0 1 -5 4 -3 -2 -1 3 -7 5 -1 1 -3 3 0 7 2 5 2 5 0 4 1 1 0 2 -5 2 -5 2 -2 -4 -4 2 -2 11 -2 3 -4 3 -3 1 -4 6 -4 3 -2 2 -2 3 0 4 -2 3 -1 6"
"18",1,"1068 617 10 1 1 -3 1 -6 0 -3 1 -6 0 -1 1 -9 1 -3 0 -7 1 -6 1 -8 0 -1 1 -11 1 -4 0 -7 1 -5 0 -2 1 -8 1 -7 -1 -3 0 -5 3 -1 -3 -3 -3 -2 -5 -3 -4 1 -3 -1 1 -4 0 -3 -4 -3 -1 -3 -1 -2 -3 -1 -3 -5 0 -6 -2 -1 -5 0 -3 2 -2 4 -3 -2 -1 -3 0 -5 -4 -3 -5 5 -4 -3 -3 -5 -5 2 -1 1 -5 1 -6 -4 -1 2 -6 0 1 -4 -4 0 -2 3 2 0 0 8 2 2 -2 3 0 1 4 1 2 5 2 6 2 3 2 2 -1 5 0 2 -4 9 0 4 2 4 0 4 -1 5 -1 10 0 10 -1 12 0 1 -1 9 -1 10 -1 5 0 5 -1 7 0 10 8 1 7 1 12 1 8 1 4 0 7 1 4 0 10 1 2 1"
"19",1,"843 557 -6 0 -6 0 -6 0 -7 -1 -4 0 -8 0 -8 0 -5 1 -11 0 -3 6 1 1 1 4 -2 6 0 4 -1 1 0 7 -2 5 -2 0 -1 6 1 4 -2 3 0 3 -4 3 1 3 -3 4 0 2 -1 2 1 4 -2 2 -2 2 0 3 -3 4 2 6 1 5 2 2 -1 5 -2 1 1 5 -2 4 4 0 10 0 6 0 10 0 2 0 13 0 1 0 11 0 5 0 8 0 8 1 4 0 12 0 1 0 12 0 3 1 10 0 9 0 3 1 10 0 1 -3 0 -3 4 -3 -3 -4 0 -2 1 -4 3 -9 4 -2 5 -1 3 -5 4 -4 3 -6 2 -1 4 -2 1 -3 0 -4 -2 -6 -2 -2 0 -5 -3 -2 -9 -4 -7 -1 -1 -3 -1 -3 4 -4 1 -3 0 -5 -3 -5 -1 -4 -1 -2 -5 -2 0 -7 -1 -1 -2 0 -7 8 -6 0 -7 -1 -5 0 -7 0 -3 -1 -10 0 -8 -1 -5 0"
"20",1,"794 535 1 0 3 -3 3 -2 3 1 3 -2 -5 -8 -1 -3 4 -4 2 -5 3 -3 5 -2 0 -1 0 -3 0 -7 0 -4 0 -10 0 -3 0 -12 0 -1 1 -13 0 -1 0 -11 0 -1 0 -10 0 -2 -11 0 -2 0 -10 0 -3 0 -8 0 -5 0 -1 0 -15 0 -7 0 -11 0 -10 0 -9 0 -9 0 -7 0 -6 1 -13 0 -13 0 -3 0 -13 1 -3 0 -15 1 -9 0 -4 0 -14 1 -14 1 1 14 0 10 1 3 1 20 1 13 0 3 1 12 0 4 1 16 1 16 17 -2 3 0 16 0 0 -1 15 0 1 0 15 -1 12 0 4 0 9 -1 6 0 7 0 9 0 3 0 13 -1 12 0 3 0 10 0 6 0 7 0 6 0 12 0"
"21",1,"1096 429 -8 -1 -1 0 -4 0 -10 -1 -6 -1 -6 0 -6 0 -5 -1 -6 0 -8 -1 -2 -1 -6 0 -9 -1 -2 0 -11 0 1 -6 -12 -1 -1 0 -9 -1 -15 -1 -2 0 2 5 3 -2 1 3 -1 2 3 3 0 6 -1 1 -2 3 4 6 3 0 0 1 11 -5 2 0 2 3 -3 5 2 5 2 -1 2 2 6 3 -2 2 -1 3 3 6 4 0 -1 4 6 0 1 -2 6 4 5 -1 1 -1 5 -2 3 5 4 3 5 -5 4 3 0 5 1 3 3 2 2 -4 3 -2 5 0 2 1 0 6 3 5 3 1 1 2 1 3 4 3 0 3 -1 4 3 1 4 -1 5 3 3 2 3 3 -3 1 0 5 1 3 2 1 4 -2 3 1 5 -2 3 -5 1 -2 5 -1 4 0 6 -3 2 0 3 2 8 -2 3 1 3 4 3 2 4 -7 4 -1 3 -3 0 -7 0 -4 3 -2 2 -4 3 -3 3 -4 7 -6 4 0 -8 -10 -7 -5 -4 -3 0 -3 -4 -3 0 -3 -5 -2 -3 -5 -7 -4 -6 -3 -7 -1 -2 0 -7 -1 -1 0 -15 -2 -6 0"
"22",1,"848 170 0 7 -2 4 1 2 0 5 3 5 2 7 0 5 1 2 -1 5 -1 0 -1 3 -2 1 0 5 -5 5 1 5 -2 5 -5 5 -1 8 0 7 0 11 0 7 0 5 7 0 8 0 1 0 8 0 8 1 8 0 20 0 18 1 1 0 5 0 3 0 -1 -3 2 -2 0 -4 3 -1 -3 -3 4 -2 -1 -1 -1 -2 4 -5 2 -1 -2 -4 -4 -1 2 -3 1 0 -6 -9 -3 -1 1 -4 -2 0 -2 -8 -2 0 2 -5 -2 -2 1 -2 -2 -4 -2 -7 15 1 3 0 8 1 8 0 7 1 2 0 14 1 3 0 -3 -13 3 -5 3 -2 2 -4 0 -3 4 -3 6 1 4 1 3 -1 7 -1 3 -4 1 -4 -1 -6 -2 -4 -4 -6 -3 -1 0 -3 2 -3 4 -1 1 -5 -6 -8 -5 2 -3 -4 -3 0 0 7 -1 3 -4 1 -9 -2 -6 -2 -3 -3 -7 -2 -5 2 -5 -2 -6 -1 -3 1 0 4 -10 2 -2 2 -2 2 -5 2 -8 -1 -7 5 -3 1 -5 -2 -10 1 -17 6 -5 1 -2 -1 -4 0 -9 -1 -2 -3 0 3 -3 5 2 2 4 6"
"23",1,"1462 767 -1 -2 -4 -2 -6 -6 -1 -2 -2 -7 -3 -2 0 -3 4 -3 -2 -4 -1 -3 -8 5 -1 4 -5 3 -2 7 -3 9 -5 17 -4 14 -7 22 2 1 4 -1 -1 5 5 1 -3 3 2 7 3 3 -1 2 3 5 -2 2 -1 8 0 6 3 4 -1 5 0 5 11 32 5 0 1 -6 4 -2 7 6 5 2 3 3 8 -3 5 -4 13 -39 2 -9 11 -2 -2 -2 3 -3 0 -5 5 -4 4 3 9 -10 2 -1 -4 -7 -2 -4 -5 -3 -2 -5 -5 -2 -3 -3 -2 -3 -2 -1 0 -5 -3 -4 -4 -2 -4 -9 -1 -4 -3 0 -4 3 -4 -4 -1 -3 -6 1 -1 -3 -2 -1"
"24",1,"1358 542 10 2 0 -3 -1 -14 -13 -4 -4 -4 -4 -1 -4 1 -4 -3 -9 4 -4 3 -7 -1 -4 4 -2 3 -6 -3 -1 1 -1 5 1 4 3 5 1 3 2 4 -3 2 -3 -1 -3 1 -3 2 -4 0 -2 2 1 3 -4 3 -3 0 -1 -1 -4 6 -3 4 -3 0 -5 1 -4 -3 -3 -5 -5 0 -5 2 -3 -7 -3 1 -5 -6 -5 -6 -3 19 2 0 13 3 3 0 12 2 1 1 7 1 17 3 7 1 6 2 6 1 6 1 9 2 3 1 9 2 3 -13 1 -2 1 -2 1 -4 3 -11 2 -7 0 -3 1 -3 10 2"
"25",1,"1449 714 0 -1 1 -4 3 -4 8 1 3 2 5 -1 3 -3 4 -5 1 -5 -1 -7 -4 -2 -2 4 -6 -3 -2 -3 6 -3 2 1 6 3 3 -3 1 -3 -5 -3 -7 1 -4 -1 -5 -1 -2 -4 -2 0 -2 5 -5 1 -1 0 -3 8 -2 1 -4 2 -3 4 -1 3 -3 0 -8 -2 -8 -1 -1 -1 -10 -2 -13 -3 -1 0 -11 -3 -1 0 0 1 0 17 0 9 7 1 2 0 12 3 5 1 9 2 1 0 16 4 1 2 2 3 4 4 6 1 2 -5 4 1 2 -3 -2 -4 0 -5"
"26",1,"1004 744 -4 -6 -3 -2 0 -4 -6 0 -2 3 2 6 -6 0 1 5 1 4 -3 4 -5 2 -2 1 0 4 -8 1 -2 2 -5 -1 -6 2 -2 0 -3 2 -21 4 -5 1 -3 6 -5 2 3 9 4 9 3 9 6 16 4 11 4 -1 15 11 7 3 33 -15 33 -16 16 -7 10 -5 4 -9 6 -5 3 1 8 1 -1 -3 2 -6 5 -6 3 2 6 1 4 -4 -4 -8 4 0 27 -12 1 -5 4 -12 4 -12 4 -13 5 -16 1 -4 -3 -16 -2 -10 1 -6 -1 -5 -5 -6 0 -1 -2 -3 -6 -3 -1 -3 0 -8 1 -2 -7 -9 -9 -2 -3 -1 -13 -2 -1 0 -11 -2 -1 3 -10 -1 -2 -1 -10 -1 -4 0 -7 -1 -4 0 -8 -1 -12 -1 -7 -1 1 14 1 4 0 6 1 3 -2 6 0 4 -1 3 -2 10 0 2 -2 11 0 2 0 11 0 2 2 11 1 6 1 7 1 6 1 3 1 4 4 8 6 6 -6 3 -8 4 -9 -1 0 -2"
"27",1,"889 666 -9 0 -10 0 -3 -1 -12 0 -1 0 -12 0 -4 0 -8 -1 -8 0 -5 0 -11 0 -1 0 -13 0 -2 0 -10 0 -6 0 -10 0 0 13 0 12 0 13 0 3 0 7 0 6 0 11 0 2 -6 3 -4 6 0 3 5 3 2 3 0 4 0 3 1 2 -1 9 -2 2 -3 9 0 7 1 4 -2 3 0 5 0 3 0 10 -1 6 -4 10 -2 9 0 3 -1 10 2 5 -3 10 0 1 20 0 26 0 4 0 0 14 5 0 3 -3 4 -15 0 -4 2 -2 4 0 5 -2 10 -1 1 -4 8 2 0 1 6 2 3 0 3 0 6 -3 2 -4 4 1 3 -8 2 1 0 3 6 1 1 -3 5 -2 3 -3 7 -2 4 1 5 4 4 2 3 -5 10 0 6 2 2 -1 4 -4 2 2 8 0 -4 -11 -6 -16 -18 0 -3 -3 -2 -1 -16 -13 -6 -3 -6 -4 -2 2 -3 -4 -2 0 1 -9 0 -9 -1 -5 -7 -4 -2 -1 -3 -6 -1 -3 6 -8 -2 -5 -1 -3 1 -13 -1 -4 2 -1 3 -4 8 -2 2 -3 4 -2 4 -2 2 -5 8 -6 4 -2 4 -4 1 -5 0 -4 1 -4 -10 0 -3 -1"
"28",1,"1009 284 0 -13 0 -10 0 -3 0 -12 0 -7 2 -9 1 -12 1 -4 1 -10 2 -21 -2 0 -11 1 -2 -3 -7 1 -3 1 -4 -1 -6 -1 -4 3 0 3 -2 4 -3 2 -3 5 3 13 -3 0 -14 -1 -2 0 -7 -1 -8 0 -8 -1 -3 0 -15 -1 2 7 2 4 -1 2 2 2 -2 5 2 0 2 8 2 0 -1 4 3 1 6 9 -1 0 -2 3 4 1 2 4 -2 1 -4 5 1 2 1 1 -4 2 3 3 -3 1 0 4 -2 2 1 3 0 1 3 4 -2 5 0 6 -3 4 -1 1 1 3 5 10 -2 3 6 1 -2 4 3 0 0 5 2 3 5 3 0 4 0 4 2 0 3 7 3 2 1 3 -2 2 17 1 3 0 8 1 5 0 5 0 6 1 1 0 12 1 1 0 5 0 3 -3 0 -12 0 -4 0 -5 -1 -9 0 -1 0 -12 0 -7 0 -9 -1 -11 0 -3"
"29",1,"816 438 0 11 0 1 -1 13 0 1 0 12 0 3 0 10 0 4 0 7 0 3 0 1 -5 2 -3 3 -2 5 -4 4 1 3 5 8 -3 2 -3 -1 -3 2 -3 3 -3 2 1 3 -5 5 -2 3 -2 6 -2 3 11 0 5 -1 8 0 8 0 4 0 7 1 6 0 6 0 6 0 5 0 8 1 10 0 3 1 7 0 5 0 7 1 6 0 7 -8 2 0 -2 -5 -1 -2 1 -6 2 -3 0 -4 2 -3 2 -2 4 -3 4 -6 3 -1 4 -3 2 -3 2 -11 4 -2 2 4 5 -2 5 -2 0 -2 -1 -1 0 -4 -2 -5 -2 -5 0 -7 3 -3 1 -1 7 -5 1 -3 3 2 5 -4 0 -1 5 -3 0 -4 3 -6 -1 -3 0 -3 4 -7 1 -1 2 2 4 -3 1 -1 0 -6 -3 -3 1 -2 -1 -3 -3 2 -2 -5 -2 0 -2 -1 0 -5 1 -3 -3 -3 -2 -7 -7 -1 -10 0 -2 -1 5 8 3 3 0 4 -5 4 -10 0 -6 -1 -10 0 -8 -1 -1 0 -7 0 -13 -1 -1 0 -11 0 -7 0 -2 0 -13 -1 -1 0 -8 0 -8 0 -6 0 -16 -1 0 7 0 3 0 9 0 2 0 10 0 1"
"30",1,"571 760 -2 -25 -1 -7 -26 2 -1 0 -24 2 -6 1 -43 5 -8 1 -10 1 -30 5 -23 3 -9 2 -2 -12 -1 -7 -2 1 -2 5 -3 5 -3 -1 -2 -4 -2 -1 -7 1 -6 0 -4 2 -4 -4 -8 4 -3 -2 0 -2 -4 3 0 3 -1 8 -3 4 -5 2 1 7 -3 3 -2 6 -1 5 1 7 -3 4 -10 -6 -7 5 3 3 -1 4 5 4 -1 5 2 5 0 3 5 9 1 5 -7 0 -1 4 -6 5 0 4 -2 1 -5 12 -4 3 0 1 -4 5 3 1 -1 8 -2 2 -4 9 2 9 2 10 4 18 32 -7 15 -3 9 -2 36 -6 23 -4 12 -2 30 -4 31 -5 25 -3 26 -3 26 -2 24 -2 -1 -14 -1 -8 -1 -15 -2 -21 0 -3 -2 -25 0 -3 -1 -10 -1 -12 0 -2"
"31",1,"725 536 -3 0 -9 0 -7 0 -6 0 -9 1 -4 0 -12 0 -15 1 -1 0 -15 0 0 1 -16 0 -3 0 -17 2 0 12 1 4 0 9 0 2 1 9 -16 1 -1 0 -19 2 -6 0 -13 1 1 15 1 6 0 5 1 11 2 22 1 15 15 -2 13 -1 6 0 19 -1 23 -2 27 -1 18 -1 7 0 20 -1 1 -2 4 -2 4 -2 4 -3 4 4 6 -1 4 0 7 0 2 -2 4 -1 5 -2 5 -7 5 -1 2 -2 -1 -4 1 -2 0 -2 3 -4 -1 -3 4 -3 0 -3 2 -3 -1 -4 1 -6 2 0 2 -5 0 -7 1 -1 0 -4 2 -6 -1 -4 -1 -1 3 -6 2 -3 2 -6 2 -3 5 -5 -1 -3 3 -2 -1 0 -12 0 -6 0 -7 0 -6 0 -10 0 -3 0 -12 0 -13 1"
"32",1,"151 686 17 -5 13 -3 31 -7 17 -4 35 -7 20 -4 7 -1 -7 -36 -6 -32 -2 -8 -2 -13 -6 -31 -1 -4 -3 -15 -4 -20 -4 -22 -1 -6 -5 -23 -4 -6 -3 1 -2 5 -8 1 -4 -1 0 -7 -2 -15 1 -6 0 -6 -3 -6 -24 35 -4 7 -30 45 -14 22 -13 19 -16 23 -4 6 -5 8 -7 10 -2 3 1 3 0 1 1 2 1 6 1 4 3 10 6 23 7 29 8 29 16 -4 1 0"
"33",1,"1397 767 -2 4 2 2 4 2 1 2 3 4 0 6 -3 3 2 7 -1 4 1 7 1 4 5 -1 1 3 7 -22 4 -14 5 -17 3 -9 2 -7 5 -3 1 -4 8 -5 -3 -3 -6 -1 -4 -4 -2 -3 -1 -2 -16 -4 -1 0 -9 -2 -5 -1 -2 2 -2 6 2 1 -1 7 -1 2 -1 13 1 1 0 4 2 3 0 8 1 4 -1 3"
"34",1,"1347 639 2 4 0 3 3 4 10 -4 4 -1 1 0 10 -3 0 -3 0 -1 -1 -4 0 -4 -1 -1 -2 -1 -1 -2 0 -5 5 3 4 0 2 -8 -1 -7 1 -13 -3 -11 -2 -6 -2 -2 -4 -7 -1 -6 -4 -4 -2 -4 -5 7 -2 1 -5 7 -5 2 -1 1 -3 2 1 5 -2 2 3 7 5 3 1 2 2 4 2 2 6 5 -8 6 -4 2 -1 4 -4 2 -1 6 3 4 -3 3 3 6"
"35",1,"503 254 -2 0 -34 3 -11 1 -8 1 -1 -5 3 -3 -24 3 -28 3 -2 -16 -26 3 6 40 2 13 2 15 3 21 4 29 2 14 5 38 5 36 19 -2 26 -3 2 -1 27 -3 13 -1 9 -1 14 -2 2 0 33 -3 27 -2 2 0 -1 -18 -1 0 -2 -17 0 -11 -1 -4 -1 -17 -1 -8 0 -8 -1 -15 0 -1 -2 -17 -1 -10 0 -6 -2 -16 -1 -16 -1 -16 0 -3 -8 1 -13 1 -8 0 -1 0 -25 3"
"36",1,"1287 660 -17 -3 -4 -1 -12 -2 -2 -1 -17 -3 -4 -1 -14 -2 -4 -1 -3 19 10 8 8 6 2 5 -4 1 0 3 -3 7 -5 6 13 9 5 1 13 3 15 3 16 3 0 2 1 1 4 15 6 8 7 6 1 5 10 15 7 6 3 2 3 0 18 4 17 5 2 -8 0 -7 1 -1 1 -1 2 -4 1 -6 -1 -3 0 -5 3 -8 1 -2 -1 -5 4 1 2 -4 2 -7 2 -13 2 -7 0 -9 0 -17 0 -1 1 0 2 -14 1 -5 1 -6 3 -5 -6 -5 5 -5 4 3 11 6 12 6 4 3 11 6 4 -3 1 -4 -1 -3 -12 -10 -22 -16 -4 -2 -9 -2 -3 -2 -4 0 -5 -3 0 5 1 2 2 1 1 1 0 4 1 4 0 1 0 3 -10 3 -1 0 -4 1 -10 4 -2 2 -7 2 -3 3 0 5 -4 3 -2 0 -4 4 -4 -1 -16 -3 -1 0 -11 -3 -10 -2 -1 0"
"37",1,"1268 380 -8 5 -7 -1 -12 -1 -7 -1 -7 -1 0 4 -2 2 -2 2 -4 -1 -1 3 -8 0 -1 -1 -12 -1 -3 0 -3 0 -7 -1 -5 -1 -6 -3 -5 -3 -4 -1 -3 -2 -3 -1 -11 -2 -2 0 -11 -2 -2 0 -4 0 -5 -1 -1 8 3 2 3 0 2 2 -1 4 2 3 0 -1 5 5 3 1 5 0 7 6 -1 0 5 4 4 0 1 6 7 6 1 -1 3 -2 2 4 5 4 5 -2 3 7 0 1 5 4 1 8 9 1 13 1 2 1 6 1 5 0 12 2 9 1 6 1 1 0 4 1 4 1 2 0 10 2 2 0 7 2 4 1 8 1 4 1 4 1 14 2 3 1 8 1 -1 1 11 2 2 0 5 1 5 1 9 2 5 -10 12 -16 2 -6 1 -7 0 -7 -7 -4 -7 -6 -5 -8 -3 -5 -2 -7 -4 2 -7 0 -8 -4 -9 -9 -5 -7 -2 -5 -2 -10 1 -3 -2 -1 -4 3 -6 -1 -6 -3 -6 4 -15 10 -13 10"
