"fips","name","class","bin","rate"
"16019","Bonneville County","ok",3,1.439
"13013","Barrow County","ok",2,0.674
"13183","Long County","ok",2,0.606
"48271","Kinney County","ok",3,1.321
"40115","Ottawa County","ok",1,0.17
"42033","Clearfield County","ok",1,0.308
"26037","Clinton County","ok",2,0.727
"17135","Montgomery County","ok",3,1.221
"28003","Alcorn County","setaside",NA,0
"28071","Lafayette County","setaside",NA,0
"22043","Grant Parish","ok",1,0.497
"29005","Atchison County","ok",6,13.461
"17115","Macon County","ok",3,1.238
"26149","St. Joseph County","ok",2,0.587
"17055","Franklin County","impossible",NA,-27.432
"30033","Garfield County","ok",3,1.356
"31001","Adams County","ok",4,1.899
"27109","Olmsted County","ok",3,1.045
"34039","Union County","ok",4,1.557
"01097","Mobile County","ok",2,0.837
"46087","McCook County","ok",4,2.163
"01057","Fayette County","ok",2,0.725
"01017","Chambers County","ok",3,1.106
"37131","Northampton County","ok",2,0.916
"08081","Moffat County","ok",2,0.891
"21087","Green County","ok",1,0.493
"18047","Franklin County","ok",3,1.45
"37013","Beaufort County","ok",2,0.949
"38015","Burleigh County","ok",4,2.086
"37159","Rowan County","ok",2,0.762
"26071","Iron County","ok",2,0.833
"27067","Kandiyohi County","ok",2,0.956
"21237","Wolfe County","ok",3,1.22
"48149","Fayette County","ok",2,0.649
"46081","Lawrence County","ok",4,2.097
"23029","Washington County","impossible",NA,-0.083
"48045","Briscoe County","ok",3,1.195
"26131","Ontonagon County","ok",2,0.929
"28015","Carroll County","setaside",NA,0
"41003","Benton County","ok",5,2.844
"27133","Rock County","impossible",NA,-5.49
"42063","Indiana County","ok",1,0.099
"22061","Lincoln Parish","ok",2,0.515
"42099","Perry County","ok",2,0.924
"46137","Ziebach County","ok",4,2.13
"48203","Harrison County","ok",1,0.106
"26013","Baraga County","ok",2,0.505
"40131","Rogers County","ok",1,0.317
"29019","Boone County","ok",3,1.412
"40015","Caddo County","ok",1,0.294
"08059","Jefferson County","ok",4,1.609
"54011","Cabell County","ok",3,1.372
"48383","Reagan County","ok",1,0.21
"05141","Van Buren County","ok",2,0.987
"08117","Summit County","ok",4,1.549
"20035","Cowley County","ok",3,1.452
"05071","Johnson County","ok",1,0.385
"36041","Hamilton County","ok",3,1.094
"51045","Craig County","ok",2,0.952
