"fips","part","pts"
"42007",1,"1199 601 10 2 2 -7 -1 -2 -4 -6 -4 -1 -1 6 -2 8"
"28061",1,"982 256 12 1 1 -14 -1 0 -11 -2 -1 15"
"29083",1,"831 483 15 0 0 -2 0 -11 -15 0 0 8 0 5"
"08109",1,"462 478 1 7 1 10 21 -2 7 0 5 -7 3 -4 3 -9 2 -2 0 -5 -17 1 -15 2 0 3 -3 1 -5 5 -3 0"
"37037",1,"1258 424 8 3 7 0 3 1 -1 -10 3 0 -2 -3 -5 3 -1 -3 -5 -2 -6 -1 -1 12"
"49033",1,"358 643 13 -2 -3 -15 -2 -12 -6 -3 1 1 -1 6 -3 1 -2 3 2 4 2 5 0 9 -1 3"
"40001",1,"811 394 7 0 0 -2 2 -13 1 -4 -10 0 0 19"
"39085",1,"1166 642 6 5 6 3 3 -20 -2 -3 -5 -1 -2 -3 -3 0 -3 19"
"51775",1,"1235 475 0 -2 -2 0 2 2"
"51121",1,"1219 470 4 3 5 2 3 -4 1 -4 -5 -4 -5 -3 -2 4 1 2 -2 4"
"47065",1,"1094 382 3 4 3 -1 3 -4 -2 -7 2 -4 0 -1 -8 -1 -3 0 -4 0 3 2 -1 4 4 8"
"35035",1,"461 297 1 12 19 -2 0 -3 12 -1 -1 -7 -1 -6 -2 -16 15 -1 -1 -19 -2 0 -34 3 -11 1 4 35 1 4"
"35003",1,"387 362 39 -5 -1 -12 -4 -28 -8 1 -2 -10 -31 4 3 21 4 29"
"01091",1,"1024 263 -4 2 1 2 5 4 1 0 3 -1 6 0 1 -6 1 0 0 -2 -1 -5 -3 0 -1 -5 -12 -1 1 7 -1 4 3 1"
"56023",1,"374 660 3 18 1 11 6 -1 0 -3 6 -1 -1 -4 -4 -25 1 -6 13 -2 -4 -26 -27 5 3 15 3 19"
"29011",1,"816 449 15 0 0 -2 0 -9 -15 0 0 11"
"48057",1,"755 121 7 0 3 -2 -2 -14 -7 -4 -7 -5 0 3 1 8 1 3 -4 3 1 5 7 3"
"51735",1,"1346 491 0 -2 -7 -2 1 3 6 1"
"54075",1,"1222 513 3 3 3 0 4 4 0 6 5 0 0 -3 0 -6 -2 -7 -2 -3 -1 -5 -9 -2 -3 2 0 4 0 4 2 3"
"48077",1,"703 318 2 3 6 -2 0 1 2 -5 4 -1 -1 -3 0 -16 -14 1 1 13 0 9"
"51095",1,"1327 498 1 -1 2 -2 -2 -3 0 -1 2 0 3 -1 -1 -3 -8 1 -1 6 0 1 4 3"
"31101",1,"610 577 0 8 1 7 2 0 15 -1 4 -1 -1 -12 1 -2 -22 1"
"31137",1,"675 562 7 -1 6 0 0 -12 -13 1 0 12"
"22019",1,"848 170 0 7 -2 4 1 2 8 0 0 4 3 0 0 -3 8 0 3 -1 2 -8 3 0 0 -3 -3 -1 -4 0 -19 -1"
"22111",1,"876 280 20 0 0 -10 -6 -6 -4 0 0 3 -3 0 -2 3 -5 0 0 10"
"40135",1,"811 375 10 0 1 -9 -2 -4 -9 1 0 1 -6 2 -1 2 -3 2 1 5 9 0"
"01049",1,"1086 363 2 -9 0 -1 1 -2 -3 -6 -5 -7 -8 -1 -1 8 1 2 2 1 6 6 5 9"
"36101",1,"1272 679 6 1 2 -3 2 -8 3 1 2 -10 -17 -3 -4 -1 -2 17 1 4 4 1 3 1"
"42053",1,"1237 636 0 -6 -3 -2 1 -3 -3 0 -1 3 -5 -1 -2 -2 -1 3 -1 6 15 2"
"22105",1,"947 196 -1 13 7 1 3 -11 1 -13 3 -4 -4 2 -6 -1 0 3 -3 4 0 6"
"51179",1,"1297 533 1 1 6 -2 1 -5 0 -4 -2 -1 -2 1 -1 1 -2 0 -2 1 -1 2 2 6"
"26109",1,"996 765 1 -3 1 -13 5 1 1 -6 -4 -6 -3 -2 0 -4 -6 0 -2 3 2 6 -6 0 1 5 1 4 -3 4 4 0 0 7 1 3 7 1"
"18073",1,"1014 591 2 1 2 2 5 -2 1 -2 1 -9 -2 -3 -3 -1 1 -3 -5 -1 -2 18"
"13025",1,"1219 250 0 -6 -5 -6 -4 1 -2 -3 -2 3 -1 3 -3 1 3 0 3 3 1 4 4 -1 4 2 2 -1"
"13171",1,"1133 307 4 0 2 1 1 -9 -2 -1 0 2 -5 -1 0 8"
"18151",1,"1068 617 10 1 1 -3 1 -6 -11 -1 -1 9"
"48361",1,"835 174 0 3 7 0 6 0 0 -7 -4 -6 0 4 -6 1 -3 5"
"39047",1,"1131 548 0 -7 -2 -5 -6 -1 0 6 -3 0 0 6 11 1"
"25015",1,"1388 704 3 -2 13 1 3 -3 3 -3 -14 -5 -7 3 -1 9"
"21003",1,"1061 437 3 -2 0 -3 3 -2 0 -4 -6 0 -6 0 -1 4 7 7"
"37001",1,"1256 438 -1 1 8 1 3 -13 -8 -3 -1 2 -1 12"
"20073",1,"766 468 11 0 0 -5 0 -11 0 -5 -16 0 0 18 5 0 0 3"
"25025",1,"1439 713 3 -2 7 3 0 -1 -1 -1 -5 -1 -1 -3 -6 -2 1 1 0 1 2 5"
"16051",1,"365 702 -23 4 -5 1 2 13 1 3 14 -3 -1 -3 5 -2 0 -6 3 -4 4 -3"
"48177",1,"724 155 1 0 9 5 5 -6 -2 -1 -1 -7 -12 -10 -3 4 -4 6 7 9"
"47115",1,"1090 374 1 -4 -3 -2 -3 -1 -8 0 -1 8 4 0 1 3 4 2 3 -2 2 -4"
"26007",1,"1123 751 4 -12 -38 -5 -1 12 35 5"
"21231",1,"1099 443 4 0 4 -3 -5 -11 -6 0 -1 5 -2 4 6 5"
"47185",1,"1079 405 4 3 5 -1 3 -2 1 -4 -1 -3 -5 0 -5 -1 -2 1 0 7"
"48147",1,"764 304 3 2 3 -1 1 3 6 1 3 -1 0 -14 0 -1 -13 -3 -3 2 0 12"
"20043",1,"794 535 1 0 3 -3 3 -2 3 1 3 -2 -5 -8 -1 1 -7 0 0 13"
"48265",1,"662 167 -3 0 0 6 -2 0 0 8 15 -1 -1 -6 12 0 0 -13 -8 5 -13 1"
"12053",1,"1198 140 1 5 -3 4 15 2 6 0 7 -6 -6 -1 0 -1 -20 -3"
"12129",1,"1151 201 2 -12 -3 -1 0 -4 -4 -3 -3 0 3 9 -8 0 -5 4 -2 6 15 2 5 -1"
"12131",1,"1076 219 6 1 5 0 1 -10 6 0 -2 -2 2 -5 -3 -4 1 -11 -5 2 -8 1 -3 28"
"28017",1,"992 325 3 0 1 -9 -7 -1 -3 -3 -4 0 1 3 -1 9 10 1"
"26035",1,"1061 705 6 0 7 1 1 -13 -12 -1 -2 13"
"20157",1,"722 536 3 0 13 -1 0 -12 -16 0 0 13"
"12127",1,"1233 176 -2 1 8 4 1 -5 9 2 -1 5 3 1 6 -9 10 -12 -10 -1 0 -7 -5 7 -6 0 -2 1 0 4 -6 3 -1 3 -4 3"
"40017",1,"714 366 -6 0 0 6 0 6 3 0 16 0 -1 -13 0 -1 -8 0 -4 2"
"13115",1,"1101 354 1 1 0 -7 3 0 0 -11 -11 -2 -2 7 7 7 2 5"
"32001",1,"134 601 2 13 20 -5 26 -6 1 -6 -2 -4 0 -2 -2 -5 -3 0 -2 -3 -4 -2 1 -5 -3 -2 0 -2 -3 0 -24 5 0 2 -7 12 4 12 -4 -2"
"31181",1,"700 549 13 0 0 -13 -7 0 -6 0 0 13"
"17067",1,"909 562 7 0 1 -13 0 -3 -17 -1 1 2 2 5 1 1 0 7 5 2"
"46067",1,"733 664 6 0 0 -12 -7 0 -11 0 -1 1 0 11 4 0 9 0"
"41013",1,"147 784 -1 -5 10 -2 2 -2 -1 -3 7 -2 -4 -12 -3 0 -2 -9 -3 1 -9 2 0 3 -3 1 1 3 -9 3 1 3 -6 2 1 6 -3 1 3 9 3 -1 0 3 5 -1 0 3 11 -3"
"50011",1,"1360 790 17 4 2 -7 -1 -2 -4 0 -3 -7 -9 1 -2 11"
"26103",1,"975 802 0 5 0 1 23 2 4 -38 -4 -1 1 -6 -3 0 -7 -1 0 10 -13 -1 -1 6 0 9 1 4 -1 10"
"09007",1,"1402 670 1 2 5 2 2 -2 4 -1 1 -3 -2 -2 3 -6 -4 -3 -1 3 -5 6 -2 -1 -2 5"
"37057",1,"1242 427 1 -3 2 -15 -4 -1 -1 3 -4 3 -4 2 -1 3 2 1 -1 4 5 3 5 0"
"17025",1,"982 500 0 3 9 1 3 -2 1 -10 -12 0 -1 8"
"29103",1,"877 548 11 1 0 -2 0 -11 -9 -1 -2 3 0 10"
"29117",1,"838 534 11 1 0 -10 3 0 0 -3 -13 0 -1 6 0 6"
"42117",1,"1287 660 1 0 5 -14 -2 -2 -17 -4 -4 17 17 3"
"31043",1,"759 628 5 -1 2 -2 -1 -4 1 -2 -10 0 0 9 3 0"
"26089",1,"1040 725 -24 -3 1 4 4 8 6 6 -6 3 -1 9 16 2 2 -1 4 -3 5 -9 0 -3 -1 -3 -1 -10 -5 0"
"51181",1,"1322 489 2 -1 8 -1 -1 -4 -4 -3 -2 -2 -2 3 -5 2 4 6"
"48391",1,"731 109 7 6 9 -2 4 -3 -1 -3 -10 -2 3 -3 -4 -3 -4 -1 -2 2 -7 1 5 8"
"39017",1,"1097 540 4 0 1 -2 0 -9 -8 0 -5 -1 -1 8 0 2 9 2"
"13273",1,"1128 259 4 2 4 -3 3 -1 -1 -5 0 -3 -4 0 -3 -1 -3 6 0 5"
"13063",1,"1128 323 2 0 0 -8 -1 -3 -1 0 -1 4 -2 3 -1 3 4 1"
"56013",1,"405 690 3 20 4 -3 2 -6 7 5 3 -1 2 -5 3 -5 0 -3 6 -1 6 -2 0 -2 9 -3 20 -2 0 1 1 -1 1 -1 -3 -25 -1 0 -1 -13 -1 -6 -40 5 0 7 1 9 -3 3 -4 8 -4 3 -2 9 0 4 -1 4 -8 1"
"18115",1,"1082 513 0 1 7 4 0 -5 -7 0"
"13073",1,"1185 331 3 2 3 0 4 -3 3 -1 -7 -9 -5 7 -1 4"
"08115",1,"593 578 1 0 16 -1 -1 -9 -16 1 0 9"
"30065",1,"449 805 9 -1 20 -3 0 -9 0 -4 -4 1 -3 -5 -7 1 -2 -1 -1 -3 -9 1 0 5 -1 4 0 7 -3 2 1 5"
"42043",1,"1298 611 6 2 5 -3 -3 -3 5 -10 -3 -3 -5 3 -2 3 -4 2 2 3 -2 3 1 3"
"46101",1,"753 689 11 0 0 -12 -12 0 1 12"
"54079",1,"1177 517 3 -2 -2 -2 2 -4 -5 -3 0 -3 -4 1 0 4 -1 5 2 2 5 2"
"34037",1,"1347 639 2 4 0 3 3 4 10 -4 -2 -5 -3 -5 -3 -2 -7 5"
"20039",1,"644 538 15 0 1 0 -1 -16 -15 0 -1 0 1 16"
"18123",1,"1038 482 3 2 3 -2 3 1 1 -3 -1 -3 0 -5 -4 -3 -5 5 1 2 -1 6"
"28145",1,"978 343 4 1 11 0 0 -3 -1 0 -1 -5 -13 -1 0 5 0 3"
"31015",1,"709 646 1 -2 4 -2 0 -5 -11 2 -6 4 -8 -3 0 7 20 -1"
"27095",1,"832 762 0 3 9 0 0 -3 0 -6 -2 -1 0 -9 1 -6 -7 0 0 9 -1 6 0 7"
"38099",1,"719 848 10 0 18 0 1 -10 0 -3 -19 1 -10 0 0 12"
"39115",1,"1163 555 11 1 4 -6 -3 0 0 -4 -4 -2 -6 0 0 3 0 7 -2 1"
"39133",1,"1173 615 10 2 2 -8 1 -5 -3 0 -8 -2 -2 13"
"56041",1,"366 614 2 12 27 -5 -3 -21 -27 4 1 10"
"32013",1,"142 649 9 37 17 -5 13 -3 31 -7 -8 -36 -3 -12 -6 1 -2 -4 1 6 -9 2 1 6 -30 7 0 4 -14 4"
"48247",1,"679 70 5 0 0 3 8 0 1 -4 2 -7 2 0 -1 -10 -17 0 0 18"
"08017",1,"606 505 -1 -12 0 -3 -32 2 1 15 32 -2"
"41005",1,"97 831 3 0 20 -6 2 -3 -1 -5 -2 -1 2 -5 -5 -2 1 -5 -17 5 -2 2 -1 4 -4 5 2 2 -2 3 0 3 3 -1 1 4"
"05113",1,"822 341 4 -1 9 0 3 -1 0 -11 -10 0 1 -6 -7 0 0 11 0 8"
"13193",1,"1148 282 1 -7 -3 -1 -2 -4 -5 2 -2 2 -1 3 4 5 2 1 1 0 5 -1"
"13193",2,"1143 283 -1 0 1 0"
"18007",1,"1009 573 7 0 5 1 0 -7 1 -3 -12 -1 0 1 -1 9"
"47129",1,"1100 412 1 6 4 3 5 -4 4 -3 3 -3 -3 -3 -6 -4 -2 3 -6 5"
"46043",1,"704 665 10 0 6 -1 0 -11 -15 7 -1 5"
"24047",1,"1352 534 7 2 1 2 -2 4 10 2 0 -3 -1 -14 -13 -4 1 5 -3 6"
"17185",1,"1004 492 1 0 7 1 -2 -6 -2 -5 -4 -1 1 7 -1 4"
"18069",1,"1059 587 9 2 0 -4 1 -9 -3 -1 -5 0 -2 12"
"21209",1,"1099 498 1 1 3 -4 1 -3 2 -3 -6 -4 -3 3 -2 5 4 5"
"19053",1,"843 569 0 -12 -6 0 -6 0 -1 12 13 0"
"18169",1,"1051 586 0 2 7 1 1 -2 2 -12 -6 -1 -2 0 -2 12"
"18003",1,"1071 598 10 2 0 -1 1 -9 1 -3 -8 -1 -7 -1 0 4 -1 6 0 3 4 0"
"18099",1,"1046 604 0 -2 1 -10 -11 -1 -1 10 0 1 11 2"
"31171",1,"645 615 16 -1 -1 -12 -12 0 -4 1 1 12"
"38085",1,"648 769 3 4 3 -1 6 2 0 -7 -2 -4 3 -7 -38 2 0 4 4 0 4 -2 5 0 5 3 7 6"
"48127",1,"666 120 1 0 -1 -16 -23 1 0 16 23 -1"
"27045",1,"879 679 9 0 1 -13 -9 0 -10 0 -1 12 10 1"
"45023",1,"1224 380 2 -4 1 -6 -17 -1 -3 8 17 3"
"27073",1,"764 729 5 -1 4 -3 2 -1 8 -8 -3 -1 0 -3 -16 0 0 6 0 11"
"49005",1,"341 646 1 -1 16 -2 1 -3 0 -9 -2 -5 -2 -4 -4 1 -2 -2 -4 3 0 4 -2 1 -1 5 1 4 -2 8"
"55093",1,"861 710 -2 1 1 4 16 1 0 -7 1 -5 -5 0 -8 2 -3 4"
"13049",1,"1208 236 2 3 4 -1 2 -4 0 -3 -3 -4 2 -6 -1 -8 -3 0 -2 2 -1 5 1 8 -9 -1 0 8 8 1"
"13233",1,"1105 337 4 0 -1 -5 -2 -2 -11 -2 0 3 -1 4 11 2"
"17113",1,"961 564 4 0 4 3 1 3 10 1 0 -5 4 0 0 -8 1 -4 -4 0 -15 -2 -4 2 -1 10"
"23001",1,"1440 790 2 1 4 -9 3 -3 1 -5 -2 -3 -6 3 -4 -1 2 7 0 10"
"16055",1,"259 885 14 -3 -1 -3 4 -1 -4 -17 -6 1 -1 -1 -10 2 4 22"
"32003",1,"202 479 5 -1 28 -5 20 -5 -5 -23 -4 -6 -3 1 -2 5 -8 1 -4 -1 0 -7 -2 -15 1 -6 0 -6 -3 -6 -24 35 -4 7 2 8 -2 0 5 24"
"20147",1,"675 537 12 0 4 0 -1 -16 -15 0 -1 0 1 16"
"31089",1,"689 640 8 3 6 -4 11 -2 0 -11 0 -13 -13 0 -12 0 -1 0 1 26 0 1"
"29101",1,"829 493 0 3 8 1 9 0 0 -14 -15 0 -2 0 0 10"
"55063",1,"896 684 3 4 4 0 5 0 1 0 1 -12 -9 -1 -1 5 -4 4"
"22021",1,"890 248 -1 5 9 1 2 -4 2 -1 1 -6 -4 -2 -9 -1 0 8"
"21061",1,"1053 445 -3 5 9 2 4 -4 0 -2 -1 -4 -5 0 -4 3"
"17005",1,"966 506 1 -10 -10 -1 -2 9 2 1 9 1"
"17009",1,"917 543 6 0 3 -4 2 0 -1 -4 0 -2 -10 0 0 10"
"27085",1,"815 715 0 3 6 0 6 1 1 -10 -7 0 0 -3 -6 0 0 3 0 6"
"55033",1,"875 728 13 1 1 -13 0 -6 -13 -1 0 7 -1 12"
"08027",1,"497 486 21 -3 -1 -12 -3 4 -7 -4 -2 0 -2 2 -3 9 -3 4"
"29123",1,"933 453 11 0 0 -1 1 -11 -2 0 -10 0 0 12"
"48353",1,"649 263 -1 -16 -3 0 -13 0 1 17 16 -1"
"42127",1,"1330 656 -4 12 4 1 4 -4 2 0 4 -3 0 -5 -4 -15 -4 -1 1 1 -3 14"
"36091",1,"1351 721 -1 4 7 3 3 -5 5 3 2 -7 0 -6 0 -6 -3 -1 -7 5 -2 0 0 1 -4 9"
"48041",1,"758 193 3 2 4 6 3 2 3 -5 -1 -8 2 -7 -1 -3 -5 2 1 1 -9 10"
"40095",1,"748 313 -1 4 1 4 8 0 2 -3 -1 -4 1 -4 -3 -1 -5 0 -2 4"
"24001",1,"1250 568 3 0 12 2 1 1 1 -4 -3 -5 -5 0 -5 2 -3 -7 -3 1 2 10"
"54103",1,"1198 559 8 1 3 0 1 -3 -2 -3 0 -3 -1 -2 -2 1 -3 0 -4 4 -3 0 3 5"
"55053",1,"902 707 6 1 0 -4 3 1 0 -4 13 1 1 -6 0 -4 -16 0 -1 -4 -5 0 -1 19"
"41007",1,"71 870 5 -1 2 -2 4 0 6 -2 1 -5 -4 -13 -8 3 -9 3 4 7 0 7 -1 3"
"53041",1,"96 883 5 -2 -1 -1 24 -6 8 -4 3 1 7 -2 1 -3 -3 -6 0 -5 -3 1 -18 5 -24 7 -3 0 4 15"
"36003",1,"1248 672 7 1 5 1 4 -1 2 -17 -12 -2 -2 -1 -4 19"
"19031",1,"901 607 0 3 13 0 0 -6 0 -6 -12 -1 -1 10"
"18117",1,"1050 501 1 -10 0 -1 -11 -1 0 5 -1 6 11 1"
"13089",1,"1128 334 1 -1 8 -5 -2 -5 -2 0 -3 0 -2 0 -2 11 2 0"
"13227",1,"1124 356 3 -6 -10 -1 -2 1 0 5 9 1"
"30015",1,"443 857 -2 -15 -7 1 -2 -6 -8 -4 -2 0 -10 2 -3 2 -2 3 -4 3 2 3 -10 2 1 10 1 6 14 -3 3 3 3 0 0 3 19 -3 3 -4 -1 -3 5 0"
"31017",1,"677 637 0 -23 -1 0 -13 0 1 28 1 -1 12 -4"
"47013",1,"1117 431 1 0 7 1 3 -6 -2 -6 -2 -2 -4 0 -5 -1 1 2 -1 7 2 2 0 3"
"37069",1,"1291 446 9 -1 -5 -15 -6 4 -4 1 1 6 2 1 3 4"
"24510",1,"1320 562 -3 0 -3 1 -1 4 5 1 2 -6"
"20111",1,"766 481 0 8 11 0 0 -12 0 -9 -11 0 0 13"
"19027",1,"800 617 7 0 6 0 0 -13 -3 0 -10 0 0 13"
"22107",1,"915 252 11 0 2 -3 1 0 -6 -9 -3 -1 1 -4 -2 0 -5 0 -1 5 2 2 0 10"
"47123",1,"1114 394 1 2 5 0 4 -1 2 -1 5 -3 -2 -3 1 -4 -2 -2 -3 0 -3 -2 -6 2 2 5 -4 7"
"20075",1,"604 477 13 -1 1 0 -1 -16 0 -4 -14 1 1 20"
"19151",1,"817 642 1 -9 0 -3 -13 -1 0 13 12 0"
"16045",1,"244 745 2 0 3 7 1 3 4 1 -1 -6 -2 0 -1 -6 -2 0 -2 -12 -6 1 -6 1 2 7 3 -1 5 5"
"05063",1,"898 386 4 2 7 1 3 -2 5 0 -4 -7 0 -6 -7 0 -6 -1 -1 7 -1 6"
"05085",1,"891 354 0 2 3 0 7 -1 0 -4 3 0 0 -9 2 -2 -1 -5 -1 0 -9 0 0 5 -2 3 0 11 -2 0"
"18111",1,"1007 588 3 1 4 2 2 -18 -7 0 -1 10 -1 5"
"13119",1,"1152 356 7 2 2 2 1 -1 0 -9 -2 -1 -4 0 -1 -1 -3 8"
"12051",1,"1251 77 -2 9 20 4 1 7 4 -23 0 -2 -12 -3 -2 10 -9 -2"
"13265",1,"1178 328 -4 -7 -5 1 -1 8 1 1 3 -3 2 1 4 -1"
"48245",1,"835 174 3 -5 6 -1 0 -4 -2 -2 3 -5 0 -3 -7 1 -10 -5 0 14 -3 0 0 8 5 0 3 3 2 -1"
"30059",1,"387 815 -2 2 -1 4 3 -1 0 4 12 -2 4 -2 1 -2 4 -4 4 -6 5 0 -3 -17 0 -2 -13 3 -7 1 0 4 2 3 -5 2 -1 5 -3 8"
"08067",1,"433 470 14 -2 -1 -8 -2 -15 -26 3 3 5 1 3 3 4 3 1 2 3 3 6"
"48027",1,"732 216 2 -3 2 2 6 -11 -6 -4 -1 -5 -10 5 -6 1 -3 5 0 1 16 9"
"28069",1,"992 283 3 0 14 1 0 -13 -16 -1 -1 13"
"05019",1,"852 328 2 0 1 -2 10 -2 0 -3 4 0 0 -8 1 -4 -7 -2 -5 3 -3 4 -2 3 -1 11"
"41035",1,"96 700 -22 7 10 35 1 2 5 -1 5 6 -1 4 -2 3 2 4 3 1 17 -4 -2 -9 -6 -22 12 -3 -7 -27 -15 4"
"36075",1,"1283 723 16 2 7 2 2 -7 -2 0 1 -12 -3 0 -5 1 -8 -2 -4 0 -4 16"
"01019",1,"1081 338 5 7 3 6 3 -9 2 -7 1 -4 -4 -2 -6 1 -4 8"
"48019",1,"667 156 -6 0 1 11 13 -1 8 -5 5 -2 -1 -1 -4 -5 -2 2 -14 1"
"30087",1,"479 791 -1 1 0 9 -1 4 30 -3 15 -2 -1 -1 -1 -12 -1 0 -1 -13 -1 0 -1 -12 -1 0 -2 -16 -2 -6 -13 1 2 6 1 12 -4 1 0 7 1 9 -2 0 1 10 -3 0 0 4 -15 1"
"35059",1,"544 434 27 -2 2 0 -1 -18 -1 0 -2 -17 0 -11 -10 1 1 12 -13 1 1 4 -7 0 1 2 2 28"
"26153",1,"1032 787 1 -9 1 -15 2 -9 -16 -2 -1 12 -2 9 -3 0 0 6 6 1 -1 6 13 1"
"36111",1,"1345 673 7 8 4 -2 7 1 1 4 3 -2 0 -1 0 -7 3 -11 -11 -3 -1 2 -6 3 3 5 -10 3"
"34007",1,"1354 599 4 -3 2 -4 5 -1 -3 -5 -10 9 2 4"
"17083",1,"928 507 1 3 7 -1 4 4 1 -10 -4 0 0 -3 -5 2 -3 0 -1 5"
"51085",1,"1300 501 -5 0 1 11 2 0 9 -6 8 -5 -3 -4 -4 2 -4 3 -4 -1"
"20199",1,"622 508 -1 -16 -3 0 -13 1 1 12 0 4 16 -1"
"26003",1,"998 810 -2 22 33 -16 3 -29 -13 -1 1 -6 -6 -1 0 -6 -12 -1 -4 38"
"05049",1,"888 408 1 0 13 1 7 0 0 -6 -4 0 1 -3 -4 0 -14 0 0 8"
"48215",1,"690 33 9 19 11 -1 1 -6 -1 -6 4 0 0 -3 0 -10 -6 -1 -5 0 -6 4 -3 3 -4 1"
"37155",1,"1268 380 3 6 -1 2 4 1 4 5 5 -3 4 -5 -1 -8 -2 -2 -3 -6 -13 10"
"26123",1,"1038 689 12 1 2 -12 0 -7 -6 0 -6 -1 -1 6 -1 13"
"41049",1,"169 826 3 0 5 -1 3 2 4 -1 -3 -11 4 -2 2 -3 -4 -16 -1 -3 -13 4 -2 3 2 3 -3 1 0 3 -3 1 6 20"
"27153",1,"797 769 11 0 2 -1 1 -21 -13 0 0 12 -1 10"
"05083",1,"844 366 6 1 6 -3 1 -4 -6 0 -2 -3 -5 0 0 -4 -11 0 -2 2 3 2 0 2 4 1 0 3 3 0 3 3"
"37109",1,"1205 399 -4 5 17 2 1 -2 0 -3 -14 -2"
"05091",1,"835 298 7 3 3 -5 2 -6 -3 -6 -3 -2 2 -3 -7 0 -1 9 0 10"
"12095",1,"1243 159 -1 -5 5 0 10 1 4 -3 2 -6 -25 -4 -3 16 8 1"
"08111",1,"437 474 4 5 5 1 1 -7 0 -5 -14 2 0 2 4 2"
"16041",1,"351 660 7 -2 0 -5 -2 -2 1 -4 1 -4 -16 2 2 11 6 -2 1 6"
"13045",1,"1106 326 5 0 0 -8 3 1 -1 -3 -4 -4 -9 -1 0 2 -2 7 8 3 0 3"
"20161",1,"749 519 4 0 7 0 -4 -6 5 -8 4 0 0 -5 -3 0 0 1 -10 1 0 4 -3 1 0 12"
"48413",1,"647 210 0 -14 -27 2 1 13 8 0 18 -1"
"51167",1,"1182 460 5 -6 -2 -1 -3 -3 -3 -1 -1 -2 -6 -5 -3 6 2 4 5 3 6 5"
"37027",1,"1190 423 8 1 7 -3 1 -7 -1 -2 -5 0 -9 5 2 5 -3 1"
"16065",1,"358 715 3 -2 7 -2 5 1 -2 -11 -6 1 -4 3 -3 4 0 6"
"18173",1,"1023 482 7 0 2 -1 0 -3 -6 -6 0 -4 -1 1 -5 1 -1 8 4 4"
"21001",1,"1083 449 5 5 3 -2 1 -2 -4 -8 0 -3 -7 0 -3 6 5 4"
"21077",1,"1092 512 4 -3 -3 -2 -4 -3 -3 3 3 2 3 3"
"21097",1,"1110 504 1 -1 2 -4 -2 -3 -4 -4 -3 0 -1 3 -3 4 2 2 8 3"
"23023",1,"1449 779 6 3 0 -5 3 0 0 -4 2 -1 2 -5 -1 -2 -4 -2 -3 8 -4 3 -1 5"
"30097",1,"414 789 0 2 16 -3 0 -6 5 -1 -3 -3 -2 -6 -1 -6 -3 0 -7 -2 -1 -6 -3 0 -1 -6 -4 1 3 22 -1 0 2 14"
"48181",1,"747 312 1 1 2 -4 5 0 3 1 3 -4 3 -2 0 -12 -13 0 -4 1 0 19"
"42059",1,"1205 569 6 3 8 0 2 -2 2 -7 -14 -3 -3 0 -1 9"
"20051",1,"675 505 15 0 0 -17 -16 1 1 16"
"01065",1,"1028 289 9 0 1 -4 -2 -2 1 -6 -2 -1 1 -6 -6 0 -3 1 0 6 -2 6 3 6"
"01105",1,"1038 285 3 -2 9 1 1 -3 -3 -10 -9 -1 1 -6 -2 0 -1 0 -1 6 -1 6 2 1 -1 6 2 2"
"01033",1,"1031 355 0 -3 -2 -6 -18 -1 0 12 4 0 4 -5 9 4 3 -1"
"20151",1,"689 453 0 3 16 0 0 -4 0 -9 -16 0 0 10"
