"state_name","county_name","fips","ballots","total_votes","residual","residual_rate"
"Virginia","Emporia city","51595",2167,2178,-11,-0.508
"Texas","Hays County","48209",125083,125688,-605,-0.484
"Virginia","Brunswick County","51025",7702,7738,-36,-0.467
"Pennsylvania","Union County","42119",21090,21188,-98,-0.465
"Pennsylvania","Huntingdon County","42061",23050,23156,-106,-0.46
"Nevada","Mineral County","32021",2286,2295,-9,-0.394
"Texas","Lamar County","48277",21157,21236,-79,-0.373
"Maryland","Caroline County","24011",16220,16276,-56,-0.345
"Maine","York County","23031",132392,132838,-446,-0.337
"Nevada","Lyon County","32019",33431,33541,-110,-0.329
"Pennsylvania","Carbon County","42025",35290,35395,-105,-0.298
"Nevada","Churchill County","32001",13466,13503,-37,-0.275
"Arkansas","Scott County","05127",3376,3384,-8,-0.237
"Nevada","Humboldt County","32013",8011,8030,-19,-0.237
"Nevada","Washoe County","32031",263154,263734,-580,-0.22
"Arkansas","Yell County","05149",6463,6477,-14,-0.217
"Texas","Rains County","48379",6540,6554,-14,-0.214
"Nevada","White Pine County","32033",4343,4351,-8,-0.184
"Pennsylvania","Armstrong County","42005",37052,37119,-67,-0.181
"California","Imperial County","06025",53929,54025,-96,-0.178
"Pennsylvania","Mifflin County","42087",22032,22071,-39,-0.177
"South Dakota","Hamlin County","46057",3221,3226,-5,-0.155
"Missouri","New Madrid County","29143",6804,6811,-7,-0.103
"Nevada","Eureka County","32011",1035,1036,-1,-0.097
"Maine","Washington County","23029",18033,18048,-15,-0.083
"Pennsylvania","Greene County","42059",17223,17236,-13,-0.075
"Texas","Gray County","48179",7576,7580,-4,-0.053
"Kansas","Smith County","20183",2005,2006,-1,-0.05
"Pennsylvania","Northumberland County","42097",43518,43522,-4,-0.009
