"name","born_all","born_through_2020","median_birth_year","census_2020","census_rank","pct_still_counted"
"CHRISTY",100536,100324,1975,91660,581,91.364
"ANDY",95492,92243,1987,91633,582,99.3387
"LORETTA",178066,176141,1943,91196,583,51.7744
"BLANCA",25653,25135,1984,91179,584,362.757
"CLAYTON",139954,134224,1985,91105,585,67.8753
"LUZ",28805,27244,1987,90901,586,333.655
"MARIAH",115279,111152,2001,90630,587,81.537
"DAISY",159355,146203,1986,90387,588,61.8229
"KATRINA",101731,101156,1982,90135,589,89.1049
"ENRIQUE",61494,58804,1994,90043,590,153.124
"ALFREDO",57360,55636,1986,89731,591,161.282
"CONSTANCE",140394,139770,1948,89619,592,64.1189
"MEGHAN",96727,95785,1990,89553,593,93.4938
"BETHANY",101086,99036,1990,89509,594,90.3803
"NATASHA",97937,96555,1987,89482,595,92.6746
"GLENDA",109522,109410,1952,89345,596,81.6607
"JUANA",18881,17942,1975,88951,597,495.77
"WHITNEY",103657,102349,1989,88892,598,86.8519
"COOPER",126484,96786,2014,88776,599,91.724
"NATALIA",85196,71724,2010,88111,600,122.847
"ELIAS",129502,92844,2015,88033,601,94.8182
"EMMANUEL",91451,81039,2007,87988,602,108.575
"PRISCILLA",123040,120657,1966,87905,603,72.8553
"DARREN",104506,103266,1975,87892,604,85.1122
"PRESTON",123757,117436,2000,87761,605,74.7309
"MAKAYLA",108183,104731,2006,87622,606,83.6639
"WARREN",185502,179601,1947,87424,607,48.6768
"ARIEL",100665,92294,2002,87270,608,94.5565
"TANNER",100166,96160,2001,86959,609,90.4316
"KATE",86076,82835,1996,86820,610,104.811
"MELODY",115084,101595,1986,86671,611,85.3103
"LANCE",106184,104687,1977,86540,612,82.6655
"MARSHA",104442,104368,1954,86245,613,82.6355
"SOPHIE",138694,120674,2007,86141,614,71.3832
"GRAYSON",133184,99591,2017,86122,615,86.4757
"SIERRA",100866,98193,1999,85582,616,87.1569
"BRENDAN",92141,90866,1997,85406,617,93.9912
"ARLENE",143371,142786,1941,85381,618,59.7965
"GERARDO",55254,52895,1997,85111,619,160.906
"LAYLA",129245,100413,2015,84915,620,84.5657
"BRADY",98908,92956,2005,84835,621,91.2636
"BRANDI",102295,102069,1983,84737,622,83.0193
"KENDRA",98788,96792,1990,84524,623,87.3254
"MICHEAL",156555,155805,1966,84520,624,54.2473
"IRMA",74021,73705,1938,84440,625,114.565
"ARTURO",57291,54965,1989,84408,626,153.567
"VICKIE",110434,110406,1957,84330,627,76.3817
"ALEXANDRIA",104778,101034,1998,84197,628,83.3353
"ABRAHAM",104175,95320,2000,84024,629,88.1494
"JADE",109166,94599,2006,83708,630,88.4872
