"fips","n_wf","n_cb","n_wf_2020","n_cb_2020","has_wf","has_cb","has_wf_2020","has_cb_2020","cat","pop","land_sqmi","ba_pct","density","win2008","dem2008","gop2008","total2008","win2012","dem2012","gop2012","total2012","win2016","dem2016","gop2016","total2016","win2020","dem2020","gop2020","total2020","win2024","dem2024","gop2024","total2024"
"05037",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",16194,616.318,16.0643,26.2754,"R",2580,4393,7130,"R",2279,4268,6680,"R",1995,4577,6831,"R",1772,4946,6942,"R",1642,4753,6534
"05039",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",6076,667.323,13.0379,9.10504,"R",1471,1757,3318,"R",1337,1664,3083,"R",1165,1507,2741,"R",963,1573,2649,"R",798,1482,2324
"05041",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",10321,741.227,13.0672,13.9242,"D",2569,1999,4678,"D",2353,1807,4240,"D",2227,1915,4226,"D",2016,1921,4164,"R",1638,1805,3505
"05043",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",16935,828.667,25.0229,20.4364,"R",2598,3860,6610,"R",2627,3883,6626,"R",2364,3967,6552,"R",2426,4349,6908,"R",2050,4203,6365
"05045",0,1,0,1,FALSE,TRUE,FALSE,TRUE,"cracker barrel only",131611,647.247,32.4789,203.34,"R",14955,25362,41179,"R",13559,26653,41322,"R",14525,29170,46364,"R",18347,34421,54428,"R",17752,35357,54465
"05047",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",17586,608.967,12.2994,28.8784,"R",1869,4411,6475,"R",1725,4631,6539,"R",1376,5034,6698,"R",1300,5677,7129,"R",1232,5582,6971
"05049",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",12546,617.994,14.3891,20.3012,"R",1819,2702,4676,"R",1452,2949,4522,"R",1067,3470,4744,"R",1035,3961,5119,"R",906,4040,5043
"05051",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",99902,677.615,25.2458,147.432,"R",15899,26825,43719,"R",13317,25031,39241,"R",12283,26053,40337,"R",14045,29069,44199,"R",13015,28359,42327
"05053",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",18546,631.888,18.7802,29.3501,"R",1562,5023,6793,"R",1467,4829,6478,"R",1407,5160,6855,"R",1268,6794,8200,"R",1192,6755,8078
"05055",0,0,0,0,FALSE,FALSE,FALSE,FALSE,"neither",46928,577.34,16.5611,81.2831,"R",4541,8578,13612,"R",3998,9066,13754,"R",3056,10698,14422,"R",3058,12670,16100,"R",2935,12617,15820
