"vote","rvweight","lvweight","educ4","race4","race_said","party3","age4","turnout3","region5"
"Clinton",0.8194,0.8173,"Postgraduate","White","White","Democratic","35-49","High","North/Panhandle"
"Trump",0.8496,0.8478,"Bachelor's","White","White","Republican","50-64","High","North/Panhandle"
"Trump",1.0715,1.0697,"Some college","White","White","Republican","65+","High","North/Panhandle"
NA,0.8234,0.399,"Bachelor's","Other","Other","Republican","35-49","High","North/Panhandle"
"Clinton",0.4785,0.4148,"HS or less","Hispanic","Other","Democratic","50-64","Middle","North/Panhandle"
"Clinton",0.6965,0.6189,"Postgraduate","White","White","Other","35-49","Middle","North/Panhandle"
"Clinton",1.2516,1.1579,"Postgraduate","White","White","Republican","50-64","Middle","Central"
"Trump",0.7987,0.7249,"Bachelor's","White","White","Other","65+","Middle","Southeast"
NA,0.7945,0.6684,"HS or less","White","White","Other","65+","Middle","Southwest"
"Clinton",0.9305,0.9132,"Some college","White","Other","Other","65+","High","Bay Area"
"Clinton",1.007,1.0037,"HS or less","White","White","Democratic","50-64","High","Bay Area"
"Trump",1.3606,1.3427,"Postgraduate","White","White","Republican","65+","High","Central"
"Trump",1.0983,1.0968,"Some college","White","White","Republican","65+","High","Bay Area"
"Clinton",1.0125,0.9919,"Some college","Black","Black","Democratic","50-64","High","Southwest"
"Clinton",0.8194,0.8171,"HS or less","Black","Black","Democratic","65+","High","North/Panhandle"
"Clinton",1.3137,1.2993,"Some college","White","White","Other","50-64","High","Central"
"Clinton",1.2072,1.2027,"Bachelor's","Black","Black","Democratic","65+","High","Bay Area"
"Trump",1.1176,1.1122,"Some college","White","White","Republican","35-49","High","North/Panhandle"
"Clinton",0.8194,0.8046,"HS or less","White","White","Democratic","50-64","High","North/Panhandle"
"Clinton",1.1156,1.0784,"HS or less","White","White","Other","65+","High","Bay Area"
"Clinton",1.7256,1.1932,"HS or less","Black","Black","Other","50-64","Low","Central"
"Trump",1.8802,1.3264,"HS or less","White","White","Republican","65+","Low","Central"
NA,0.8836,0.8816,"Bachelor's","White","White","Democratic","65+","High","Bay Area"
"Trump",1.174,0.7469,"Some college","White","White","Republican","35-49","Low","North/Panhandle"
"Trump",0.9078,0.8944,"HS or less","White","White","Other","65+","High","North/Panhandle"
"Trump",1.5506,0.7145,"Postgraduate","White","White","Republican","35-49","High","Central"
"Trump",0.9704,0.7681,"Some college","White","Refused","Other","35-49","Middle","Central"
NA,0.862,0.8498,"Some college","White","Other","Democratic","65+","High","North/Panhandle"
NA,1.0957,0.5234,"Some college","White","White","Other","50-64","High","Central"
"Clinton",1.382,1.3413,"Some college","White","White","Other","65+","High","Central"
"Trump",1.2019,1.1792,"HS or less","Other","Other","Republican","65+","High","Central"
"Trump",1.2933,1.291,"Bachelor's","White","White","Republican","50-64","High","Central"
"Clinton",0.8194,0.8179,"Postgraduate","White","White","Democratic","50-64","High","North/Panhandle"
"Clinton",0.6835,0.6815,"Some college","White","White","Democratic","50-64","High","North/Panhandle"
NA,1.079,1.0752,"Postgraduate","Black","Black","Other","18-34","High","North/Panhandle"
"Trump",1.0983,1.0953,"Bachelor's","White","White","Republican","65+","High","Bay Area"
NA,1.0623,1.053,"Some college","Black","Black","Republican","18-34","High","North/Panhandle"
NA,0.9837,0.6236,"Some college","Hispanic","Other","Democratic","18-34","Low","Southeast"
"Clinton",0.6976,0.6593,"Bachelor's","Other","Other","Other","18-34","High","North/Panhandle"
NA,0.602,0.1657,"HS or less","Hispanic","Refused","Other","18-34","Middle","Southwest"
"Clinton",1.5858,1.0055,"Some college","Black","Black","Democratic","50-64","Low","Bay Area"
"Trump",0.8276,0.5246,"HS or less","Other","White","Other","18-34","Low","Bay Area"
NA,0.6051,0.187,"Some college","Hispanic","White","Other","18-34","Middle","Southeast"
"Clinton",0.7992,0.6536,"Some college","Hispanic","White","Democratic","35-49","Middle","Central"
"Clinton",0.6531,0.6165,"Some college","Hispanic","White","Democratic","18-34","High","North/Panhandle"
NA,1.062,1.0218,"Some college","Other","Other","Other","35-49","High","Central"
NA,1.2517,1.2453,"Postgraduate","White","White","Republican","50-64","High","Bay Area"
"Clinton",0.7789,0.7774,"Postgraduate","Black","Black","Democratic","50-64","High","North/Panhandle"
"Clinton",0.985,0.2953,"HS or less","Black","Black","Democratic","50-64","Middle","Southeast"
"Clinton",0.651,0.5532,"Some college","Other","Black","Democratic","65+","Middle","Central"
NA,1.1631,0.7365,"Postgraduate","Hispanic","White","Other","35-49","Low","Bay Area"
NA,0.686,0.2043,"Bachelor's","Hispanic","Other","Democratic","35-49","Middle","Southeast"
"Trump",0.8073,0.7709,"Postgraduate","Other","Other","Other","50-64","High","Central"
NA,1.1091,0.1485,"Some college","Hispanic","White","Democratic","18-34","Low","Bay Area"
"Trump",1.0913,0.6885,"Bachelor's","White","White","Other","35-49","Low","North/Panhandle"
"Clinton",1.2421,0.1416,"HS or less","Hispanic","Other","Other","18-34","Low","Southeast"
NA,0.6561,0.1852,"Bachelor's","White","Other","Other","18-34","Middle","Bay Area"
"Clinton",0.546,0.5206,"Postgraduate","Other","Other","Democratic","50-64","High","Southwest"
"Trump",0.9102,0.7931,"Some college","White","White","Other","50-64","Middle","Southeast"
"Trump",0.7945,0.6829,"Bachelor's","White","White","Other","65+","Middle","Southwest"
NA,1.2702,0.1548,"HS or less","Other","Other","Democratic","50-64","Low","Central"
"Clinton",1.593,0.1766,"Bachelor's","White","White","Other","65+","Low","Central"
"Clinton",1.019,0.9857,"Bachelor's","Hispanic","White","Democratic","35-49","High","Southeast"
"Clinton",0.9052,0.7439,"Postgraduate","Black","Black","Democratic","18-34","Middle","Southeast"
NA,1.0163,0.8408,"Some college","Black","Black","Democratic","35-49","Middle","Bay Area"
NA,0.546,0.5229,"HS or less","Other","Black","Democratic","50-64","High","Southwest"
"Trump",1.044,1.024,"HS or less","White","White","Republican","50-64","High","Bay Area"
"Clinton",0.9383,0.581,"Some college","Other","White","Democratic","18-34","Low","Bay Area"
NA,1.1944,0.1361,"HS or less","White","White","Other","18-34","Low","Southeast"
"Trump",1.2936,0.8987,"Some college","White","White","Republican","18-34","Low","North/Panhandle"
"Trump",0.5804,0.533,"Some college","White","White","Democratic","65+","Middle","North/Panhandle"
NA,0.9339,0.4338,"HS or less","Black","Black","Democratic","50-64","High","North/Panhandle"
"Clinton",0.977,0.972,"HS or less","Hispanic","White","Democratic","65+","High","Southeast"
NA,0.3735,0.2896,"Bachelor's","Other","White","Democratic","18-34","Middle","North/Panhandle"
"Clinton",1.007,0.9587,"Some college","White","White","Democratic","50-64","High","Bay Area"
"Clinton",0.6137,0.4958,"Some college","Other","Other","Other","35-49","Middle","Southeast"
NA,1.0601,0.6904,"HS or less","Hispanic","White","Other","50-64","Low","Bay Area"
"Clinton",1.2069,0.1458,"HS or less","Hispanic","Other","Other","18-34","Low","Central"
NA,1.0957,1.044,"Refused","White","White","Other","50-64","High","Central"
"Clinton",0.6281,0.6227,"Postgraduate","White","White","Democratic","18-34","High","North/Panhandle"
"Clinton",0.7895,0.6765,"HS or less","Hispanic","Other","Other","50-64","Middle","Southeast"
"Trump",0.6858,0.6229,"Bachelor's","White","White","Republican","50-64","Middle","North/Panhandle"
"Clinton",1.0593,1.043,"HS or less","White","White","Democratic","65+","High","Bay Area"
NA,1.7873,1.2367,"Some college","White","White","Republican","50-64","Low","Central"
"Trump",0.8937,0.8918,"Some college","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.0186,1.0157,"Some college","White","White","Republican","50-64","High","North/Panhandle"
"Clinton",0.9263,0.811,"HS or less","Black","Black","Democratic","50-64","Middle","Bay Area"
"Trump",1.2517,1.2489,"HS or less","White","White","Republican","35-49","High","Bay Area"
"Clinton",0.6517,0.6407,"Postgraduate","Other","Other","Other","50-64","High","Bay Area"
NA,0.9005,0.828,"Some college","White","White","Other","65+","Middle","Bay Area"
NA,0.793,0.7421,"Some college","White","White","Other","18-34","High","North/Panhandle"
"Trump",1.3606,1.3576,"Some college","White","Other","Republican","65+","High","Central"
"Trump",1.0069,0.8767,"HS or less","White","White","Democratic","50-64","Middle","Central"
"Clinton",1.0946,1.0649,"Some college","White","Other","Democratic","65+","High","Central"
"Clinton",1.2475,1.228,"Some college","White","Other","Democratic","50-64","High","Central"
"Clinton",0.9339,0.9322,"Some college","Black","Black","Democratic","50-64","High","North/Panhandle"
"Trump",0.8845,0.8035,"Some college","White","White","Other","50-64","Middle","Central"
"Trump",1.3124,1.3052,"Postgraduate","White","White","Democratic","65+","High","Central"
"Clinton",1.1527,1.1479,"Postgraduate","White","White","Other","65+","High","Central"
"Trump",0.6358,0.6265,"Postgraduate","Other","Other","Other","35-49","High","North/Panhandle"
"Trump",0.8496,0.8456,"HS or less","White","White","Republican","50-64","High","North/Panhandle"
"Trump",2.3511,1.5856,"Bachelor's","White","White","Republican","35-49","Low","Central"
"Trump",0.7524,0.6531,"Bachelor's","White","White","Republican","35-49","Middle","North/Panhandle"
"Trump",0.8496,0.8474,"HS or less","White","White","Republican","50-64","High","North/Panhandle"
NA,1.1618,1.1594,"Bachelor's","White","White","Republican","65+","High","Southwest"
"Trump",0.9321,0.9283,"Postgraduate","White","White","Republican","35-49","High","North/Panhandle"
"Trump",0.7328,0.6656,"Some college","White","White","Other","65+","Middle","North/Panhandle"
"Trump",1.0715,1.0659,"Postgraduate","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.0715,1.053,"Some college","White","White","Republican","65+","High","North/Panhandle"
"Clinton",0.7328,0.6558,"Some college","White","White","Other","65+","Middle","North/Panhandle"
"Trump",1.2517,1.237,"Postgraduate","White","White","Republican","50-64","High","Bay Area"
"Trump",1.3168,1.314,"HS or less","White","White","Republican","65+","High","Bay Area"
"Trump",0.9391,0.8412,"Some college","White","White","Other","35-49","Middle","Bay Area"
"Trump",1.0103,0.9234,"Postgraduate","White","White","Republican","35-49","Middle","Bay Area"
"Clinton",0.9305,0.889,"Some college","White","White","Other","65+","High","Bay Area"
"Clinton",1.3168,1.3131,"Some college","White","White","Republican","65+","High","Bay Area"
"Clinton",1.0593,1.0568,"Bachelor's","White","White","Democratic","65+","High","Bay Area"
"Trump",0.9246,0.7446,"Some college","White","White","Republican","35-49","Middle","Bay Area"
"Trump",1.2517,1.2491,"Some college","White","White","Republican","50-64","High","Bay Area"
"Trump",1.1359,0.1729,"Some college","Other","White","Other","65+","Low","Bay Area"
"Trump",0.8836,0.8798,"Some college","White","White","Democratic","65+","High","Bay Area"
"Trump",1.007,1.0048,"Some college","White","White","Democratic","50-64","High","Bay Area"
"Trump",1.0593,1.0568,"Some college","White","White","Democratic","65+","High","Bay Area"
"Trump",1.044,1.042,"Some college","White","Refused","Republican","50-64","High","Bay Area"
"Trump",1.0983,1.0953,"Some college","White","White","Republican","65+","High","Bay Area"
"Trump",1.5416,0.9429,"Some college","White","White","Other","65+","Low","Bay Area"
"Trump",0.8551,0.7249,"Postgraduate","White","White","Democratic","65+","Middle","Bay Area"
"Trump",1.0983,1.0951,"Bachelor's","White","White","Republican","65+","High","Bay Area"
"Trump",1.3168,1.3132,"Postgraduate","White","White","Republican","65+","High","Bay Area"
"Clinton",0.8836,0.8803,"Some college","White","White","Democratic","65+","High","Bay Area"
"Clinton",1.2517,1.2493,"Some college","White","White","Republican","50-64","High","Bay Area"
"Clinton",0.4873,0.4358,"Some college","Other","White","Democratic","50-64","Middle","North/Panhandle"
"Clinton",1.2069,0.7682,"HS or less","Hispanic","White","Democratic","50-64","Low","Bay Area"
NA,1.007,1.0039,"HS or less","White","White","Democratic","35-49","High","Bay Area"
NA,1.1476,1.1458,"Refused","Black","Black","Democratic","50-64","High","Bay Area"
"Clinton",1.007,0.9899,"Bachelor's","White","White","Democratic","50-64","High","Bay Area"
NA,0.9246,0.8136,"Some college","White","White","Republican","35-49","Middle","Bay Area"
"Trump",0.7833,0.6081,"Some college","White","White","Other","18-34","Middle","Bay Area"
"Clinton",1.3168,1.3128,"Bachelor's","White","White","Republican","65+","High","Bay Area"
"Trump",1.2517,1.247,"HS or less","White","White","Republican","50-64","High","Bay Area"
NA,0.8194,0.4069,"HS or less","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",1.0186,1.0159,"Some college","White","White","Republican","50-64","High","North/Panhandle"
NA,0.9078,0.8847,"Some college","White","Refused","Other","65+","High","North/Panhandle"
"Trump",0.8194,0.8166,"HS or less","White","Refused","Democratic","50-64","High","North/Panhandle"
"Trump",0.862,0.8603,"Some college","White","White","Democratic","65+","High","North/Panhandle"
"Trump",1.0186,1.0156,"HS or less","White","White","Republican","50-64","High","North/Panhandle"
"Trump",0.6646,0.2048,"HS or less","Other","Other","Republican","35-49","Middle","North/Panhandle"
"Clinton",1.6313,1.6262,"Postgraduate","White","White","Republican","65+","High","Central"
"Trump",1.3084,0.9477,"Some college","White","White","Other","35-49","Low","North/Panhandle"
"Clinton",0.9305,0.9272,"Bachelor's","White","White","Other","65+","High","Bay Area"
"Trump",0.8937,0.891,"HS or less","White","White","Republican","65+","High","North/Panhandle"
"Trump",1.044,0.9565,"Some college","White","White","Republican","50-64","Middle","Central"
"Clinton",1.2474,1.2449,"Postgraduate","Black","Black","Democratic","65+","High","Central"
"Clinton",1.3124,1.3106,"Bachelor's","White","White","Democratic","65+","High","Central"
NA,1.2933,0.6382,"Bachelor's","White","White","Republican","50-64","High","Central"
"Trump",1.0957,1.0621,"Some college","White","White","Other","35-49","High","Central"
